P-521,p521_mlkem1024,mlkem1024
5.79,15.97,3.68
6.54,12.79,5.45
5.1,12.46,4.42
5.13,12.1,3.8
5.0,15.51,4.4
5.34,19.22,3.64
5.4,12.17,4.47
4.97,12.07,3.3
6.71,12.18,3.67
5.44,11.85,3.79
5.17,12.43,3.87
5.18,14.31,3.15
4.96,14.76,3.06
5.35,12.27,3.34
5.08,12.09,4.45
5.38,14.54,3.56
7.61,14.25,4.52
4.95,12.26,3.33
4.99,13.23,3.42
5.53,13.16,3.12
5.11,11.92,3.49
7.01,12.22,3.69
7.13,12.29,3.58
5.3,12.31,3.19
6.37,12.21,3.7
5.13,14.09,3.23
4.93,12.61,3.54
5.25,11.99,3.15
6.01,11.86,3.14
5.36,11.88,3.62
5.01,18.5,3.32
5.31,12.27,3.23
4.92,12.19,4.03
7.8,12.56,3.23
4.91,19.29,4.5
8.01,18.27,3.19
7.1,12.12,4.56
4.96,12.09,3.58
5.26,12.36,4.49
4.96,12.47,3.15
5.06,12.02,3.33
4.9,12.05,3.14
5.17,11.91,3.1
7.0,11.91,3.57
4.96,19.24,3.16
7.0,11.87,3.53
5.04,12.36,3.27
4.98,11.8,3.17
4.95,12.33,3.17
5.26,11.82,3.53
5.15,12.09,4.12
5.14,11.91,3.52
4.95,11.98,3.21
5.15,11.94,3.39
5.12,11.82,3.05
5.17,12.15,3.05
4.97,11.95,3.53
5.36,11.98,4.93
7.08,13.17,3.04
5.0,12.53,4.08
5.04,13.72,4.67
5.16,12.67,3.6
4.93,11.98,3.33
5.48,11.88,3.09
4.98,11.87,3.24
4.95,18.11,3.27
5.3,12.29,3.59
4.97,11.83,3.4
5.13,12.64,3.13
4.94,12.24,4.2
5.05,14.1,3.07
5.73,12.28,3.24
5.52,12.12,3.31
5.32,14.39,3.15
5.05,13.27,3.43
4.93,12.08,4.44
5.08,11.93,3.92
5.23,12.34,4.87
4.96,16.81,3.06
4.9,11.77,4.78
7.36,19.39,3.1
4.9,12.21,4.79
5.53,12.52,3.16
7.42,12.57,3.93
5.4,12.75,3.16
4.96,11.86,4.42
5.59,12.32,3.27
6.76,12.35,3.62
4.95,11.84,4.04
4.95,12.8,3.14
5.34,12.68,3.41
5.4,11.87,3.53
7.18,11.9,3.82
5.32,12.82,3.15
5.07,12.32,3.25
5.11,13.56,3.22
5.02,11.97,3.13
5.06,11.94,3.1
7.02,11.96,3.19
4.95,11.88,3.58
4.96,12.34,3.35
8.79,12.89,3.58
5.14,12.58,3.08
7.01,11.93,3.1
4.9,12.27,3.11
5.18,11.88,3.67
5.52,12.08,3.26
5.0,11.89,3.05
4.98,17.82,4.75
5.04,12.22,3.1
5.07,12.26,4.36
5.02,21.71,3.24
5.24,11.85,3.03
4.99,18.55,3.93
4.92,12.28,3.15
4.98,12.35,3.15
7.12,12.06,3.14
7.44,15.19,3.22
5.27,14.13,3.63
5.11,11.92,4.51
4.9,12.27,3.58
5.14,12.02,3.14
5.37,13.85,3.17
7.72,13.05,4.82
7.19,1013.48,3.05
4.96,11.95,3.15
5.46,12.67,3.54
7.19,1013.25,4.64
5.33,11.87,3.73
4.94,12.42,3.09
7.45,12.37,3.26
4.96,11.96,3.12
9.37,19.02,3.73
5.4,12.39,3.1
5.01,12.0,4.42
4.95,13.16,3.26
5.47,13.2,4.84
5.05,18.79,3.46
5.31,11.92,3.13
7.0,19.42,3.73
5.19,1011.7,3.11
5.03,11.91,4.64
5.31,18.85,4.54
5.47,12.47,3.32
5.18,13.52,4.44
5.97,12.94,3.22
5.69,12.01,3.36
4.9,12.43,3.2
5.29,18.3,3.27
4.87,12.17,3.18
5.18,12.02,3.26
4.89,18.41,3.57
4.94,12.73,4.43
4.99,13.23,3.17
4.93,12.4,3.23
4.96,12.63,3.68
5.1,12.41,3.18
5.32,12.28,3.14
4.93,12.32,3.15
5.74,11.84,3.14
7.15,12.12,3.13
6.57,11.79,3.68
5.43,11.83,3.13
4.94,12.12,3.26
5.23,12.16,3.31
4.94,11.86,3.15
5.02,12.08,3.37
7.3,12.51,3.81
5.25,12.08,3.15
5.02,11.88,3.14
4.97,21.13,3.13
5.02,11.89,3.17
4.99,12.21,3.11
5.06,11.9,3.26
5.32,12.35,3.72
5.04,19.3,3.48
6.83,12.28,3.56
7.27,12.43,3.12
4.93,12.26,3.14
5.07,11.78,3.18
5.03,11.89,3.17
5.19,12.31,3.5
5.27,11.78,3.71
5.19,11.8,3.35
4.92,19.19,3.19
5.21,11.83,3.16
4.95,12.03,4.44
5.08,12.0,4.52
5.01,12.76,3.27
5.06,11.99,4.53
5.06,11.9,3.16
4.97,12.77,3.21
7.41,12.0,3.5
5.02,18.9,3.17
5.08,11.95,3.36
6.23,11.75,3.51
4.92,12.38,3.14
5.18,11.89,3.61
7.02,12.24,3.16
7.08,13.53,3.14
5.21,12.14,3.36
5.39,12.15,3.14
5.02,12.24,3.6
5.28,11.84,3.16
4.94,11.8,4.38
5.25,11.89,3.23
5.04,11.83,3.12
5.04,11.86,3.54
7.05,11.91,3.17
5.57,11.87,3.12
5.01,11.84,4.45
6.45,11.93,3.21
5.75,11.88,3.15
5.02,11.92,1009.36
7.52,11.97,1030.35
5.32,11.91,3.2
4.99,11.94,3.17
5.0,19.3,3.19
4.97,12.05,3.17
5.1,12.27,3.75
6.26,12.77,3.13
5.64,11.97,3.61
7.17,12.25,3.12
5.07,11.93,3.52
4.97,11.8,1027.14
1004.69,11.87,3.26
5.23,11.97,3.16
5.33,11.92,4.46
4.91,12.05,1016.38
5.42,12.05,3.19
4.96,18.58,4.42
5.19,12.15,3.39
4.97,12.85,3.11
5.2,13.18,3.12
1004.11,12.62,3.69
5.11,18.63,3.14
4.92,12.39,3.21
5.13,12.57,3.13
5.29,11.98,3.3
4.98,12.99,3.24
5.02,13.62,3.84
8.19,12.0,3.17
5.04,11.88,3.12
5.11,12.4,3.18
1004.84,11.8,3.17
1006.72,11.85,3.09
6.24,17.89,3.16
7.71,11.82,3.13
4.99,19.15,3.16
5.05,18.22,3.13
5.29,1037.12,3.31
6.55,11.89,3.49
3003.7,12.54,3.11
5.07,11.81,4.05
6.21,11.94,3.1
5.1,11.94,3.58
4.99,11.85,4.42
1005.84,12.13,3.36
4.88,12.08,3.1
1004.64,11.8,4.47
4.89,12.38,3.23
6.22,12.36,4.48
4.92,12.11,3.13
6.62,12.23,3.33
5.0,11.85,3.13
6.44,18.86,4.58
4.97,18.56,3.11
6.22,12.87,4.53
6.22,12.8,3.3
6.24,12.67,3.22
4.87,12.18,3.14
4.96,11.86,4.43
6.1,12.58,3.12
4.98,18.5,3.59
6.22,12.49,3.15
6.59,12.01,3.15
7.11,12.32,3.38
5.04,11.85,3.13
6.21,12.31,4.88
1005.53,11.88,3.19
5.0,12.01,3.23
6.16,12.21,3.46
6.62,16.63,1008.56
6.25,11.97,3.22
6.5,12.46,3.19
6.2,11.83,3.14
4.97,18.62,4.53
6.03,11.97,3.12
5.23,14.39,3.19
7.41,12.19,3.18
4.96,13.93,4.91
6.17,12.2,3.13
5.74,12.04,3.17
4.95,11.92,3.98
5.39,12.21,3.17
7.0,12.04,3.9
7.01,11.86,3.12
5.0,13.96,3.52
6.18,11.94,3.38
5.36,18.6,3.13
6.19,13.58,3.6
7.24,12.44,3.16
4.96,11.91,3.66
5.51,18.76,3.14
5.1,1019.51,3.19
5.12,13.91,3.28
4.93,12.6,3.14
6.98,11.99,4.44
5.37,14.58,3.24
7.02,12.47,3.45
7.07,12.31,3.15
7.29,14.29,3.47
4.96,14.88,1008.72
6.4,11.88,4.54
5.29,14.28,4.44
7.02,13.97,3.16
6.31,12.1,3.1
6.3,14.08,3.52
4.88,18.28,3.27
6.69,12.33,3.2
4.95,14.08,3.17
5.34,12.27,3.15
6.18,11.97,3.19
5.4,14.55,3.82
1005.13,14.08,4.41
5.05,18.69,3.17
4.91,12.71,1008.46
1005.58,12.73,3.17
7.24,13.87,3.12
4.95,12.11,3.18
5.26,15.18,3.41
5.0,14.56,3.13
4.96,11.98,3.55
4.94,12.35,3.13
5.29,11.85,5.03
4.99,12.34,4.41
5.26,11.85,3.7
4.86,18.67,4.46
5.01,14.09,4.52
4.99,14.87,3.51
4.95,12.07,3.12
4.93,14.11,3.28
5.5,13.9,4.44
4.88,1013.21,4.5
7.13,11.88,3.14
5.58,11.88,3.12
5.01,11.86,3.79
6.47,12.16,3.14
5.05,11.81,3.8
4.97,12.46,4.42
7.52,12.88,1008.52
7.19,18.74,4.47
4.88,13.46,3.19
5.31,12.29,3.21
4.94,18.33,3.15
5.13,14.83,3.12
4.88,12.01,3.61
5.32,12.35,3.17
7.0,11.92,3.29
4.96,12.71,3.31
5.0,18.23,3.15
4.97,14.28,3.14
5.04,1013.32,3.97
7.02,1014.71,3.16
7.3,11.9,1007.58
4.94,12.39,4.5
5.15,11.85,3.56
4.91,12.43,1008.37
5.33,14.77,3.23
5.01,19.31,3.25
5.28,12.27,3.14
4.92,13.97,3.44
5.54,11.95,3.11
4.86,1012.93,3.65
4.99,15.24,3.13
5.46,13.98,3.14
4.98,14.1,3.42
5.17,14.65,3.24
5.11,14.44,3.13
1005.28,14.0,3.56
4.92,19.3,3.16
5.76,12.12,3.15
4.92,18.21,3.37
4.94,13.56,3.1
4.9,14.47,3.21
4.89,15.29,3.15
7.0,14.71,3.19
4.9,14.65,4.48
7.07,18.66,3.14
5.02,15.42,3.13
4.97,12.99,3.55
4.89,14.14,3.18
5.1,14.87,3.29
4.92,22.07,3.39
5.24,16.37,3.13
1004.52,14.44,3.75
4.96,20.26,3.27
1006.66,14.7,3.14
4.96,21.18,5.44
5.12,12.13,3.13
4.97,12.85,3.27
6.01,12.11,3.22
4.92,13.12,3.39
5.14,19.14,1008.24
7.13,12.08,1017.32
5.03,18.75,4.45
5.02,12.29,3.18
4.97,11.84,3.14
5.4,12.31,3.27
4.95,12.01,3.28
5.53,13.23,3.12
7.08,12.0,3.4
5.12,12.21,3.17
5.07,18.21,4.47
5.14,12.34,3.15
5.0,18.23,3.41
4.95,13.65,3.24
4.98,18.27,3.18
5.14,14.02,3.82
6.99,18.67,3.15
5.36,11.95,3.35
5.03,14.58,3.19
5.02,12.13,3.13
5.5,13.33,3.14
4.97,14.6,3.18
7.03,14.0,3.26
7.01,14.48,3.23
1005.19,14.14,3.39
7.14,18.38,3.3
5.64,14.46,3.15
5.02,13.9,4.02
5.45,18.7,4.93
4.96,14.32,4.42
4.94,11.82,3.61
5.33,11.81,4.63
4.87,12.02,4.85
7.55,14.63,3.42
7.26,11.85,4.42
5.06,18.8,3.87
5.4,11.84,3.18
4.89,14.35,3.62
4.89,12.23,4.41
1004.77,11.92,3.3
5.11,14.07,4.61
7.01,1013.29,3.36
7.44,14.12,3.3
4.92,15.0,3.17
5.01,15.82,3.89
4.92,12.14,3.11
4.89,12.31,3.58
5.01,12.43,3.29
4.89,18.88,3.14
5.16,1019.54,3.7
4.99,11.91,4.57
5.2,11.84,3.39
5.07,12.11,3.25
1005.04,12.23,3.41
5.0,12.28,3.21
7.67,11.92,4.49
5.28,12.33,3.11
4.88,18.4,3.2
7.03,18.8,3.24
4.93,11.91,3.59
5.3,18.87,3.21
5.01,18.63,3.32
5.07,11.95,3.69
5.48,18.76,3.12
7.03,11.74,3.64
7.0,11.94,3.23
5.09,19.01,3.4
5.0,12.72,4.72
7.2,18.24,4.47
4.87,14.26,3.17
5.17,14.04,3.19
4.91,14.07,3.16
5.27,11.87,3.36
4.95,13.93,3.17
5.25,12.02,3.34
4.97,12.06,3.15
5.3,12.13,3.56
4.94,12.55,3.14
5.13,12.57,3.13
7.33,12.84,3.44
4.91,12.62,3.09
7.05,11.96,3.67
7.05,12.23,3.28
5.3,11.8,3.12
4.94,12.26,3.31
4.9,12.22,3.15
5.17,12.38,3.64
4.86,11.79,3.15
5.09,11.79,3.15
4.92,11.92,3.13
5.29,11.84,4.56
5.25,12.96,3.21
5.07,12.3,3.12
6.97,12.12,3.59
5.6,18.29,3.16
4.99,12.73,1008.59
5.25,12.22,3.22
