P-521,p521_mlkem1024,mlkem1024
7.08,15.96,3.68
5.17,12.42,3.4
5.1,11.97,3.25
8.15,12.67,4.71
5.07,11.98,4.32
5.64,12.16,3.75
5.17,11.86,4.57
5.26,12.41,3.81
6.99,11.91,3.51
5.12,12.04,3.2
4.92,12.09,3.34
4.91,12.27,3.58
5.02,11.74,3.94
5.07,11.99,3.68
5.05,11.84,3.89
6.28,12.16,3.54
4.96,12.46,3.57
5.01,12.2,3.71
6.73,12.06,3.67
6.19,12.38,3.21
6.4,12.19,3.57
5.02,18.45,3.53
5.0,18.75,3.33
5.0,12.21,3.13
5.01,11.78,3.18
6.21,12.18,3.18
4.97,12.2,3.48
6.35,12.12,3.42
6.22,13.92,3.22
6.45,11.84,3.63
5.05,12.35,3.11
6.23,11.9,3.92
6.36,13.58,3.11
5.02,11.88,3.18
7.0,12.32,3.32
6.74,18.25,3.13
4.98,12.8,3.54
6.71,18.29,3.3
4.99,12.23,3.13
7.04,12.28,3.32
6.45,18.89,4.42
6.11,12.27,3.33
5.3,12.02,3.19
6.18,12.27,3.19
6.18,11.91,3.33
6.27,12.23,4.73
6.22,12.58,4.87
6.4,11.74,3.11
6.68,12.29,3.23
6.24,18.3,3.13
6.57,12.59,4.97
6.24,11.92,3.1
6.28,12.54,3.14
6.23,12.92,3.67
4.99,11.88,3.29
5.37,12.41,3.4
5.34,12.5,3.42
5.3,12.38,3.71
4.85,11.87,4.49
6.6,12.31,3.11
6.21,11.88,3.23
6.27,12.02,3.23
4.89,11.87,3.15
6.25,11.92,3.12
6.23,11.83,3.54
6.19,14.82,3.13
6.46,18.73,3.22
6.32,11.85,3.57
6.58,13.78,3.12
6.7,11.92,3.65
6.99,19.12,3.17
5.24,13.36,4.5
4.96,12.09,3.36
5.03,11.88,3.12
6.17,13.07,3.44
5.25,12.07,3.14
4.98,11.89,3.86
5.05,12.34,3.2
5.8,12.21,3.21
5.05,12.07,3.29
6.27,12.79,3.15
5.62,12.19,3.47
6.31,11.75,3.11
4.99,12.62,4.56
5.25,11.9,3.83
4.95,11.94,3.13
5.47,14.45,3.24
5.12,12.1,3.14
6.7,15.84,3.29
6.83,18.77,3.4
5.3,12.06,3.11
6.25,18.53,3.58
4.98,12.91,3.28
6.35,12.54,3.36
6.72,12.05,3.18
6.19,12.15,3.5
5.5,11.77,3.11
7.01,12.12,3.42
7.0,18.97,3.1
5.31,12.31,3.82
6.21,18.63,3.13
4.96,14.9,3.19
4.9,12.03,3.25
4.86,14.63,3.17
5.15,11.94,3.08
7.02,12.1,3.7
5.29,11.99,3.15
5.04,12.17,4.93
4.88,12.18,3.14
7.06,18.56,3.19
7.04,12.4,3.24
7.01,12.4,3.23
5.12,11.96,3.09
5.11,12.4,3.31
4.98,11.95,3.13
5.08,13.15,3.29
7.04,12.36,3.63
4.86,13.98,3.12
6.24,12.53,3.49
7.06,18.18,3.14
5.33,12.23,3.28
5.01,18.64,3.13
5.3,12.01,3.65
5.72,14.44,3.28
6.18,15.97,3.41
7.04,14.21,3.77
5.21,12.38,3.1
5.0,12.34,3.72
5.2,12.64,3.14
5.03,11.72,3.53
5.06,12.9,3.13
7.75,11.79,3.37
5.09,14.48,3.12
7.82,12.73,3.16
7.28,18.3,3.23
7.04,12.77,3.41
5.03,12.3,3.36
6.59,11.92,3.1
7.02,16.43,4.44
7.3,16.8,3.26
4.85,18.46,4.44
7.06,12.22,3.26
7.07,18.24,3.15
6.26,14.05,3.48
6.21,12.42,4.46
4.9,14.29,3.15
6.93,12.15,3.21
4.93,12.06,3.74
6.38,11.9,3.19
6.21,14.97,3.59
4.89,19.26,3.11
5.34,12.71,3.14
4.99,18.2,3.1
6.63,14.34,3.45
4.96,18.2,4.85
4.97,12.13,3.29
6.4,14.7,3.13
6.55,15.01,3.15
6.24,18.83,5.11
4.92,20.02,3.04
5.06,16.05,3.9
4.97,20.55,3.19
5.03,12.25,3.1
6.25,12.71,3.36
6.3,12.59,3.08
7.47,19.07,4.75
6.99,12.5,4.74
4.98,12.66,3.18
4.89,12.44,3.36
4.88,15.73,3.15
7.0,12.35,3.61
6.98,12.48,3.22
5.0,12.54,3.31
5.29,12.17,3.36
4.87,12.01,4.47
4.94,12.09,3.94
5.55,11.76,4.73
5.34,12.05,3.14
6.06,12.54,3.46
6.17,19.13,3.29
7.25,18.44,3.49
7.04,16.39,3.2
5.1,12.65,3.17
5.06,13.09,3.17
5.27,12.36,3.13
4.98,14.8,5.19
6.57,14.41,3.15
1004.65,12.22,3.19
3003.82,15.01,3.15
,18.24,3.54
7000.63,1090.98,3.18
4.97,11.89,3.12
3003.39,1153.09,3.29
4.89,18.25,3.12
4.88,1037.15,3.66
7000.6,11.93,3.15
1004.64,1138.43,3.27
4.96,1026.44,4.72
1005.79,18.33,3.21
1006.64,3010.13,4.08
1004.58,11.86,3.1
5.0,3019.86,4.44
5.11,11.83,3.26
1004.46,12.25,4.43
5.03,11.84,3.29
5.03,11.79,3.19
7002.61,11.86,4.07
7.03,1066.46,3.69
1004.31,1040.33,3.81
3003.09,11.82,3.18
1004.69,1013.92,4.25
5.0,1036.79,3.62
4.95,11.88,3.19
3002.65,1250.28,4.23
1004.61,11.8,3.36
5.0,3012.38,3.53
6.99,11.76,3.17
7.33,7008.25,3.21
5.55,11.82,3.62
5.4,1012.22,3.17
5.02,3010.68,1008.54
4.98,11.86,3.1
7000.63,1029.27,3.3
1004.65,3351.67,3.3
1004.47,11.86,3.24
4.87,1034.66,1029.54
7.02,11.92,1583.76
3002.66,12.24,7001.1
1004.57,11.85,1191.52
,11.86,1028.87
1006.08,1036.87,3.58
5.02,19.13,3.08
6.23,12.7,3.12
3005.75,3012.54,3.71
4.92,12.25,3718.8
7.71,1013.18,3.11
,1036.58,3.2
3002.64,11.96,1030.06
1006.69,14.05,4.48
4.89,12.88,3226.26
5.74,11.9,1029.93
5.0,13.74,3.24
5.56,1013.93,1035.76
4.85,3010.54,3.2
1005.23,18.23,3.16
4.97,11.88,3.18
7.0,1035.76,1023.24
7.02,18.18,4.49
4.96,12.01,4.43
4.95,12.39,4.49
4.97,1038.22,3.1
4.98,3015.41,6997.96
6.12,11.92,3.32
4.93,7006.57,3.32
3002.65,1019.2,3064.67
1004.61,3018.89,3.22
3003.91,12.01,3.15
5.0,1036.84,3.14
5.89,7006.36,6999.9
1004.64,11.79,3.09
5.56,12.29,3.64
4.99,12.93,1415.46
,11.86,3845.48
7000.6,11.89,3003.22
3003.66,18.72,1660.15
4.99,1203.61,1021.26
5.48,1013.14,3.19
4.88,3015.43,3.64
5.02,11.81,3.2
1004.62,1013.11,4.75
4.98,11.9,4.6
4.93,1013.76,4.46
4.88,1084.15,3003.25
1004.53,1089.79,3.21
1004.61,1036.63,3.08
4.97,12.02,3.14
7000.78,1855.09,1008.42
5.05,1845.37,3.08
5.94,11.95,3.14
5.18,12.29,3.16
4.95,1021.7,3.2
5.49,1019.12,4.78
7000.1,18.88,3000.93
4.99,11.72,3.25
,18.27,4.09
5.33,18.22,1036.94
3003.78,1026.2,1006.09
4.96,18.84,1030.34
4.89,12.23,3001.92
7.68,11.85,1008.36
5.22,3077.89,4.45
4.9,3012.28,3.21
4.95,1036.95,3.77
5.24,11.86,3.59
5.31,12.07,3.31
4.99,11.96,3.19
5.06,12.51,3.13
1004.58,1272.54,4.83
1004.62,11.85,3.13
5.0,12.51,3.36
1004.66,1174.48,1002.88
4.94,1091.16,4.47
1004.47,12.11,1007.62
4.97,12.08,3.12
3002.65,1036.75,3.18
6.33,18.17,1084.54
5.9,12.63,4.54
4.95,1037.38,3.18
4.96,1091.19,1030.1
1004.66,11.92,3.18
3002.64,1013.13,3.21
7000.63,11.91,3.21
3003.17,1034.76,3.17
5.44,3009.41,4.51
4.96,11.78,3.15
4.89,12.2,3.19
5.06,12.21,1031.29
5.24,1013.1,4.5
7.03,18.57,3003.5
5.83,18.14,3.24
4.91,19.0,3.19
5.41,1046.69,4.42
5.12,18.23,3.26
5.52,1238.06,1007.26
4.95,1091.36,4.49
5.68,11.79,3.18
5.08,1013.34,3.35
1004.62,1037.05,3.18
1004.71,1027.28,1047.35
3005.82,18.2,3.17
1004.55,1037.0,3.18
4.98,12.03,6999.6
1006.69,12.35,3003.23
3002.49,11.83,1030.03
4.92,7226.6,3.21
4.98,11.87,1009.47
1004.8,11.84,3.18
1004.56,3101.87,3.14
7.03,11.88,3.13
7.81,18.24,
7.04,11.78,1102.89
6.35,1053.54,1084.2
3002.62,11.88,1009.11
7000.66,12.48,4.48
4.95,12.28,3.15
5.48,11.87,3.31
3002.64,11.78,1084.29
4.98,18.6,3001.9
5.46,11.9,4.41
4.99,3303.44,3.22
7.23,11.75,3.46
1004.67,1018.45,
5.18,11.76,3.18
1004.58,11.86,3.16
5.35,1044.68,1008.36
7.03,11.96,3.35
4.96,2041.1,1030.08
4.9,1011.95,3.19
5.01,3043.77,4.47
4.98,3029.86,3.1
,3490.26,3.3
5.09,11.89,3.17
5.0,3042.13,1021.6
1004.53,12.06,3.19
7000.16,18.22,3.25
4.93,12.56,1030.51
7001.05,12.87,4.54
5.09,1035.58,1131.14
7.05,3012.28,3.26
3002.9,11.85,4.55
1004.59,1036.66,3.57
5.06,1037.02,
4.95,12.01,3001.87
4.99,11.98,1091.39
3002.6,11.72,3.15
3005.48,1037.16,3.2
7.13,1135.34,1027.36
6.38,1037.69,1016.98
1005.54,18.17,3.18
6.33,11.87,1008.48
6.29,7006.37,1058.38
5.01,1414.82,1031.16
4.98,1089.51,1002.73
1005.45,11.91,3.3
6.2,11.91,3.63
6.37,12.29,3.12
7000.79,12.31,3.66
1004.76,1036.83,1027.55
7.04,3039.75,3.21
5.27,11.87,3.12
5.02,18.62,1009.49
5.18,11.97,3.22
4.95,1093.89,3029.21
5.18,12.77,1084.44
4.86,18.58,3.26
