P-521,p521_mlkem1024,mlkem1024
17.12,26.62,8.2
17.37,23.81,8.38
17.82,25.29,8.56
17.11,24.33,8.68
17.53,23.91,8.96
17.89,23.25,8.9
17.62,23.46,8.66
17.86,25.09,8.98
16.98,23.63,8.49
17.2,24.0,8.13
16.18,24.68,8.15
17.17,24.34,8.21
17.29,24.54,7.87
18.99,24.69,7.93
18.92,24.58,7.95
17.55,24.62,7.94
18.28,23.73,8.39
17.9,23.75,8.32
17.49,26.16,8.5
17.66,24.25,11.41
18.59,23.76,8.74
18.39,25.2,8.39
18.07,23.97,8.58
17.62,24.04,8.22
17.51,24.07,9.37
17.66,23.25,8.59
16.51,24.27,8.08
16.76,23.98,7.97
17.81,24.47,7.97
17.71,24.07,8.33
17.2,23.4,8.17
17.84,24.23,8.94
17.09,24.03,8.69
16.86,23.59,8.61
17.76,23.89,9.77
17.19,23.81,9.03
17.72,23.99,9.32
17.33,24.54,8.25
17.63,23.67,8.17
17.48,25.41,8.08
16.43,24.76,7.99
16.92,24.45,8.41
17.18,24.66,9.01
17.01,23.8,8.34
16.23,23.11,9.08
16.52,23.88,9.68
17.47,24.77,8.77
16.9,24.43,8.31
16.46,23.54,8.36
17.09,23.64,8.27
17.56,23.98,8.43
17.3,23.71,8.74
16.81,23.49,8.72
16.55,23.23,7.8
16.06,23.61,8.12
17.56,23.52,7.97
17.53,23.73,7.97
16.47,23.59,7.88
17.48,23.47,7.94
17.51,24.26,8.67
17.2,23.94,8.19
17.23,23.48,8.25
16.86,23.3,8.26
17.55,25.22,8.97
16.44,24.48,8.16
16.79,25.05,8.31
17.07,25.38,9.22
17.31,24.34,9.18
16.13,24.2,8.91
16.76,25.56,8.44
16.29,24.49,8.37
16.38,24.16,8.65
16.03,23.92,8.65
16.89,23.78,8.44
16.76,23.89,8.31
16.8,23.98,9.65
16.93,24.84,8.18
16.02,24.71,8.6
16.88,24.92,7.89
16.91,24.24,7.92
17.22,24.12,8.04
16.64,24.13,8.1
17.47,24.56,8.18
16.11,23.86,8.11
16.15,25.17,8.18
15.97,24.17,9.17
16.2,23.88,8.93
16.97,24.77,8.36
16.74,23.77,8.62
16.65,24.62,8.87
17.12,24.15,8.86
16.38,24.05,8.49
16.08,23.32,8.61
16.31,23.84,7.93
17.42,25.38,7.9
16.19,24.55,7.94
16.19,25.26,7.99
16.48,23.72,7.91
16.48,23.3,7.97
16.94,23.16,8.93
16.75,23.26,9.01
17.79,24.25,9.18
17.29,24.27,8.51
16.58,23.76,8.62
16.94,24.23,8.91
16.43,24.25,8.37
16.85,24.17,8.18
16.61,23.97,8.62
16.52,24.26,8.43
17.57,24.28,8.38
15.97,23.89,7.93
17.23,24.25,8.03
16.41,24.7,7.98
16.57,24.27,7.99
16.49,24.89,7.94
16.86,23.85,9.25
16.69,23.8,8.64
16.54,24.22,9.37
16.74,23.3,9.17
16.15,24.23,8.87
16.08,24.78,8.73
16.27,23.57,8.36
16.92,24.31,8.18
16.43,25.66,7.89
18.13,24.99,7.88
18.82,24.55,7.91
17.19,24.45,7.91
21.33,24.59,7.99
16.28,24.02,7.91
16.73,24.16,8.77
16.18,23.51,8.44
16.94,24.87,8.62
16.3,24.87,8.16
17.16,23.63,8.25
17.79,24.24,8.01
19.19,24.69,8.03
17.36,24.13,7.99
18.15,23.96,8.51
18.92,23.88,7.82
16.25,23.37,8.05
16.73,25.92,8.76
16.33,23.84,8.31
17.04,23.55,8.29
16.54,23.79,8.39
16.36,27.1,8.91
16.42,24.95,8.66
17.57,27.58,8.49
16.19,24.78,7.88
16.58,23.86,8.23
16.44,24.25,9.32
16.76,23.86,8.02
16.09,23.87,8.2
16.22,25.86,8.23
16.04,24.68,8.37
16.31,23.66,8.21
16.11,23.93,8.29
16.36,24.13,8.3
16.09,23.84,8.09
17.49,23.55,8.13
16.59,23.29,7.86
16.51,23.32,8.53
16.52,23.59,8.57
17.29,24.02,8.35
17.59,23.28,8.05
17.19,23.88,8.55
16.61,24.66,8.13
18.57,24.17,8.77
16.97,24.65,8.65
16.59,23.94,8.29
16.64,25.73,8.2
17.24,24.59,8.98
16.72,24.76,7.87
16.73,24.68,7.94
17.0,24.74,8.02
19.07,23.62,8.09
17.12,23.15,8.12
16.59,23.37,7.91
16.24,23.84,8.54
