security_level,sig_alg,kem,kem_class,mean_ms,baseline_classique_mean_ms,overhead_pct
L1,ed25519,P-256,classique,2.152,2.064,4.3
L1,ed25519,hqc128,pq_pur,17.614,2.064,753.4
L1,ed25519,mlkem512,pq_pur,1.95,2.064,-5.5
L1,ed25519,p256_hqc128,hybride,25.582,2.064,1139.4
L1,ed25519,p256_mlkem512,hybride,10.02,2.064,385.5
L1,ed25519,x25519_hqc128,hybride,20.063,2.064,872.0
L1,ed25519,x25519_mlkem512,hybride,3.455,2.064,67.4
L1,ed25519,x25519,classique,1.869,2.064,-9.4
L1,mldsa44,P-256,classique,2.216,2.064,7.4
L1,mldsa44,hqc128,pq_pur,18.102,2.064,777.0
L1,mldsa44,mlkem512,pq_pur,1.937,2.064,-6.2
L1,mldsa44,p256_hqc128,hybride,25.287,2.064,1125.1
L1,mldsa44,p256_mlkem512,hybride,9.864,2.064,377.9
L1,mldsa44,x25519_hqc128,hybride,19.635,2.064,851.3
L1,mldsa44,x25519_mlkem512,hybride,3.641,2.064,76.4
L1,mldsa44,x25519,classique,2.019,2.064,-2.2
L3,mldsa65,P-384,classique,4.546,4.391,3.5
L3,mldsa65,hqc192,pq_pur,49.12,4.391,1018.7
L3,mldsa65,mlkem768,pq_pur,2.174,4.391,-50.5
L3,mldsa65,p384_hqc192,hybride,58.537,4.391,1233.1
L3,mldsa65,p384_mlkem768,hybride,12.653,4.391,188.2
L3,mldsa65,x448_hqc192,hybride,50.637,4.391,1053.2
L3,mldsa65,x448_mlkem768,hybride,5.26,4.391,19.8
L3,mldsa65,x448,classique,3.049,4.391,-30.6
L5,mldsa87,P-521,classique,4.42,5.128,-13.8
L5,mldsa87,hqc256,pq_pur,84.271,5.128,1543.4
L5,mldsa87,mlkem1024,pq_pur,2.343,5.128,-54.3
L5,mldsa87,p521_hqc256,hybride,91.37,5.128,1681.8
L5,mldsa87,p521_mlkem1024,hybride,12.27,5.128,139.3
L3,secp384r1,P-384,classique,5.781,4.391,31.7
L3,secp384r1,hqc192,pq_pur,49.325,4.391,1023.3
L3,secp384r1,mlkem768,pq_pur,3.436,4.391,-21.7
L3,secp384r1,p384_hqc192,hybride,59.126,4.391,1246.5
L3,secp384r1,p384_mlkem768,hybride,13.707,4.391,212.2
L3,secp384r1,x448_hqc192,hybride,52.695,4.391,1100.1
L3,secp384r1,x448_mlkem768,hybride,6.476,4.391,47.5
L3,secp384r1,x448,classique,4.189,4.391,-4.6
L5,secp521r1,P-521,classique,5.837,5.128,13.8
L5,secp521r1,hqc256,pq_pur,85.53,5.128,1567.9
L5,secp521r1,mlkem1024,pq_pur,3.668,5.128,-28.5
L5,secp521r1,p521_hqc256,hybride,95.637,5.128,1765.0
L5,secp521r1,p521_mlkem1024,hybride,13.92,5.128,171.5
