protocol,auth_mode,sig_alg,kem,kem_class,security_level,sig_family,network_profile,n_total,n_success,n_failed,success_rate_pct,mean_ms,stdev_ms,ci95_low_ms,ci95_high_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms
quic,single,ed25519,P-256,classique,L1,classique,none,500,500,0,100.0,2.152,0.347,2.122,2.182,2.01,2.841,3.391,1.79,4.22
quic,single,ed25519,hqc128,pq_pur,L1,classique,none,500,500,0,100.0,17.614,2.374,17.405,17.822,16.38,22.671,23.41,15.48,24.76
quic,single,ed25519,mlkem512,pq_pur,L1,classique,none,500,500,0,100.0,1.95,0.313,1.922,1.977,1.86,2.491,3.23,1.59,4.03
quic,single,ed25519,p256_hqc128,hybride,L1,classique,none,500,500,0,100.0,25.582,3.56,25.27,25.894,23.79,33.992,34.691,22.68,46.99
quic,single,ed25519,p256_mlkem512,hybride,L1,classique,none,500,500,0,100.0,10.02,1.607,9.879,10.161,9.555,13.96,14.832,8.46,17.02
quic,single,ed25519,x25519_hqc128,hybride,L1,classique,none,500,500,0,100.0,20.063,2.931,19.806,20.32,18.255,25.25,25.65,17.17,26.42
quic,single,ed25519,x25519_mlkem512,hybride,L1,classique,none,500,500,0,100.0,3.455,0.444,3.416,3.494,3.22,4.32,4.49,3.07,4.88
quic,single,ed25519,x25519,classique,L1,classique,none,500,500,0,100.0,1.869,0.246,1.848,1.891,1.77,2.301,2.62,1.58,3.16
quic,single,mldsa44,P-256,classique,L1,pq,none,500,500,0,100.0,2.216,0.303,2.189,2.243,2.11,2.79,3.37,1.79,4.18
quic,single,mldsa44,hqc128,pq_pur,L1,pq,none,500,500,0,100.0,18.102,2.707,17.865,18.339,16.575,23.02,23.952,15.69,29.55
quic,single,mldsa44,mlkem512,pq_pur,L1,pq,none,500,500,0,100.0,1.937,0.294,1.911,1.962,1.86,2.511,3.06,1.57,3.5
quic,single,mldsa44,p256_hqc128,hybride,L1,pq,none,500,500,0,100.0,25.287,3.27,25.001,25.574,23.76,33.81,34.68,22.6,36.14
quic,single,mldsa44,p256_mlkem512,hybride,L1,pq,none,500,500,0,100.0,9.864,1.514,9.732,9.997,9.32,13.69,14.02,8.49,14.55
quic,single,mldsa44,x25519_hqc128,hybride,L1,pq,none,500,500,0,100.0,19.635,2.939,19.377,19.892,18.09,25.282,29.094,17.13,33.48
quic,single,mldsa44,x25519_mlkem512,hybride,L1,pq,none,500,500,0,100.0,3.641,0.504,3.597,3.685,3.48,4.59,4.94,3.06,6.74
quic,single,mldsa44,x25519,classique,L1,pq,none,500,500,0,100.0,2.019,0.291,1.994,2.045,1.97,2.581,3.03,1.59,3.87
quic,single,mldsa65,P-384,classique,L3,pq,none,500,500,0,100.0,4.546,0.572,4.496,4.596,4.33,5.641,6.171,3.83,6.5
quic,single,mldsa65,hqc192,pq_pur,L3,pq,none,500,500,0,100.0,49.12,6.186,48.578,49.662,46.275,62.221,68.832,44.08,75.27
quic,single,mldsa65,mlkem768,pq_pur,L3,pq,none,500,500,0,100.0,2.174,0.305,2.147,2.201,2.12,2.72,3.3,1.71,4.0
quic,single,mldsa65,p384_hqc192,hybride,L3,pq,none,500,500,0,100.0,58.537,6.48,57.969,59.105,55.82,74.465,79.284,53.65,91.8
quic,single,mldsa65,p384_mlkem768,hybride,L3,pq,none,500,500,0,100.0,12.653,2.052,12.473,12.833,11.81,17.352,18.061,10.74,18.37
quic,single,mldsa65,x448_hqc192,hybride,L3,pq,none,500,500,0,100.0,50.637,4.512,50.242,51.033,49.14,62.865,67.731,46.65,75.3
quic,single,mldsa65,x448_mlkem768,hybride,L3,pq,none,500,500,0,100.0,5.26,0.716,5.197,5.322,5.07,6.52,7.5,4.36,8.38
quic,single,mldsa65,x448,classique,L3,pq,none,500,500,0,100.0,3.049,0.401,3.014,3.084,2.905,3.78,4.33,2.56,4.68
quic,single,mldsa87,P-521,classique,L5,pq,none,500,500,0,100.0,4.42,0.579,4.37,4.471,4.175,5.6,6.162,3.74,7.0
quic,single,mldsa87,hqc256,pq_pur,L5,pq,none,500,500,0,100.0,84.271,6.514,83.7,84.842,81.37,101.16,106.12,79.61,110.38
quic,single,mldsa87,mlkem1024,pq_pur,L5,pq,none,500,500,0,100.0,2.343,0.499,2.299,2.386,2.245,3.03,3.422,1.87,10.81
quic,single,mldsa87,p521_hqc256,hybride,L5,pq,none,500,500,0,100.0,91.37,5.619,90.877,91.862,88.575,102.188,111.773,87.64,122.85
quic,single,mldsa87,p521_mlkem1024,hybride,L5,pq,none,500,500,0,100.0,12.27,1.794,12.113,12.428,11.57,16.7,17.83,10.49,18.91
quic,single,secp384r1,P-384,classique,L3,classique,none,500,500,0,100.0,5.781,0.86,5.706,5.856,5.44,7.511,8.322,4.99,9.89
quic,single,secp384r1,hqc192,pq_pur,L3,classique,none,500,500,0,100.0,49.325,6.308,48.772,49.878,46.8,62.693,71.412,45.58,96.9
quic,single,secp384r1,mlkem768,pq_pur,L3,classique,none,500,500,0,100.0,3.436,0.53,3.389,3.482,3.23,4.54,4.871,2.89,5.55
quic,single,secp384r1,p384_hqc192,hybride,L3,classique,none,500,500,0,100.0,59.126,6.869,58.524,59.728,56.385,77.044,80.483,54.44,98.7
quic,single,secp384r1,p384_mlkem768,hybride,L3,classique,none,500,500,0,100.0,13.707,2.121,13.521,13.893,12.85,18.96,21.013,11.95,23.61
quic,single,secp384r1,x448_hqc192,hybride,L3,classique,none,500,500,0,100.0,52.695,6.13,52.158,53.232,49.675,67.431,70.22,48.26,76.07
quic,single,secp384r1,x448_mlkem768,hybride,L3,classique,none,500,500,0,100.0,6.476,0.975,6.391,6.562,6.09,8.441,9.532,5.56,10.65
quic,single,secp384r1,x448,classique,L3,classique,none,500,500,0,100.0,4.189,0.657,4.132,4.247,3.87,5.63,6.161,3.63,6.86
quic,single,secp521r1,P-521,classique,L5,classique,none,500,500,0,100.0,5.837,0.946,5.754,5.92,5.41,7.54,8.553,4.86,10.14
quic,single,secp521r1,hqc256,pq_pur,L5,classique,none,500,500,0,100.0,85.53,7.144,84.904,86.156,82.43,101.758,107.355,80.48,128.71
quic,single,secp521r1,mlkem1024,pq_pur,L5,classique,none,500,500,0,100.0,3.668,0.579,3.617,3.719,3.455,4.69,5.431,3.06,6.06
quic,single,secp521r1,p521_hqc256,hybride,L5,classique,none,500,500,0,100.0,95.637,7.388,94.989,96.284,92.27,112.681,119.121,89.97,130.6
quic,single,secp521r1,p521_mlkem1024,hybride,L5,classique,none,500,500,0,100.0,13.92,2.275,13.721,14.119,12.915,18.99,20.162,11.77,22.52
