run_id,duration_ms,success
1,11.55,1
2,10.72,1
3,4.83,1
4,6.08,1
5,12.61,1
6,6.84,1
7,5.67,1
8,14.28,1
9,6.47,1
10,4.02,1
11,22.06,1
12,19.17,1
13,19.17,1
14,6.03,1
15,15.18,1
16,18.45,1
17,5.09,1
18,3.33,1
19,4.45,1
20,6.85,1
21,5.12,1
22,8.79,1
23,3.65,1
24,5.35,1
25,10.65,1
26,4.83,1
27,7.76,1
28,12.59,1
29,3.62,1
30,4.82,1
31,9.50,1
32,6.68,1
33,8.76,1
34,11.70,1
35,5.91,1
36,6.71,1
37,6.20,1
38,4.09,1
39,5.09,1
40,5.60,1
41,7.41,1
42,3.62,1
43,7.01,1
44,4.80,1
45,9.19,1
46,7.27,1
47,5.84,1
48,3.52,1
49,3.99,1
50,7.08,1
51,7.80,1
52,9.15,1
53,3.60,1
54,10.16,1
55,10.36,1
56,5.86,1
57,5.46,1
58,3.44,1
59,3.60,1
60,7.08,1
61,3.84,1
62,4.11,1
63,3.56,1
64,5.51,1
65,10.94,1
66,5.47,1
67,11.44,1
68,14.06,1
69,16.02,1
70,3.80,1
71,10.05,1
72,3.45,1
73,7.56,1
74,19.01,1
75,4.48,1
76,6.15,1
77,6.51,1
78,6.19,1
79,4.45,1
80,5.88,1
81,3.50,1
82,4.17,1
83,3.65,1
84,14.03,1
85,3.52,1
86,5.16,1
87,4.64,1
88,7.15,1
89,3.78,1
90,4.51,1
91,12.06,1
92,7.10,1
93,3.63,1
94,3.86,1
95,3.48,1
96,3.84,1
97,3.15,1
98,11.36,1
99,6.51,1
100,7.00,1
101,6.12,1
102,3.27,1
103,6.30,1
104,8.09,1
105,7.84,1
106,3.57,1
107,3.80,1
108,4.18,1
109,6.54,1
110,6.05,1
111,5.55,1
112,3.63,1
113,3.56,1
114,5.15,1
115,10.67,1
116,4.13,1
117,3.72,1
118,3.40,1
119,8.23,1
120,3.54,1
121,13.81,1
122,7.12,1
123,12.38,1
124,4.11,1
125,10.99,1
126,9.03,1
127,5.15,1
128,4.62,1
129,9.31,1
130,8.98,1
131,3.50,1
132,3.80,1
133,13.85,1
134,5.98,1
135,4.53,1
136,9.27,1
137,6.32,1
138,4.79,1
139,3.96,1
140,3.83,1
141,3.18,1
142,4.12,1
143,3.71,1
144,6.79,1
145,8.25,1
146,3.97,1
147,3.91,1
148,13.64,1
149,7.25,1
150,3.75,1
151,3.75,1
152,10.35,1
153,3.53,1
154,6.19,1
155,9.58,1
156,5.91,1
157,3.72,1
158,15.37,1
159,12.59,1
160,8.64,1
161,4.43,1
162,15.14,1
163,3.72,1
164,3.09,1
165,3.77,1
166,6.96,1
167,4.88,1
168,6.19,1
169,4.08,1
170,9.05,1
171,14.57,1
172,6.74,1
173,4.88,1
174,4.37,1
175,5.16,1
176,9.59,1
177,12.25,1
178,6.45,1
179,4.39,1
180,4.79,1
181,4.77,1
182,5.59,1
183,4.65,1
184,4.07,1
185,7.17,1
186,17.41,1
187,5.91,1
188,4.18,1
189,4.39,1
190,3.36,1
191,3.29,1
192,3.25,1
193,6.00,1
194,10.61,1
195,7.26,1
196,3.17,1
197,3.74,1
198,3.63,1
199,11.22,1
200,3.49,1
201,3.59,1
202,8.11,1
203,3.91,1
204,5.71,1
205,3.67,1
206,3.81,1
207,3.16,1
208,4.09,1
209,3.88,1
210,4.26,1
211,3.95,1
212,11.76,1
213,3.46,1
214,4.82,1
215,6.80,1
216,6.46,1
217,10.46,1
218,4.02,1
219,3.86,1
220,5.18,1
221,4.27,1
222,3.61,1
223,4.64,1
224,3.37,1
225,3.58,1
226,4.00,1
227,5.44,1
228,4.75,1
229,4.63,1
230,5.90,1
231,3.54,1
232,6.20,1
233,3.44,1
234,4.07,1
235,3.39,1
236,10.45,1
237,4.12,1
238,3.56,1
239,9.28,1
240,8.29,1
241,3.60,1
242,4.99,1
243,5.30,1
244,3.56,1
245,8.52,1
246,3.64,1
247,7.57,1
248,4.84,1
249,3.46,1
250,4.01,1
251,8.34,1
252,7.10,1
253,4.96,1
254,4.09,1
255,4.27,1
256,5.38,1
257,3.35,1
258,6.82,1
259,4.68,1
260,5.54,1
261,3.73,1
262,3.41,1
263,5.62,1
264,3.67,1
265,3.61,1
266,4.34,1
267,3.60,1
268,3.08,1
269,3.81,1
270,3.53,1
271,3.95,1
272,3.39,1
273,3.16,1
274,4.84,1
275,7.44,1
276,3.19,1
277,3.44,1
278,4.18,1
279,4.95,1
280,3.33,1
281,5.67,1
282,3.10,1
283,3.82,1
284,6.18,1
285,5.62,1
286,3.91,1
287,3.80,1
288,5.48,1
289,5.79,1
290,3.86,1
291,3.46,1
292,3.38,1
293,5.68,1
294,3.27,1
295,3.61,1
296,3.75,1
297,6.54,1
298,23.16,1
299,4.14,1
300,3.22,1
301,3.84,1
302,4.13,1
303,3.46,1
304,3.87,1
305,3.38,1
306,3.54,1
307,3.80,1
308,3.06,1
309,3.45,1
310,3.43,1
311,3.31,1
312,3.37,1
313,3.35,1
314,3.30,1
315,4.10,1
316,3.42,1
317,4.09,1
318,2.18,1
319,3.40,1
320,3.29,1
321,3.71,1
322,3.38,1
323,3.32,1
324,3.19,1
325,3.75,1
326,3.49,1
327,3.48,1
328,3.16,1
329,3.38,1
330,4.05,1
331,3.72,1
332,3.75,1
333,3.58,1
334,3.56,1
335,3.74,1
336,3.70,1
337,3.64,1
338,3.27,1
339,3.51,1
340,3.23,1
341,3.32,1
342,3.15,1
343,3.26,1
344,3.44,1
345,6.28,1
346,3.29,1
347,3.00,1
348,4.01,1
349,3.22,1
350,4.24,1
351,3.44,1
352,4.91,1
353,5.77,1
354,3.44,1
355,3.38,1
356,4.09,1
357,3.80,1
358,3.34,1
359,3.47,1
360,3.18,1
361,3.91,1
362,3.23,1
363,2.73,1
364,3.41,1
365,4.17,1
366,3.04,1
367,3.07,1
368,2.82,1
369,3.72,1
370,3.32,1
371,3.65,1
372,4.22,1
373,3.94,1
374,3.58,1
375,4.18,1
376,3.41,1
377,3.23,1
378,3.18,1
379,2.72,1
380,3.93,1
381,3.21,1
382,3.50,1
383,3.02,1
384,3.10,1
385,3.11,1
386,3.53,1
387,2.87,1
388,3.11,1
389,2.69,1
390,2.91,1
391,3.81,1
392,3.07,1
393,3.60,1
394,2.75,1
395,3.54,1
396,3.23,1
397,4.24,1
398,2.78,1
399,3.41,1
400,3.62,1
401,2.91,1
402,2.69,1
403,3.99,1
404,3.19,1
405,2.54,1
406,3.50,1
407,3.36,1
408,3.17,1
409,4.27,1
410,3.19,1
411,3.15,1
412,3.04,1
413,2.38,1
414,2.97,1
415,2.84,1
416,3.55,1
417,3.20,1
418,3.16,1
419,2.81,1
420,2.66,1
421,2.81,1
422,2.33,1
423,3.67,1
424,2.90,1
425,2.54,1
426,3.40,1
427,2.84,1
428,2.73,1
429,2.60,1
430,2.75,1
431,3.13,1
432,3.53,1
433,3.61,1
434,3.26,1
435,3.07,1
436,2.66,1
437,2.67,1
438,2.80,1
439,2.50,1
440,2.85,1
441,2.27,1
442,2.37,1
443,3.06,1
444,2.48,1
445,2.84,1
446,2.41,1
447,2.70,1
448,2.57,1
449,2.18,1
450,2.54,1
451,2.05,1
452,2.72,1
453,2.39,1
454,2.37,1
455,2.47,1
456,2.75,1
457,2.40,1
458,2.08,1
459,2.25,1
460,2.33,1
461,2.30,1
462,2.87,1
463,2.67,1
464,2.94,1
465,2.39,1
466,1.80,1
467,1.80,1
468,2.01,1
469,2.32,1
470,2.19,1
471,2.30,1
472,1.98,1
473,2.44,1
474,2.01,1
475,2.18,1
476,2.74,1
477,2.52,1
478,2.31,1
479,2.79,1
480,2.21,1
481,2.42,1
482,2.50,1
483,2.04,1
484,1.94,1
485,1.92,1
486,2.00,1
487,1.86,1
488,2.04,1
489,1.91,1
490,1.92,1
491,2.39,1
492,1.88,1
493,2.02,1
494,2.03,1
495,1.93,1
496,1.85,1
497,2.20,1
498,1.83,1
499,1.81,1
500,1.89,1
