execution,mode,handshake_duration_ms,success
1,QUIC Single,20.75,1
2,QUIC Single,20.15,1
3,QUIC Single,18.22,1
4,QUIC Single,22.9,1
5,QUIC Single,25.2,1
6,QUIC Single,18.52,1
7,QUIC Single,19.94,1
8,QUIC Single,25.31,1
9,QUIC Single,19.53,1
10,QUIC Single,22.87,1
11,QUIC Single,18.88,1
12,QUIC Single,25.18,1
13,QUIC Single,22.74,1
14,QUIC Single,24.64,1
15,QUIC Single,22.48,1
16,QUIC Single,23.3,1
17,QUIC Single,17.77,1
18,QUIC Single,18.9,1
19,QUIC Single,20.29,1
20,QUIC Single,22.26,1
21,QUIC Single,25.12,1
22,QUIC Single,17.38,1
23,QUIC Single,17.38,1
24,QUIC Single,17.97,1
25,QUIC Single,18.19,1
26,QUIC Single,17.68,1
27,QUIC Single,19.77,1
28,QUIC Single,22.43,1
29,QUIC Single,22.26,1
30,QUIC Single,23.11,1
31,QUIC Single,20.11,1
32,QUIC Single,17.84,1
33,QUIC Single,18.29,1
34,QUIC Single,24.93,1
35,QUIC Single,25.13,1
36,QUIC Single,17.74,1
37,QUIC Single,17.96,1
38,QUIC Single,23.08,1
39,QUIC Single,17.96,1
40,QUIC Single,24.86,1
41,QUIC Single,25.05,1
42,QUIC Single,25.45,1
43,QUIC Single,18.56,1
44,QUIC Single,25.49,1
45,QUIC Single,18.36,1
46,QUIC Single,18.6,1
47,QUIC Single,22.41,1
48,QUIC Single,22.3,1
49,QUIC Single,25.6,1
50,QUIC Single,18.18,1
51,QUIC Single,22.38,1
52,QUIC Single,23.35,1
53,QUIC Single,23.17,1
54,QUIC Single,25.13,1
55,QUIC Single,22.6,1
56,QUIC Single,25.42,1
57,QUIC Single,24.72,1
58,QUIC Single,22.66,1
59,QUIC Single,17.63,1
60,QUIC Single,17.63,1
61,QUIC Single,22.62,1
62,QUIC Single,17.59,1
63,QUIC Single,18.21,1
64,QUIC Single,18.23,1
65,QUIC Single,22.34,1
66,QUIC Single,22.62,1
67,QUIC Single,24.24,1
68,QUIC Single,18.37,1
69,QUIC Single,18.03,1
70,QUIC Single,18.27,1
71,QUIC Single,18.25,1
72,QUIC Single,17.83,1
73,QUIC Single,17.81,1
74,QUIC Single,18.44,1
75,QUIC Single,17.4,1
76,QUIC Single,22.07,1
77,QUIC Single,25.64,1
78,QUIC Single,23.0,1
79,QUIC Single,18.13,1
80,QUIC Single,17.73,1
81,QUIC Single,17.45,1
82,QUIC Single,17.34,1
83,QUIC Single,17.35,1
84,QUIC Single,17.8,1
85,QUIC Single,17.37,1
86,QUIC Single,18.45,1
87,QUIC Single,19.09,1
88,QUIC Single,17.83,1
89,QUIC Single,17.86,1
90,QUIC Single,18.32,1
91,QUIC Single,20.05,1
92,QUIC Single,17.66,1
93,QUIC Single,22.12,1
94,QUIC Single,24.78,1
95,QUIC Single,17.59,1
96,QUIC Single,17.7,1
97,QUIC Single,22.58,1
98,QUIC Single,22.55,1
99,QUIC Single,18.04,1
100,QUIC Single,22.58,1
101,QUIC Single,17.74,1
102,QUIC Single,17.9,1
103,QUIC Single,22.65,1
104,QUIC Single,22.76,1
105,QUIC Single,18.33,1
106,QUIC Single,17.87,1
107,QUIC Single,22.39,1
108,QUIC Single,22.34,1
109,QUIC Single,22.34,1
110,QUIC Single,22.32,1
111,QUIC Single,17.98,1
112,QUIC Single,18.56,1
113,QUIC Single,17.99,1
114,QUIC Single,18.25,1
115,QUIC Single,18.0,1
116,QUIC Single,23.22,1
117,QUIC Single,22.79,1
118,QUIC Single,20.39,1
119,QUIC Single,17.95,1
120,QUIC Single,25.0,1
121,QUIC Single,17.78,1
122,QUIC Single,17.92,1
123,QUIC Single,22.15,1
124,QUIC Single,22.37,1
125,QUIC Single,17.29,1
126,QUIC Single,24.9,1
127,QUIC Single,17.52,1
128,QUIC Single,18.88,1
129,QUIC Single,17.99,1
130,QUIC Single,17.95,1
131,QUIC Single,17.45,1
132,QUIC Single,17.51,1
133,QUIC Single,17.58,1
134,QUIC Single,17.76,1
135,QUIC Single,17.43,1
136,QUIC Single,24.66,1
137,QUIC Single,17.56,1
138,QUIC Single,17.52,1
139,QUIC Single,17.54,1
140,QUIC Single,22.47,1
141,QUIC Single,17.41,1
142,QUIC Single,23.12,1
143,QUIC Single,17.83,1
144,QUIC Single,23.75,1
145,QUIC Single,17.65,1
146,QUIC Single,25.41,1
147,QUIC Single,17.95,1
148,QUIC Single,19.95,1
149,QUIC Single,17.73,1
150,QUIC Single,18.15,1
151,QUIC Single,17.85,1
152,QUIC Single,25.26,1
153,QUIC Single,18.88,1
154,QUIC Single,25.79,1
155,QUIC Single,18.26,1
156,QUIC Single,18.0,1
157,QUIC Single,17.75,1
158,QUIC Single,22.86,1
159,QUIC Single,17.81,1
160,QUIC Single,17.28,1
161,QUIC Single,17.29,1
162,QUIC Single,17.27,1
163,QUIC Single,22.81,1
164,QUIC Single,21.93,1
165,QUIC Single,22.14,1
166,QUIC Single,22.4,1
167,QUIC Single,22.86,1
168,QUIC Single,17.68,1
169,QUIC Single,17.41,1
170,QUIC Single,17.4,1
171,QUIC Single,24.57,1
172,QUIC Single,17.54,1
173,QUIC Single,17.72,1
174,QUIC Single,22.18,1
175,QUIC Single,17.49,1
176,QUIC Single,17.57,1
177,QUIC Single,22.04,1
178,QUIC Single,18.19,1
179,QUIC Single,22.54,1
180,QUIC Single,21.99,1
181,QUIC Single,17.45,1
182,QUIC Single,17.78,1
183,QUIC Single,17.89,1
184,QUIC Single,18.16,1
185,QUIC Single,25.47,1
186,QUIC Single,17.78,1
187,QUIC Single,22.77,1
188,QUIC Single,17.69,1
189,QUIC Single,24.54,1
190,QUIC Single,19.2,1
191,QUIC Single,17.92,1
192,QUIC Single,17.61,1
193,QUIC Single,18.35,1
194,QUIC Single,17.65,1
195,QUIC Single,18.67,1
196,QUIC Single,17.34,1
197,QUIC Single,24.73,1
