execution,mode,handshake_duration_ms,success
1,QUIC Single,3.83,1
2,QUIC Single,2.93,1
3,QUIC Single,3.27,1
4,QUIC Single,3.28,1
5,QUIC Single,2.88,1
6,QUIC Single,2.77,1
7,QUIC Single,2.65,1
8,QUIC Single,3.56,1
9,QUIC Single,2.65,1
10,QUIC Single,3.47,1
11,QUIC Single,2.76,1
12,QUIC Single,2.77,1
13,QUIC Single,4.51,1
14,QUIC Single,2.98,1
15,QUIC Single,3.99,1
16,QUIC Single,2.85,1
17,QUIC Single,2.81,1
18,QUIC Single,3.05,1
19,QUIC Single,3.17,1
20,QUIC Single,2.73,1
21,QUIC Single,2.72,1
22,QUIC Single,2.71,1
23,QUIC Single,2.66,1
24,QUIC Single,3.15,1
25,QUIC Single,2.71,1
26,QUIC Single,2.7,1
27,QUIC Single,2.68,1
28,QUIC Single,2.82,1
29,QUIC Single,3.77,1
30,QUIC Single,3.3,1
31,QUIC Single,2.82,1
32,QUIC Single,2.79,1
33,QUIC Single,2.89,1
34,QUIC Single,3.44,1
35,QUIC Single,2.73,1
36,QUIC Single,3.46,1
37,QUIC Single,2.99,1
38,QUIC Single,3.52,1
39,QUIC Single,2.7,1
40,QUIC Single,2.73,1
41,QUIC Single,3.1,1
42,QUIC Single,2.92,1
43,QUIC Single,3.14,1
44,QUIC Single,2.71,1
45,QUIC Single,3.38,1
46,QUIC Single,2.69,1
47,QUIC Single,2.84,1
48,QUIC Single,2.96,1
49,QUIC Single,2.61,1
50,QUIC Single,3.79,1
51,QUIC Single,2.76,1
52,QUIC Single,3.57,1
53,QUIC Single,3.34,1
54,QUIC Single,2.93,1
55,QUIC Single,3.31,1
56,QUIC Single,4.68,1
57,QUIC Single,2.64,1
58,QUIC Single,3.34,1
59,QUIC Single,3.4,1
60,QUIC Single,3.16,1
61,QUIC Single,3.55,1
62,QUIC Single,2.69,1
63,QUIC Single,2.67,1
64,QUIC Single,2.71,1
65,QUIC Single,3.87,1
66,QUIC Single,3.09,1
67,QUIC Single,3.78,1
68,QUIC Single,3.56,1
69,QUIC Single,2.74,1
70,QUIC Single,2.67,1
71,QUIC Single,3.92,1
72,QUIC Single,3.17,1
73,QUIC Single,2.64,1
74,QUIC Single,2.71,1
75,QUIC Single,2.67,1
76,QUIC Single,2.72,1
77,QUIC Single,3.23,1
78,QUIC Single,3.09,1
79,QUIC Single,2.74,1
80,QUIC Single,2.71,1
81,QUIC Single,2.71,1
82,QUIC Single,3.28,1
83,QUIC Single,3.35,1
84,QUIC Single,2.69,1
85,QUIC Single,3.54,1
86,QUIC Single,2.67,1
87,QUIC Single,2.83,1
88,QUIC Single,3.23,1
89,QUIC Single,3.23,1
90,QUIC Single,3.32,1
91,QUIC Single,3.55,1
92,QUIC Single,2.86,1
93,QUIC Single,2.76,1
94,QUIC Single,2.69,1
95,QUIC Single,3.36,1
96,QUIC Single,2.89,1
97,QUIC Single,2.66,1
98,QUIC Single,2.89,1
99,QUIC Single,3.74,1
100,QUIC Single,2.67,1
101,QUIC Single,2.98,1
102,QUIC Single,2.68,1
103,QUIC Single,2.72,1
104,QUIC Single,2.65,1
105,QUIC Single,3.12,1
106,QUIC Single,2.69,1
107,QUIC Single,3.52,1
108,QUIC Single,2.8,1
109,QUIC Single,2.65,1
110,QUIC Single,2.95,1
111,QUIC Single,3.42,1
112,QUIC Single,3.26,1
113,QUIC Single,2.72,1
114,QUIC Single,2.84,1
115,QUIC Single,2.68,1
116,QUIC Single,2.88,1
117,QUIC Single,3.0,1
118,QUIC Single,2.74,1
119,QUIC Single,2.69,1
120,QUIC Single,2.83,1
121,QUIC Single,2.91,1
122,QUIC Single,2.97,1
123,QUIC Single,4.12,1
124,QUIC Single,2.76,1
125,QUIC Single,2.96,1
126,QUIC Single,2.87,1
127,QUIC Single,4.43,1
128,QUIC Single,2.61,1
129,QUIC Single,3.66,1
130,QUIC Single,2.67,1
131,QUIC Single,3.38,1
132,QUIC Single,2.75,1
133,QUIC Single,3.38,1
134,QUIC Single,2.64,1
135,QUIC Single,2.91,1
136,QUIC Single,3.03,1
137,QUIC Single,2.8,1
138,QUIC Single,2.94,1
139,QUIC Single,2.71,1
140,QUIC Single,2.7,1
141,QUIC Single,2.63,1
142,QUIC Single,2.63,1
143,QUIC Single,2.92,1
144,QUIC Single,2.6,1
145,QUIC Single,3.17,1
146,QUIC Single,3.1,1
147,QUIC Single,3.63,1
148,QUIC Single,2.69,1
149,QUIC Single,3.29,1
150,QUIC Single,2.9,1
151,QUIC Single,2.67,1
152,QUIC Single,3.54,1
153,QUIC Single,3.31,1
154,QUIC Single,3.34,1
155,QUIC Single,2.75,1
156,QUIC Single,3.21,1
157,QUIC Single,2.81,1
158,QUIC Single,3.51,1
159,QUIC Single,2.82,1
160,QUIC Single,2.59,1
161,QUIC Single,3.46,1
162,QUIC Single,3.13,1
163,QUIC Single,2.71,1
164,QUIC Single,2.73,1
165,QUIC Single,3.32,1
166,QUIC Single,2.98,1
167,QUIC Single,3.38,1
168,QUIC Single,3.07,1
169,QUIC Single,3.26,1
170,QUIC Single,4.15,1
171,QUIC Single,2.88,1
172,QUIC Single,3.28,1
173,QUIC Single,3.33,1
174,QUIC Single,2.67,1
175,QUIC Single,3.33,1
176,QUIC Single,2.69,1
177,QUIC Single,2.68,1
178,QUIC Single,2.67,1
179,QUIC Single,2.69,1
180,QUIC Single,2.91,1
181,QUIC Single,3.37,1
182,QUIC Single,3.42,1
183,QUIC Single,2.85,1
184,QUIC Single,2.7,1
185,QUIC Single,2.61,1
186,QUIC Single,3.07,1
187,QUIC Single,2.68,1
188,QUIC Single,3.01,1
189,QUIC Single,2.76,1
190,QUIC Single,2.71,1
191,QUIC Single,2.84,1
192,QUIC Single,2.73,1
193,QUIC Single,3.36,1
194,QUIC Single,2.66,1
195,QUIC Single,2.78,1
196,QUIC Single,2.97,1
197,QUIC Single,2.69,1
198,QUIC Single,3.15,1
199,QUIC Single,3.39,1
200,QUIC Single,2.71,1
201,QUIC Single,2.84,1
202,QUIC Single,2.83,1
203,QUIC Single,3.04,1
204,QUIC Single,2.68,1
205,QUIC Single,4.33,1
206,QUIC Single,2.99,1
207,QUIC Single,2.89,1
208,QUIC Single,2.89,1
209,QUIC Single,2.79,1
210,QUIC Single,3.2,1
211,QUIC Single,2.68,1
212,QUIC Single,3.11,1
213,QUIC Single,3.66,1
214,QUIC Single,3.01,1
215,QUIC Single,3.26,1
216,QUIC Single,2.78,1
217,QUIC Single,3.27,1
218,QUIC Single,2.74,1
219,QUIC Single,2.71,1
220,QUIC Single,2.69,1
221,QUIC Single,2.9,1
222,QUIC Single,2.97,1
223,QUIC Single,2.63,1
224,QUIC Single,2.95,1
225,QUIC Single,2.78,1
226,QUIC Single,4.19,1
227,QUIC Single,2.62,1
228,QUIC Single,2.82,1
229,QUIC Single,2.91,1
230,QUIC Single,2.72,1
231,QUIC Single,3.41,1
232,QUIC Single,2.75,1
233,QUIC Single,3.6,1
234,QUIC Single,2.65,1
235,QUIC Single,4.22,1
236,QUIC Single,3.52,1
237,QUIC Single,2.71,1
238,QUIC Single,2.58,1
