execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,QUIC Single,106.52,1,1,4
2,QUIC Single,108.97,1,1,4
3,QUIC Single,102.72,1,1,4
4,QUIC Single,102.02,1,1,4
5,QUIC Single,85.28,1,1,4
6,QUIC Single,89.48,1,1,4
7,QUIC Single,84.62,1,1,4
8,QUIC Single,87.11,1,1,4
9,QUIC Single,90.56,1,1,4
10,QUIC Single,102.37,1,1,4
11,QUIC Single,87.25,1,1,4
12,QUIC Single,103.57,1,1,4
13,QUIC Single,87.63,1,1,4
14,QUIC Single,107.17,1,1,4
15,QUIC Single,86.94,1,1,4
16,QUIC Single,94.9,1,1,4
17,QUIC Single,100.31,1,1,4
18,QUIC Single,85.31,1,1,4
19,QUIC Single,85.6,1,1,4
20,QUIC Single,87.62,1,1,4
21,QUIC Single,89.4,1,1,4
22,QUIC Single,85.6,1,1,4
23,QUIC Single,97.64,1,1,4
24,QUIC Single,107.89,1,1,4
25,QUIC Single,87.79,1,1,4
26,QUIC Single,109.03,1,1,4
27,QUIC Single,93.48,1,1,4
28,QUIC Single,85.01,1,1,4
29,QUIC Single,87.3,1,1,4
30,QUIC Single,87.87,1,1,4
31,QUIC Single,88.06,1,1,4
32,QUIC Single,88.88,1,1,4
33,QUIC Single,86.06,1,1,4
34,QUIC Single,85.76,1,1,4
35,QUIC Single,86.01,1,1,4
36,QUIC Single,83.44,1,1,4
37,QUIC Single,118.52,1,1,4
38,QUIC Single,85.09,1,1,4
39,QUIC Single,115.23,1,1,4
40,QUIC Single,86.55,1,1,4
41,QUIC Single,83.96,1,1,4
42,QUIC Single,86.94,1,1,4
43,QUIC Single,91.53,1,1,4
44,QUIC Single,97.54,1,1,4
45,QUIC Single,127.05,1,1,4
46,QUIC Single,86.86,1,1,4
47,QUIC Single,88.41,1,1,4
48,QUIC Single,107.85,1,1,4
49,QUIC Single,96.37,1,1,4
50,QUIC Single,87.66,1,1,4
51,QUIC Single,88.81,1,1,4
52,QUIC Single,124.18,1,1,4
53,QUIC Single,114.95,1,1,4
54,QUIC Single,85.89,1,1,4
55,QUIC Single,87.59,1,1,4
56,QUIC Single,85.65,1,1,4
57,QUIC Single,101.77,1,1,4
58,QUIC Single,101.94,1,1,4
59,QUIC Single,87.12,1,1,4
60,QUIC Single,89.52,1,1,4
61,QUIC Single,86.41,1,1,4
62,QUIC Single,92.97,1,1,4
63,QUIC Single,123.28,1,1,4
64,QUIC Single,85.4,1,1,4
65,QUIC Single,87.21,1,1,4
66,QUIC Single,85.22,1,1,4
67,QUIC Single,88.61,1,1,4
68,QUIC Single,104.3,1,1,4
69,QUIC Single,98.17,1,1,4
70,QUIC Single,103.57,1,1,4
71,QUIC Single,90.17,1,1,4
72,QUIC Single,96.69,1,1,4
73,QUIC Single,86.45,1,1,4
74,QUIC Single,84.93,1,1,4
75,QUIC Single,124.98,1,1,4
76,QUIC Single,109.74,1,1,4
77,QUIC Single,89.32,1,1,4
78,QUIC Single,93.02,1,1,4
79,QUIC Single,87.58,1,1,4
80,QUIC Single,85.14,1,1,4
81,QUIC Single,93.73,1,1,4
82,QUIC Single,90.42,1,1,4
83,QUIC Single,88.13,1,1,4
84,QUIC Single,92.22,1,1,4
85,QUIC Single,103.93,1,1,4
86,QUIC Single,102.21,1,1,4
87,QUIC Single,86.68,1,1,4
88,QUIC Single,112.51,1,1,4
89,QUIC Single,85.34,1,1,4
90,QUIC Single,88.12,1,1,4
91,QUIC Single,99.3,1,1,4
92,QUIC Single,97.71,1,1,4
93,QUIC Single,94.64,1,1,4
94,QUIC Single,88.62,1,1,4
95,QUIC Single,85.41,1,1,4
96,QUIC Single,88.73,1,1,4
97,QUIC Single,87.38,1,1,4
98,QUIC Single,86.56,1,1,4
99,QUIC Single,96.15,1,1,4
100,QUIC Single,94.24,1,1,4
101,QUIC Single,87.21,1,1,4
102,QUIC Single,85.11,1,1,4
103,QUIC Single,86.01,1,1,4
104,QUIC Single,85.56,1,1,4
105,QUIC Single,114.41,1,1,4
106,QUIC Single,97.53,1,1,4
107,QUIC Single,85.52,1,1,4
108,QUIC Single,86.62,1,1,4
109,QUIC Single,86.44,1,1,4
110,QUIC Single,87.55,1,1,4
111,QUIC Single,88.04,1,1,4
112,QUIC Single,88.62,1,1,4
113,QUIC Single,86.08,1,1,4
114,QUIC Single,85.04,1,1,4
115,QUIC Single,115.0,1,1,4
116,QUIC Single,86.19,1,1,4
117,QUIC Single,110.21,1,1,4
118,QUIC Single,87.61,1,1,4
119,QUIC Single,87.31,1,1,4
120,QUIC Single,94.33,1,1,4
121,QUIC Single,83.31,1,1,4
122,QUIC Single,87.53,1,1,4
123,QUIC Single,100.88,1,1,4
124,QUIC Single,85.43,1,1,4
125,QUIC Single,87.57,1,1,4
