execution,mode,handshake_duration_ms,success
1,QUIC Single,16.15,1
2,QUIC Single,15.2,1
3,QUIC Single,12.51,1
4,QUIC Single,14.94,1
5,QUIC Single,12.52,1
6,QUIC Single,18.95,1
7,QUIC Single,13.7,1
8,QUIC Single,12.51,1
9,QUIC Single,19.19,1
10,QUIC Single,12.67,1
11,QUIC Single,13.17,1
12,QUIC Single,12.67,1
13,QUIC Single,12.46,1
14,QUIC Single,18.79,1
15,QUIC Single,12.56,1
16,QUIC Single,12.95,1
17,QUIC Single,18.95,1
18,QUIC Single,15.09,1
19,QUIC Single,12.8,1
20,QUIC Single,12.35,1
21,QUIC Single,19.12,1
22,QUIC Single,12.05,1
23,QUIC Single,18.55,1
24,QUIC Single,12.88,1
25,QUIC Single,18.63,1
26,QUIC Single,12.01,1
27,QUIC Single,14.98,1
28,QUIC Single,14.84,1
29,QUIC Single,12.36,1
30,QUIC Single,13.17,1
31,QUIC Single,19.38,1
32,QUIC Single,14.83,1
33,QUIC Single,12.46,1
34,QUIC Single,12.21,1
35,QUIC Single,12.46,1
36,QUIC Single,13.07,1
37,QUIC Single,13.81,1
38,QUIC Single,12.85,1
39,QUIC Single,12.95,1
40,QUIC Single,13.15,1
41,QUIC Single,12.18,1
42,QUIC Single,12.21,1
43,QUIC Single,13.38,1
44,QUIC Single,19.4,1
45,QUIC Single,19.64,1
46,QUIC Single,13.2,1
47,QUIC Single,12.32,1
48,QUIC Single,14.35,1
49,QUIC Single,15.11,1
50,QUIC Single,12.3,1
51,QUIC Single,18.91,1
52,QUIC Single,14.7,1
53,QUIC Single,12.26,1
54,QUIC Single,13.02,1
55,QUIC Single,12.62,1
56,QUIC Single,12.28,1
57,QUIC Single,18.84,1
58,QUIC Single,11.88,1
59,QUIC Single,12.3,1
60,QUIC Single,12.72,1
61,QUIC Single,15.15,1
62,QUIC Single,13.09,1
63,QUIC Single,19.97,1
64,QUIC Single,12.8,1
65,QUIC Single,12.59,1
66,QUIC Single,12.1,1
67,QUIC Single,11.98,1
68,QUIC Single,20.85,1
69,QUIC Single,12.99,1
70,QUIC Single,19.21,1
71,QUIC Single,20.02,1
72,QUIC Single,12.44,1
73,QUIC Single,12.78,1
74,QUIC Single,13.57,1
75,QUIC Single,13.45,1
76,QUIC Single,12.1,1
77,QUIC Single,12.61,1
78,QUIC Single,12.46,1
79,QUIC Single,12.74,1
80,QUIC Single,13.27,1
81,QUIC Single,16.87,1
82,QUIC Single,14.05,1
83,QUIC Single,19.48,1
84,QUIC Single,12.2,1
85,QUIC Single,12.94,1
86,QUIC Single,18.97,1
87,QUIC Single,12.27,1
88,QUIC Single,15.16,1
89,QUIC Single,15.68,1
90,QUIC Single,12.51,1
91,QUIC Single,19.67,1
92,QUIC Single,14.79,1
93,QUIC Single,18.95,1
94,QUIC Single,12.77,1
95,QUIC Single,11.95,1
96,QUIC Single,14.86,1
97,QUIC Single,11.93,1
98,QUIC Single,12.21,1
99,QUIC Single,14.55,1
100,QUIC Single,13.21,1
101,QUIC Single,12.13,1
102,QUIC Single,14.48,1
103,QUIC Single,14.51,1
104,QUIC Single,14.65,1
105,QUIC Single,12.45,1
106,QUIC Single,14.95,1
107,QUIC Single,15.43,1
108,QUIC Single,12.19,1
109,QUIC Single,14.54,1
110,QUIC Single,12.07,1
111,QUIC Single,12.2,1
112,QUIC Single,13.46,1
113,QUIC Single,14.59,1
114,QUIC Single,11.99,1
115,QUIC Single,11.98,1
116,QUIC Single,11.93,1
117,QUIC Single,11.9,1
118,QUIC Single,12.82,1
119,QUIC Single,18.9,1
120,QUIC Single,12.93,1
121,QUIC Single,15.11,1
122,QUIC Single,14.25,1
123,QUIC Single,13.22,1
124,QUIC Single,12.95,1
125,QUIC Single,19.49,1
126,QUIC Single,11.91,1
127,QUIC Single,15.08,1
128,QUIC Single,12.67,1
129,QUIC Single,12.09,1
130,QUIC Single,11.89,1
131,QUIC Single,14.2,1
132,QUIC Single,12.47,1
133,QUIC Single,12.39,1
134,QUIC Single,13.23,1
135,QUIC Single,12.99,1
136,QUIC Single,12.15,1
137,QUIC Single,14.65,1
138,QUIC Single,14.51,1
139,QUIC Single,12.29,1
140,QUIC Single,15.14,1
141,QUIC Single,16.21,1
142,QUIC Single,13.09,1
143,QUIC Single,15.14,1
144,QUIC Single,12.04,1
145,QUIC Single,11.9,1
146,QUIC Single,11.94,1
147,QUIC Single,12.39,1
148,QUIC Single,12.52,1
149,QUIC Single,12.16,1
150,QUIC Single,14.51,1
151,QUIC Single,11.86,1
152,QUIC Single,11.96,1
153,QUIC Single,11.88,1
154,QUIC Single,12.44,1
155,QUIC Single,12.2,1
156,QUIC Single,14.11,1
157,QUIC Single,16.16,1
158,QUIC Single,14.34,1
159,QUIC Single,12.07,1
160,QUIC Single,12.77,1
161,QUIC Single,12.24,1
162,QUIC Single,12.09,1
163,QUIC Single,12.02,1
164,QUIC Single,18.77,1
165,QUIC Single,12.18,1
166,QUIC Single,18.95,1
167,QUIC Single,12.05,1
168,QUIC Single,12.87,1
169,QUIC Single,20.16,1
170,QUIC Single,12.74,1
171,QUIC Single,12.86,1
172,QUIC Single,12.48,1
173,QUIC Single,12.72,1
174,QUIC Single,19.42,1
175,QUIC Single,15.47,1
176,QUIC Single,12.73,1
177,QUIC Single,14.7,1
178,QUIC Single,15.53,1
179,QUIC Single,14.61,1
180,QUIC Single,14.34,1
181,QUIC Single,12.46,1
182,QUIC Single,18.87,1
183,QUIC Single,15.59,1
184,QUIC Single,14.59,1
185,QUIC Single,18.58,1
186,QUIC Single,13.11,1
187,QUIC Single,12.78,1
188,QUIC Single,12.48,1
189,QUIC Single,12.56,1
190,QUIC Single,12.61,1
191,QUIC Single,13.07,1
192,QUIC Single,13.06,1
193,QUIC Single,18.8,1
194,QUIC Single,12.23,1
195,QUIC Single,18.69,1
196,QUIC Single,18.34,1
197,QUIC Single,13.1,1
198,QUIC Single,12.41,1
199,QUIC Single,12.18,1
200,QUIC Single,13.76,1
201,QUIC Single,12.76,1
202,QUIC Single,13.26,1
203,QUIC Single,13.45,1
204,QUIC Single,12.48,1
205,QUIC Single,13.71,1
206,QUIC Single,13.0,1
207,QUIC Single,12.7,1
208,QUIC Single,12.37,1
209,QUIC Single,12.38,1
210,QUIC Single,12.48,1
211,QUIC Single,13.61,1
212,QUIC Single,14.08,1
213,QUIC Single,12.86,1
214,QUIC Single,12.34,1
215,QUIC Single,19.25,1
216,QUIC Single,12.0,1
217,QUIC Single,12.79,1
218,QUIC Single,12.28,1
219,QUIC Single,12.48,1
220,QUIC Single,15.03,1
221,QUIC Single,15.07,1
222,QUIC Single,13.09,1
223,QUIC Single,18.7,1
224,QUIC Single,11.79,1
225,QUIC Single,11.94,1
226,QUIC Single,12.27,1
227,QUIC Single,13.67,1
228,QUIC Single,12.77,1
229,QUIC Single,15.01,1
230,QUIC Single,12.28,1
231,QUIC Single,12.82,1
232,QUIC Single,12.87,1
233,QUIC Single,15.08,1
234,QUIC Single,12.98,1
235,QUIC Single,12.91,1
236,QUIC Single,12.45,1
237,QUIC Single,12.76,1
238,QUIC Single,18.75,1
239,QUIC Single,13.23,1
240,QUIC Single,18.46,1
241,QUIC Single,11.95,1
242,QUIC Single,12.61,1
243,QUIC Single,13.83,1
244,QUIC Single,12.23,1
245,QUIC Single,13.16,1
246,QUIC Single,12.33,1
247,QUIC Single,12.28,1
248,QUIC Single,12.35,1
249,QUIC Single,12.5,1
250,QUIC Single,12.26,1
251,QUIC Single,12.69,1
252,QUIC Single,19.4,1
253,QUIC Single,19.28,1
254,QUIC Single,11.96,1
255,QUIC Single,12.04,1
256,QUIC Single,14.77,1
257,QUIC Single,18.71,1
258,QUIC Single,12.67,1
259,QUIC Single,13.34,1
260,QUIC Single,19.16,1
261,QUIC Single,12.94,1
262,QUIC Single,12.31,1
263,QUIC Single,11.89,1
264,QUIC Single,15.25,1
265,QUIC Single,14.99,1
266,QUIC Single,12.38,1
267,QUIC Single,15.25,1
268,QUIC Single,12.59,1
269,QUIC Single,13.04,1
270,QUIC Single,15.13,1
271,QUIC Single,15.29,1
272,QUIC Single,14.72,1
273,QUIC Single,12.98,1
274,QUIC Single,12.59,1
275,QUIC Single,12.38,1
276,QUIC Single,12.96,1
277,QUIC Single,13.13,1
278,QUIC Single,13.96,1
279,QUIC Single,14.21,1
280,QUIC Single,12.64,1
281,QUIC Single,12.02,1
282,QUIC Single,12.83,1
283,QUIC Single,13.16,1
284,QUIC Single,12.62,1
285,QUIC Single,12.46,1
286,QUIC Single,12.6,1
287,QUIC Single,12.21,1
288,QUIC Single,12.18,1
289,QUIC Single,12.69,1
290,QUIC Single,12.27,1
291,QUIC Single,12.68,1
292,QUIC Single,12.21,1
293,QUIC Single,12.33,1
294,QUIC Single,12.18,1
295,QUIC Single,12.79,1
296,QUIC Single,11.88,1
297,QUIC Single,11.89,1
298,QUIC Single,12.49,1
299,QUIC Single,13.57,1
300,QUIC Single,12.1,1
301,QUIC Single,18.74,1
302,QUIC Single,15.92,1
303,QUIC Single,16.31,1
304,QUIC Single,12.9,1
305,QUIC Single,12.07,1
306,QUIC Single,12.34,1
307,QUIC Single,11.87,1
308,QUIC Single,12.45,1
309,QUIC Single,15.21,1
310,QUIC Single,12.61,1
311,QUIC Single,12.56,1
312,QUIC Single,14.66,1
313,QUIC Single,12.41,1
314,QUIC Single,12.61,1
315,QUIC Single,12.27,1
316,QUIC Single,13.61,1
317,QUIC Single,12.96,1
318,QUIC Single,13.14,1
319,QUIC Single,12.78,1
320,QUIC Single,14.5,1
321,QUIC Single,12.01,1
322,QUIC Single,16.55,1
323,QUIC Single,13.07,1
324,QUIC Single,13.42,1
325,QUIC Single,13.35,1
326,QUIC Single,12.19,1
327,QUIC Single,12.07,1
328,QUIC Single,14.52,1
329,QUIC Single,12.21,1
330,QUIC Single,12.83,1
331,QUIC Single,11.9,1
332,QUIC Single,11.85,1
333,QUIC Single,12.03,1
334,QUIC Single,12.85,1
335,QUIC Single,12.22,1
336,QUIC Single,12.37,1
337,QUIC Single,12.03,1
338,QUIC Single,12.35,1
339,QUIC Single,12.66,1
340,QUIC Single,11.92,1
341,QUIC Single,13.43,1
342,QUIC Single,12.49,1
343,QUIC Single,11.89,1
344,QUIC Single,11.91,1
345,QUIC Single,18.54,1
346,QUIC Single,12.36,1
347,QUIC Single,11.92,1
348,QUIC Single,12.6,1
349,QUIC Single,12.74,1
350,QUIC Single,12.56,1
351,QUIC Single,12.12,1
352,QUIC Single,12.24,1
353,QUIC Single,15.69,1
354,QUIC Single,12.53,1
355,QUIC Single,12.53,1
356,QUIC Single,12.2,1
357,QUIC Single,13.7,1
358,QUIC Single,20.35,1
359,QUIC Single,15.66,1
360,QUIC Single,12.43,1
361,QUIC Single,18.62,1
362,QUIC Single,11.86,1
363,QUIC Single,11.77,1
364,QUIC Single,12.28,1
365,QUIC Single,15.3,1
366,QUIC Single,12.41,1
367,QUIC Single,12.04,1
368,QUIC Single,12.17,1
369,QUIC Single,14.64,1
370,QUIC Single,15.43,1
371,QUIC Single,12.68,1
372,QUIC Single,13.0,1
373,QUIC Single,15.24,1
374,QUIC Single,12.53,1
375,QUIC Single,12.48,1
376,QUIC Single,12.17,1
377,QUIC Single,13.75,1
378,QUIC Single,13.23,1
379,QUIC Single,12.77,1
380,QUIC Single,12.55,1
381,QUIC Single,12.07,1
382,QUIC Single,12.23,1
383,QUIC Single,11.93,1
384,QUIC Single,13.22,1
385,QUIC Single,13.37,1
386,QUIC Single,13.12,1
387,QUIC Single,12.13,1
388,QUIC Single,18.95,1
389,QUIC Single,12.7,1
390,QUIC Single,12.8,1
391,QUIC Single,12.33,1
392,QUIC Single,15.58,1
393,QUIC Single,18.77,1
394,QUIC Single,13.5,1
395,QUIC Single,14.09,1
396,QUIC Single,12.74,1
397,QUIC Single,18.73,1
398,QUIC Single,12.29,1
399,QUIC Single,12.21,1
400,QUIC Single,12.23,1
401,QUIC Single,18.95,1
402,QUIC Single,13.36,1
403,QUIC Single,12.7,1
404,QUIC Single,18.82,1
405,QUIC Single,12.44,1
406,QUIC Single,12.4,1
407,QUIC Single,14.6,1
408,QUIC Single,12.64,1
409,QUIC Single,14.01,1
410,QUIC Single,12.46,1
411,QUIC Single,18.98,1
412,QUIC Single,12.19,1
413,QUIC Single,12.28,1
414,QUIC Single,13.43,1
415,QUIC Single,12.77,1
416,QUIC Single,12.19,1
417,QUIC Single,12.76,1
418,QUIC Single,12.15,1
419,QUIC Single,14.8,1
420,QUIC Single,13.42,1
421,QUIC Single,20.91,1
422,QUIC Single,14.74,1
423,QUIC Single,12.59,1
424,QUIC Single,14.59,1
425,QUIC Single,14.25,1
426,QUIC Single,18.99,1
427,QUIC Single,14.72,1
428,QUIC Single,16.39,1
429,QUIC Single,13.16,1
430,QUIC Single,14.26,1
431,QUIC Single,14.67,1
432,QUIC Single,14.34,1
433,QUIC Single,14.77,1
434,QUIC Single,17.93,1
435,QUIC Single,18.91,1
436,QUIC Single,14.27,1
437,QUIC Single,13.61,1
438,QUIC Single,13.24,1
439,QUIC Single,14.61,1
440,QUIC Single,14.1,1
441,QUIC Single,21.11,1
442,QUIC Single,15.62,1
443,QUIC Single,12.1,1
444,QUIC Single,18.92,1
445,QUIC Single,12.39,1
446,QUIC Single,22.52,1
447,QUIC Single,15.05,1
448,QUIC Single,13.68,1
449,QUIC Single,15.52,1
450,QUIC Single,15.02,1
451,QUIC Single,14.76,1
452,QUIC Single,16.03,1
453,QUIC Single,12.67,1
454,QUIC Single,14.71,1
455,QUIC Single,14.85,1
456,QUIC Single,14.24,1
457,QUIC Single,12.86,1
458,QUIC Single,15.32,1
459,QUIC Single,12.25,1
460,QUIC Single,12.94,1
461,QUIC Single,14.32,1
462,QUIC Single,12.08,1
463,QUIC Single,15.02,1
464,QUIC Single,13.22,1
465,QUIC Single,11.94,1
466,QUIC Single,12.04,1
467,QUIC Single,15.73,1
468,QUIC Single,12.54,1
469,QUIC Single,12.53,1
470,QUIC Single,15.48,1
471,QUIC Single,14.52,1
472,QUIC Single,13.37,1
473,QUIC Single,15.37,1
474,QUIC Single,16.91,1
475,QUIC Single,14.82,1
476,QUIC Single,13.27,1
477,QUIC Single,18.89,1
478,QUIC Single,12.18,1
479,QUIC Single,12.11,1
480,QUIC Single,12.92,1
