run_id,handshake_type,duration_ms,success
1,full,3.77,1
2,full,4.23,1
3,full,3.26,1
4,full,3.32,1
5,full,3.17,1
6,full,3.67,1
7,full,3.53,1
8,full,3.14,1
9,full,2.73,1
10,full,3.07,1
11,full,2.73,1
12,full,2.73,1
13,full,3.91,1
14,full,3.09,1
15,full,2.86,1
16,full,2.93,1
17,full,2.71,1
18,full,3.61,1
19,full,3.01,1
20,full,2.90,1
21,full,3.32,1
22,full,2.78,1
23,full,3.23,1
24,full,3.00,1
25,full,3.20,1
26,full,3.10,1
27,full,3.07,1
28,full,3.19,1
29,full,3.17,1
30,full,3.35,1
31,full,2.87,1
32,full,2.85,1
33,full,3.36,1
34,full,2.81,1
35,full,2.91,1
36,full,2.76,1
37,full,2.74,1
38,full,3.00,1
39,full,3.23,1
40,full,2.84,1
41,full,2.85,1
42,full,3.38,1
43,full,3.23,1
44,full,2.83,1
45,full,2.66,1
46,full,2.57,1
47,full,3.48,1
48,full,2.90,1
49,full,2.94,1
50,full,2.71,1
51,full,2.73,1
52,full,2.73,1
53,full,2.85,1
54,full,2.68,1
55,full,2.86,1
56,full,2.78,1
57,full,2.73,1
58,full,2.72,1
59,full,3.42,1
60,full,2.61,1
61,full,2.69,1
62,full,2.86,1
63,full,2.69,1
64,full,2.69,1
65,full,3.18,1
66,full,3.04,1
67,full,2.67,1
68,full,3.25,1
69,full,2.74,1
70,full,3.17,1
71,full,2.57,1
72,full,3.20,1
73,full,2.69,1
74,full,3.10,1
75,full,3.01,1
76,full,2.73,1
77,full,2.68,1
78,full,2.76,1
79,full,2.93,1
80,full,2.76,1
81,full,2.76,1
82,full,3.17,1
83,full,2.84,1
84,full,2.85,1
85,full,2.71,1
86,full,3.07,1
87,full,2.80,1
88,full,2.73,1
89,full,2.74,1
90,full,2.69,1
91,full,2.90,1
92,full,2.74,1
93,full,2.70,1
94,full,3.01,1
95,full,2.72,1
96,full,2.83,1
97,full,2.96,1
98,full,3.16,1
99,full,3.26,1
100,full,2.70,1
101,full,3.38,1
102,full,2.62,1
103,full,3.07,1
104,full,2.72,1
105,full,2.69,1
106,full,2.72,1
107,full,2.85,1
108,full,2.69,1
109,full,2.61,1
110,full,2.62,1
111,full,3.29,1
112,full,2.87,1
113,full,2.77,1
114,full,2.97,1
115,full,3.22,1
116,full,2.75,1
117,full,2.66,1
118,full,2.66,1
119,full,2.79,1
120,full,3.01,1
121,full,2.62,1
122,full,2.93,1
123,full,2.75,1
124,full,2.91,1
125,full,2.75,1
126,full,2.84,1
127,full,3.26,1
128,full,2.95,1
129,full,2.99,1
130,full,2.74,1
131,full,2.68,1
132,full,3.10,1
133,full,3.12,1
134,full,2.86,1
135,full,3.07,1
136,full,2.85,1
137,full,3.24,1
138,full,2.95,1
139,full,2.88,1
140,full,3.02,1
141,full,3.95,1
142,full,2.69,1
143,full,2.68,1
144,full,3.00,1
145,full,3.03,1
146,full,2.52,1
147,full,2.82,1
148,full,2.85,1
149,full,3.06,1
150,full,2.73,1
151,full,2.63,1
152,full,3.20,1
153,full,2.85,1
154,full,2.66,1
155,full,2.68,1
156,full,3.13,1
157,full,2.65,1
158,full,2.58,1
159,full,2.87,1
160,full,2.60,1
161,full,3.08,1
162,full,2.86,1
163,full,2.68,1
164,full,3.08,1
165,full,2.65,1
166,full,2.75,1
167,full,2.65,1
168,full,2.92,1
169,full,2.66,1
170,full,2.79,1
171,full,2.72,1
172,full,2.53,1
173,full,2.68,1
174,full,2.75,1
175,full,2.83,1
176,full,3.13,1
177,full,3.21,1
178,full,3.14,1
179,full,3.23,1
180,full,2.76,1
181,full,3.08,1
182,full,3.11,1
183,full,3.02,1
184,full,2.62,1
185,full,3.15,1
186,full,2.94,1
187,full,3.32,1
188,full,3.04,1
189,full,2.71,1
190,full,2.77,1
191,full,3.16,1
192,full,2.80,1
193,full,2.72,1
194,full,3.31,1
195,full,2.77,1
196,full,2.89,1
197,full,3.10,1
198,full,2.73,1
199,full,2.53,1
200,full,2.90,1
201,full,3.25,1
202,full,3.14,1
203,full,3.08,1
204,full,2.74,1
205,full,2.91,1
206,full,2.78,1
207,full,3.14,1
208,full,3.01,1
209,full,3.20,1
210,full,3.11,1
211,full,2.88,1
212,full,3.25,1
213,full,2.96,1
214,full,2.83,1
215,full,2.73,1
216,full,2.88,1
217,full,2.76,1
218,full,2.87,1
219,full,3.18,1
220,full,2.73,1
221,full,2.84,1
222,full,2.68,1
223,full,3.10,1
224,full,3.02,1
225,full,2.63,1
226,full,2.69,1
227,full,2.99,1
228,full,2.72,1
229,full,3.01,1
230,full,3.23,1
231,full,2.48,1
232,full,2.79,1
233,full,3.01,1
234,full,3.02,1
235,full,3.43,1
236,full,2.77,1
237,full,3.18,1
238,full,3.12,1
239,full,2.77,1
240,full,2.68,1
241,full,2.59,1
242,full,2.97,1
243,full,3.30,1
244,full,3.28,1
245,full,3.24,1
246,full,3.09,1
247,full,2.71,1
248,full,2.87,1
249,full,2.57,1
250,full,2.74,1
251,full,2.69,1
252,full,3.68,1
253,full,2.58,1
254,full,2.92,1
255,full,3.16,1
256,full,3.02,1
257,full,2.73,1
258,full,2.71,1
259,full,2.60,1
260,full,3.06,1
261,full,3.19,1
262,full,3.19,1
263,full,2.56,1
264,full,3.31,1
265,full,2.59,1
266,full,2.80,1
267,full,2.61,1
268,full,2.73,1
269,full,3.06,1
270,full,3.27,1
271,full,2.99,1
272,full,3.21,1
273,full,2.91,1
274,full,2.74,1
275,full,3.18,1
276,full,2.88,1
277,full,2.47,1
278,full,2.85,1
279,full,2.80,1
280,full,2.96,1
281,full,3.38,1
282,full,3.09,1
283,full,3.69,1
284,full,2.80,1
285,full,2.98,1
286,full,3.87,1
287,full,3.29,1
288,full,2.88,1
289,full,3.15,1
290,full,2.77,1
291,full,3.34,1
292,full,3.71,1
293,full,3.55,1
294,full,2.68,1
295,full,2.82,1
296,full,2.60,1
297,full,2.69,1
298,full,3.01,1
299,full,3.16,1
300,full,2.85,1
301,full,2.70,1
302,full,2.67,1
303,full,3.06,1
