security_level,sig_alg,kem,kem_class,mean_ms,baseline_classique_mean_ms,overhead_pct
L1,ed25519,P-256,classique,134.822,201.851,-33.2
L1,ed25519,hqc128,pq_pur,147.483,201.851,-26.9
L1,ed25519,mlkem512,pq_pur,132.654,201.851,-34.3
L1,ed25519,p256_hqc128,hybride,160.424,201.851,-20.5
L1,ed25519,p256_mlkem512,hybride,140.234,201.851,-30.5
L1,ed25519,x25519_hqc128,hybride,151.564,201.851,-24.9
L1,ed25519,x25519_mlkem512,hybride,138.88,201.851,-31.2
L1,ed25519,x25519,classique,136.561,201.851,-32.3
L1,mldsa44,P-256,classique,271.903,201.851,34.7
L1,mldsa44,hqc128,pq_pur,286.21,201.851,41.8
L1,mldsa44,mlkem512,pq_pur,271.848,201.851,34.7
L1,mldsa44,p256_hqc128,hybride,288.269,201.851,42.8
L1,mldsa44,p256_mlkem512,hybride,276.449,201.851,37.0
L1,mldsa44,x25519_hqc128,hybride,282.241,201.851,39.8
L1,mldsa44,x25519_mlkem512,hybride,275.615,201.851,36.5
L1,mldsa44,x25519,classique,264.116,201.851,30.8
L3,mldsa65,P-384,classique,271.513,208.95,29.9
L3,mldsa65,hqc192,pq_pur,318.97,208.95,52.7
L3,mldsa65,mlkem768,pq_pur,265.158,208.95,26.9
L3,mldsa65,p384_hqc192,hybride,328.891,208.95,57.4
L3,mldsa65,p384_mlkem768,hybride,277.281,208.95,32.7
L3,mldsa65,x448_hqc192,hybride,321.28,208.95,53.8
L3,mldsa65,x448_mlkem768,hybride,277.696,208.95,32.9
L3,mldsa65,x448,classique,289.029,208.95,38.3
L5,mldsa87,P-521,classique,271.419,203.919,33.1
L5,mldsa87,hqc256,pq_pur,709.59,203.919,248.0
L5,mldsa87,mlkem1024,pq_pur,267.959,203.919,31.4
L5,mldsa87,p521_hqc256,hybride,716.367,203.919,251.3
L5,mldsa87,p521_mlkem1024,hybride,277.839,203.919,36.2
L3,secp384r1,P-384,classique,136.483,208.95,-34.7
L3,secp384r1,hqc192,pq_pur,178.25,208.95,-14.7
L3,secp384r1,mlkem768,pq_pur,134.009,208.95,-35.9
L3,secp384r1,p384_hqc192,hybride,191.816,208.95,-8.2
L3,secp384r1,p384_mlkem768,hybride,143.46,208.95,-31.3
L3,secp384r1,x448_hqc192,hybride,184.009,208.95,-11.9
L3,secp384r1,x448_mlkem768,hybride,137.123,208.95,-34.4
L3,secp384r1,x448,classique,138.775,208.95,-33.6
L5,secp521r1,P-521,classique,136.419,203.919,-33.1
L5,secp521r1,hqc256,pq_pur,701.084,203.919,243.8
L5,secp521r1,mlkem1024,pq_pur,134.142,203.919,-34.2
L5,secp521r1,p521_hqc256,hybride,709.461,203.919,247.9
L5,secp521r1,p521_mlkem1024,hybride,147.006,203.919,-27.9
