execution,mode,handshake_duration_ms,success
1,QUIC Single,273.66,1
2,QUIC Single,143.98,1
3,QUIC Single,139.42,1
4,QUIC Single,143.68,1
5,QUIC Single,139.23,1
6,QUIC Single,138.99,1
7,QUIC Single,139.51,1
8,QUIC Single,141.62,1
9,QUIC Single,139.27,1
10,QUIC Single,139.29,1
11,QUIC Single,139.13,1
12,QUIC Single,139.08,1
13,QUIC Single,139.04,1
14,QUIC Single,139.25,1
15,QUIC Single,139.39,1
16,QUIC Single,139.15,1
17,QUIC Single,139.4,1
18,QUIC Single,139.28,1
19,QUIC Single,139.43,1
20,QUIC Single,139.19,1
21,QUIC Single,139.54,1
22,QUIC Single,139.98,1
23,QUIC Single,139.12,1
24,QUIC Single,139.71,1
25,QUIC Single,140.09,1
26,QUIC Single,139.15,1
27,QUIC Single,139.06,1
28,QUIC Single,139.16,1
29,QUIC Single,140.41,1
30,QUIC Single,139.04,1
31,QUIC Single,139.07,1
32,QUIC Single,139.11,1
33,QUIC Single,139.04,1
34,QUIC Single,139.21,1
35,QUIC Single,140.1,1
36,QUIC Single,139.12,1
37,QUIC Single,138.99,1
38,QUIC Single,139.11,1
39,QUIC Single,139.36,1
40,QUIC Single,139.0,1
41,QUIC Single,139.13,1
42,QUIC Single,139.1,1
43,QUIC Single,139.42,1
44,QUIC Single,139.13,1
45,QUIC Single,139.19,1
46,QUIC Single,139.8,1
47,QUIC Single,139.0,1
48,QUIC Single,139.13,1
49,QUIC Single,144.13,1
50,QUIC Single,139.19,1
51,QUIC Single,138.99,1
52,QUIC Single,139.21,1
53,QUIC Single,139.25,1
54,QUIC Single,139.29,1
55,QUIC Single,143.73,1
56,QUIC Single,139.88,1
57,QUIC Single,140.12,1
58,QUIC Single,138.97,1
59,QUIC Single,138.95,1
60,QUIC Single,139.38,1
61,QUIC Single,139.01,1
62,QUIC Single,139.81,1
63,QUIC Single,139.89,1
64,QUIC Single,143.91,1
65,QUIC Single,144.04,1
66,QUIC Single,143.81,1
67,QUIC Single,143.89,1
68,QUIC Single,139.62,1
69,QUIC Single,143.66,1
70,QUIC Single,139.01,1
71,QUIC Single,139.24,1
72,QUIC Single,139.19,1
73,QUIC Single,139.06,1
74,QUIC Single,139.1,1
75,QUIC Single,139.07,1
76,QUIC Single,139.25,1
77,QUIC Single,138.99,1
78,QUIC Single,139.07,1
79,QUIC Single,139.17,1
80,QUIC Single,139.41,1
81,QUIC Single,139.23,1
82,QUIC Single,139.25,1
83,QUIC Single,143.98,1
84,QUIC Single,139.03,1
85,QUIC Single,143.98,1
86,QUIC Single,143.81,1
87,QUIC Single,139.67,1
88,QUIC Single,139.59,1
89,QUIC Single,139.14,1
90,QUIC Single,139.43,1
91,QUIC Single,140.03,1
92,QUIC Single,139.11,1
93,QUIC Single,139.41,1
94,QUIC Single,143.9,1
95,QUIC Single,138.97,1
96,QUIC Single,139.0,1
97,QUIC Single,139.29,1
98,QUIC Single,139.26,1
99,QUIC Single,139.2,1
100,QUIC Single,139.02,1
101,QUIC Single,139.05,1
102,QUIC Single,139.06,1
103,QUIC Single,139.06,1
104,QUIC Single,139.27,1
105,QUIC Single,139.3,1
106,QUIC Single,143.99,1
107,QUIC Single,140.12,1
108,QUIC Single,139.11,1
109,QUIC Single,139.13,1
110,QUIC Single,139.21,1
111,QUIC Single,139.71,1
112,QUIC Single,139.99,1
113,QUIC Single,139.98,1
114,QUIC Single,139.1,1
115,QUIC Single,139.11,1
116,QUIC Single,139.15,1
117,QUIC Single,139.23,1
118,QUIC Single,139.09,1
119,QUIC Single,139.25,1
120,QUIC Single,139.18,1
121,QUIC Single,141.58,1
122,QUIC Single,139.09,1
123,QUIC Single,139.25,1
124,QUIC Single,139.7,1
125,QUIC Single,139.79,1
126,QUIC Single,139.3,1
127,QUIC Single,139.24,1
128,QUIC Single,139.26,1
129,QUIC Single,139.34,1
130,QUIC Single,140.01,1
131,QUIC Single,139.84,1
132,QUIC Single,139.71,1
133,QUIC Single,143.78,1
134,QUIC Single,139.56,1
135,QUIC Single,139.37,1
136,QUIC Single,139.24,1
137,QUIC Single,139.44,1
