execution,mode,handshake_duration_ms,success
1,QUIC Single,444.99,1
2,QUIC Single,313.17,1
3,QUIC Single,325.27,1
4,QUIC Single,324.51,1
5,QUIC Single,330.56,1
6,QUIC Single,328.82,1
7,QUIC Single,313.19,1
8,QUIC Single,313.19,1
9,QUIC Single,312.78,1
10,QUIC Single,312.88,1
11,QUIC Single,312.78,1
12,QUIC Single,313.02,1
13,QUIC Single,319.9,1
14,QUIC Single,312.7,1
15,QUIC Single,323.94,1
16,QUIC Single,336.6,1
17,QUIC Single,312.66,1
18,QUIC Single,312.49,1
19,QUIC Single,312.62,1
20,QUIC Single,323.45,1
21,QUIC Single,312.79,1
22,QUIC Single,332.08,1
23,QUIC Single,313.36,1
24,QUIC Single,312.82,1
25,QUIC Single,313.02,1
26,QUIC Single,312.55,1
27,QUIC Single,312.75,1
28,QUIC Single,312.55,1
29,QUIC Single,313.59,1
30,QUIC Single,312.74,1
31,QUIC Single,312.57,1
32,QUIC Single,312.82,1
33,QUIC Single,312.63,1
34,QUIC Single,312.68,1
35,QUIC Single,312.68,1
36,QUIC Single,312.88,1
37,QUIC Single,317.52,1
38,QUIC Single,332.12,1
39,QUIC Single,328.18,1
40,QUIC Single,328.12,1
41,QUIC Single,328.69,1
42,QUIC Single,332.44,1
43,QUIC Single,312.75,1
44,QUIC Single,313.82,1
45,QUIC Single,312.67,1
46,QUIC Single,312.86,1
47,QUIC Single,313.09,1
48,QUIC Single,312.89,1
49,QUIC Single,313.18,1
50,QUIC Single,323.33,1
51,QUIC Single,312.98,1
52,QUIC Single,338.68,1
53,QUIC Single,312.91,1
54,QUIC Single,312.49,1
55,QUIC Single,312.8,1
56,QUIC Single,312.71,1
57,QUIC Single,313.19,1
58,QUIC Single,312.62,1
59,QUIC Single,335.31,1
60,QUIC Single,312.92,1
61,QUIC Single,328.64,1
62,QUIC Single,312.84,1
63,QUIC Single,488.01,1
64,QUIC Single,312.9,1
65,QUIC Single,312.94,1
66,QUIC Single,312.94,1
67,QUIC Single,328.62,1
68,QUIC Single,312.98,1
69,QUIC Single,312.59,1
70,QUIC Single,313.11,1
71,QUIC Single,312.89,1
72,QUIC Single,312.97,1
73,QUIC Single,313.59,1
74,QUIC Single,313.4,1
75,QUIC Single,312.82,1
76,QUIC Single,312.79,1
77,QUIC Single,312.73,1
78,QUIC Single,312.55,1
79,QUIC Single,313.12,1
80,QUIC Single,313.01,1
81,QUIC Single,312.6,1
82,QUIC Single,312.96,1
83,QUIC Single,312.55,1
84,QUIC Single,312.85,1
85,QUIC Single,313.19,1
86,QUIC Single,312.63,1
87,QUIC Single,328.96,1
88,QUIC Single,312.66,1
89,QUIC Single,312.87,1
90,QUIC Single,313.51,1
91,QUIC Single,312.6,1
92,QUIC Single,312.67,1
93,QUIC Single,312.6,1
94,QUIC Single,312.76,1
95,QUIC Single,312.69,1
96,QUIC Single,312.97,1
97,QUIC Single,313.01,1
98,QUIC Single,313.35,1
99,QUIC Single,312.75,1
100,QUIC Single,313.02,1
101,QUIC Single,312.89,1
102,QUIC Single,341.95,1
103,QUIC Single,312.94,1
104,QUIC Single,312.89,1
105,QUIC Single,312.8,1
106,QUIC Single,313.63,1
107,QUIC Single,312.87,1
108,QUIC Single,328.33,1
109,QUIC Single,328.36,1
110,QUIC Single,331.98,1
111,QUIC Single,332.16,1
112,QUIC Single,329.06,1
113,QUIC Single,312.82,1
114,QUIC Single,312.45,1
115,QUIC Single,312.84,1
116,QUIC Single,313.27,1
117,QUIC Single,313.19,1
118,QUIC Single,312.6,1
119,QUIC Single,312.78,1
120,QUIC Single,312.91,1
121,QUIC Single,458.95,1
122,QUIC Single,312.67,1
123,QUIC Single,312.35,1
124,QUIC Single,312.89,1
125,QUIC Single,332.19,1
126,QUIC Single,444.06,1
127,QUIC Single,332.03,1
128,QUIC Single,314.71,1
129,QUIC Single,328.78,1
130,QUIC Single,312.59,1
131,QUIC Single,312.78,1
132,QUIC Single,312.6,1
133,QUIC Single,324.87,1
134,QUIC Single,324.59,1
135,QUIC Single,312.73,1
136,QUIC Single,312.86,1
137,QUIC Single,313.04,1
138,QUIC Single,312.75,1
139,QUIC Single,313.11,1
140,QUIC Single,312.72,1
141,QUIC Single,313.49,1
142,QUIC Single,313.94,1
143,QUIC Single,312.7,1
144,QUIC Single,312.75,1
145,QUIC Single,328.09,1
146,QUIC Single,313.0,1
147,QUIC Single,313.1,1
148,QUIC Single,312.95,1
149,QUIC Single,312.88,1
150,QUIC Single,313.01,1
151,QUIC Single,330.37,1
152,QUIC Single,323.57,1
153,QUIC Single,325.83,1
154,QUIC Single,312.77,1
155,QUIC Single,312.82,1
156,QUIC Single,312.72,1
157,QUIC Single,312.54,1
158,QUIC Single,312.88,1
159,QUIC Single,312.73,1
160,QUIC Single,313.16,1
161,QUIC Single,330.6,1
162,QUIC Single,312.65,1
163,QUIC Single,325.45,1
164,QUIC Single,312.62,1
165,QUIC Single,312.42,1
166,QUIC Single,312.89,1
167,QUIC Single,312.61,1
168,QUIC Single,313.2,1
169,QUIC Single,312.58,1
170,QUIC Single,312.79,1
171,QUIC Single,312.49,1
172,QUIC Single,313.04,1
173,QUIC Single,312.96,1
174,QUIC Single,312.51,1
175,QUIC Single,312.98,1
176,QUIC Single,312.58,1
177,QUIC Single,312.87,1
178,QUIC Single,312.78,1
179,QUIC Single,313.09,1
180,QUIC Single,325.4,1
181,QUIC Single,312.72,1
182,QUIC Single,312.86,1
183,QUIC Single,316.53,1
184,QUIC Single,329.01,1
185,QUIC Single,312.95,1
186,QUIC Single,313.14,1
187,QUIC Single,313.03,1
188,QUIC Single,312.69,1
189,QUIC Single,312.73,1
190,QUIC Single,313.07,1
191,QUIC Single,313.08,1
192,QUIC Single,313.02,1
193,QUIC Single,313.37,1
194,QUIC Single,312.84,1
195,QUIC Single,312.5,1
196,QUIC Single,312.84,1
197,QUIC Single,312.84,1
198,QUIC Single,313.34,1
199,QUIC Single,313.07,1
200,QUIC Single,312.81,1
201,QUIC Single,312.81,1
202,QUIC Single,328.49,1
203,QUIC Single,312.63,1
204,QUIC Single,312.94,1
205,QUIC Single,332.07,1
206,QUIC Single,313.06,1
207,QUIC Single,312.79,1
208,QUIC Single,312.56,1
209,QUIC Single,314.43,1
210,QUIC Single,312.85,1
211,QUIC Single,313.05,1
212,QUIC Single,312.65,1
213,QUIC Single,328.09,1
214,QUIC Single,312.7,1
215,QUIC Single,312.8,1
216,QUIC Single,313.17,1
217,QUIC Single,312.58,1
218,QUIC Single,313.43,1
219,QUIC Single,312.93,1
220,QUIC Single,313.18,1
221,QUIC Single,313.31,1
222,QUIC Single,313.02,1
223,QUIC Single,313.35,1
224,QUIC Single,312.42,1
225,QUIC Single,312.44,1
226,QUIC Single,312.53,1
227,QUIC Single,312.85,1
228,QUIC Single,460.62,1
229,QUIC Single,312.92,1
230,QUIC Single,315.33,1
231,QUIC Single,313.17,1
232,QUIC Single,328.62,1
233,QUIC Single,313.27,1
234,QUIC Single,312.77,1
235,QUIC Single,332.07,1
236,QUIC Single,312.73,1
237,QUIC Single,312.84,1
238,QUIC Single,312.76,1
239,QUIC Single,312.88,1
240,QUIC Single,312.93,1
241,QUIC Single,313.39,1
242,QUIC Single,325.3,1
243,QUIC Single,312.7,1
244,QUIC Single,312.74,1
245,QUIC Single,312.69,1
246,QUIC Single,312.75,1
247,QUIC Single,313.33,1
248,QUIC Single,312.79,1
249,QUIC Single,312.93,1
250,QUIC Single,313.65,1
251,QUIC Single,313.67,1
252,QUIC Single,313.62,1
253,QUIC Single,328.13,1
254,QUIC Single,313.13,1
255,QUIC Single,329.14,1
256,QUIC Single,312.48,1
257,QUIC Single,312.5,1
258,QUIC Single,313.12,1
259,QUIC Single,312.86,1
260,QUIC Single,327.99,1
261,QUIC Single,312.72,1
262,QUIC Single,312.59,1
263,QUIC Single,313.69,1
264,QUIC Single,313.36,1
265,QUIC Single,335.29,1
266,QUIC Single,312.98,1
267,QUIC Single,313.85,1
268,QUIC Single,313.02,1
269,QUIC Single,328.31,1
270,QUIC Single,331.88,1
271,QUIC Single,312.57,1
272,QUIC Single,312.51,1
273,QUIC Single,312.66,1
274,QUIC Single,330.27,1
275,QUIC Single,312.47,1
276,QUIC Single,312.74,1
277,QUIC Single,324.18,1
278,QUIC Single,312.8,1
279,QUIC Single,312.56,1
280,QUIC Single,312.9,1
281,QUIC Single,312.78,1
282,QUIC Single,313.43,1
283,QUIC Single,313.59,1
284,QUIC Single,312.82,1
285,QUIC Single,312.67,1
286,QUIC Single,312.75,1
287,QUIC Single,313.44,1
288,QUIC Single,313.34,1
289,QUIC Single,313.38,1
290,QUIC Single,313.18,1
291,QUIC Single,312.61,1
292,QUIC Single,312.39,1
293,QUIC Single,313.54,1
294,QUIC Single,313.48,1
295,QUIC Single,313.19,1
296,QUIC Single,312.91,1
297,QUIC Single,312.85,1
298,QUIC Single,312.88,1
299,QUIC Single,312.97,1
300,QUIC Single,313.01,1
301,QUIC Single,312.79,1
302,QUIC Single,312.51,1
303,QUIC Single,313.33,1
304,QUIC Single,313.16,1
305,QUIC Single,313.71,1
306,QUIC Single,312.59,1
307,QUIC Single,313.34,1
308,QUIC Single,313.05,1
309,QUIC Single,329.5,1
310,QUIC Single,312.51,1
311,QUIC Single,312.8,1
312,QUIC Single,323.41,1
313,QUIC Single,312.48,1
314,QUIC Single,313.23,1
315,QUIC Single,313.26,1
316,QUIC Single,313.31,1
317,QUIC Single,312.75,1
318,QUIC Single,312.8,1
319,QUIC Single,312.71,1
320,QUIC Single,313.11,1
321,QUIC Single,312.6,1
322,QUIC Single,313.37,1
323,QUIC Single,312.5,1
324,QUIC Single,312.71,1
325,QUIC Single,312.64,1
326,QUIC Single,312.9,1
327,QUIC Single,312.88,1
328,QUIC Single,312.6,1
329,QUIC Single,312.99,1
330,QUIC Single,328.6,1
331,QUIC Single,312.93,1
332,QUIC Single,325.68,1
333,QUIC Single,312.56,1
334,QUIC Single,312.84,1
335,QUIC Single,312.75,1
336,QUIC Single,312.9,1
337,QUIC Single,312.83,1
338,QUIC Single,312.81,1
339,QUIC Single,312.81,1
340,QUIC Single,313.03,1
341,QUIC Single,313.54,1
342,QUIC Single,312.84,1
343,QUIC Single,312.57,1
344,QUIC Single,312.82,1
345,QUIC Single,460.14,1
346,QUIC Single,312.5,1
347,QUIC Single,312.83,1
348,QUIC Single,312.7,1
349,QUIC Single,312.59,1
350,QUIC Single,458.96,1
351,QUIC Single,312.95,1
352,QUIC Single,332.02,1
353,QUIC Single,313.17,1
354,QUIC Single,313.04,1
355,QUIC Single,313.05,1
356,QUIC Single,313.57,1
357,QUIC Single,312.71,1
358,QUIC Single,316.73,1
359,QUIC Single,313.06,1
360,QUIC Single,312.88,1
361,QUIC Single,312.95,1
362,QUIC Single,312.77,1
363,QUIC Single,328.77,1
364,QUIC Single,312.71,1
365,QUIC Single,312.87,1
366,QUIC Single,312.84,1
367,QUIC Single,313.23,1
368,QUIC Single,312.85,1
369,QUIC Single,312.74,1
370,QUIC Single,312.69,1
371,QUIC Single,339.54,1
372,QUIC Single,313.34,1
