execution,mode,handshake_duration_ms,success
1,QUIC Single,310.45,1
2,QUIC Single,185.57,1
3,QUIC Single,179.07,1
4,QUIC Single,178.81,1
5,QUIC Single,178.23,1
6,QUIC Single,178.43,1
7,QUIC Single,194.84,1
8,QUIC Single,178.26,1
9,QUIC Single,178.44,1
10,QUIC Single,178.0,1
11,QUIC Single,178.0,1
12,QUIC Single,178.0,1
13,QUIC Single,178.51,1
14,QUIC Single,178.3,1
15,QUIC Single,178.25,1
16,QUIC Single,178.13,1
17,QUIC Single,178.59,1
18,QUIC Single,178.28,1
19,QUIC Single,178.19,1
20,QUIC Single,178.31,1
21,QUIC Single,178.12,1
22,QUIC Single,178.02,1
23,QUIC Single,178.23,1
24,QUIC Single,178.38,1
25,QUIC Single,189.27,1
26,QUIC Single,178.2,1
27,QUIC Single,188.32,1
28,QUIC Single,178.13,1
29,QUIC Single,178.51,1
30,QUIC Single,178.71,1
31,QUIC Single,178.75,1
32,QUIC Single,179.36,1
33,QUIC Single,178.36,1
34,QUIC Single,178.14,1
35,QUIC Single,178.28,1
36,QUIC Single,178.16,1
37,QUIC Single,178.1,1
38,QUIC Single,196.26,1
39,QUIC Single,190.71,1
40,QUIC Single,194.16,1
41,QUIC Single,190.41,1
42,QUIC Single,178.29,1
43,QUIC Single,178.13,1
44,QUIC Single,178.27,1
45,QUIC Single,178.45,1
46,QUIC Single,194.04,1
47,QUIC Single,195.12,1
48,QUIC Single,178.37,1
49,QUIC Single,194.17,1
50,QUIC Single,178.15,1
51,QUIC Single,199.51,1
52,QUIC Single,178.07,1
53,QUIC Single,194.59,1
54,QUIC Single,178.71,1
55,QUIC Single,178.36,1
56,QUIC Single,187.25,1
57,QUIC Single,178.54,1
58,QUIC Single,178.06,1
59,QUIC Single,178.54,1
60,QUIC Single,178.37,1
61,QUIC Single,178.45,1
62,QUIC Single,178.38,1
63,QUIC Single,195.7,1
64,QUIC Single,205.27,1
65,QUIC Single,178.46,1
66,QUIC Single,178.3,1
67,QUIC Single,178.08,1
68,QUIC Single,178.5,1
69,QUIC Single,178.47,1
70,QUIC Single,177.99,1
71,QUIC Single,178.38,1
72,QUIC Single,178.22,1
73,QUIC Single,178.2,1
74,QUIC Single,178.33,1
75,QUIC Single,178.14,1
76,QUIC Single,188.54,1
77,QUIC Single,178.57,1
78,QUIC Single,181.67,1
79,QUIC Single,178.1,1
80,QUIC Single,178.6,1
81,QUIC Single,193.51,1
82,QUIC Single,190.19,1
83,QUIC Single,193.84,1
84,QUIC Single,178.39,1
85,QUIC Single,178.22,1
86,QUIC Single,178.25,1
87,QUIC Single,179.43,1
88,QUIC Single,178.15,1
89,QUIC Single,178.27,1
90,QUIC Single,178.38,1
91,QUIC Single,193.97,1
92,QUIC Single,178.07,1
93,QUIC Single,178.0,1
94,QUIC Single,178.33,1
95,QUIC Single,178.09,1
96,QUIC Single,189.0,1
97,QUIC Single,178.0,1
98,QUIC Single,178.72,1
99,QUIC Single,178.78,1
100,QUIC Single,178.16,1
101,QUIC Single,178.07,1
102,QUIC Single,178.2,1
103,QUIC Single,178.87,1
104,QUIC Single,178.27,1
105,QUIC Single,178.34,1
106,QUIC Single,178.01,1
107,QUIC Single,178.22,1
108,QUIC Single,178.4,1
109,QUIC Single,178.16,1
110,QUIC Single,178.16,1
111,QUIC Single,178.5,1
112,QUIC Single,178.15,1
113,QUIC Single,178.82,1
114,QUIC Single,178.29,1
115,QUIC Single,178.23,1
116,QUIC Single,178.36,1
117,QUIC Single,178.72,1
118,QUIC Single,178.19,1
119,QUIC Single,178.14,1
120,QUIC Single,178.1,1
121,QUIC Single,177.97,1
122,QUIC Single,193.87,1
123,QUIC Single,178.87,1
124,QUIC Single,178.18,1
125,QUIC Single,194.36,1
126,QUIC Single,178.21,1
127,QUIC Single,178.22,1
128,QUIC Single,178.15,1
129,QUIC Single,178.14,1
130,QUIC Single,178.02,1
131,QUIC Single,178.1,1
132,QUIC Single,178.03,1
133,QUIC Single,178.04,1
134,QUIC Single,178.17,1
135,QUIC Single,178.06,1
136,QUIC Single,178.09,1
137,QUIC Single,178.11,1
138,QUIC Single,178.5,1
139,QUIC Single,178.22,1
140,QUIC Single,194.89,1
141,QUIC Single,178.3,1
142,QUIC Single,178.24,1
143,QUIC Single,188.45,1
144,QUIC Single,193.94,1
145,QUIC Single,178.26,1
146,QUIC Single,193.49,1
147,QUIC Single,178.35,1
148,QUIC Single,178.06,1
149,QUIC Single,178.13,1
150,QUIC Single,179.08,1
151,QUIC Single,178.67,1
152,QUIC Single,178.32,1
153,QUIC Single,178.21,1
154,QUIC Single,178.16,1
155,QUIC Single,178.05,1
156,QUIC Single,178.19,1
157,QUIC Single,178.29,1
158,QUIC Single,178.1,1
159,QUIC Single,178.83,1
160,QUIC Single,178.35,1
161,QUIC Single,178.16,1
162,QUIC Single,178.43,1
163,QUIC Single,178.09,1
164,QUIC Single,178.1,1
165,QUIC Single,178.15,1
166,QUIC Single,177.93,1
167,QUIC Single,178.1,1
168,QUIC Single,177.98,1
169,QUIC Single,178.28,1
170,QUIC Single,178.05,1
171,QUIC Single,178.42,1
172,QUIC Single,177.99,1
173,QUIC Single,178.93,1
174,QUIC Single,193.68,1
175,QUIC Single,178.26,1
176,QUIC Single,178.04,1
177,QUIC Single,178.56,1
178,QUIC Single,178.37,1
179,QUIC Single,178.12,1
180,QUIC Single,193.94,1
181,QUIC Single,179.76,1
182,QUIC Single,178.25,1
183,QUIC Single,178.22,1
184,QUIC Single,178.42,1
185,QUIC Single,188.37,1
186,QUIC Single,194.16,1
187,QUIC Single,178.52,1
188,QUIC Single,178.02,1
189,QUIC Single,177.94,1
190,QUIC Single,178.17,1
191,QUIC Single,178.08,1
192,QUIC Single,178.89,1
193,QUIC Single,178.35,1
194,QUIC Single,178.14,1
195,QUIC Single,178.01,1
