execution,mode,handshake_duration_ms,success
1,QUIC Single,828.71,1
2,QUIC Single,696.61,1
3,QUIC Single,698.87,1
4,QUIC Single,711.67,1
5,QUIC Single,697.1,1
6,QUIC Single,696.1,1
7,QUIC Single,698.35,1
8,QUIC Single,698.0,1
9,QUIC Single,696.02,1
10,QUIC Single,696.01,1
11,QUIC Single,697.28,1
12,QUIC Single,697.17,1
13,QUIC Single,696.55,1
14,QUIC Single,696.21,1
15,QUIC Single,697.02,1
16,QUIC Single,697.14,1
17,QUIC Single,695.65,1
18,QUIC Single,697.66,1
19,QUIC Single,726.63,1
20,QUIC Single,698.04,1
21,QUIC Single,698.38,1
22,QUIC Single,708.91,1
23,QUIC Single,697.16,1
24,QUIC Single,695.45,1
25,QUIC Single,696.55,1
26,QUIC Single,695.88,1
27,QUIC Single,698.0,1
28,QUIC Single,697.81,1
29,QUIC Single,697.95,1
30,QUIC Single,695.89,1
31,QUIC Single,697.66,1
32,QUIC Single,696.7,1
33,QUIC Single,696.75,1
34,QUIC Single,695.75,1
35,QUIC Single,695.38,1
36,QUIC Single,697.23,1
37,QUIC Single,695.48,1
38,QUIC Single,696.17,1
39,QUIC Single,696.82,1
40,QUIC Single,696.87,1
41,QUIC Single,698.26,1
42,QUIC Single,695.97,1
43,QUIC Single,696.95,1
44,QUIC Single,697.03,1
45,QUIC Single,697.33,1
46,QUIC Single,698.12,1
47,QUIC Single,697.83,1
48,QUIC Single,710.35,1
49,QUIC Single,698.3,1
50,QUIC Single,695.96,1
51,QUIC Single,695.93,1
52,QUIC Single,695.74,1
53,QUIC Single,714.74,1
54,QUIC Single,696.64,1
55,QUIC Single,695.52,1
56,QUIC Single,696.84,1
57,QUIC Single,700.65,1
58,QUIC Single,728.91,1
59,QUIC Single,696.78,1
60,QUIC Single,697.05,1
61,QUIC Single,697.99,1
62,QUIC Single,697.44,1
63,QUIC Single,696.7,1
64,QUIC Single,697.85,1
65,QUIC Single,698.02,1
66,QUIC Single,698.07,1
67,QUIC Single,697.62,1
68,QUIC Single,695.72,1
69,QUIC Single,697.07,1
70,QUIC Single,695.89,1
71,QUIC Single,696.5,1
72,QUIC Single,719.21,1
73,QUIC Single,696.61,1
74,QUIC Single,696.66,1
75,QUIC Single,696.96,1
76,QUIC Single,696.75,1
77,QUIC Single,707.54,1
78,QUIC Single,696.33,1
79,QUIC Single,695.44,1
80,QUIC Single,697.16,1
81,QUIC Single,697.31,1
82,QUIC Single,695.78,1
83,QUIC Single,696.77,1
84,QUIC Single,697.0,1
85,QUIC Single,695.67,1
86,QUIC Single,696.03,1
87,QUIC Single,695.26,1
88,QUIC Single,696.71,1
89,QUIC Single,696.24,1
90,QUIC Single,699.17,1
91,QUIC Single,695.5,1
92,QUIC Single,696.53,1
93,QUIC Single,696.85,1
94,QUIC Single,695.81,1
95,QUIC Single,696.56,1
96,QUIC Single,698.02,1
97,QUIC Single,698.06,1
98,QUIC Single,925.56,1
99,QUIC Single,697.63,1
100,QUIC Single,695.83,1
101,QUIC Single,697.98,1
102,QUIC Single,697.02,1
103,QUIC Single,701.43,1
104,QUIC Single,696.36,1
105,QUIC Single,695.61,1
106,QUIC Single,698.01,1
107,QUIC Single,697.14,1
108,QUIC Single,696.72,1
109,QUIC Single,696.5,1
110,QUIC Single,698.42,1
111,QUIC Single,696.88,1
112,QUIC Single,695.97,1
113,QUIC Single,696.91,1
114,QUIC Single,696.85,1
115,QUIC Single,696.92,1
116,QUIC Single,706.39,1
117,QUIC Single,696.73,1
118,QUIC Single,696.64,1
119,QUIC Single,714.12,1
120,QUIC Single,707.4,1
121,QUIC Single,696.71,1
122,QUIC Single,698.07,1
123,QUIC Single,696.52,1
124,QUIC Single,697.69,1
125,QUIC Single,697.75,1
126,QUIC Single,696.79,1
127,QUIC Single,696.67,1
128,QUIC Single,695.95,1
129,QUIC Single,696.56,1
130,QUIC Single,697.13,1
131,QUIC Single,696.68,1
132,QUIC Single,695.61,1
133,QUIC Single,696.83,1
134,QUIC Single,696.72,1
135,QUIC Single,697.95,1
136,QUIC Single,697.7,1
137,QUIC Single,695.96,1
138,QUIC Single,696.37,1
139,QUIC Single,697.1,1
140,QUIC Single,698.05,1
141,QUIC Single,695.72,1
142,QUIC Single,704.84,1
143,QUIC Single,695.97,1
144,QUIC Single,696.86,1
145,QUIC Single,697.45,1
146,QUIC Single,698.25,1
147,QUIC Single,698.08,1
148,QUIC Single,698.66,1
149,QUIC Single,696.92,1
150,QUIC Single,696.23,1
151,QUIC Single,697.17,1
152,QUIC Single,697.72,1
153,QUIC Single,695.76,1
154,QUIC Single,697.08,1
155,QUIC Single,712.79,1
156,QUIC Single,696.76,1
157,QUIC Single,709.6,1
158,QUIC Single,696.8,1
159,QUIC Single,697.83,1
160,QUIC Single,697.63,1
161,QUIC Single,697.94,1
162,QUIC Single,699.71,1
163,QUIC Single,696.04,1
164,QUIC Single,695.82,1
165,QUIC Single,731.44,1
166,QUIC Single,696.69,1
167,QUIC Single,696.92,1
168,QUIC Single,697.94,1
169,QUIC Single,697.09,1
170,QUIC Single,695.96,1
171,QUIC Single,696.71,1
172,QUIC Single,696.94,1
173,QUIC Single,698.18,1
174,QUIC Single,698.3,1
175,QUIC Single,706.5,1
176,QUIC Single,696.59,1
177,QUIC Single,697.9,1
178,QUIC Single,696.6,1
179,QUIC Single,695.65,1
180,QUIC Single,697.84,1
181,QUIC Single,695.82,1
182,QUIC Single,697.28,1
183,QUIC Single,695.87,1
184,QUIC Single,695.43,1
185,QUIC Single,696.7,1
186,QUIC Single,696.54,1
187,QUIC Single,697.84,1
188,QUIC Single,696.84,1
189,QUIC Single,696.11,1
190,QUIC Single,698.2,1
191,QUIC Single,695.38,1
192,QUIC Single,716.16,1
193,QUIC Single,704.72,1
194,QUIC Single,696.92,1
195,QUIC Single,696.71,1
196,QUIC Single,695.54,1
197,QUIC Single,695.59,1
198,QUIC Single,701.08,1
199,QUIC Single,695.64,1
200,QUIC Single,717.07,1
201,QUIC Single,696.87,1
202,QUIC Single,696.9,1
203,QUIC Single,696.8,1
204,QUIC Single,697.03,1
205,QUIC Single,695.85,1
206,QUIC Single,695.92,1
207,QUIC Single,696.85,1
208,QUIC Single,697.68,1
209,QUIC Single,696.66,1
210,QUIC Single,696.7,1
211,QUIC Single,697.16,1
212,QUIC Single,715.03,1
213,QUIC Single,695.82,1
214,QUIC Single,696.56,1
215,QUIC Single,702.05,1
216,QUIC Single,695.74,1
217,QUIC Single,695.39,1
218,QUIC Single,714.39,1
219,QUIC Single,709.63,1
220,QUIC Single,698.12,1
221,QUIC Single,697.78,1
222,QUIC Single,695.92,1
223,QUIC Single,695.61,1
224,QUIC Single,703.36,1
225,QUIC Single,698.03,1
226,QUIC Single,696.74,1
227,QUIC Single,696.96,1
228,QUIC Single,696.61,1
229,QUIC Single,695.74,1
230,QUIC Single,697.06,1
231,QUIC Single,696.08,1
232,QUIC Single,696.95,1
233,QUIC Single,697.61,1
234,QUIC Single,696.13,1
235,QUIC Single,717.63,1
236,QUIC Single,715.86,1
237,QUIC Single,695.52,1
238,QUIC Single,695.82,1
239,QUIC Single,696.76,1
240,QUIC Single,696.56,1
241,QUIC Single,695.63,1
242,QUIC Single,696.71,1
243,QUIC Single,696.8,1
244,QUIC Single,696.85,1
245,QUIC Single,696.77,1
246,QUIC Single,697.11,1
247,QUIC Single,715.42,1
248,QUIC Single,696.77,1
249,QUIC Single,695.49,1
250,QUIC Single,695.68,1
251,QUIC Single,696.89,1
252,QUIC Single,697.77,1
253,QUIC Single,722.42,1
254,QUIC Single,697.78,1
255,QUIC Single,696.9,1
256,QUIC Single,695.77,1
257,QUIC Single,697.01,1
258,QUIC Single,714.86,1
259,QUIC Single,696.55,1
260,QUIC Single,696.54,1
261,QUIC Single,696.65,1
262,QUIC Single,695.55,1
263,QUIC Single,696.79,1
264,QUIC Single,695.89,1
265,QUIC Single,697.09,1
266,QUIC Single,696.7,1
267,QUIC Single,696.68,1
268,QUIC Single,695.61,1
269,QUIC Single,697.02,1
270,QUIC Single,696.66,1
271,QUIC Single,696.79,1
272,QUIC Single,696.87,1
273,QUIC Single,697.66,1
274,QUIC Single,700.71,1
275,QUIC Single,695.72,1
276,QUIC Single,698.0,1
277,QUIC Single,698.28,1
278,QUIC Single,697.01,1
279,QUIC Single,696.76,1
280,QUIC Single,695.66,1
281,QUIC Single,696.01,1
282,QUIC Single,695.81,1
283,QUIC Single,699.12,1
284,QUIC Single,696.97,1
285,QUIC Single,695.79,1
286,QUIC Single,695.57,1
287,QUIC Single,697.06,1
288,QUIC Single,695.35,1
289,QUIC Single,696.76,1
290,QUIC Single,696.66,1
291,QUIC Single,695.61,1
292,QUIC Single,696.76,1
293,QUIC Single,703.03,1
294,QUIC Single,696.22,1
295,QUIC Single,697.59,1
296,QUIC Single,695.85,1
297,QUIC Single,727.39,1
298,QUIC Single,695.85,1
299,QUIC Single,696.87,1
300,QUIC Single,696.57,1
301,QUIC Single,697.99,1
302,QUIC Single,696.41,1
303,QUIC Single,696.98,1
304,QUIC Single,696.0,1
305,QUIC Single,697.68,1
306,QUIC Single,696.4,1
307,QUIC Single,696.76,1
308,QUIC Single,696.55,1
309,QUIC Single,696.62,1
310,QUIC Single,696.79,1
311,QUIC Single,714.16,1
312,QUIC Single,707.37,1
313,QUIC Single,696.24,1
314,QUIC Single,696.84,1
315,QUIC Single,696.59,1
316,QUIC Single,696.19,1
317,QUIC Single,697.27,1
318,QUIC Single,696.72,1
319,QUIC Single,698.09,1
320,QUIC Single,696.72,1
321,QUIC Single,695.74,1
322,QUIC Single,714.33,1
323,QUIC Single,697.25,1
324,QUIC Single,696.78,1
325,QUIC Single,718.66,1
326,QUIC Single,696.81,1
327,QUIC Single,697.1,1
328,QUIC Single,697.15,1
329,QUIC Single,697.55,1
330,QUIC Single,696.91,1
331,QUIC Single,696.98,1
332,QUIC Single,697.12,1
333,QUIC Single,697.12,1
334,QUIC Single,696.99,1
335,QUIC Single,696.93,1
336,QUIC Single,698.18,1
