execution,mode,handshake_duration_ms,success
1,QUIC Single,264.65,1
2,QUIC Single,134.44,1
3,QUIC Single,133.81,1
4,QUIC Single,133.8,1
5,QUIC Single,133.85,1
6,QUIC Single,133.95,1
7,QUIC Single,133.68,1
8,QUIC Single,135.06,1
9,QUIC Single,133.8,1
10,QUIC Single,133.88,1
11,QUIC Single,133.95,1
12,QUIC Single,133.69,1
13,QUIC Single,133.84,1
14,QUIC Single,133.81,1
15,QUIC Single,135.05,1
16,QUIC Single,133.76,1
17,QUIC Single,133.68,1
18,QUIC Single,133.62,1
19,QUIC Single,134.18,1
20,QUIC Single,133.81,1
21,QUIC Single,134.95,1
22,QUIC Single,134.07,1
23,QUIC Single,133.93,1
24,QUIC Single,133.73,1
25,QUIC Single,133.81,1
26,QUIC Single,133.73,1
27,QUIC Single,133.62,1
28,QUIC Single,133.74,1
29,QUIC Single,133.78,1
30,QUIC Single,133.8,1
31,QUIC Single,133.81,1
32,QUIC Single,133.72,1
33,QUIC Single,133.65,1
34,QUIC Single,133.67,1
35,QUIC Single,133.83,1
36,QUIC Single,135.15,1
37,QUIC Single,133.84,1
38,QUIC Single,135.07,1
39,QUIC Single,135.05,1
40,QUIC Single,134.94,1
41,QUIC Single,133.72,1
42,QUIC Single,133.74,1
43,QUIC Single,133.85,1
44,QUIC Single,133.83,1
45,QUIC Single,133.84,1
46,QUIC Single,133.78,1
47,QUIC Single,133.78,1
48,QUIC Single,133.73,1
49,QUIC Single,133.86,1
50,QUIC Single,133.87,1
51,QUIC Single,133.76,1
52,QUIC Single,133.78,1
53,QUIC Single,133.66,1
54,QUIC Single,133.86,1
55,QUIC Single,133.72,1
56,QUIC Single,133.88,1
57,QUIC Single,133.88,1
58,QUIC Single,134.25,1
59,QUIC Single,133.86,1
60,QUIC Single,133.65,1
61,QUIC Single,133.7,1
62,QUIC Single,133.58,1
63,QUIC Single,133.71,1
64,QUIC Single,133.78,1
65,QUIC Single,133.74,1
66,QUIC Single,135.09,1
67,QUIC Single,133.9,1
68,QUIC Single,133.63,1
69,QUIC Single,133.66,1
70,QUIC Single,133.82,1
71,QUIC Single,133.89,1
72,QUIC Single,133.75,1
73,QUIC Single,135.12,1
74,QUIC Single,133.57,1
75,QUIC Single,134.06,1
76,QUIC Single,133.67,1
77,QUIC Single,134.2,1
78,QUIC Single,133.83,1
79,QUIC Single,133.65,1
80,QUIC Single,133.59,1
81,QUIC Single,133.79,1
82,QUIC Single,134.24,1
83,QUIC Single,133.86,1
84,QUIC Single,133.89,1
85,QUIC Single,135.09,1
86,QUIC Single,134.16,1
87,QUIC Single,134.09,1
88,QUIC Single,133.74,1
89,QUIC Single,134.96,1
90,QUIC Single,133.73,1
91,QUIC Single,133.82,1
92,QUIC Single,133.83,1
93,QUIC Single,133.9,1
94,QUIC Single,133.92,1
95,QUIC Single,133.78,1
96,QUIC Single,133.66,1
97,QUIC Single,135.02,1
98,QUIC Single,133.78,1
99,QUIC Single,133.67,1
100,QUIC Single,133.72,1
101,QUIC Single,133.6,1
102,QUIC Single,133.7,1
103,QUIC Single,133.84,1
104,QUIC Single,133.73,1
105,QUIC Single,133.79,1
106,QUIC Single,133.72,1
107,QUIC Single,133.77,1
108,QUIC Single,133.73,1
109,QUIC Single,133.78,1
110,QUIC Single,134.33,1
111,QUIC Single,133.69,1
112,QUIC Single,134.18,1
113,QUIC Single,133.61,1
114,QUIC Single,133.73,1
115,QUIC Single,134.0,1
116,QUIC Single,133.73,1
117,QUIC Single,135.12,1
118,QUIC Single,135.0,1
119,QUIC Single,133.74,1
120,QUIC Single,133.78,1
121,QUIC Single,133.86,1
122,QUIC Single,133.8,1
123,QUIC Single,133.66,1
124,QUIC Single,133.66,1
125,QUIC Single,133.69,1
126,QUIC Single,133.75,1
127,QUIC Single,133.78,1
128,QUIC Single,133.82,1
129,QUIC Single,133.7,1
130,QUIC Single,134.97,1
131,QUIC Single,133.57,1
132,QUIC Single,133.81,1
133,QUIC Single,134.29,1
134,QUIC Single,133.95,1
135,QUIC Single,133.74,1
136,QUIC Single,133.88,1
137,QUIC Single,133.6,1
138,QUIC Single,134.93,1
139,QUIC Single,134.99,1
140,QUIC Single,133.76,1
141,QUIC Single,133.76,1
142,QUIC Single,134.35,1
143,QUIC Single,133.89,1
144,QUIC Single,133.73,1
145,QUIC Single,133.71,1
146,QUIC Single,133.69,1
147,QUIC Single,133.97,1
148,QUIC Single,133.77,1
149,QUIC Single,133.69,1
150,QUIC Single,133.67,1
151,QUIC Single,133.8,1
152,QUIC Single,133.73,1
153,QUIC Single,133.7,1
154,QUIC Single,133.75,1
155,QUIC Single,135.04,1
156,QUIC Single,133.78,1
157,QUIC Single,133.67,1
158,QUIC Single,133.77,1
159,QUIC Single,133.64,1
160,QUIC Single,133.65,1
161,QUIC Single,133.68,1
162,QUIC Single,133.76,1
163,QUIC Single,133.76,1
164,QUIC Single,133.74,1
165,QUIC Single,133.77,1
166,QUIC Single,133.65,1
167,QUIC Single,133.76,1
168,QUIC Single,133.84,1
169,QUIC Single,133.88,1
170,QUIC Single,133.91,1
171,QUIC Single,135.06,1
172,QUIC Single,133.8,1
173,QUIC Single,134.89,1
174,QUIC Single,133.7,1
175,QUIC Single,135.38,1
176,QUIC Single,133.66,1
177,QUIC Single,133.8,1
178,QUIC Single,133.8,1
179,QUIC Single,135.48,1
180,QUIC Single,133.74,1
181,QUIC Single,133.55,1
182,QUIC Single,133.56,1
183,QUIC Single,133.57,1
184,QUIC Single,133.69,1
185,QUIC Single,133.64,1
186,QUIC Single,133.84,1
187,QUIC Single,133.74,1
188,QUIC Single,133.71,1
189,QUIC Single,133.71,1
190,QUIC Single,133.65,1
191,QUIC Single,133.77,1
192,QUIC Single,133.64,1
193,QUIC Single,133.87,1
194,QUIC Single,135.42,1
195,QUIC Single,135.47,1
196,QUIC Single,133.6,1
197,QUIC Single,133.67,1
198,QUIC Single,133.76,1
199,QUIC Single,133.57,1
200,QUIC Single,133.92,1
201,QUIC Single,133.81,1
202,QUIC Single,133.74,1
203,QUIC Single,133.82,1
204,QUIC Single,133.81,1
205,QUIC Single,133.7,1
206,QUIC Single,133.63,1
207,QUIC Single,133.73,1
208,QUIC Single,133.76,1
209,QUIC Single,133.71,1
210,QUIC Single,133.82,1
211,QUIC Single,133.87,1
212,QUIC Single,133.53,1
213,QUIC Single,133.7,1
214,QUIC Single,133.75,1
215,QUIC Single,133.61,1
216,QUIC Single,133.57,1
217,QUIC Single,133.72,1
218,QUIC Single,133.68,1
219,QUIC Single,133.66,1
220,QUIC Single,133.72,1
221,QUIC Single,133.83,1
222,QUIC Single,133.69,1
223,QUIC Single,135.42,1
224,QUIC Single,133.67,1
225,QUIC Single,133.8,1
226,QUIC Single,133.65,1
227,QUIC Single,133.66,1
228,QUIC Single,133.71,1
229,QUIC Single,133.7,1
230,QUIC Single,133.83,1
231,QUIC Single,133.65,1
232,QUIC Single,133.96,1
233,QUIC Single,133.72,1
234,QUIC Single,133.63,1
235,QUIC Single,133.58,1
236,QUIC Single,133.75,1
237,QUIC Single,133.63,1
238,QUIC Single,133.64,1
239,QUIC Single,135.41,1
240,QUIC Single,133.67,1
241,QUIC Single,133.48,1
242,QUIC Single,134.32,1
243,QUIC Single,133.81,1
244,QUIC Single,133.76,1
245,QUIC Single,133.59,1
246,QUIC Single,133.75,1
247,QUIC Single,135.34,1
248,QUIC Single,133.74,1
249,QUIC Single,133.78,1
250,QUIC Single,133.84,1
251,QUIC Single,133.65,1
252,QUIC Single,133.7,1
253,QUIC Single,133.75,1
254,QUIC Single,133.6,1
255,QUIC Single,133.61,1
256,QUIC Single,133.88,1
257,QUIC Single,133.75,1
258,QUIC Single,133.71,1
259,QUIC Single,133.61,1
260,QUIC Single,133.69,1
261,QUIC Single,135.01,1
262,QUIC Single,133.6,1
263,QUIC Single,133.75,1
264,QUIC Single,133.85,1
265,QUIC Single,133.76,1
266,QUIC Single,133.78,1
267,QUIC Single,133.76,1
268,QUIC Single,133.95,1
269,QUIC Single,133.67,1
270,QUIC Single,133.59,1
271,QUIC Single,133.75,1
272,QUIC Single,133.77,1
273,QUIC Single,133.66,1
274,QUIC Single,133.81,1
275,QUIC Single,133.69,1
276,QUIC Single,133.65,1
277,QUIC Single,133.71,1
278,QUIC Single,133.78,1
279,QUIC Single,133.74,1
280,QUIC Single,133.63,1
281,QUIC Single,133.82,1
282,QUIC Single,133.77,1
283,QUIC Single,133.81,1
284,QUIC Single,133.67,1
285,QUIC Single,133.62,1
286,QUIC Single,133.76,1
287,QUIC Single,133.58,1
288,QUIC Single,133.74,1
289,QUIC Single,133.83,1
290,QUIC Single,133.66,1
291,QUIC Single,133.7,1
292,QUIC Single,133.7,1
293,QUIC Single,133.72,1
294,QUIC Single,133.72,1
295,QUIC Single,133.74,1
296,QUIC Single,133.8,1
297,QUIC Single,133.62,1
298,QUIC Single,133.71,1
299,QUIC Single,133.83,1
300,QUIC Single,133.92,1
301,QUIC Single,133.81,1
302,QUIC Single,133.73,1
303,QUIC Single,133.75,1
304,QUIC Single,133.69,1
305,QUIC Single,133.7,1
306,QUIC Single,133.76,1
307,QUIC Single,133.78,1
308,QUIC Single,133.71,1
309,QUIC Single,133.84,1
310,QUIC Single,133.76,1
311,QUIC Single,133.76,1
312,QUIC Single,133.67,1
313,QUIC Single,133.71,1
314,QUIC Single,135.0,1
315,QUIC Single,133.79,1
316,QUIC Single,133.87,1
317,QUIC Single,134.29,1
318,QUIC Single,133.83,1
319,QUIC Single,133.57,1
320,QUIC Single,133.78,1
321,QUIC Single,133.79,1
322,QUIC Single,133.66,1
323,QUIC Single,133.74,1
324,QUIC Single,133.87,1
325,QUIC Single,133.72,1
326,QUIC Single,133.67,1
327,QUIC Single,133.76,1
328,QUIC Single,133.77,1
329,QUIC Single,133.63,1
330,QUIC Single,133.81,1
331,QUIC Single,134.07,1
332,QUIC Single,134.99,1
333,QUIC Single,133.66,1
334,QUIC Single,135.04,1
335,QUIC Single,133.77,1
336,QUIC Single,135.09,1
337,QUIC Single,134.93,1
338,QUIC Single,133.68,1
339,QUIC Single,135.01,1
340,QUIC Single,133.78,1
341,QUIC Single,133.81,1
342,QUIC Single,133.98,1
343,QUIC Single,133.81,1
344,QUIC Single,133.94,1
345,QUIC Single,133.72,1
346,QUIC Single,133.73,1
347,QUIC Single,134.07,1
348,QUIC Single,133.7,1
349,QUIC Single,133.83,1
350,QUIC Single,133.72,1
351,QUIC Single,133.78,1
352,QUIC Single,133.71,1
353,QUIC Single,133.81,1
354,QUIC Single,133.84,1
355,QUIC Single,133.93,1
356,QUIC Single,133.8,1
357,QUIC Single,133.6,1
358,QUIC Single,133.69,1
359,QUIC Single,133.65,1
360,QUIC Single,133.69,1
