execution,mode,handshake_duration_ms,success
1,QUIC Single,230.6,1
2,QUIC Single,169.99,1
3,QUIC Single,170.1,1
4,QUIC Single,178.99,1
5,QUIC Single,184.44,1
6,QUIC Single,170.1,1
7,QUIC Single,178.43,1
8,QUIC Single,170.0,1
9,QUIC Single,169.65,1
10,QUIC Single,169.89,1
11,QUIC Single,178.13,1
12,QUIC Single,169.56,1
13,QUIC Single,169.52,1
14,QUIC Single,181.21,1
15,QUIC Single,169.62,1
16,QUIC Single,987.83,1
17,QUIC Single,170.05,1
18,QUIC Single,179.46,1
19,QUIC Single,170.65,1
20,QUIC Single,169.96,1
21,QUIC Single,169.26,1
22,QUIC Single,169.43,1
23,QUIC Single,169.78,1
24,QUIC Single,169.95,1
25,QUIC Single,173.65,1
26,QUIC Single,170.11,1
27,QUIC Single,169.75,1
28,QUIC Single,182.72,1
29,QUIC Single,169.38,1
30,QUIC Single,169.61,1
31,QUIC Single,169.65,1
32,QUIC Single,169.25,1
33,QUIC Single,169.93,1
34,QUIC Single,169.58,1
35,QUIC Single,170.35,1
36,QUIC Single,169.75,1
37,QUIC Single,169.66,1
38,QUIC Single,169.67,1
39,QUIC Single,186.9,1
40,QUIC Single,169.66,1
41,QUIC Single,181.64,1
42,QUIC Single,188.34,1
43,QUIC Single,169.38,1
44,QUIC Single,169.76,1
45,QUIC Single,169.63,1
46,QUIC Single,169.53,1
47,QUIC Single,169.7,1
48,QUIC Single,169.57,1
49,QUIC Single,169.4,1
50,QUIC Single,169.52,1
51,QUIC Single,169.66,1
52,QUIC Single,169.65,1
53,QUIC Single,186.35,1
54,QUIC Single,169.54,1
55,QUIC Single,169.44,1
56,QUIC Single,172.86,1
57,QUIC Single,172.49,1
58,QUIC Single,169.65,1
59,QUIC Single,169.57,1
60,QUIC Single,169.6,1
61,QUIC Single,230.2,1
62,QUIC Single,169.46,1
63,QUIC Single,169.65,1
64,QUIC Single,169.93,1
65,QUIC Single,185.18,1
66,QUIC Single,169.65,1
67,QUIC Single,169.36,1
68,QUIC Single,169.82,1
69,QUIC Single,169.65,1
70,QUIC Single,230.24,1
71,QUIC Single,169.47,1
72,QUIC Single,185.38,1
73,QUIC Single,169.75,1
74,QUIC Single,187.06,1
75,QUIC Single,169.56,1
76,QUIC Single,169.51,1
77,QUIC Single,169.4,1
78,QUIC Single,169.58,1
79,QUIC Single,186.43,1
80,QUIC Single,169.72,1
81,QUIC Single,169.26,1
82,QUIC Single,169.41,1
83,QUIC Single,169.44,1
84,QUIC Single,169.61,1
85,QUIC Single,169.3,1
86,QUIC Single,169.6,1
87,QUIC Single,169.3,1
88,QUIC Single,169.48,1
89,QUIC Single,169.54,1
90,QUIC Single,185.34,1
91,QUIC Single,183.34,1
92,QUIC Single,170.03,1
93,QUIC Single,169.83,1
94,QUIC Single,169.65,1
95,QUIC Single,169.79,1
96,QUIC Single,172.12,1
97,QUIC Single,169.79,1
98,QUIC Single,184.77,1
99,QUIC Single,169.71,1
100,QUIC Single,169.6,1
101,QUIC Single,170.79,1
102,QUIC Single,169.23,1
103,QUIC Single,169.46,1
104,QUIC Single,236.47,1
105,QUIC Single,186.06,1
106,QUIC Single,169.89,1
107,QUIC Single,309.97,1
108,QUIC Single,169.53,1
109,QUIC Single,170.67,1
110,QUIC Single,170.08,1
111,QUIC Single,169.41,1
112,QUIC Single,169.63,1
113,QUIC Single,169.53,1
114,QUIC Single,170.43,1
115,QUIC Single,169.41,1
116,QUIC Single,169.69,1
117,QUIC Single,229.98,1
118,QUIC Single,184.68,1
119,QUIC Single,230.17,1
120,QUIC Single,169.7,1
121,QUIC Single,169.62,1
122,QUIC Single,187.13,1
123,QUIC Single,237.96,1
124,QUIC Single,169.66,1
125,QUIC Single,169.42,1
126,QUIC Single,169.74,1
127,QUIC Single,169.26,1
128,QUIC Single,169.77,1
129,QUIC Single,169.55,1
130,QUIC Single,169.28,1
131,QUIC Single,180.64,1
132,QUIC Single,169.88,1
133,QUIC Single,169.51,1
134,QUIC Single,169.63,1
135,QUIC Single,169.59,1
136,QUIC Single,169.44,1
137,QUIC Single,169.53,1
138,QUIC Single,169.79,1
139,QUIC Single,169.43,1
140,QUIC Single,169.7,1
141,QUIC Single,170.64,1
142,QUIC Single,169.38,1
143,QUIC Single,169.44,1
144,QUIC Single,169.52,1
145,QUIC Single,169.67,1
146,QUIC Single,186.01,1
147,QUIC Single,229.9,1
148,QUIC Single,169.46,1
149,QUIC Single,169.32,1
150,QUIC Single,169.03,1
151,QUIC Single,169.35,1
152,QUIC Single,169.19,1
153,QUIC Single,169.36,1
154,QUIC Single,169.73,1
155,QUIC Single,169.55,1
156,QUIC Single,169.32,1
157,QUIC Single,170.2,1
158,QUIC Single,169.34,1
159,QUIC Single,169.5,1
160,QUIC Single,169.35,1
161,QUIC Single,169.3,1
162,QUIC Single,169.35,1
163,QUIC Single,169.21,1
164,QUIC Single,169.52,1
165,QUIC Single,177.75,1
166,QUIC Single,169.4,1
167,QUIC Single,169.48,1
168,QUIC Single,169.4,1
169,QUIC Single,169.83,1
170,QUIC Single,169.62,1
171,QUIC Single,170.0,1
172,QUIC Single,169.59,1
173,QUIC Single,169.44,1
174,QUIC Single,169.81,1
175,QUIC Single,169.76,1
176,QUIC Single,169.42,1
177,QUIC Single,169.43,1
178,QUIC Single,170.16,1
179,QUIC Single,169.54,1
180,QUIC Single,169.87,1
181,QUIC Single,169.76,1
182,QUIC Single,169.48,1
183,QUIC Single,170.26,1
184,QUIC Single,169.74,1
185,QUIC Single,169.71,1
186,QUIC Single,169.5,1
187,QUIC Single,169.56,1
188,QUIC Single,169.78,1
189,QUIC Single,169.5,1
190,QUIC Single,169.81,1
191,QUIC Single,169.29,1
192,QUIC Single,169.67,1
193,QUIC Single,169.53,1
194,QUIC Single,170.16,1
195,QUIC Single,170.41,1
196,QUIC Single,170.22,1
197,QUIC Single,169.78,1
198,QUIC Single,169.69,1
199,QUIC Single,169.37,1
200,QUIC Single,169.83,1
201,QUIC Single,169.77,1
202,QUIC Single,169.53,1
203,QUIC Single,169.49,1
204,QUIC Single,169.66,1
205,QUIC Single,169.61,1
206,QUIC Single,169.82,1
207,QUIC Single,190.09,1
208,QUIC Single,173.79,1
209,QUIC Single,169.93,1
210,QUIC Single,197.84,1
211,QUIC Single,169.47,1
212,QUIC Single,169.22,1
213,QUIC Single,182.79,1
214,QUIC Single,169.54,1
215,QUIC Single,169.43,1
216,QUIC Single,183.72,1
217,QUIC Single,169.29,1
218,QUIC Single,170.24,1
219,QUIC Single,185.94,1
220,QUIC Single,182.62,1
221,QUIC Single,169.84,1
222,QUIC Single,172.17,1
223,QUIC Single,182.58,1
224,QUIC Single,170.5,1
225,QUIC Single,169.39,1
226,QUIC Single,169.56,1
227,QUIC Single,187.56,1
228,QUIC Single,174.42,1
229,QUIC Single,184.23,1
230,QUIC Single,169.53,1
231,QUIC Single,169.51,1
232,QUIC Single,169.78,1
233,QUIC Single,169.61,1
234,QUIC Single,187.56,1
235,QUIC Single,182.51,1
236,QUIC Single,169.46,1
237,QUIC Single,169.35,1
238,QUIC Single,180.95,1
239,QUIC Single,169.58,1
240,QUIC Single,193.87,1
241,QUIC Single,169.3,1
242,QUIC Single,169.74,1
243,QUIC Single,169.58,1
244,QUIC Single,169.67,1
245,QUIC Single,169.59,1
246,QUIC Single,170.55,1
247,QUIC Single,169.55,1
248,QUIC Single,169.74,1
249,QUIC Single,170.54,1
250,QUIC Single,169.57,1
251,QUIC Single,169.95,1
252,QUIC Single,171.31,1
