execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,QUIC Single,253.92,1,3,4
2,QUIC Single,129.62,1,3,4
3,QUIC Single,128.28,1,3,4
4,QUIC Single,128.43,1,3,4
5,QUIC Single,128.42,1,3,4
6,QUIC Single,128.49,1,3,4
7,QUIC Single,128.8,1,3,4
8,QUIC Single,128.35,1,3,4
9,QUIC Single,129.54,1,3,4
10,QUIC Single,128.42,1,3,4
11,QUIC Single,128.4,1,3,4
12,QUIC Single,129.84,1,3,4
13,QUIC Single,128.2,1,3,4
14,QUIC Single,129.84,1,3,4
15,QUIC Single,128.32,1,3,4
16,QUIC Single,128.3,1,3,4
17,QUIC Single,128.85,1,3,4
18,QUIC Single,129.74,1,3,4
19,QUIC Single,128.41,1,3,4
20,QUIC Single,128.15,1,3,4
21,QUIC Single,128.28,1,3,4
22,QUIC Single,128.17,1,3,4
23,QUIC Single,128.22,1,3,4
24,QUIC Single,129.74,1,3,4
25,QUIC Single,128.35,1,3,4
26,QUIC Single,129.76,1,3,4
27,QUIC Single,128.59,1,3,4
28,QUIC Single,129.82,1,3,4
29,QUIC Single,128.53,1,3,4
30,QUIC Single,128.28,1,3,4
31,QUIC Single,128.17,1,3,4
32,QUIC Single,128.67,1,3,4
33,QUIC Single,128.19,1,3,4
34,QUIC Single,128.16,1,3,4
35,QUIC Single,128.61,1,3,4
36,QUIC Single,130.21,1,3,4
37,QUIC Single,128.63,1,3,4
38,QUIC Single,128.24,1,3,4
39,QUIC Single,129.79,1,3,4
40,QUIC Single,129.79,1,3,4
41,QUIC Single,128.81,1,3,4
42,QUIC Single,128.29,1,3,4
43,QUIC Single,128.83,1,3,4
44,QUIC Single,129.48,1,3,4
45,QUIC Single,128.74,1,3,4
46,QUIC Single,128.38,1,3,4
47,QUIC Single,128.79,1,3,4
48,QUIC Single,128.64,1,3,4
49,QUIC Single,128.59,1,3,4
50,QUIC Single,129.5,1,3,4
51,QUIC Single,128.59,1,3,4
52,QUIC Single,128.36,1,3,4
53,QUIC Single,129.48,1,3,4
54,QUIC Single,128.23,1,3,4
55,QUIC Single,128.7,1,3,4
56,QUIC Single,128.78,1,3,4
57,QUIC Single,128.29,1,3,4
58,QUIC Single,128.27,1,3,4
59,QUIC Single,128.75,1,3,4
60,QUIC Single,129.41,1,3,4
61,QUIC Single,128.21,1,3,4
62,QUIC Single,128.21,1,3,4
63,QUIC Single,128.44,1,3,4
64,QUIC Single,128.23,1,3,4
65,QUIC Single,129.51,1,3,4
66,QUIC Single,129.44,1,3,4
67,QUIC Single,128.27,1,3,4
68,QUIC Single,128.29,1,3,4
69,QUIC Single,128.71,1,3,4
70,QUIC Single,128.7,1,3,4
71,QUIC Single,128.16,1,3,4
72,QUIC Single,128.28,1,3,4
73,QUIC Single,128.58,1,3,4
74,QUIC Single,128.19,1,3,4
75,QUIC Single,128.27,1,3,4
76,QUIC Single,129.49,1,3,4
77,QUIC Single,128.23,1,3,4
78,QUIC Single,128.33,1,3,4
79,QUIC Single,128.62,1,3,4
80,QUIC Single,130.22,1,3,4
81,QUIC Single,128.93,1,3,4
82,QUIC Single,128.53,1,3,4
83,QUIC Single,128.5,1,3,4
84,QUIC Single,128.61,1,3,4
85,QUIC Single,128.34,1,3,4
86,QUIC Single,129.59,1,3,4
87,QUIC Single,128.34,1,3,4
88,QUIC Single,128.28,1,3,4
89,QUIC Single,128.33,1,3,4
90,QUIC Single,128.71,1,3,4
91,QUIC Single,128.18,1,3,4
92,QUIC Single,128.7,1,3,4
93,QUIC Single,128.12,1,3,4
94,QUIC Single,128.2,1,3,4
95,QUIC Single,128.25,1,3,4
96,QUIC Single,128.25,1,3,4
97,QUIC Single,128.21,1,3,4
98,QUIC Single,128.6,1,3,4
99,QUIC Single,128.25,1,3,4
100,QUIC Single,128.31,1,3,4
101,QUIC Single,128.33,1,3,4
102,QUIC Single,128.33,1,3,4
103,QUIC Single,128.55,1,3,4
104,QUIC Single,129.72,1,3,4
105,QUIC Single,128.19,1,3,4
106,QUIC Single,128.51,1,3,4
107,QUIC Single,128.17,1,3,4
108,QUIC Single,128.32,1,3,4
109,QUIC Single,129.48,1,3,4
110,QUIC Single,128.19,1,3,4
111,QUIC Single,128.26,1,3,4
112,QUIC Single,128.29,1,3,4
113,QUIC Single,128.18,1,3,4
114,QUIC Single,128.15,1,3,4
115,QUIC Single,128.24,1,3,4
116,QUIC Single,129.44,1,3,4
117,QUIC Single,128.54,1,3,4
118,QUIC Single,129.44,1,3,4
119,QUIC Single,128.22,1,3,4
120,QUIC Single,128.18,1,3,4
121,QUIC Single,128.24,1,3,4
122,QUIC Single,128.13,1,3,4
123,QUIC Single,128.31,1,3,4
124,QUIC Single,128.18,1,3,4
125,QUIC Single,128.28,1,3,4
