execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,QUIC Single,289.82,1,1,4
2,QUIC Single,144.97,1,1,4
3,QUIC Single,156.21,1,1,4
4,QUIC Single,148.17,1,1,4
5,QUIC Single,149.23,1,1,4
6,QUIC Single,146.09,1,1,4
7,QUIC Single,145.41,1,1,4
8,QUIC Single,150.46,1,1,4
9,QUIC Single,146.42,1,1,4
10,QUIC Single,146.65,1,1,4
11,QUIC Single,156.02,1,1,4
12,QUIC Single,147.84,1,1,4
13,QUIC Single,146.41,1,1,4
14,QUIC Single,145.54,1,1,4
15,QUIC Single,145.03,1,1,4
16,QUIC Single,150.31,1,1,4
17,QUIC Single,144.84,1,1,4
18,QUIC Single,147.39,1,1,4
19,QUIC Single,159.25,1,1,4
20,QUIC Single,146.54,1,1,4
21,QUIC Single,144.67,1,1,4
22,QUIC Single,144.94,1,1,4
23,QUIC Single,157.31,1,1,4
24,QUIC Single,145.59,1,1,4
25,QUIC Single,147.04,1,1,4
26,QUIC Single,146.3,1,1,4
27,QUIC Single,155.91,1,1,4
28,QUIC Single,146.09,1,1,4
29,QUIC Single,145.51,1,1,4
30,QUIC Single,155.72,1,1,4
31,QUIC Single,1543.35,1,1,4
32,QUIC Single,145.37,1,1,4
33,QUIC Single,1545.73,1,1,4
34,QUIC Single,145.85,1,1,4
35,QUIC Single,146.7,1,1,4
36,QUIC Single,145.23,1,1,4
37,QUIC Single,159.93,1,1,4
38,QUIC Single,145.99,1,1,4
39,QUIC Single,150.15,1,1,4
40,QUIC Single,145.18,1,1,4
41,QUIC Single,153.6,1,1,4
42,QUIC Single,145.38,1,1,4
43,QUIC Single,157.05,1,1,4
44,QUIC Single,144.64,1,1,4
45,QUIC Single,155.06,1,1,4
46,QUIC Single,145.9,1,1,4
47,QUIC Single,145.81,1,1,4
48,QUIC Single,144.26,1,1,4
49,QUIC Single,148.44,1,1,4
50,QUIC Single,144.96,1,1,4
51,QUIC Single,147.0,1,1,4
52,QUIC Single,147.6,1,1,4
53,QUIC Single,146.61,1,1,4
54,QUIC Single,145.76,1,1,4
55,QUIC Single,146.69,1,1,4
56,QUIC Single,145.67,1,1,4
57,QUIC Single,146.42,1,1,4
58,QUIC Single,156.77,1,1,4
59,QUIC Single,145.1,1,1,4
60,QUIC Single,145.28,1,1,4
61,QUIC Single,146.37,1,1,4
62,QUIC Single,145.57,1,1,4
63,QUIC Single,144.82,1,1,4
64,QUIC Single,157.66,1,1,4
65,QUIC Single,144.42,1,1,4
66,QUIC Single,155.61,1,1,4
67,QUIC Single,145.34,1,1,4
68,QUIC Single,145.45,1,1,4
69,QUIC Single,145.24,1,1,4
70,QUIC Single,157.16,1,1,4
71,QUIC Single,145.54,1,1,4
72,QUIC Single,151.69,1,1,4
73,QUIC Single,145.76,1,1,4
74,QUIC Single,156.21,1,1,4
75,QUIC Single,155.09,1,1,4
76,QUIC Single,150.07,1,1,4
77,QUIC Single,1544.35,1,1,4
78,QUIC Single,144.55,1,1,4
79,QUIC Single,145.47,1,1,4
80,QUIC Single,147.04,1,1,4
81,QUIC Single,145.78,1,1,4
82,QUIC Single,147.07,1,1,4
83,QUIC Single,157.35,1,1,4
84,QUIC Single,147.77,1,1,4
85,QUIC Single,154.92,1,1,4
86,QUIC Single,156.05,1,1,4
87,QUIC Single,144.26,1,1,4
88,QUIC Single,148.05,1,1,4
89,QUIC Single,144.93,1,1,4
90,QUIC Single,147.88,1,1,4
91,QUIC Single,146.62,1,1,4
92,QUIC Single,145.45,1,1,4
93,QUIC Single,147.5,1,1,4
94,QUIC Single,154.4,1,1,4
95,QUIC Single,147.01,1,1,4
96,QUIC Single,144.95,1,1,4
97,QUIC Single,146.56,1,1,4
98,QUIC Single,145.55,1,1,4
99,QUIC Single,155.78,1,1,4
100,QUIC Single,146.74,1,1,4
101,QUIC Single,145.19,1,1,4
102,QUIC Single,145.6,1,1,4
103,QUIC Single,148.25,1,1,4
104,QUIC Single,144.49,1,1,4
105,QUIC Single,146.81,1,1,4
106,QUIC Single,145.97,1,1,4
107,QUIC Single,156.94,1,1,4
108,QUIC Single,145.25,1,1,4
109,QUIC Single,148.45,1,1,4
110,QUIC Single,144.84,1,1,4
111,QUIC Single,146.43,1,1,4
112,QUIC Single,145.13,1,1,4
113,QUIC Single,146.26,1,1,4
114,QUIC Single,159.47,1,1,4
115,QUIC Single,148.42,1,1,4
116,QUIC Single,160.32,1,1,4
117,QUIC Single,146.66,1,1,4
118,QUIC Single,160.08,1,1,4
119,QUIC Single,154.43,1,1,4
120,QUIC Single,146.29,1,1,4
121,QUIC Single,143.99,1,1,4
122,QUIC Single,146.48,1,1,4
123,QUIC Single,147.28,1,1,4
124,QUIC Single,145.24,1,1,4
125,QUIC Single,145.29,1,1,4
