execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,QUIC Single,858.9,1,4,4
2,QUIC Single,724.1,1,4,4
3,QUIC Single,721.97,1,4,4
4,QUIC Single,722.97,1,4,4
5,QUIC Single,725.28,1,4,4
6,QUIC Single,729.43,1,4,4
7,QUIC Single,923.29,1,4,4
8,QUIC Single,727.86,1,4,4
9,QUIC Single,720.55,1,4,4
10,QUIC Single,726.66,1,4,4
11,QUIC Single,722.05,1,4,4
12,QUIC Single,729.26,1,4,4
13,QUIC Single,724.17,1,4,4
14,QUIC Single,721.85,1,4,4
15,QUIC Single,721.52,1,4,4
16,QUIC Single,720.62,1,4,4
17,QUIC Single,721.2,1,4,4
18,QUIC Single,722.5,1,4,4
19,QUIC Single,723.36,1,4,4
20,QUIC Single,721.94,1,4,4
21,QUIC Single,724.73,1,4,4
22,QUIC Single,719.62,1,4,4
23,QUIC Single,721.2,1,4,4
24,QUIC Single,731.4,1,4,4
25,QUIC Single,748.06,1,4,4
26,QUIC Single,743.1,1,4,4
27,QUIC Single,744.67,1,4,4
28,QUIC Single,736.73,1,4,4
29,QUIC Single,741.55,1,4,4
30,QUIC Single,744.84,1,4,4
31,QUIC Single,731.01,1,4,4
32,QUIC Single,741.6,1,4,4
33,QUIC Single,758.75,1,4,4
34,QUIC Single,774.14,1,4,4
35,QUIC Single,740.98,1,4,4
36,QUIC Single,722.82,1,4,4
37,QUIC Single,720.04,1,4,4
38,QUIC Single,718.99,1,4,4
39,QUIC Single,722.87,1,4,4
40,QUIC Single,733.84,1,4,4
41,QUIC Single,728.28,1,4,4
42,QUIC Single,1343.89,1,4,4
43,QUIC Single,730.92,1,4,4
44,QUIC Single,721.25,1,4,4
45,QUIC Single,722.06,1,4,4
46,QUIC Single,744.77,1,4,4
47,QUIC Single,723.8,1,4,4
48,QUIC Single,738.78,1,4,4
49,QUIC Single,721.71,1,4,4
50,QUIC Single,1346.55,1,4,4
51,QUIC Single,720.7,1,4,4
52,QUIC Single,724.65,1,4,4
53,QUIC Single,920.72,1,4,4
54,QUIC Single,720.9,1,4,4
55,QUIC Single,725.54,1,4,4
56,QUIC Single,719.65,1,4,4
57,QUIC Single,718.99,1,4,4
58,QUIC Single,723.51,1,4,4
59,QUIC Single,720.75,1,4,4
60,QUIC Single,721.25,1,4,4
61,QUIC Single,718.86,1,4,4
62,QUIC Single,722.58,1,4,4
63,QUIC Single,722.74,1,4,4
64,QUIC Single,720.5,1,4,4
65,QUIC Single,722.92,1,4,4
66,QUIC Single,919.39,1,4,4
67,QUIC Single,719.7,1,4,4
68,QUIC Single,720.06,1,4,4
69,QUIC Single,723.73,1,4,4
70,QUIC Single,722.7,1,4,4
71,QUIC Single,719.52,1,4,4
72,QUIC Single,719.12,1,4,4
73,QUIC Single,720.84,1,4,4
74,QUIC Single,718.66,1,4,4
75,QUIC Single,739.54,1,4,4
76,QUIC Single,720.91,1,4,4
77,QUIC Single,722.37,1,4,4
78,QUIC Single,720.95,1,4,4
79,QUIC Single,722.11,1,4,4
80,QUIC Single,719.92,1,4,4
81,QUIC Single,731.68,1,4,4
82,QUIC Single,719.7,1,4,4
83,QUIC Single,732.78,1,4,4
84,QUIC Single,722.34,1,4,4
85,QUIC Single,734.49,1,4,4
86,QUIC Single,721.42,1,4,4
87,QUIC Single,722.8,1,4,4
88,QUIC Single,725.48,1,4,4
89,QUIC Single,732.57,1,4,4
90,QUIC Single,723.24,1,4,4
91,QUIC Single,725.27,1,4,4
92,QUIC Single,736.65,1,4,4
93,QUIC Single,719.28,1,4,4
94,QUIC Single,721.86,1,4,4
95,QUIC Single,721.01,1,4,4
96,QUIC Single,731.68,1,4,4
97,QUIC Single,732.52,1,4,4
98,QUIC Single,719.87,1,4,4
99,QUIC Single,721.01,1,4,4
100,QUIC Single,719.56,1,4,4
101,QUIC Single,718.6,1,4,4
102,QUIC Single,719.11,1,4,4
103,QUIC Single,721.36,1,4,4
104,QUIC Single,720.05,1,4,4
105,QUIC Single,719.92,1,4,4
106,QUIC Single,719.14,1,4,4
107,QUIC Single,719.65,1,4,4
108,QUIC Single,722.11,1,4,4
109,QUIC Single,743.11,1,4,4
110,QUIC Single,721.94,1,4,4
111,QUIC Single,721.69,1,4,4
112,QUIC Single,737.41,1,4,4
113,QUIC Single,749.18,1,4,4
114,QUIC Single,726.04,1,4,4
115,QUIC Single,720.38,1,4,4
116,QUIC Single,720.6,1,4,4
117,QUIC Single,719.37,1,4,4
118,QUIC Single,721.35,1,4,4
119,QUIC Single,720.95,1,4,4
120,QUIC Single,719.75,1,4,4
121,QUIC Single,723.55,1,4,4
122,QUIC Single,720.14,1,4,4
123,QUIC Single,722.36,1,4,4
124,QUIC Single,731.21,1,4,4
125,QUIC Single,719.71,1,4,4
