execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,QUIC Single,520.83,1,4,4
2,QUIC Single,348.77,1,4,4
3,QUIC Single,348.21,1,4,4
4,QUIC Single,347.21,1,4,4
5,QUIC Single,347.82,1,4,4
6,QUIC Single,348.25,1,4,4
7,QUIC Single,347.21,1,4,4
8,QUIC Single,348.72,1,4,4
9,QUIC Single,354.05,1,4,4
10,QUIC Single,348.21,1,4,4
11,QUIC Single,346.97,1,4,4
12,QUIC Single,347.08,1,4,4
13,QUIC Single,354.13,1,4,4
14,QUIC Single,347.45,1,4,4
15,QUIC Single,348.3,1,4,4
16,QUIC Single,794.82,1,4,4
17,QUIC Single,347.05,1,4,4
18,QUIC Single,347.21,1,4,4
19,QUIC Single,347.07,1,4,4
20,QUIC Single,347.35,1,4,4
21,QUIC Single,353.79,1,4,4
22,QUIC Single,348.91,1,4,4
23,QUIC Single,352.91,1,4,4
24,QUIC Single,347.33,1,4,4
25,QUIC Single,349.52,1,4,4
26,QUIC Single,349.87,1,4,4
27,QUIC Single,349.93,1,4,4
28,QUIC Single,347.94,1,4,4
29,QUIC Single,355.65,1,4,4
30,QUIC Single,348.06,1,4,4
31,QUIC Single,358.37,1,4,4
32,QUIC Single,360.52,1,4,4
33,QUIC Single,349.68,1,4,4
34,QUIC Single,348.29,1,4,4
35,QUIC Single,350.74,1,4,4
36,QUIC Single,351.02,1,4,4
37,QUIC Single,356.5,1,4,4
38,QUIC Single,351.93,1,4,4
39,QUIC Single,355.58,1,4,4
40,QUIC Single,354.7,1,4,4
41,QUIC Single,353.99,1,4,4
42,QUIC Single,350.27,1,4,4
43,QUIC Single,352.98,1,4,4
44,QUIC Single,349.08,1,4,4
45,QUIC Single,352.39,1,4,4
46,QUIC Single,350.64,1,4,4
47,QUIC Single,352.13,1,4,4
48,QUIC Single,354.97,1,4,4
49,QUIC Single,350.64,1,4,4
50,QUIC Single,349.66,1,4,4
51,QUIC Single,350.06,1,4,4
52,QUIC Single,351.11,1,4,4
53,QUIC Single,348.92,1,4,4
54,QUIC Single,350.61,1,4,4
55,QUIC Single,358.91,1,4,4
56,QUIC Single,349.42,1,4,4
57,QUIC Single,351.81,1,4,4
58,QUIC Single,349.28,1,4,4
59,QUIC Single,350.74,1,4,4
60,QUIC Single,349.0,1,4,4
61,QUIC Single,354.11,1,4,4
62,QUIC Single,353.92,1,4,4
63,QUIC Single,350.51,1,4,4
64,QUIC Single,351.98,1,4,4
65,QUIC Single,349.85,1,4,4
66,QUIC Single,353.64,1,4,4
67,QUIC Single,360.16,1,4,4
68,QUIC Single,353.64,1,4,4
69,QUIC Single,347.65,1,4,4
70,QUIC Single,355.39,1,4,4
71,QUIC Single,359.18,1,4,4
72,QUIC Single,347.71,1,4,4
73,QUIC Single,352.46,1,4,4
74,QUIC Single,350.6,1,4,4
75,QUIC Single,352.12,1,4,4
76,QUIC Single,353.73,1,4,4
77,QUIC Single,350.75,1,4,4
78,QUIC Single,349.52,1,4,4
79,QUIC Single,350.53,1,4,4
80,QUIC Single,348.73,1,4,4
81,QUIC Single,352.19,1,4,4
82,QUIC Single,356.89,1,4,4
83,QUIC Single,349.22,1,4,4
84,QUIC Single,352.16,1,4,4
85,QUIC Single,350.9,1,4,4
86,QUIC Single,351.6,1,4,4
87,QUIC Single,358.41,1,4,4
88,QUIC Single,353.92,1,4,4
89,QUIC Single,349.97,1,4,4
90,QUIC Single,349.43,1,4,4
91,QUIC Single,350.73,1,4,4
92,QUIC Single,356.38,1,4,4
93,QUIC Single,356.76,1,4,4
94,QUIC Single,349.97,1,4,4
95,QUIC Single,350.65,1,4,4
96,QUIC Single,353.86,1,4,4
97,QUIC Single,796.54,1,4,4
98,QUIC Single,348.16,1,4,4
99,QUIC Single,351.48,1,4,4
100,QUIC Single,347.4,1,4,4
101,QUIC Single,350.28,1,4,4
102,QUIC Single,349.55,1,4,4
103,QUIC Single,351.32,1,4,4
104,QUIC Single,350.39,1,4,4
105,QUIC Single,350.05,1,4,4
106,QUIC Single,347.49,1,4,4
107,QUIC Single,347.98,1,4,4
108,QUIC Single,347.96,1,4,4
109,QUIC Single,347.86,1,4,4
110,QUIC Single,348.81,1,4,4
111,QUIC Single,351.82,1,4,4
112,QUIC Single,351.48,1,4,4
113,QUIC Single,350.88,1,4,4
114,QUIC Single,349.62,1,4,4
115,QUIC Single,350.11,1,4,4
116,QUIC Single,347.95,1,4,4
117,QUIC Single,356.84,1,4,4
118,QUIC Single,349.86,1,4,4
119,QUIC Single,350.07,1,4,4
120,QUIC Single,349.52,1,4,4
121,QUIC Single,355.82,1,4,4
122,QUIC Single,347.94,1,4,4
123,QUIC Single,349.75,1,4,4
124,QUIC Single,352.0,1,4,4
125,QUIC Single,351.09,1,4,4
