execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,QUIC Single,509.92,1,1,4
2,QUIC Single,342.22,1,1,4
3,QUIC Single,342.89,1,1,4
4,QUIC Single,341.71,1,1,4
5,QUIC Single,341.59,1,1,4
6,QUIC Single,341.64,1,1,4
7,QUIC Single,341.58,1,1,4
8,QUIC Single,340.8,1,1,4
9,QUIC Single,340.8,1,1,4
10,QUIC Single,341.04,1,1,4
11,QUIC Single,341.88,1,1,4
12,QUIC Single,3339.62,1,1,4
13,QUIC Single,341.48,1,1,4
14,QUIC Single,343.68,1,1,4
15,QUIC Single,342.14,1,1,4
16,QUIC Single,341.28,1,1,4
17,QUIC Single,340.71,1,1,4
18,QUIC Single,343.89,1,1,4
19,QUIC Single,341.2,1,1,4
20,QUIC Single,344.1,1,1,4
21,QUIC Single,342.22,1,1,4
22,QUIC Single,343.38,1,1,4
23,QUIC Single,342.93,1,1,4
24,QUIC Single,341.7,1,1,4
25,QUIC Single,955.2,1,1,4
26,QUIC Single,343.2,1,1,4
27,QUIC Single,342.06,1,1,4
28,QUIC Single,341.58,1,1,4
29,QUIC Single,343.2,1,1,4
30,QUIC Single,340.57,1,1,4
31,QUIC Single,344.65,1,1,4
32,QUIC Single,342.89,1,1,4
33,QUIC Single,343.28,1,1,4
34,QUIC Single,340.77,1,1,4
35,QUIC Single,341.39,1,1,4
36,QUIC Single,341.3,1,1,4
37,QUIC Single,343.5,1,1,4
38,QUIC Single,341.34,1,1,4
39,QUIC Single,344.25,1,1,4
40,QUIC Single,342.94,1,1,4
41,QUIC Single,343.98,1,1,4
42,QUIC Single,342.88,1,1,4
43,QUIC Single,342.39,1,1,4
44,QUIC Single,341.76,1,1,4
45,QUIC Single,344.84,1,1,4
46,QUIC Single,340.61,1,1,4
47,QUIC Single,341.83,1,1,4
48,QUIC Single,342.96,1,1,4
49,QUIC Single,342.89,1,1,4
50,QUIC Single,342.78,1,1,4
51,QUIC Single,344.11,1,1,4
52,QUIC Single,343.77,1,1,4
53,QUIC Single,343.2,1,1,4
54,QUIC Single,344.15,1,1,4
55,QUIC Single,342.18,1,1,4
56,QUIC Single,340.94,1,1,4
57,QUIC Single,341.32,1,1,4
58,QUIC Single,345.07,1,1,4
59,QUIC Single,341.3,1,1,4
60,QUIC Single,341.87,1,1,4
61,QUIC Single,345.48,1,1,4
62,QUIC Single,344.39,1,1,4
63,QUIC Single,342.46,1,1,4
64,QUIC Single,342.3,1,1,4
65,QUIC Single,341.31,1,1,4
66,QUIC Single,342.67,1,1,4
67,QUIC Single,342.06,1,1,4
68,QUIC Single,343.83,1,1,4
69,QUIC Single,344.54,1,1,4
70,QUIC Single,342.53,1,1,4
71,QUIC Single,341.94,1,1,4
72,QUIC Single,341.71,1,1,4
73,QUIC Single,341.19,1,1,4
74,QUIC Single,341.49,1,1,4
75,QUIC Single,341.32,1,1,4
76,QUIC Single,341.22,1,1,4
77,QUIC Single,341.97,1,1,4
78,QUIC Single,342.28,1,1,4
79,QUIC Single,341.39,1,1,4
80,QUIC Single,341.36,1,1,4
81,QUIC Single,342.03,1,1,4
82,QUIC Single,341.68,1,1,4
83,QUIC Single,341.98,1,1,4
84,QUIC Single,342.18,1,1,4
85,QUIC Single,341.45,1,1,4
86,QUIC Single,342.32,1,1,4
87,QUIC Single,341.9,1,1,4
88,QUIC Single,345.81,1,1,4
89,QUIC Single,342.11,1,1,4
90,QUIC Single,340.59,1,1,4
91,QUIC Single,340.77,1,1,4
92,QUIC Single,3339.18,1,1,4
93,QUIC Single,342.6,1,1,4
94,QUIC Single,342.05,1,1,4
95,QUIC Single,341.99,1,1,4
96,QUIC Single,344.37,1,1,4
97,QUIC Single,342.67,1,1,4
98,QUIC Single,345.84,1,1,4
99,QUIC Single,341.62,1,1,4
100,QUIC Single,341.28,1,1,4
101,QUIC Single,342.9,1,1,4
102,QUIC Single,340.9,1,1,4
103,QUIC Single,341.7,1,1,4
104,QUIC Single,343.78,1,1,4
105,QUIC Single,342.17,1,1,4
106,QUIC Single,342.27,1,1,4
107,QUIC Single,344.71,1,1,4
108,QUIC Single,343.43,1,1,4
109,QUIC Single,342.23,1,1,4
110,QUIC Single,342.23,1,1,4
111,QUIC Single,341.93,1,1,4
112,QUIC Single,341.75,1,1,4
113,QUIC Single,342.84,1,1,4
114,QUIC Single,341.9,1,1,4
115,QUIC Single,344.27,1,1,4
116,QUIC Single,343.71,1,1,4
117,QUIC Single,342.75,1,1,4
118,QUIC Single,341.6,1,1,4
119,QUIC Single,341.03,1,1,4
120,QUIC Single,341.38,1,1,4
121,QUIC Single,341.93,1,1,4
122,QUIC Single,342.27,1,1,4
123,QUIC Single,342.69,1,1,4
124,QUIC Single,342.07,1,1,4
125,QUIC Single,343.9,1,1,4
