execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,QUIC Single,589.5,1,4,4
2,QUIC Single,417.78,1,4,4
3,QUIC Single,416.58,1,4,4
4,QUIC Single,458.3,1,4,4
5,QUIC Single,414.64,1,4,4
6,QUIC Single,414.1,1,4,4
7,QUIC Single,431.08,1,4,4
8,QUIC Single,415.81,1,4,4
9,QUIC Single,775.99,1,4,4
10,QUIC Single,407.31,1,4,4
11,QUIC Single,406.57,1,4,4
12,QUIC Single,406.57,1,4,4
13,QUIC Single,406.64,1,4,4
14,QUIC Single,432.18,1,4,4
15,QUIC Single,406.63,1,4,4
16,QUIC Single,406.61,1,4,4
17,QUIC Single,425.49,1,4,4
18,QUIC Single,406.73,1,4,4
19,QUIC Single,406.37,1,4,4
20,QUIC Single,415.86,1,4,4
21,QUIC Single,407.35,1,4,4
22,QUIC Single,406.24,1,4,4
23,QUIC Single,407.43,1,4,4
24,QUIC Single,424.02,1,4,4
25,QUIC Single,433.63,1,4,4
26,QUIC Single,409.82,1,4,4
27,QUIC Single,2111.96,1,4,4
28,QUIC Single,407.77,1,4,4
29,QUIC Single,407.31,1,4,4
30,QUIC Single,407.81,1,4,4
31,QUIC Single,407.24,1,4,4
32,QUIC Single,407.18,1,4,4
33,QUIC Single,597.62,1,4,4
34,QUIC Single,407.35,1,4,4
35,QUIC Single,435.27,1,4,4
36,QUIC Single,406.78,1,4,4
37,QUIC Single,424.47,1,4,4
38,QUIC Single,406.43,1,4,4
39,QUIC Single,406.99,1,4,4
40,QUIC Single,406.2,1,4,4
41,QUIC Single,408.93,1,4,4
42,QUIC Single,427.15,1,4,4
43,QUIC Single,408.5,1,4,4
44,QUIC Single,408.21,1,4,4
45,QUIC Single,406.79,1,4,4
46,QUIC Single,407.78,1,4,4
47,QUIC Single,407.01,1,4,4
48,QUIC Single,408.7,1,4,4
49,QUIC Single,408.88,1,4,4
50,QUIC Single,406.59,1,4,4
51,QUIC Single,425.38,1,4,4
52,QUIC Single,407.09,1,4,4
53,QUIC Single,407.71,1,4,4
54,QUIC Single,407.16,1,4,4
55,QUIC Single,410.19,1,4,4
56,QUIC Single,406.29,1,4,4
57,QUIC Single,408.0,1,4,4
58,QUIC Single,406.73,1,4,4
59,QUIC Single,2131.91,1,4,4
60,QUIC Single,426.89,1,4,4
61,QUIC Single,425.73,1,4,4
62,QUIC Single,428.36,1,4,4
63,QUIC Single,406.33,1,4,4
64,QUIC Single,438.33,1,4,4
65,QUIC Single,425.18,1,4,4
66,QUIC Single,407.92,1,4,4
67,QUIC Single,407.15,1,4,4
68,QUIC Single,407.83,1,4,4
69,QUIC Single,406.57,1,4,4
70,QUIC Single,406.41,1,4,4
71,QUIC Single,406.93,1,4,4
72,QUIC Single,728.41,1,4,4
73,QUIC Single,407.65,1,4,4
74,QUIC Single,425.35,1,4,4
75,QUIC Single,409.23,1,4,4
76,QUIC Single,406.95,1,4,4
77,QUIC Single,413.29,1,4,4
78,QUIC Single,594.85,1,4,4
79,QUIC Single,406.47,1,4,4
80,QUIC Single,407.75,1,4,4
81,QUIC Single,406.79,1,4,4
82,QUIC Single,416.2,1,4,4
83,QUIC Single,409.89,1,4,4
84,QUIC Single,412.7,1,4,4
85,QUIC Single,406.71,1,4,4
86,QUIC Single,407.35,1,4,4
87,QUIC Single,407.73,1,4,4
88,QUIC Single,406.13,1,4,4
89,QUIC Single,727.75,1,4,4
90,QUIC Single,406.25,1,4,4
91,QUIC Single,407.35,1,4,4
92,QUIC Single,420.38,1,4,4
93,QUIC Single,408.27,1,4,4
94,QUIC Single,408.16,1,4,4
95,QUIC Single,425.57,1,4,4
96,QUIC Single,435.58,1,4,4
97,QUIC Single,406.66,1,4,4
98,QUIC Single,406.97,1,4,4
99,QUIC Single,406.32,1,4,4
100,QUIC Single,407.97,1,4,4
101,QUIC Single,406.54,1,4,4
102,QUIC Single,613.57,1,4,4
103,QUIC Single,405.88,1,4,4
104,QUIC Single,409.99,1,4,4
105,QUIC Single,406.94,1,4,4
106,QUIC Single,428.97,1,4,4
107,QUIC Single,408.21,1,4,4
108,QUIC Single,406.84,1,4,4
109,QUIC Single,425.22,1,4,4
110,QUIC Single,405.47,1,4,4
111,QUIC Single,406.27,1,4,4
112,QUIC Single,406.95,1,4,4
113,QUIC Single,406.57,1,4,4
114,QUIC Single,616.15,1,4,4
115,QUIC Single,406.63,1,4,4
116,QUIC Single,727.34,1,4,4
117,QUIC Single,406.5,1,4,4
118,QUIC Single,406.62,1,4,4
119,QUIC Single,406.79,1,4,4
120,QUIC Single,430.24,1,4,4
121,QUIC Single,405.85,1,4,4
122,QUIC Single,407.14,1,4,4
123,QUIC Single,596.27,1,4,4
124,QUIC Single,406.0,1,4,4
125,QUIC Single,407.08,1,4,4
