execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,QUIC Single,505.96,1,4,4
2,QUIC Single,338.59,1,4,4
3,QUIC Single,339.62,1,4,4
4,QUIC Single,338.12,1,4,4
5,QUIC Single,338.68,1,4,4
6,QUIC Single,338.33,1,4,4
7,QUIC Single,338.57,1,4,4
8,QUIC Single,339.05,1,4,4
9,QUIC Single,338.14,1,4,4
10,QUIC Single,338.75,1,4,4
11,QUIC Single,338.41,1,4,4
12,QUIC Single,338.47,1,4,4
13,QUIC Single,338.5,1,4,4
14,QUIC Single,338.15,1,4,4
15,QUIC Single,338.67,1,4,4
16,QUIC Single,338.31,1,4,4
17,QUIC Single,338.17,1,4,4
18,QUIC Single,338.27,1,4,4
19,QUIC Single,338.2,1,4,4
20,QUIC Single,337.91,1,4,4
21,QUIC Single,338.26,1,4,4
22,QUIC Single,339.44,1,4,4
23,QUIC Single,339.4,1,4,4
24,QUIC Single,339.22,1,4,4
25,QUIC Single,338.31,1,4,4
26,QUIC Single,338.21,1,4,4
27,QUIC Single,338.17,1,4,4
28,QUIC Single,339.48,1,4,4
29,QUIC Single,338.42,1,4,4
30,QUIC Single,338.84,1,4,4
31,QUIC Single,341.3,1,4,4
32,QUIC Single,340.86,1,4,4
33,QUIC Single,339.34,1,4,4
34,QUIC Single,338.29,1,4,4
35,QUIC Single,337.99,1,4,4
36,QUIC Single,339.19,1,4,4
37,QUIC Single,339.1,1,4,4
38,QUIC Single,338.26,1,4,4
39,QUIC Single,338.35,1,4,4
40,QUIC Single,338.09,1,4,4
41,QUIC Single,339.27,1,4,4
42,QUIC Single,339.12,1,4,4
43,QUIC Single,339.61,1,4,4
44,QUIC Single,952.82,1,4,4
45,QUIC Single,339.18,1,4,4
46,QUIC Single,338.78,1,4,4
47,QUIC Single,338.25,1,4,4
48,QUIC Single,338.1,1,4,4
49,QUIC Single,338.04,1,4,4
50,QUIC Single,338.28,1,4,4
51,QUIC Single,338.15,1,4,4
52,QUIC Single,338.11,1,4,4
53,QUIC Single,338.1,1,4,4
54,QUIC Single,338.42,1,4,4
55,QUIC Single,338.05,1,4,4
56,QUIC Single,338.73,1,4,4
57,QUIC Single,338.36,1,4,4
58,QUIC Single,338.07,1,4,4
59,QUIC Single,338.33,1,4,4
60,QUIC Single,338.14,1,4,4
61,QUIC Single,339.38,1,4,4
62,QUIC Single,338.18,1,4,4
63,QUIC Single,338.51,1,4,4
64,QUIC Single,338.45,1,4,4
65,QUIC Single,338.34,1,4,4
66,QUIC Single,338.18,1,4,4
67,QUIC Single,338.36,1,4,4
68,QUIC Single,338.32,1,4,4
69,QUIC Single,338.18,1,4,4
70,QUIC Single,338.28,1,4,4
71,QUIC Single,340.04,1,4,4
72,QUIC Single,338.19,1,4,4
73,QUIC Single,338.14,1,4,4
74,QUIC Single,338.13,1,4,4
75,QUIC Single,337.99,1,4,4
76,QUIC Single,338.56,1,4,4
77,QUIC Single,339.64,1,4,4
78,QUIC Single,338.1,1,4,4
79,QUIC Single,339.42,1,4,4
80,QUIC Single,338.45,1,4,4
81,QUIC Single,339.14,1,4,4
82,QUIC Single,338.03,1,4,4
83,QUIC Single,338.13,1,4,4
84,QUIC Single,338.32,1,4,4
85,QUIC Single,337.93,1,4,4
86,QUIC Single,337.94,1,4,4
87,QUIC Single,339.31,1,4,4
88,QUIC Single,338.26,1,4,4
89,QUIC Single,338.35,1,4,4
90,QUIC Single,338.25,1,4,4
91,QUIC Single,338.14,1,4,4
92,QUIC Single,338.12,1,4,4
93,QUIC Single,337.99,1,4,4
94,QUIC Single,340.08,1,4,4
95,QUIC Single,338.6,1,4,4
96,QUIC Single,338.25,1,4,4
97,QUIC Single,338.22,1,4,4
98,QUIC Single,338.3,1,4,4
99,QUIC Single,339.39,1,4,4
100,QUIC Single,340.15,1,4,4
101,QUIC Single,339.0,1,4,4
102,QUIC Single,338.05,1,4,4
103,QUIC Single,338.04,1,4,4
104,QUIC Single,338.65,1,4,4
105,QUIC Single,338.52,1,4,4
106,QUIC Single,338.01,1,4,4
107,QUIC Single,338.27,1,4,4
108,QUIC Single,338.05,1,4,4
109,QUIC Single,338.12,1,4,4
110,QUIC Single,338.26,1,4,4
111,QUIC Single,340.24,1,4,4
112,QUIC Single,338.13,1,4,4
113,QUIC Single,338.05,1,4,4
114,QUIC Single,338.34,1,4,4
115,QUIC Single,338.11,1,4,4
116,QUIC Single,339.4,1,4,4
117,QUIC Single,339.26,1,4,4
118,QUIC Single,338.55,1,4,4
119,QUIC Single,5339.59,1,4,4
120,QUIC Single,338.1,1,4,4
121,QUIC Single,338.18,1,4,4
122,QUIC Single,951.35,1,4,4
123,QUIC Single,337.94,1,4,4
124,QUIC Single,338.13,1,4,4
125,QUIC Single,338.09,1,4,4
