execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,QUIC Single,1091.07,1,4,4
2,QUIC Single,915.86,1,4,4
3,QUIC Single,926.19,1,4,4
4,QUIC Single,1087.22,1,4,4
5,QUIC Single,952.8,1,4,4
6,QUIC Single,913.64,1,4,4
7,QUIC Single,1191.74,1,4,4
8,QUIC Single,925.52,1,4,4
9,QUIC Single,918.03,1,4,4
10,QUIC Single,916.14,1,4,4
11,QUIC Single,917.5,1,4,4
12,QUIC Single,927.25,1,4,4
13,QUIC Single,915.6,1,4,4
14,QUIC Single,917.55,1,4,4
15,QUIC Single,1081.51,1,4,4
16,QUIC Single,917.59,1,4,4
17,QUIC Single,916.11,1,4,4
18,QUIC Single,927.07,1,4,4
19,QUIC Single,919.37,1,4,4
20,QUIC Single,916.17,1,4,4
21,QUIC Single,918.23,1,4,4
22,QUIC Single,920.85,1,4,4
23,QUIC Single,916.24,1,4,4
24,QUIC Single,915.43,1,4,4
25,QUIC Single,944.17,1,4,4
26,QUIC Single,1102.68,1,4,4
27,QUIC Single,1805.38,1,4,4
28,QUIC Single,939.7,1,4,4
29,QUIC Single,925.22,1,4,4
30,QUIC Single,926.96,1,4,4
31,QUIC Single,925.56,1,4,4
32,QUIC Single,931.58,1,4,4
33,QUIC Single,1082.19,1,4,4
34,QUIC Single,2088.88,1,4,4
35,QUIC Single,926.85,1,4,4
36,QUIC Single,1087.64,1,4,4
37,QUIC Single,916.38,1,4,4
38,QUIC Single,917.36,1,4,4
39,QUIC Single,1079.69,1,4,4
40,QUIC Single,914.09,1,4,4
41,QUIC Single,915.28,1,4,4
42,QUIC Single,1086.09,1,4,4
43,QUIC Single,914.29,1,4,4
44,QUIC Single,913.91,1,4,4
45,QUIC Single,1083.89,1,4,4
46,QUIC Single,915.06,1,4,4
47,QUIC Single,935.29,1,4,4
48,QUIC Single,2291.07,1,4,4
49,QUIC Single,918.41,1,4,4
50,QUIC Single,914.09,1,4,4
51,QUIC Single,952.86,1,4,4
52,QUIC Single,912.45,1,4,4
53,QUIC Single,913.59,1,4,4
54,QUIC Single,914.76,1,4,4
55,QUIC Single,914.88,1,4,4
56,QUIC Single,1095.52,1,4,4
57,QUIC Single,929.67,1,4,4
58,QUIC Single,930.8,1,4,4
59,QUIC Single,916.39,1,4,4
60,QUIC Single,917.5,1,4,4
61,QUIC Single,914.68,1,4,4
62,QUIC Single,917.05,1,4,4
63,QUIC Single,926.99,1,4,4
64,QUIC Single,915.35,1,4,4
65,QUIC Single,1204.77,1,4,4
66,QUIC Single,958.25,1,4,4
67,QUIC Single,1084.26,1,4,4
68,QUIC Single,912.53,1,4,4
69,QUIC Single,913.68,1,4,4
70,QUIC Single,917.87,1,4,4
71,QUIC Single,1091.0,1,4,4
72,QUIC Single,921.83,1,4,4
73,QUIC Single,918.27,1,4,4
74,QUIC Single,914.9,1,4,4
75,QUIC Single,926.69,1,4,4
76,QUIC Single,915.48,1,4,4
77,QUIC Single,1094.3,1,4,4
78,QUIC Single,916.85,1,4,4
79,QUIC Single,924.73,1,4,4
80,QUIC Single,916.03,1,4,4
81,QUIC Single,925.75,1,4,4
82,QUIC Single,1082.56,1,4,4
83,QUIC Single,918.79,1,4,4
84,QUIC Single,918.17,1,4,4
85,QUIC Single,1094.92,1,4,4
86,QUIC Single,914.95,1,4,4
87,QUIC Single,914.12,1,4,4
88,QUIC Single,918.66,1,4,4
89,QUIC Single,916.59,1,4,4
90,QUIC Single,928.67,1,4,4
91,QUIC Single,915.26,1,4,4
92,QUIC Single,915.12,1,4,4
93,QUIC Single,916.12,1,4,4
94,QUIC Single,1093.65,1,4,4
95,QUIC Single,916.75,1,4,4
96,QUIC Single,919.1,1,4,4
97,QUIC Single,916.7,1,4,4
98,QUIC Single,913.73,1,4,4
99,QUIC Single,914.45,1,4,4
100,QUIC Single,1081.96,1,4,4
101,QUIC Single,926.68,1,4,4
102,QUIC Single,918.12,1,4,4
103,QUIC Single,2090.08,1,4,4
104,QUIC Single,917.49,1,4,4
105,QUIC Single,1080.24,1,4,4
106,QUIC Single,1084.03,1,4,4
107,QUIC Single,817.19,1,4,4
108,QUIC Single,1085.58,1,4,4
109,QUIC Single,916.48,1,4,4
110,QUIC Single,913.95,1,4,4
111,QUIC Single,918.86,1,4,4
112,QUIC Single,931.1,1,4,4
113,QUIC Single,916.14,1,4,4
114,QUIC Single,916.24,1,4,4
115,QUIC Single,2088.4,1,4,4
116,QUIC Single,913.88,1,4,4
117,QUIC Single,924.29,1,4,4
118,QUIC Single,924.08,1,4,4
119,QUIC Single,927.26,1,4,4
120,QUIC Single,1081.82,1,4,4
121,QUIC Single,916.41,1,4,4
122,QUIC Single,916.69,1,4,4
123,QUIC Single,917.83,1,4,4
124,QUIC Single,937.64,1,4,4
125,QUIC Single,918.93,1,4,4
