execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,QUIC Single,345.04,1,1,4
2,QUIC Single,177.07,1,1,4
3,QUIC Single,176.84,1,1,4
4,QUIC Single,177.79,1,1,4
5,QUIC Single,180.15,1,1,4
6,QUIC Single,177.27,1,1,4
7,QUIC Single,177.6,1,1,4
8,QUIC Single,180.08,1,1,4
9,QUIC Single,180.25,1,1,4
10,QUIC Single,176.53,1,1,4
11,QUIC Single,176.98,1,1,4
12,QUIC Single,1178.25,1,1,4
13,QUIC Single,177.43,1,1,4
14,QUIC Single,176.94,1,1,4
15,QUIC Single,177.82,1,1,4
16,QUIC Single,180.32,1,1,4
17,QUIC Single,177.29,1,1,4
18,QUIC Single,177.17,1,1,4
19,QUIC Single,177.68,1,1,4
20,QUIC Single,177.56,1,1,4
21,QUIC Single,176.52,1,1,4
22,QUIC Single,179.98,1,1,4
23,QUIC Single,176.03,1,1,4
24,QUIC Single,174.96,1,1,4
25,QUIC Single,175.92,1,1,4
26,QUIC Single,176.17,1,1,4
27,QUIC Single,176.79,1,1,4
28,QUIC Single,1176.77,1,1,4
29,QUIC Single,177.33,1,1,4
30,QUIC Single,176.69,1,1,4
31,QUIC Single,176.75,1,1,4
32,QUIC Single,176.36,1,1,4
33,QUIC Single,175.57,1,1,4
34,QUIC Single,176.0,1,1,4
35,QUIC Single,176.89,1,1,4
36,QUIC Single,176.33,1,1,4
37,QUIC Single,180.28,1,1,4
38,QUIC Single,181.09,1,1,4
39,QUIC Single,177.56,1,1,4
40,QUIC Single,177.26,1,1,4
41,QUIC Single,176.96,1,1,4
42,QUIC Single,176.48,1,1,4
43,QUIC Single,177.02,1,1,4
44,QUIC Single,175.44,1,1,4
45,QUIC Single,175.45,1,1,4
46,QUIC Single,175.79,1,1,4
47,QUIC Single,177.43,1,1,4
48,QUIC Single,176.9,1,1,4
49,QUIC Single,176.65,1,1,4
50,QUIC Single,176.62,1,1,4
51,QUIC Single,175.93,1,1,4
52,QUIC Single,175.2,1,1,4
53,QUIC Single,175.73,1,1,4
54,QUIC Single,175.04,1,1,4
55,QUIC Single,175.89,1,1,4
56,QUIC Single,178.25,1,1,4
57,QUIC Single,177.82,1,1,4
58,QUIC Single,179.61,1,1,4
59,QUIC Single,179.51,1,1,4
60,QUIC Single,178.62,1,1,4
61,QUIC Single,182.33,1,1,4
62,QUIC Single,176.74,1,1,4
63,QUIC Single,177.46,1,1,4
64,QUIC Single,176.85,1,1,4
65,QUIC Single,177.81,1,1,4
66,QUIC Single,178.93,1,1,4
67,QUIC Single,177.52,1,1,4
68,QUIC Single,175.99,1,1,4
69,QUIC Single,176.06,1,1,4
70,QUIC Single,179.49,1,1,4
71,QUIC Single,176.7,1,1,4
72,QUIC Single,176.07,1,1,4
73,QUIC Single,175.07,1,1,4
74,QUIC Single,176.39,1,1,4
75,QUIC Single,176.74,1,1,4
76,QUIC Single,178.86,1,1,4
77,QUIC Single,177.58,1,1,4
78,QUIC Single,176.98,1,1,4
79,QUIC Single,179.83,1,1,4
80,QUIC Single,177.33,1,1,4
81,QUIC Single,176.89,1,1,4
82,QUIC Single,177.4,1,1,4
83,QUIC Single,179.74,1,1,4
84,QUIC Single,176.97,1,1,4
85,QUIC Single,177.25,1,1,4
86,QUIC Single,176.16,1,1,4
87,QUIC Single,175.6,1,1,4
88,QUIC Single,175.85,1,1,4
89,QUIC Single,175.56,1,1,4
90,QUIC Single,175.68,1,1,4
91,QUIC Single,176.5,1,1,4
92,QUIC Single,175.52,1,1,4
93,QUIC Single,179.38,1,1,4
94,QUIC Single,175.62,1,1,4
95,QUIC Single,178.61,1,1,4
96,QUIC Single,177.12,1,1,4
97,QUIC Single,176.85,1,1,4
98,QUIC Single,178.5,1,1,4
99,QUIC Single,180.13,1,1,4
100,QUIC Single,176.41,1,1,4
101,QUIC Single,181.49,1,1,4
102,QUIC Single,175.22,1,1,4
103,QUIC Single,177.13,1,1,4
104,QUIC Single,176.07,1,1,4
105,QUIC Single,180.36,1,1,4
106,QUIC Single,179.48,1,1,4
107,QUIC Single,175.63,1,1,4
108,QUIC Single,177.48,1,1,4
109,QUIC Single,177.49,1,1,4
110,QUIC Single,1180.77,1,1,4
111,QUIC Single,177.86,1,1,4
112,QUIC Single,177.49,1,1,4
113,QUIC Single,177.52,1,1,4
114,QUIC Single,176.96,1,1,4
115,QUIC Single,176.61,1,1,4
116,QUIC Single,181.75,1,1,4
117,QUIC Single,176.79,1,1,4
118,QUIC Single,176.71,1,1,4
119,QUIC Single,181.71,1,1,4
120,QUIC Single,175.97,1,1,4
121,QUIC Single,176.89,1,1,4
122,QUIC Single,177.19,1,1,4
123,QUIC Single,176.12,1,1,4
124,QUIC Single,176.89,1,1,4
125,QUIC Single,175.76,1,1,4
