execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,QUIC Single,380.24,1,3,4
2,QUIC Single,228.58,1,3,4
3,QUIC Single,219.78,1,3,4
4,QUIC Single,212.68,1,3,4
5,QUIC Single,212.4,1,3,4
6,QUIC Single,223.68,1,3,4
7,QUIC Single,212.9,1,3,4
8,QUIC Single,225.35,1,3,4
9,QUIC Single,230.85,1,3,4
10,QUIC Single,231.0,1,3,4
11,QUIC Single,212.52,1,3,4
12,QUIC Single,229.72,1,3,4
13,QUIC Single,226.5,1,3,4
14,QUIC Single,217.1,1,3,4
15,QUIC Single,212.41,1,3,4
16,QUIC Single,227.23,1,3,4
17,QUIC Single,212.27,1,3,4
18,QUIC Single,212.26,1,3,4
19,QUIC Single,212.84,1,3,4
20,QUIC Single,212.69,1,3,4
21,QUIC Single,231.58,1,3,4
22,QUIC Single,226.02,1,3,4
23,QUIC Single,212.17,1,3,4
24,QUIC Single,217.03,1,3,4
25,QUIC Single,212.43,1,3,4
26,QUIC Single,212.12,1,3,4
27,QUIC Single,212.7,1,3,4
28,QUIC Single,212.37,1,3,4
29,QUIC Single,212.62,1,3,4
30,QUIC Single,212.28,1,3,4
31,QUIC Single,212.49,1,3,4
32,QUIC Single,212.23,1,3,4
33,QUIC Single,212.52,1,3,4
34,QUIC Single,212.7,1,3,4
35,QUIC Single,212.54,1,3,4
36,QUIC Single,212.36,1,3,4
37,QUIC Single,238.14,1,3,4
38,QUIC Single,212.29,1,3,4
39,QUIC Single,227.13,1,3,4
40,QUIC Single,1736.84,1,3,4
41,QUIC Single,212.01,1,3,4
42,QUIC Single,212.29,1,3,4
43,QUIC Single,212.22,1,3,4
44,QUIC Single,212.39,1,3,4
45,QUIC Single,212.55,1,3,4
46,QUIC Single,212.28,1,3,4
47,QUIC Single,212.41,1,3,4
48,QUIC Single,212.19,1,3,4
49,QUIC Single,212.35,1,3,4
50,QUIC Single,212.31,1,3,4
51,QUIC Single,231.18,1,3,4
52,QUIC Single,212.81,1,3,4
53,QUIC Single,212.31,1,3,4
54,QUIC Single,212.5,1,3,4
55,QUIC Single,212.22,1,3,4
56,QUIC Single,231.47,1,3,4
57,QUIC Single,212.38,1,3,4
58,QUIC Single,212.29,1,3,4
59,QUIC Single,212.25,1,3,4
60,QUIC Single,212.09,1,3,4
61,QUIC Single,212.19,1,3,4
62,QUIC Single,212.38,1,3,4
63,QUIC Single,212.2,1,3,4
64,QUIC Single,212.3,1,3,4
65,QUIC Single,212.25,1,3,4
66,QUIC Single,230.3,1,3,4
67,QUIC Single,212.62,1,3,4
68,QUIC Single,212.3,1,3,4
69,QUIC Single,212.31,1,3,4
70,QUIC Single,212.22,1,3,4
71,QUIC Single,212.21,1,3,4
72,QUIC Single,213.33,1,3,4
73,QUIC Single,212.23,1,3,4
74,QUIC Single,227.36,1,3,4
75,QUIC Single,213.41,1,3,4
76,QUIC Single,212.5,1,3,4
77,QUIC Single,212.55,1,3,4
78,QUIC Single,212.3,1,3,4
79,QUIC Single,212.24,1,3,4
80,QUIC Single,212.29,1,3,4
81,QUIC Single,230.65,1,3,4
82,QUIC Single,212.6,1,3,4
83,QUIC Single,212.36,1,3,4
84,QUIC Single,225.81,1,3,4
85,QUIC Single,237.72,1,3,4
86,QUIC Single,212.54,1,3,4
87,QUIC Single,212.43,1,3,4
88,QUIC Single,229.63,1,3,4
89,QUIC Single,213.12,1,3,4
90,QUIC Single,230.31,1,3,4
91,QUIC Single,212.41,1,3,4
92,QUIC Single,212.57,1,3,4
93,QUIC Single,212.72,1,3,4
94,QUIC Single,212.99,1,3,4
95,QUIC Single,212.5,1,3,4
96,QUIC Single,1738.11,1,3,4
97,QUIC Single,241.76,1,3,4
98,QUIC Single,212.29,1,3,4
99,QUIC Single,212.25,1,3,4
100,QUIC Single,212.39,1,3,4
101,QUIC Single,212.34,1,3,4
102,QUIC Single,212.42,1,3,4
103,QUIC Single,212.16,1,3,4
104,QUIC Single,212.18,1,3,4
105,QUIC Single,212.1,1,3,4
106,QUIC Single,213.0,1,3,4
107,QUIC Single,213.14,1,3,4
108,QUIC Single,212.14,1,3,4
109,QUIC Single,212.26,1,3,4
110,QUIC Single,212.29,1,3,4
111,QUIC Single,212.44,1,3,4
112,QUIC Single,227.32,1,3,4
113,QUIC Single,212.39,1,3,4
114,QUIC Single,212.35,1,3,4
115,QUIC Single,212.23,1,3,4
116,QUIC Single,212.44,1,3,4
117,QUIC Single,213.28,1,3,4
118,QUIC Single,212.23,1,3,4
119,QUIC Single,212.6,1,3,4
120,QUIC Single,227.06,1,3,4
121,QUIC Single,213.16,1,3,4
122,QUIC Single,213.08,1,3,4
123,QUIC Single,1739.02,1,3,4
124,QUIC Single,241.18,1,3,4
125,QUIC Single,212.07,1,3,4
