security_level,kem,sig_classical,sig_pq,n_blocks_common,classical_mean_ms,pq_mean_ms,delta_ms,delta_ci95_low,delta_ci95_high,significant_paired_bootstrap,exact_permutation_p,exact_permutation_min_p
L1,P-256,ed25519,mldsa44,4,354.421,342.3031,12.1179,-21.9279,51.8208,non,0.625,0.125
L1,hqc128,ed25519,mldsa44,4,83.324,182.1926,-98.8686,-169.8647,-47.5186,oui,0.125,0.125
L1,mlkem512,ed25519,mldsa44,4,253.1182,411.1941,-158.0759,-210.7399,-107.2749,oui,0.125,0.125
L1,p256_hqc128,ed25519,mldsa44,4,112.6579,184.4809,-71.823,-113.6077,-37.2918,oui,0.125,0.125
L1,p256_mlkem512,ed25519,mldsa44,4,241.4579,283.0785,-41.6207,-74.8723,13.7204,non,0.25,0.125
L1,x25519,ed25519,mldsa44,4,265.3971,402.6965,-137.2994,-179.9105,-94.6884,oui,0.125,0.125
L1,x25519_hqc128,ed25519,mldsa44,4,139.9587,150.2734,-10.3147,-52.3475,45.0417,non,0.75,0.125
L1,x25519_mlkem512,ed25519,mldsa44,4,256.1161,300.2028,-44.0867,-59.8663,-19.5131,oui,0.125,0.125
L3,P-384,secp384r1,mldsa65,4,441.3019,649.4594,-208.1575,-368.9578,-91.7801,oui,0.125,0.125
L3,hqc192,secp384r1,mldsa65,4,132.9318,162.628,-29.6962,-53.7117,-9.5747,oui,0.125,0.125
L3,mlkem768,secp384r1,mldsa65,4,213.4233,473.6572,-260.2339,-315.3242,-180.9914,oui,0.125,0.125
L3,p384_hqc192,secp384r1,mldsa65,4,168.5185,164.1581,4.3603,-29.0521,37.7728,non,0.875,0.125
L3,p384_mlkem768,secp384r1,mldsa65,4,219.1756,428.2966,-209.121,-326.7389,-136.3043,oui,0.125,0.125
L3,x448,secp384r1,mldsa65,4,299.4544,635.0081,-335.5537,-374.2084,-301.0811,oui,0.125,0.125
L3,x448_hqc192,secp384r1,mldsa65,4,138.2871,178.9892,-40.7021,-98.8512,-6.8898,oui,0.125,0.125
L3,x448_mlkem768,secp384r1,mldsa65,4,233.0109,550.2069,-317.196,-416.6441,-190.7996,oui,0.125,0.125
L5,P-521,secp521r1,mldsa87,4,326.4306,719.5002,-393.0696,-561.5722,-269.4821,oui,0.125,0.125
L5,hqc256,secp521r1,mldsa87,4,163.3332,204.7962,-41.463,-84.4576,-8.7009,oui,0.25,0.125
L5,mlkem1024,secp521r1,mldsa87,4,268.994,540.1623,-271.1683,-341.129,-165.8107,oui,0.125,0.125
L5,p521_hqc256,secp521r1,mldsa87,4,221.8184,260.5992,-38.7808,-98.3753,25.1036,non,0.375,0.125
L5,p521_mlkem1024,secp521r1,mldsa87,4,232.6723,477.6674,-244.9951,-331.1245,-161.8301,oui,0.125,0.125
