execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,QUIC Single,1024.9,1,3,4
2,QUIC Single,8.8,1,3,4
3,QUIC Single,8.58,1,3,4
4,QUIC Single,8.68,1,3,4
5,QUIC Single,13.58,1,3,4
6,QUIC Single,13.45,1,3,4
7,QUIC Single,13.46,1,3,4
8,QUIC Single,8.78,1,3,4
9,QUIC Single,8.99,1,3,4
10,QUIC Single,8.54,1,3,4
11,QUIC Single,8.87,1,3,4
12,QUIC Single,1009.95,1,3,4
13,QUIC Single,1008.1,1,3,4
14,QUIC Single,9.75,1,3,4
15,QUIC Single,8.92,1,3,4
16,QUIC Single,8.89,1,3,4
17,QUIC Single,8.74,1,3,4
18,QUIC Single,9.34,1,3,4
19,QUIC Single,8.48,1,3,4
20,QUIC Single,8.55,1,3,4
21,QUIC Single,8.97,1,3,4
22,QUIC Single,1011.41,1,3,4
23,QUIC Single,8.71,1,3,4
24,QUIC Single,1034.28,1,3,4
25,QUIC Single,9.75,1,3,4
26,QUIC Single,1032.97,1,3,4
27,QUIC Single,1034.86,1,3,4
28,QUIC Single,9.71,1,3,4
29,QUIC Single,1013.16,1,3,4
30,QUIC Single,13.7,1,3,4
31,QUIC Single,8.6,1,3,4
32,QUIC Single,8.66,1,3,4
33,QUIC Single,12.67,1,3,4
34,QUIC Single,16.29,1,3,4
35,QUIC Single,9.3,1,3,4
36,QUIC Single,8.51,1,3,4
37,QUIC Single,3006.53,1,3,4
38,QUIC Single,9.54,1,3,4
39,QUIC Single,8.67,1,3,4
40,QUIC Single,9.07,1,3,4
41,QUIC Single,9.88,1,3,4
42,QUIC Single,8.75,1,3,4
43,QUIC Single,8.77,1,3,4
44,QUIC Single,8.72,1,3,4
45,QUIC Single,1033.75,1,3,4
46,QUIC Single,3011.3,1,3,4
47,QUIC Single,9.58,1,3,4
48,QUIC Single,8.7,1,3,4
49,QUIC Single,1008.32,1,3,4
50,QUIC Single,7008.62,1,3,4
51,QUIC Single,8.47,1,3,4
52,QUIC Single,8.57,1,3,4
53,QUIC Single,13.3,1,3,4
54,QUIC Single,1038.44,1,3,4
55,QUIC Single,8.61,1,3,4
56,QUIC Single,1011.33,1,3,4
57,QUIC Single,8.67,1,3,4
58,QUIC Single,8.62,1,3,4
59,QUIC Single,1011.27,1,3,4
60,QUIC Single,8.54,1,3,4
61,QUIC Single,8.46,1,3,4
62,QUIC Single,9.77,1,3,4
63,QUIC Single,10.2,1,3,4
64,QUIC Single,13.64,1,3,4
65,QUIC Single,13.62,1,3,4
66,QUIC Single,16.27,1,3,4
67,QUIC Single,8.91,1,3,4
68,QUIC Single,8.79,1,3,4
69,QUIC Single,10.13,1,3,4
70,QUIC Single,8.79,1,3,4
71,QUIC Single,13.36,1,3,4
72,QUIC Single,1011.1,1,3,4
73,QUIC Single,9.66,1,3,4
74,QUIC Single,8.66,1,3,4
75,QUIC Single,1033.66,1,3,4
76,QUIC Single,9.66,1,3,4
77,QUIC Single,1007.89,1,3,4
78,QUIC Single,9.15,1,3,4
79,QUIC Single,8.5,1,3,4
80,QUIC Single,9.05,1,3,4
81,QUIC Single,8.63,1,3,4
82,QUIC Single,1027.67,1,3,4
83,QUIC Single,9.7,1,3,4
84,QUIC Single,1015.59,1,3,4
85,QUIC Single,8.77,1,3,4
86,QUIC Single,8.57,1,3,4
87,QUIC Single,8.75,1,3,4
88,QUIC Single,13.29,1,3,4
89,QUIC Single,9.81,1,3,4
90,QUIC Single,1029.86,1,3,4
91,QUIC Single,13.49,1,3,4
92,QUIC Single,9.71,1,3,4
93,QUIC Single,8.56,1,3,4
94,QUIC Single,8.64,1,3,4
95,QUIC Single,1011.32,1,3,4
96,QUIC Single,8.51,1,3,4
97,QUIC Single,1063.19,1,3,4
98,QUIC Single,1034.11,1,3,4
99,QUIC Single,1011.24,1,3,4
100,QUIC Single,1059.06,1,3,4
101,QUIC Single,8.51,1,3,4
102,QUIC Single,12.17,1,3,4
103,QUIC Single,8.46,1,3,4
104,QUIC Single,8.54,1,3,4
105,QUIC Single,8.97,1,3,4
106,QUIC Single,13.33,1,3,4
107,QUIC Single,1009.74,1,3,4
108,QUIC Single,9.69,1,3,4
109,QUIC Single,1011.94,1,3,4
110,QUIC Single,8.85,1,3,4
111,QUIC Single,8.57,1,3,4
112,QUIC Single,8.49,1,3,4
113,QUIC Single,13.92,1,3,4
114,QUIC Single,9.89,1,3,4
115,QUIC Single,1011.3,1,3,4
116,QUIC Single,9.03,1,3,4
117,QUIC Single,8.88,1,3,4
118,QUIC Single,8.75,1,3,4
119,QUIC Single,8.59,1,3,4
120,QUIC Single,8.59,1,3,4
121,QUIC Single,1009.82,1,3,4
122,QUIC Single,1043.8,1,3,4
123,QUIC Single,8.53,1,3,4
124,QUIC Single,8.62,1,3,4
125,QUIC Single,8.67,1,3,4
