execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,QUIC Single,29.24,1,1,4
2,QUIC Single,24.76,1,1,4
3,QUIC Single,24.73,1,1,4
4,QUIC Single,25.22,1,1,4
5,QUIC Single,63.31,1,1,4
6,QUIC Single,27.93,1,1,4
7,QUIC Single,33.11,1,1,4
8,QUIC Single,28.62,1,1,4
9,QUIC Single,1121.8,1,1,4
10,QUIC Single,27.38,1,1,4
11,QUIC Single,26.08,1,1,4
12,QUIC Single,25.91,1,1,4
13,QUIC Single,24.79,1,1,4
14,QUIC Single,25.27,1,1,4
15,QUIC Single,24.39,1,1,4
16,QUIC Single,121.26,1,1,4
17,QUIC Single,27.28,1,1,4
18,QUIC Single,25.46,1,1,4
19,QUIC Single,26.83,1,1,4
20,QUIC Single,26.84,1,1,4
21,QUIC Single,26.39,1,1,4
22,QUIC Single,25.95,1,1,4
23,QUIC Single,23.91,1,1,4
24,QUIC Single,61.62,1,1,4
25,QUIC Single,25.11,1,1,4
26,QUIC Single,82.99,1,1,4
27,QUIC Single,34.37,1,1,4
28,QUIC Single,24.62,1,1,4
29,QUIC Single,24.59,1,1,4
30,QUIC Single,25.75,1,1,4
31,QUIC Single,61.59,1,1,4
32,QUIC Single,54.64,1,1,4
33,QUIC Single,33.98,1,1,4
34,QUIC Single,24.35,1,1,4
35,QUIC Single,24.31,1,1,4
36,QUIC Single,24.07,1,1,4
37,QUIC Single,29.84,1,1,4
38,QUIC Single,83.84,1,1,4
39,QUIC Single,35.08,1,1,4
40,QUIC Single,32.04,1,1,4
41,QUIC Single,24.5,1,1,4
42,QUIC Single,24.84,1,1,4
43,QUIC Single,24.15,1,1,4
44,QUIC Single,24.19,1,1,4
45,QUIC Single,24.99,1,1,4
46,QUIC Single,68.42,1,1,4
47,QUIC Single,25.12,1,1,4
48,QUIC Single,52.1,1,1,4
49,QUIC Single,164.9,1,1,4
50,QUIC Single,57.67,1,1,4
51,QUIC Single,24.84,1,1,4
52,QUIC Single,86.48,1,1,4
53,QUIC Single,59.56,1,1,4
54,QUIC Single,1138.4,1,1,4
55,QUIC Single,25.05,1,1,4
56,QUIC Single,24.32,1,1,4
57,QUIC Single,2019.44,1,1,4
58,QUIC Single,24.93,1,1,4
59,QUIC Single,53.04,1,1,4
60,QUIC Single,28.58,1,1,4
61,QUIC Single,23.79,1,1,4
62,QUIC Single,24.49,1,1,4
63,QUIC Single,28.7,1,1,4
64,QUIC Single,30.32,1,1,4
65,QUIC Single,24.52,1,1,4
66,QUIC Single,24.12,1,1,4
67,QUIC Single,26.92,1,1,4
68,QUIC Single,1031.96,1,1,4
69,QUIC Single,32.41,1,1,4
70,QUIC Single,25.17,1,1,4
71,QUIC Single,34.08,1,1,4
72,QUIC Single,30.36,1,1,4
73,QUIC Single,24.75,1,1,4
74,QUIC Single,24.47,1,1,4
75,QUIC Single,24.09,1,1,4
76,QUIC Single,1091.14,1,1,4
77,QUIC Single,25.21,1,1,4
78,QUIC Single,78.71,1,1,4
79,QUIC Single,33.81,1,1,4
80,QUIC Single,25.19,1,1,4
81,QUIC Single,34.79,1,1,4
82,QUIC Single,1085.84,1,1,4
83,QUIC Single,30.09,1,1,4
84,QUIC Single,54.51,1,1,4
85,QUIC Single,137.87,1,1,4
86,QUIC Single,23.68,1,1,4
87,QUIC Single,64.62,1,1,4
88,QUIC Single,25.03,1,1,4
89,QUIC Single,48.84,1,1,4
90,QUIC Single,24.39,1,1,4
91,QUIC Single,30.32,1,1,4
92,QUIC Single,27.67,1,1,4
93,QUIC Single,119.94,1,1,4
94,QUIC Single,1023.62,1,1,4
95,QUIC Single,1022.32,1,1,4
96,QUIC Single,33.99,1,1,4
97,QUIC Single,145.4,1,1,4
98,QUIC Single,34.05,1,1,4
99,QUIC Single,24.18,1,1,4
100,QUIC Single,60.48,1,1,4
101,QUIC Single,34.19,1,1,4
102,QUIC Single,23.96,1,1,4
103,QUIC Single,24.84,1,1,4
104,QUIC Single,26.28,1,1,4
105,QUIC Single,25.88,1,1,4
106,QUIC Single,24.84,1,1,4
107,QUIC Single,24.54,1,1,4
108,QUIC Single,1049.03,1,1,4
109,QUIC Single,24.29,1,1,4
110,QUIC Single,1176.86,1,1,4
111,QUIC Single,1032.95,1,1,4
112,QUIC Single,29.75,1,1,4
113,QUIC Single,61.78,1,1,4
114,QUIC Single,62.49,1,1,4
115,QUIC Single,26.68,1,1,4
116,QUIC Single,25.14,1,1,4
117,QUIC Single,27.75,1,1,4
118,QUIC Single,28.0,1,1,4
119,QUIC Single,54.49,1,1,4
120,QUIC Single,33.85,1,1,4
121,QUIC Single,28.17,1,1,4
122,QUIC Single,28.05,1,1,4
123,QUIC Single,28.05,1,1,4
124,QUIC Single,2027.87,1,1,4
125,QUIC Single,55.04,1,1,4
