execution,mode,handshake_duration_ms,success
1,QUIC Single,1031.55,1
2,QUIC Single,149.42,1
3,QUIC Single,87.19,1
4,QUIC Single,19.29,1
5,QUIC Single,242.48,1
6,QUIC Single,47.74,1
7,QUIC Single,15.95,1
8,QUIC Single,21.26,1
9,QUIC Single,19.03,1
10,QUIC Single,28.37,1
11,QUIC Single,15.78,1
12,QUIC Single,16.55,1
13,QUIC Single,1016.5,1
14,QUIC Single,16.04,1
15,QUIC Single,19.18,1
16,QUIC Single,14.83,1
17,QUIC Single,15.81,1
18,QUIC Single,18.88,1
19,QUIC Single,15.05,1
20,QUIC Single,15.66,1
21,QUIC Single,15.74,1
22,QUIC Single,48.85,1
23,QUIC Single,23.02,1
24,QUIC Single,19.67,1
25,QUIC Single,2043.37,1
26,QUIC Single,1018.33,1
27,QUIC Single,50.21,1
28,QUIC Single,54.7,1
29,QUIC Single,18.07,1
30,QUIC Single,25.96,1
31,QUIC Single,14.79,1
32,QUIC Single,24.78,1
33,QUIC Single,47.0,1
34,QUIC Single,22.18,1
35,QUIC Single,14.14,1
36,QUIC Single,1017.46,1
37,QUIC Single,17.38,1
38,QUIC Single,59.88,1
39,QUIC Single,50.58,1
40,QUIC Single,13.78,1
41,QUIC Single,18.15,1
42,QUIC Single,17.8,1
43,QUIC Single,17.2,1
44,QUIC Single,16.84,1
45,QUIC Single,15.68,1
46,QUIC Single,16.12,1
47,QUIC Single,15.96,1
48,QUIC Single,44.61,1
49,QUIC Single,16.8,1
50,QUIC Single,16.83,1
51,QUIC Single,19.32,1
52,QUIC Single,21.52,1
53,QUIC Single,45.99,1
54,QUIC Single,15.45,1
55,QUIC Single,1019.3,1
56,QUIC Single,19.71,1
57,QUIC Single,24.01,1
58,QUIC Single,2036.92,1
59,QUIC Single,15.12,1
60,QUIC Single,14.86,1
61,QUIC Single,18.11,1
62,QUIC Single,24.77,1
63,QUIC Single,17.01,1
64,QUIC Single,19.23,1
65,QUIC Single,57.34,1
66,QUIC Single,1070.9,1
67,QUIC Single,17.0,1
68,QUIC Single,16.76,1
69,QUIC Single,15.69,1
70,QUIC Single,16.07,1
71,QUIC Single,1018.21,1
72,QUIC Single,15.59,1
73,QUIC Single,22.62,1
74,QUIC Single,2036.48,1
75,QUIC Single,18.75,1
76,QUIC Single,23.59,1
77,QUIC Single,22.35,1
78,QUIC Single,44.02,1
79,QUIC Single,32.86,1
80,QUIC Single,17.22,1
81,QUIC Single,26.62,1
82,QUIC Single,1025.63,1
83,QUIC Single,3019.86,1
84,QUIC Single,19.48,1
85,QUIC Single,20.02,1
86,QUIC Single,22.04,1
87,QUIC Single,15.9,1
88,QUIC Single,16.77,1
89,QUIC Single,2015.03,1
90,QUIC Single,18.96,1
91,QUIC Single,112.37,1
92,QUIC Single,17.44,1
93,QUIC Single,20.35,1
94,QUIC Single,18.43,1
95,QUIC Single,50.82,1
96,QUIC Single,18.02,1
97,QUIC Single,49.01,1
98,QUIC Single,50.9,1
99,QUIC Single,1017.02,1
100,QUIC Single,14.88,1
101,QUIC Single,15.36,1
102,QUIC Single,21.56,1
103,QUIC Single,14.72,1
104,QUIC Single,108.98,1
105,QUIC Single,24.04,1
106,QUIC Single,16.28,1
107,QUIC Single,1015.52,1
108,QUIC Single,45.15,1
109,QUIC Single,2036.8,1
110,QUIC Single,13.62,1
111,QUIC Single,19.93,1
112,QUIC Single,4008.42,1
113,QUIC Single,20.2,1
114,QUIC Single,12.67,1
115,QUIC Single,1015.86,1
116,QUIC Single,1019.76,1
117,QUIC Single,12.41,1
118,QUIC Single,12.53,1
119,QUIC Single,44.76,1
120,QUIC Single,13.39,1
121,QUIC Single,12.28,1
122,QUIC Single,43.0,1
123,QUIC Single,43.58,1
124,QUIC Single,12.79,1
125,QUIC Single,12.32,1
126,QUIC Single,15.31,1
127,QUIC Single,1014.59,1
128,QUIC Single,12.81,1
129,QUIC Single,51.59,1
130,QUIC Single,13.32,1
131,QUIC Single,82.15,1
132,QUIC Single,13.53,1
133,QUIC Single,4010.61,1
134,QUIC Single,19.45,1
135,QUIC Single,12.58,1
136,QUIC Single,13.46,1
137,QUIC Single,12.75,1
138,QUIC Single,4036.57,1
139,QUIC Single,12.41,1
140,QUIC Single,12.39,1
141,QUIC Single,2067.01,1
142,QUIC Single,44.51,1
143,QUIC Single,44.61,1
144,QUIC Single,14.75,1
145,QUIC Single,13.47,1
146,QUIC Single,15.37,1
147,QUIC Single,12.85,1
148,QUIC Single,13.26,1
149,QUIC Single,19.65,1
150,QUIC Single,44.8,1
151,QUIC Single,12.37,1
152,QUIC Single,13.31,1
153,QUIC Single,19.51,1
154,QUIC Single,54.93,1
155,QUIC Single,12.42,1
