execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,QUIC Single,14.77,1,1,4
2,QUIC Single,10.1,1,1,4
3,QUIC Single,39.73,1,1,4
4,QUIC Single,8.93,1,1,4
5,QUIC Single,1011.84,1,1,4
6,QUIC Single,9.78,1,1,4
7,QUIC Single,10.82,1,1,4
8,QUIC Single,10.37,1,1,4
9,QUIC Single,10.23,1,1,4
10,QUIC Single,8.76,1,1,4
11,QUIC Single,2032.59,1,1,4
12,QUIC Single,12.29,1,1,4
13,QUIC Single,52.98,1,1,4
14,QUIC Single,9.76,1,1,4
15,QUIC Single,2014.03,1,1,4
16,QUIC Single,41.27,1,1,4
17,QUIC Single,11.85,1,1,4
18,QUIC Single,3007.17,1,1,4
19,QUIC Single,215.72,1,1,4
20,QUIC Single,9.6,1,1,4
21,QUIC Single,10.28,1,1,4
22,QUIC Single,39.09,1,1,4
23,QUIC Single,8.7,1,1,4
24,QUIC Single,40.7,1,1,4
25,QUIC Single,13.71,1,1,4
26,QUIC Single,8.9,1,1,4
27,QUIC Single,101.46,1,1,4
28,QUIC Single,1010.11,1,1,4
29,QUIC Single,45.09,1,1,4
30,QUIC Single,8.98,1,1,4
31,QUIC Single,9.14,1,1,4
32,QUIC Single,10.35,1,1,4
33,QUIC Single,10.75,1,1,4
34,QUIC Single,39.47,1,1,4
35,QUIC Single,9.45,1,1,4
36,QUIC Single,9.85,1,1,4
37,QUIC Single,8.81,1,1,4
38,QUIC Single,13.68,1,1,4
39,QUIC Single,9.92,1,1,4
40,QUIC Single,43.72,1,1,4
41,QUIC Single,8.7,1,1,4
42,QUIC Single,9.04,1,1,4
43,QUIC Single,9.09,1,1,4
44,QUIC Single,8.67,1,1,4
45,QUIC Single,39.7,1,1,4
46,QUIC Single,8.77,1,1,4
47,QUIC Single,9.44,1,1,4
48,QUIC Single,9.07,1,1,4
49,QUIC Single,8.94,1,1,4
50,QUIC Single,14.68,1,1,4
51,QUIC Single,10.12,1,1,4
52,QUIC Single,10.29,1,1,4
53,QUIC Single,10.13,1,1,4
54,QUIC Single,13.97,1,1,4
55,QUIC Single,8.92,1,1,4
56,QUIC Single,9.4,1,1,4
57,QUIC Single,9.2,1,1,4
58,QUIC Single,98.18,1,1,4
59,QUIC Single,8.98,1,1,4
60,QUIC Single,8.86,1,1,4
61,QUIC Single,1012.46,1,1,4
62,QUIC Single,12.55,1,1,4
63,QUIC Single,1052.99,1,1,4
64,QUIC Single,10.79,1,1,4
65,QUIC Single,11.61,1,1,4
66,QUIC Single,2034.55,1,1,4
67,QUIC Single,40.45,1,1,4
68,QUIC Single,11.42,1,1,4
69,QUIC Single,1011.52,1,1,4
70,QUIC Single,1010.65,1,1,4
71,QUIC Single,13.93,1,1,4
72,QUIC Single,9.02,1,1,4
73,QUIC Single,9.54,1,1,4
74,QUIC Single,10.06,1,1,4
75,QUIC Single,51.83,1,1,4
76,QUIC Single,10.47,1,1,4
77,QUIC Single,9.73,1,1,4
78,QUIC Single,9.32,1,1,4
79,QUIC Single,11.66,1,1,4
80,QUIC Single,1048.51,1,1,4
81,QUIC Single,2032.04,1,1,4
82,QUIC Single,9.78,1,1,4
83,QUIC Single,9.31,1,1,4
84,QUIC Single,9.19,1,1,4
85,QUIC Single,10.11,1,1,4
86,QUIC Single,8.78,1,1,4
87,QUIC Single,10.15,1,1,4
88,QUIC Single,10.21,1,1,4
89,QUIC Single,1012.62,1,1,4
90,QUIC Single,9.42,1,1,4
91,QUIC Single,11.0,1,1,4
92,QUIC Single,10.65,1,1,4
93,QUIC Single,9.41,1,1,4
94,QUIC Single,2040.12,1,1,4
95,QUIC Single,41.27,1,1,4
96,QUIC Single,8.82,1,1,4
97,QUIC Single,1017.48,1,1,4
98,QUIC Single,1121.9,1,1,4
99,QUIC Single,10.83,1,1,4
100,QUIC Single,13.91,1,1,4
101,QUIC Single,1011.28,1,1,4
102,QUIC Single,11.22,1,1,4
103,QUIC Single,9.39,1,1,4
104,QUIC Single,11.15,1,1,4
105,QUIC Single,9.81,1,1,4
106,QUIC Single,11.53,1,1,4
107,QUIC Single,8.86,1,1,4
108,QUIC Single,10.76,1,1,4
109,QUIC Single,1009.87,1,1,4
110,QUIC Single,11.14,1,1,4
111,QUIC Single,10.63,1,1,4
112,QUIC Single,10.78,1,1,4
113,QUIC Single,4007.43,1,1,4
114,QUIC Single,39.44,1,1,4
115,QUIC Single,9.67,1,1,4
116,QUIC Single,13.69,1,1,4
117,QUIC Single,9.86,1,1,4
118,QUIC Single,1014.58,1,1,4
119,QUIC Single,10.65,1,1,4
120,QUIC Single,11.85,1,1,4
121,QUIC Single,11.22,1,1,4
122,QUIC Single,10.31,1,1,4
123,QUIC Single,11.35,1,1,4
124,QUIC Single,11.29,1,1,4
125,QUIC Single,10.68,1,1,4
