execution,mode,handshake_duration_ms,success
1,QUIC Single,104.29,1
2,QUIC Single,88.43,1
3,QUIC Single,116.37,1
4,QUIC Single,1057.5,1
5,QUIC Single,88.87,1
6,QUIC Single,89.18,1
7,QUIC Single,136.94,1
8,QUIC Single,88.63,1
9,QUIC Single,88.18,1
10,QUIC Single,88.8,1
11,QUIC Single,88.64,1
12,QUIC Single,88.39,1
13,QUIC Single,87.99,1
14,QUIC Single,100.61,1
15,QUIC Single,89.42,1
16,QUIC Single,99.09,1
17,QUIC Single,98.6,1
18,QUIC Single,88.01,1
19,QUIC Single,88.86,1
20,QUIC Single,89.29,1
21,QUIC Single,88.75,1
22,QUIC Single,316.41,1
23,QUIC Single,88.56,1
24,QUIC Single,115.77,1
25,QUIC Single,88.14,1
26,QUIC Single,88.22,1
27,QUIC Single,95.42,1
28,QUIC Single,89.2,1
29,QUIC Single,88.98,1
30,QUIC Single,88.03,1
31,QUIC Single,88.75,1
32,QUIC Single,99.6,1
33,QUIC Single,114.36,1
34,QUIC Single,88.22,1
35,QUIC Single,88.56,1
36,QUIC Single,90.2,1
37,QUIC Single,89.14,1
38,QUIC Single,115.39,1
39,QUIC Single,89.21,1
40,QUIC Single,88.91,1
41,QUIC Single,88.53,1
42,QUIC Single,92.53,1
43,QUIC Single,89.19,1
44,QUIC Single,91.08,1
45,QUIC Single,154.76,1
46,QUIC Single,88.02,1
47,QUIC Single,242.54,1
48,QUIC Single,1061.38,1
49,QUIC Single,201.76,1
50,QUIC Single,110.52,1
51,QUIC Single,88.85,1
52,QUIC Single,181.5,1
53,QUIC Single,92.01,1
54,QUIC Single,89.54,1
55,QUIC Single,87.95,1
56,QUIC Single,87.81,1
57,QUIC Single,88.55,1
58,QUIC Single,186.85,1
59,QUIC Single,117.66,1
60,QUIC Single,90.38,1
61,QUIC Single,87.84,1
62,QUIC Single,273.06,1
63,QUIC Single,88.27,1
64,QUIC Single,89.03,1
65,QUIC Single,87.98,1
66,QUIC Single,115.17,1
67,QUIC Single,173.74,1
68,QUIC Single,88.23,1
69,QUIC Single,88.82,1
70,QUIC Single,88.44,1
71,QUIC Single,207.14,1
72,QUIC Single,88.14,1
73,QUIC Single,87.94,1
74,QUIC Single,88.12,1
75,QUIC Single,88.37,1
76,QUIC Single,387.47,1
77,QUIC Single,98.96,1
78,QUIC Single,115.79,1
79,QUIC Single,96.23,1
80,QUIC Single,115.64,1
81,QUIC Single,88.52,1
82,QUIC Single,88.36,1
83,QUIC Single,464.24,1
84,QUIC Single,88.02,1
85,QUIC Single,88.59,1
86,QUIC Single,87.97,1
87,QUIC Single,88.33,1
88,QUIC Single,88.49,1
89,QUIC Single,169.71,1
90,QUIC Single,88.12,1
91,QUIC Single,1197.66,1
92,QUIC Single,88.18,1
93,QUIC Single,1130.08,1
94,QUIC Single,89.55,1
95,QUIC Single,98.98,1
96,QUIC Single,141.43,1
97,QUIC Single,116.33,1
98,QUIC Single,191.76,1
99,QUIC Single,4285.15,1
100,QUIC Single,88.6,1
101,QUIC Single,88.48,1
102,QUIC Single,87.79,1
103,QUIC Single,123.12,1
104,QUIC Single,89.53,1
105,QUIC Single,88.04,1
106,QUIC Single,88.53,1
107,QUIC Single,118.62,1
108,QUIC Single,87.97,1
109,QUIC Single,201.46,1
110,QUIC Single,170.75,1
111,QUIC Single,88.42,1
112,QUIC Single,109.9,1
113,QUIC Single,88.27,1
114,QUIC Single,99.13,1
115,QUIC Single,88.69,1
116,QUIC Single,103.55,1
117,QUIC Single,153.17,1
118,QUIC Single,337.71,1
119,QUIC Single,89.75,1
120,QUIC Single,1086.18,1
121,QUIC Single,109.98,1
122,QUIC Single,88.74,1
123,QUIC Single,88.53,1
124,QUIC Single,507.81,1
125,QUIC Single,88.12,1
126,QUIC Single,88.97,1
127,QUIC Single,88.56,1
128,QUIC Single,87.91,1
129,QUIC Single,89.35,1
130,QUIC Single,141.98,1
131,QUIC Single,1099.94,1
132,QUIC Single,88.11,1
133,QUIC Single,110.24,1
134,QUIC Single,88.43,1
135,QUIC Single,426.44,1
136,QUIC Single,88.57,1
137,QUIC Single,1079.98,1
138,QUIC Single,89.61,1
139,QUIC Single,89.54,1
140,QUIC Single,88.17,1
141,QUIC Single,88.1,1
142,QUIC Single,88.52,1
143,QUIC Single,88.17,1
144,QUIC Single,88.15,1
145,QUIC Single,87.78,1
146,QUIC Single,87.99,1
147,QUIC Single,88.3,1
148,QUIC Single,88.35,1
149,QUIC Single,147.09,1
150,QUIC Single,147.76,1
151,QUIC Single,88.1,1
152,QUIC Single,88.8,1
153,QUIC Single,88.92,1
154,QUIC Single,88.76,1
155,QUIC Single,1079.69,1
156,QUIC Single,88.62,1
157,QUIC Single,87.98,1
158,QUIC Single,88.38,1
159,QUIC Single,88.67,1
160,QUIC Single,103.49,1
161,QUIC Single,87.88,1
162,QUIC Single,96.24,1
163,QUIC Single,1069.83,1
164,QUIC Single,150.07,1
165,QUIC Single,98.42,1
166,QUIC Single,515.52,1
167,QUIC Single,7055.9,1
168,QUIC Single,88.49,1
169,QUIC Single,94.19,1
170,QUIC Single,88.1,1
171,QUIC Single,99.61,1
172,QUIC Single,172.8,1
173,QUIC Single,88.65,1
174,QUIC Single,88.19,1
175,QUIC Single,116.2,1
176,QUIC Single,88.89,1
177,QUIC Single,1060.45,1
178,QUIC Single,89.06,1
179,QUIC Single,154.23,1
180,QUIC Single,1938.26,1
181,QUIC Single,115.7,1
182,QUIC Single,88.04,1
183,QUIC Single,89.49,1
184,QUIC Single,88.61,1
185,QUIC Single,88.5,1
186,QUIC Single,99.09,1
187,QUIC Single,88.18,1
188,QUIC Single,88.98,1
189,QUIC Single,91.88,1
190,QUIC Single,155.57,1
191,QUIC Single,135.16,1
192,QUIC Single,1224.12,1
193,QUIC Single,88.28,1
194,QUIC Single,99.61,1
195,QUIC Single,116.5,1
196,QUIC Single,88.09,1
197,QUIC Single,3078.42,1
198,QUIC Single,116.27,1
199,QUIC Single,113.15,1
200,QUIC Single,88.13,1
201,QUIC Single,297.41,1
202,QUIC Single,88.24,1
203,QUIC Single,88.27,1
204,QUIC Single,88.52,1
205,QUIC Single,89.02,1
206,QUIC Single,88.35,1
207,QUIC Single,932.06,1
208,QUIC Single,87.77,1
209,QUIC Single,98.25,1
210,QUIC Single,198.56,1
211,QUIC Single,1057.11,1
212,QUIC Single,89.2,1
213,QUIC Single,88.4,1
214,QUIC Single,1211.74,1
215,QUIC Single,87.99,1
216,QUIC Single,117.26,1
217,QUIC Single,371.41,1
218,QUIC Single,88.78,1
219,QUIC Single,88.26,1
220,QUIC Single,88.06,1
221,QUIC Single,88.18,1
222,QUIC Single,324.78,1
223,QUIC Single,176.33,1
224,QUIC Single,1336.39,1
225,QUIC Single,88.4,1
226,QUIC Single,88.57,1
227,QUIC Single,88.17,1
228,QUIC Single,92.27,1
229,QUIC Single,88.9,1
230,QUIC Single,169.11,1
