execution,mode,handshake_duration_ms,success
1,QUIC Single,25.32,1
2,QUIC Single,21.19,1
3,QUIC Single,19.94,1
4,QUIC Single,19.22,1
5,QUIC Single,20.83,1
6,QUIC Single,20.24,1
7,QUIC Single,22.86,1
8,QUIC Single,1052.0,1
9,QUIC Single,22.0,1
10,QUIC Single,1019.15,1
11,QUIC Single,18.04,1
12,QUIC Single,20.45,1
13,QUIC Single,21.55,1
14,QUIC Single,17.96,1
15,QUIC Single,18.94,1
16,QUIC Single,21.81,1
17,QUIC Single,1042.42,1
18,QUIC Single,18.96,1
19,QUIC Single,19.69,1
20,QUIC Single,22.46,1
21,QUIC Single,20.16,1
22,QUIC Single,17.81,1
23,QUIC Single,31.96,1
24,QUIC Single,25.23,1
25,QUIC Single,19.25,1
26,QUIC Single,1046.83,1
27,QUIC Single,20.67,1
28,QUIC Single,21.78,1
29,QUIC Single,18.69,1
30,QUIC Single,23.3,1
31,QUIC Single,1174.38,1
32,QUIC Single,19.82,1
33,QUIC Single,1025.13,1
34,QUIC Single,56.63,1
35,QUIC Single,3033.23,1
36,QUIC Single,18.96,1
37,QUIC Single,1077.5,1
38,QUIC Single,25.52,1
39,QUIC Single,36.76,1
40,QUIC Single,27.81,1
41,QUIC Single,31.61,1
42,QUIC Single,38.28,1
43,QUIC Single,37.6,1
44,QUIC Single,29.77,1
45,QUIC Single,1049.38,1
46,QUIC Single,23.33,1
47,QUIC Single,23.65,1
48,QUIC Single,25.81,1
49,QUIC Single,26.23,1
50,QUIC Single,1024.13,1
51,QUIC Single,3036.55,1
52,QUIC Single,28.4,1
53,QUIC Single,31.51,1
54,QUIC Single,18.52,1
55,QUIC Single,22.38,1
56,QUIC Single,1070.41,1
57,QUIC Single,21.72,1
58,QUIC Single,22.72,1
59,QUIC Single,23.56,1
60,QUIC Single,23.93,1
61,QUIC Single,1044.57,1
62,QUIC Single,18.31,1
63,QUIC Single,20.16,1
64,QUIC Single,3025.74,1
65,QUIC Single,18.93,1
