execution,mode,handshake_duration_ms,success
1,QUIC Single,8.9,1
2,QUIC Single,7.71,1
3,QUIC Single,1006.98,1
4,QUIC Single,7.58,1
5,QUIC Single,8.01,1
6,QUIC Single,7.7,1
7,QUIC Single,7.51,1
8,QUIC Single,8.06,1
9,QUIC Single,1008.29,1
10,QUIC Single,7.56,1
11,QUIC Single,7.58,1
12,QUIC Single,11.13,1
13,QUIC Single,8.52,1
14,QUIC Single,7.66,1
15,QUIC Single,3006.1,1
16,QUIC Single,1009.92,1
17,QUIC Single,7.01,1
18,QUIC Single,1006.77,1
19,QUIC Single,9.94,1
20,QUIC Single,9.43,1
21,QUIC Single,10.4,1
22,QUIC Single,7.76,1
23,QUIC Single,7.58,1
24,QUIC Single,7.86,1
25,QUIC Single,7.64,1
26,QUIC Single,7.28,1
27,QUIC Single,7.52,1
28,QUIC Single,7003.85,1
29,QUIC Single,10.51,1
30,QUIC Single,7.57,1
31,QUIC Single,8.62,1
32,QUIC Single,7.61,1
33,QUIC Single,11.2,1
34,QUIC Single,9.45,1
35,QUIC Single,7.74,1
36,QUIC Single,7.54,1
37,QUIC Single,7.48,1
38,QUIC Single,11.15,1
39,QUIC Single,10.79,1
40,QUIC Single,7.65,1
41,QUIC Single,1006.24,1
42,QUIC Single,7.58,1
43,QUIC Single,8.24,1
44,QUIC Single,10.17,1
45,QUIC Single,7.41,1
46,QUIC Single,8.16,1
47,QUIC Single,7.23,1
48,QUIC Single,8.64,1
49,QUIC Single,7.4,1
50,QUIC Single,3004.93,1
51,QUIC Single,9.33,1
52,QUIC Single,7.35,1
53,QUIC Single,7.45,1
54,QUIC Single,10.21,1
55,QUIC Single,7.65,1
56,QUIC Single,7.23,1
57,QUIC Single,7.16,1
58,QUIC Single,1011.18,1
59,QUIC Single,10.32,1
60,QUIC Single,1008.12,1
61,QUIC Single,12.34,1
62,QUIC Single,7.67,1
63,QUIC Single,7.71,1
64,QUIC Single,9.65,1
65,QUIC Single,11.65,1
66,QUIC Single,7.49,1
67,QUIC Single,7.53,1
68,QUIC Single,1006.86,1
69,QUIC Single,3005.97,1
70,QUIC Single,1006.72,1
71,QUIC Single,1006.97,1
72,QUIC Single,3005.63,1
73,QUIC Single,7.66,1
74,QUIC Single,12.86,1
75,QUIC Single,12.03,1
76,QUIC Single,10.71,1
77,QUIC Single,7.8,1
78,QUIC Single,8.57,1
79,QUIC Single,13.96,1
80,QUIC Single,7.77,1
81,QUIC Single,NaN,0
82,QUIC Single,10.65,1
83,QUIC Single,7.47,1
84,QUIC Single,7.75,1
85,QUIC Single,7.35,1
86,QUIC Single,1007.21,1
87,QUIC Single,7.4,1
88,QUIC Single,NaN,0
89,QUIC Single,3006.92,1
90,QUIC Single,11.84,1
91,QUIC Single,7.59,1
92,QUIC Single,9.56,1
93,QUIC Single,3007.84,1
94,QUIC Single,7.41,1
95,QUIC Single,9.39,1
96,QUIC Single,7.5,1
97,QUIC Single,7.08,1
98,QUIC Single,9.33,1
99,QUIC Single,9.42,1
100,QUIC Single,NaN,0
101,QUIC Single,7.25,1
102,QUIC Single,7.19,1
103,QUIC Single,1006.89,1
104,QUIC Single,7.07,1
105,QUIC Single,7.24,1
106,QUIC Single,7.23,1
107,QUIC Single,7.31,1
108,QUIC Single,7.43,1
109,QUIC Single,7.29,1
110,QUIC Single,7.52,1
111,QUIC Single,1006.9,1
112,QUIC Single,9.31,1
113,QUIC Single,7.24,1
114,QUIC Single,1007.03,1
115,QUIC Single,7.28,1
116,QUIC Single,7.18,1
117,QUIC Single,7.19,1
118,QUIC Single,7.28,1
119,QUIC Single,7.11,1
120,QUIC Single,7.26,1
121,QUIC Single,7.22,1
122,QUIC Single,3007.57,1
123,QUIC Single,7.23,1
124,QUIC Single,7.44,1
125,QUIC Single,7.3,1
126,QUIC Single,7.34,1
127,QUIC Single,7.24,1
128,QUIC Single,7.32,1
129,QUIC Single,7.25,1
130,QUIC Single,10.31,1
131,QUIC Single,7.24,1
132,QUIC Single,10.52,1
133,QUIC Single,1007.07,1
134,QUIC Single,7.35,1
135,QUIC Single,7.21,1
136,QUIC Single,7.16,1
137,QUIC Single,7.35,1
138,QUIC Single,7.3,1
139,QUIC Single,7.12,1
140,QUIC Single,7.48,1
141,QUIC Single,7.3,1
142,QUIC Single,12.09,1
143,QUIC Single,7.38,1
144,QUIC Single,7.33,1
145,QUIC Single,7.92,1
146,QUIC Single,10.45,1
147,QUIC Single,7.27,1
148,QUIC Single,7.25,1
149,QUIC Single,7.29,1
150,QUIC Single,1007.09,1
151,QUIC Single,1009.96,1
152,QUIC Single,7.23,1
153,QUIC Single,7.63,1
154,QUIC Single,3005.59,1
155,QUIC Single,7.26,1
156,QUIC Single,7.2,1
157,QUIC Single,3005.2,1
158,QUIC Single,10.53,1
159,QUIC Single,7.59,1
160,QUIC Single,7.19,1
161,QUIC Single,7.33,1
162,QUIC Single,1006.84,1
163,QUIC Single,7.32,1
164,QUIC Single,10.43,1
165,QUIC Single,7.48,1
166,QUIC Single,7.59,1
167,QUIC Single,7.62,1
168,QUIC Single,7.22,1
169,QUIC Single,7.6,1
170,QUIC Single,1007.52,1
171,QUIC Single,7.23,1
172,QUIC Single,1006.66,1
173,QUIC Single,7.4,1
174,QUIC Single,7.34,1
175,QUIC Single,1007.39,1
176,QUIC Single,16.21,1
177,QUIC Single,7.6,1
178,QUIC Single,7.8,1
179,QUIC Single,7002.98,1
180,QUIC Single,7.3,1
181,QUIC Single,7.45,1
182,QUIC Single,7.45,1
183,QUIC Single,7.34,1
184,QUIC Single,3005.6,1
185,QUIC Single,7.86,1
186,QUIC Single,7.1,1
187,QUIC Single,1007.32,1
188,QUIC Single,7.52,1
189,QUIC Single,7.46,1
190,QUIC Single,1008.98,1
191,QUIC Single,7.14,1
192,QUIC Single,10.29,1
193,QUIC Single,7001.85,1
194,QUIC Single,1008.83,1
195,QUIC Single,10.33,1
196,QUIC Single,10.35,1
197,QUIC Single,7.34,1
198,QUIC Single,10.31,1
199,QUIC Single,10.3,1
200,QUIC Single,1009.64,1
201,QUIC Single,7.25,1
202,QUIC Single,7.33,1
203,QUIC Single,1009.97,1
204,QUIC Single,1007.82,1
205,QUIC Single,10.57,1
206,QUIC Single,9.02,1
207,QUIC Single,10.67,1
208,QUIC Single,7.48,1
209,QUIC Single,1007.19,1
210,QUIC Single,1006.67,1
211,QUIC Single,9.21,1
212,QUIC Single,10.1,1
213,QUIC Single,7003.97,1
214,QUIC Single,1008.97,1
215,QUIC Single,7.28,1
216,QUIC Single,9.75,1
217,QUIC Single,1006.99,1
218,QUIC Single,7.43,1
219,QUIC Single,7.29,1
220,QUIC Single,1006.86,1
221,QUIC Single,7.18,1
222,QUIC Single,7.24,1
223,QUIC Single,9.1,1
224,QUIC Single,10.24,1
225,QUIC Single,10.38,1
226,QUIC Single,7.89,1
227,QUIC Single,7.69,1
228,QUIC Single,7.83,1
229,QUIC Single,7.48,1
230,QUIC Single,3005.13,1
231,QUIC Single,10.2,1
232,QUIC Single,7.4,1
233,QUIC Single,7.27,1
234,QUIC Single,7.44,1
235,QUIC Single,10.36,1
236,QUIC Single,10.22,1
237,QUIC Single,1010.3,1
238,QUIC Single,9.86,1
239,QUIC Single,9.22,1
240,QUIC Single,7.26,1
241,QUIC Single,9.12,1
242,QUIC Single,10.35,1
243,QUIC Single,9.08,1
244,QUIC Single,1006.88,1
245,QUIC Single,3008.65,1
246,QUIC Single,9.05,1
247,QUIC Single,3006.3,1
248,QUIC Single,10.48,1
249,QUIC Single,7.27,1
250,QUIC Single,1009.18,1
251,QUIC Single,3004.4,1
252,QUIC Single,10.17,1
253,QUIC Single,10.45,1
254,QUIC Single,9.1,1
255,QUIC Single,7.39,1
256,QUIC Single,7.19,1
257,QUIC Single,7.58,1
258,QUIC Single,7.31,1
259,QUIC Single,1006.73,1
260,QUIC Single,7.34,1
261,QUIC Single,7.2,1
262,QUIC Single,7.28,1
263,QUIC Single,1007.59,1
264,QUIC Single,7.42,1
265,QUIC Single,10.31,1
266,QUIC Single,7.26,1
267,QUIC Single,19.93,1
268,QUIC Single,3005.41,1
269,QUIC Single,7.65,1
270,QUIC Single,7.22,1
271,QUIC Single,1006.95,1
272,QUIC Single,7.64,1
273,QUIC Single,10.6,1
274,QUIC Single,1009.8,1
275,QUIC Single,7.38,1
276,QUIC Single,1009.77,1
277,QUIC Single,7.24,1
278,QUIC Single,7.15,1
279,QUIC Single,3006.17,1
280,QUIC Single,9.61,1
281,QUIC Single,7004.99,1
282,QUIC Single,7.3,1
283,QUIC Single,7.31,1
284,QUIC Single,10.27,1
285,QUIC Single,10.14,1
286,QUIC Single,7.13,1
287,QUIC Single,1008.74,1
288,QUIC Single,10.3,1
289,QUIC Single,8.09,1
290,QUIC Single,1007.43,1
291,QUIC Single,7.54,1
292,QUIC Single,7.26,1
293,QUIC Single,1007.1,1
294,QUIC Single,7.4,1
295,QUIC Single,10.33,1
296,QUIC Single,7.3,1
297,QUIC Single,10.44,1
298,QUIC Single,7.21,1
299,QUIC Single,7.44,1
300,QUIC Single,7.62,1
301,QUIC Single,7.69,1
302,QUIC Single,7.54,1
303,QUIC Single,7.27,1
304,QUIC Single,7.69,1
305,QUIC Single,9.81,1
306,QUIC Single,7.35,1
307,QUIC Single,10.35,1
308,QUIC Single,7.51,1
309,QUIC Single,7.55,1
310,QUIC Single,9.15,1
311,QUIC Single,7.18,1
312,QUIC Single,7.4,1
313,QUIC Single,7.34,1
314,QUIC Single,9.58,1
315,QUIC Single,7.81,1
316,QUIC Single,7.55,1
317,QUIC Single,1006.89,1
318,QUIC Single,10.39,1
319,QUIC Single,7.32,1
320,QUIC Single,7.27,1
321,QUIC Single,6.87,1
322,QUIC Single,10.17,1
323,QUIC Single,7.39,1
324,QUIC Single,7.21,1
325,QUIC Single,1006.82,1
326,QUIC Single,7.67,1
327,QUIC Single,7.19,1
328,QUIC Single,1007.68,1
329,QUIC Single,7.38,1
330,QUIC Single,10.23,1
331,QUIC Single,9.24,1
332,QUIC Single,9.19,1
333,QUIC Single,3005.13,1
334,QUIC Single,1006.98,1
335,QUIC Single,7.42,1
336,QUIC Single,10.21,1
337,QUIC Single,7.19,1
338,QUIC Single,7.49,1
339,QUIC Single,10.71,1
340,QUIC Single,7.37,1
341,QUIC Single,7.31,1
342,QUIC Single,7.26,1
343,QUIC Single,7.38,1
344,QUIC Single,10.26,1
345,QUIC Single,10.21,1
346,QUIC Single,10.62,1
347,QUIC Single,7.29,1
348,QUIC Single,1007.5,1
349,QUIC Single,7.3,1
350,QUIC Single,1006.53,1
351,QUIC Single,7.57,1
352,QUIC Single,7.28,1
353,QUIC Single,1007.04,1
354,QUIC Single,7.42,1
355,QUIC Single,7.26,1
356,QUIC Single,7.21,1
357,QUIC Single,8.07,1
358,QUIC Single,7.56,1
359,QUIC Single,7.9,1
360,QUIC Single,7.76,1
361,QUIC Single,1006.76,1
362,QUIC Single,7.54,1
363,QUIC Single,1006.97,1
364,QUIC Single,1007.08,1
365,QUIC Single,7.34,1
366,QUIC Single,10.05,1
367,QUIC Single,7.23,1
368,QUIC Single,1006.92,1
369,QUIC Single,10.4,1
370,QUIC Single,11.43,1
371,QUIC Single,7.61,1
372,QUIC Single,7.56,1
373,QUIC Single,10.87,1
374,QUIC Single,7.58,1
375,QUIC Single,7.72,1
376,QUIC Single,7.28,1
377,QUIC Single,9.83,1
378,QUIC Single,3007.68,1
379,QUIC Single,1010.48,1
380,QUIC Single,7.14,1
381,QUIC Single,7.35,1
382,QUIC Single,9.21,1
383,QUIC Single,7.51,1
384,QUIC Single,7.58,1
385,QUIC Single,7002.99,1
386,QUIC Single,1006.86,1
387,QUIC Single,3008.69,1
388,QUIC Single,1006.47,1
389,QUIC Single,1006.85,1
390,QUIC Single,7.3,1
391,QUIC Single,6.98,1
392,QUIC Single,3005.19,1
393,QUIC Single,1006.97,1
394,QUIC Single,1007.03,1
395,QUIC Single,7.25,1
396,QUIC Single,1007.01,1
397,QUIC Single,7.45,1
398,QUIC Single,3008.99,1
399,QUIC Single,1009.88,1
400,QUIC Single,10.09,1
401,QUIC Single,7.28,1
402,QUIC Single,10.5,1
403,QUIC Single,10.13,1
404,QUIC Single,1008.93,1
405,QUIC Single,10.5,1
406,QUIC Single,10.76,1
407,QUIC Single,7.62,1
408,QUIC Single,7.88,1
409,QUIC Single,3010.08,1
410,QUIC Single,1007.5,1
411,QUIC Single,10.37,1
412,QUIC Single,9.19,1
413,QUIC Single,7.24,1
414,QUIC Single,9.01,1
415,QUIC Single,10.05,1
416,QUIC Single,3005.94,1
417,QUIC Single,7.28,1
418,QUIC Single,7.41,1
419,QUIC Single,7.24,1
420,QUIC Single,6.91,1
421,QUIC Single,10.66,1
422,QUIC Single,7.46,1
423,QUIC Single,7.17,1
424,QUIC Single,7.66,1
425,QUIC Single,1006.82,1
426,QUIC Single,10.36,1
427,QUIC Single,7.25,1
428,QUIC Single,8.83,1
429,QUIC Single,7.37,1
430,QUIC Single,7.37,1
431,QUIC Single,7004.68,1
432,QUIC Single,1007.06,1
433,QUIC Single,9.26,1
434,QUIC Single,1007.28,1
435,QUIC Single,1010.59,1
436,QUIC Single,9.96,1
437,QUIC Single,7.52,1
438,QUIC Single,7.59,1
439,QUIC Single,7.24,1
440,QUIC Single,7.14,1
441,QUIC Single,7.38,1
442,QUIC Single,NaN,0
443,QUIC Single,1010.41,1
444,QUIC Single,7.22,1
445,QUIC Single,7.59,1
446,QUIC Single,7.71,1
447,QUIC Single,3004.91,1
448,QUIC Single,10.71,1
449,QUIC Single,7.7,1
450,QUIC Single,7.75,1
451,QUIC Single,7.75,1
452,QUIC Single,7.7,1
453,QUIC Single,7.44,1
454,QUIC Single,9.69,1
455,QUIC Single,1007.23,1
456,QUIC Single,7.23,1
457,QUIC Single,7.61,1
458,QUIC Single,10.57,1
459,QUIC Single,10.39,1
460,QUIC Single,7.22,1
461,QUIC Single,7.24,1
462,QUIC Single,7.12,1
463,QUIC Single,7.34,1
464,QUIC Single,7.26,1
465,QUIC Single,10.29,1
466,QUIC Single,7.21,1
467,QUIC Single,1006.97,1
468,QUIC Single,7.32,1
469,QUIC Single,7.28,1
470,QUIC Single,7.54,1
471,QUIC Single,7.15,1
472,QUIC Single,1006.67,1
473,QUIC Single,7.29,1
474,QUIC Single,7.21,1
475,QUIC Single,1006.82,1
476,QUIC Single,10.23,1
477,QUIC Single,7.26,1
478,QUIC Single,7.45,1
479,QUIC Single,7.38,1
480,QUIC Single,1006.96,1
481,QUIC Single,1006.28,1
482,QUIC Single,1009.43,1
483,QUIC Single,10.28,1
484,QUIC Single,7.37,1
485,QUIC Single,7.3,1
486,QUIC Single,10.33,1
487,QUIC Single,7.28,1
488,QUIC Single,1008.21,1
489,QUIC Single,7.21,1
490,QUIC Single,7.38,1
491,QUIC Single,7.58,1
492,QUIC Single,3004.67,1
493,QUIC Single,7.26,1
494,QUIC Single,7.42,1
495,QUIC Single,7.22,1
496,QUIC Single,9.21,1
497,QUIC Single,7.31,1
498,QUIC Single,9.06,1
499,QUIC Single,7.13,1
500,QUIC Single,6.91,1
