execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,QUIC Single,93.31,1,3,4
2,QUIC Single,148.66,1,3,4
3,QUIC Single,151.22,1,3,4
4,QUIC Single,91.16,1,3,4
5,QUIC Single,207.6,1,3,4
6,QUIC Single,97.87,1,3,4
7,QUIC Single,169.87,1,3,4
8,QUIC Single,118.73,1,3,4
9,QUIC Single,90.28,1,3,4
10,QUIC Single,234.97,1,3,4
11,QUIC Single,91.65,1,3,4
12,QUIC Single,196.19,1,3,4
13,QUIC Single,549.36,1,3,4
14,QUIC Single,177.08,1,3,4
15,QUIC Single,100.33,1,3,4
16,QUIC Single,100.4,1,3,4
17,QUIC Single,99.43,1,3,4
18,QUIC Single,116.83,1,3,4
19,QUIC Single,90.82,1,3,4
20,QUIC Single,89.71,1,3,4
21,QUIC Single,89.7,1,3,4
22,QUIC Single,226.53,1,3,4
23,QUIC Single,91.96,1,3,4
24,QUIC Single,104.5,1,3,4
25,QUIC Single,98.0,1,3,4
26,QUIC Single,102.88,1,3,4
27,QUIC Single,89.6,1,3,4
28,QUIC Single,90.35,1,3,4
29,QUIC Single,111.06,1,3,4
30,QUIC Single,90.36,1,3,4
31,QUIC Single,326.51,1,3,4
32,QUIC Single,90.62,1,3,4
33,QUIC Single,101.12,1,3,4
34,QUIC Single,193.76,1,3,4
35,QUIC Single,101.65,1,3,4
36,QUIC Single,90.66,1,3,4
37,QUIC Single,1089.66,1,3,4
38,QUIC Single,89.33,1,3,4
39,QUIC Single,89.59,1,3,4
40,QUIC Single,91.88,1,3,4
41,QUIC Single,89.82,1,3,4
42,QUIC Single,89.07,1,3,4
43,QUIC Single,90.22,1,3,4
44,QUIC Single,89.45,1,3,4
45,QUIC Single,265.55,1,3,4
46,QUIC Single,89.46,1,3,4
47,QUIC Single,145.61,1,3,4
48,QUIC Single,171.47,1,3,4
49,QUIC Single,90.12,1,3,4
50,QUIC Single,89.04,1,3,4
51,QUIC Single,90.23,1,3,4
52,QUIC Single,89.68,1,3,4
53,QUIC Single,89.36,1,3,4
54,QUIC Single,90.29,1,3,4
55,QUIC Single,119.94,1,3,4
56,QUIC Single,3053.65,1,3,4
57,QUIC Single,90.48,1,3,4
58,QUIC Single,95.87,1,3,4
59,QUIC Single,116.43,1,3,4
60,QUIC Single,104.71,1,3,4
61,QUIC Single,186.55,1,3,4
62,QUIC Single,89.54,1,3,4
63,QUIC Single,89.33,1,3,4
64,QUIC Single,1054.39,1,3,4
65,QUIC Single,93.74,1,3,4
66,QUIC Single,115.83,1,3,4
67,QUIC Single,545.5,1,3,4
68,QUIC Single,113.12,1,3,4
69,QUIC Single,90.33,1,3,4
70,QUIC Single,89.23,1,3,4
71,QUIC Single,89.57,1,3,4
72,QUIC Single,108.31,1,3,4
73,QUIC Single,89.06,1,3,4
74,QUIC Single,118.49,1,3,4
75,QUIC Single,181.58,1,3,4
76,QUIC Single,89.27,1,3,4
77,QUIC Single,89.28,1,3,4
78,QUIC Single,1057.52,1,3,4
79,QUIC Single,100.7,1,3,4
80,QUIC Single,89.47,1,3,4
81,QUIC Single,113.09,1,3,4
82,QUIC Single,115.56,1,3,4
83,QUIC Single,89.4,1,3,4
84,QUIC Single,1054.22,1,3,4
85,QUIC Single,99.55,1,3,4
86,QUIC Single,96.76,1,3,4
87,QUIC Single,89.32,1,3,4
88,QUIC Single,116.75,1,3,4
89,QUIC Single,115.84,1,3,4
90,QUIC Single,90.14,1,3,4
91,QUIC Single,88.99,1,3,4
92,QUIC Single,89.71,1,3,4
93,QUIC Single,91.21,1,3,4
94,QUIC Single,117.0,1,3,4
95,QUIC Single,89.55,1,3,4
96,QUIC Single,90.06,1,3,4
97,QUIC Single,181.14,1,3,4
98,QUIC Single,89.11,1,3,4
99,QUIC Single,89.18,1,3,4
100,QUIC Single,89.81,1,3,4
101,QUIC Single,99.46,1,3,4
102,QUIC Single,91.69,1,3,4
103,QUIC Single,89.07,1,3,4
104,QUIC Single,89.08,1,3,4
105,QUIC Single,89.12,1,3,4
106,QUIC Single,89.61,1,3,4
107,QUIC Single,89.07,1,3,4
108,QUIC Single,111.74,1,3,4
109,QUIC Single,89.34,1,3,4
110,QUIC Single,89.33,1,3,4
111,QUIC Single,89.28,1,3,4
112,QUIC Single,91.95,1,3,4
113,QUIC Single,89.35,1,3,4
114,QUIC Single,89.2,1,3,4
115,QUIC Single,89.49,1,3,4
116,QUIC Single,178.99,1,3,4
117,QUIC Single,201.13,1,3,4
118,QUIC Single,100.0,1,3,4
119,QUIC Single,170.83,1,3,4
120,QUIC Single,1054.09,1,3,4
121,QUIC Single,198.21,1,3,4
122,QUIC Single,89.59,1,3,4
123,QUIC Single,89.71,1,3,4
124,QUIC Single,89.34,1,3,4
125,QUIC Single,91.74,1,3,4
