protocol,auth_mode,sig_alg,kem,kem_class,security_level,sig_family,network_profile,n_total,n_success,n_failed,success_rate_pct,mean_ms,stdev_ms,ci95_low_ms,ci95_high_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms
quic,single,ed25519,P-256,classique,L1,classique,unstable,500,472,28,94.4,1054.909,1918.724,881.809,1228.01,2.41,6998.271,7998.058,1.79,9997.59
quic,single,ed25519,hqc128,pq_pur,L1,classique,unstable,500,491,9,98.2,599.733,1382.369,477.458,722.008,21.5,3058.78,7031.67,15.79,12400.86
quic,single,ed25519,mlkem512,pq_pur,L1,classique,unstable,500,491,9,98.2,716.957,1387.805,594.2,839.713,2.12,3000.715,6999.124,1.61,10063.38
quic,single,ed25519,p256_hqc128,hybride,L1,classique,unstable,500,498,2,99.6,500.692,1166.974,398.197,603.187,28.37,3034.799,7089.161,22.59,9758.2
quic,single,ed25519,p256_mlkem512,hybride,L1,classique,unstable,500,488,12,97.6,699.961,1351.452,580.054,819.869,9.915,3008.324,7005.277,8.4,11153.25
quic,single,ed25519,x25519_hqc128,hybride,L1,classique,unstable,500,496,4,99.2,450.385,1051.2,357.873,542.898,23.54,3012.86,6008.948,17.21,10480.15
quic,single,ed25519,x25519_mlkem512,hybride,L1,classique,unstable,500,486,14,97.2,758.775,1435.016,631.191,886.358,3.99,3003.03,7000.941,3.06,9580.22
quic,single,ed25519,x25519,classique,L1,classique,unstable,500,479,21,95.8,1012.796,1952.027,837.983,1187.609,2.11,6998.577,6999.09,1.58,10997.48
quic,single,mldsa44,P-256,classique,L1,pq,unstable,500,484,16,96.8,1261.018,2057.132,1077.746,1444.29,85.185,5309.934,9001.24,1.83,13216.97
quic,single,mldsa44,hqc128,pq_pur,L1,pq,unstable,500,491,9,98.2,1172.536,2228.591,975.41,1369.663,77.93,5977.645,10331.386,15.67,19486.82
quic,single,mldsa44,mlkem512,pq_pur,L1,pq,unstable,500,488,12,97.6,1334.678,2449.635,1117.334,1552.022,30.85,7044.655,11628.027,1.59,16427.29
quic,single,mldsa44,p256_hqc128,hybride,L1,pq,unstable,500,490,10,98.0,1000.975,1779.331,843.426,1158.523,68.065,4572.308,8071.347,22.5,9915.38
quic,single,mldsa44,p256_mlkem512,hybride,L1,pq,unstable,500,494,6,98.8,1215.589,2174.817,1023.803,1407.374,43.085,5403.13,9170.693,8.47,16891.81
quic,single,mldsa44,x25519_hqc128,hybride,L1,pq,unstable,500,496,4,99.2,1096.212,1926.721,926.648,1265.776,105.86,5055.517,9511.513,17.13,11863.97
quic,single,mldsa44,x25519_mlkem512,hybride,L1,pq,unstable,500,491,9,98.2,1048.096,1933.279,877.09,1219.101,31.29,5371.53,8147.945,3.05,13884.38
quic,single,mldsa44,x25519,classique,L1,pq,unstable,500,489,11,97.8,1198.19,1963.136,1024.189,1372.191,57.36,5015.552,8410.884,1.61,14366.99
quic,single,mldsa65,P-384,classique,L3,pq,unstable,500,461,39,92.2,1416.718,2275.637,1208.984,1624.453,40.88,7083.41,7714.664,5.48,9884.84
quic,single,mldsa65,hqc192,pq_pur,L3,pq,unstable,500,498,2,99.6,847.1,1442.727,720.386,973.814,179.83,3648.068,7291.596,43.93,8051.33
quic,single,mldsa65,mlkem768,pq_pur,L3,pq,unstable,500,485,15,97.0,1321.892,2168.357,1128.91,1514.873,58.12,6465.36,9464.789,1.69,15211.73
quic,single,mldsa65,p384_hqc192,hybride,L3,pq,unstable,500,496,4,99.2,816.698,1554.545,679.888,953.509,187.345,3237.108,7476.904,52.85,15215.71
quic,single,mldsa65,p384_mlkem768,hybride,L3,pq,unstable,500,491,9,98.2,1399.474,2049.534,1218.186,1580.763,69.99,5060.115,8123.077,10.76,14821.55
quic,single,mldsa65,x448_hqc192,hybride,L3,pq,unstable,500,493,7,98.6,745.923,1564.546,607.814,884.031,138.43,3188.88,7097.033,46.63,17307.9
quic,single,mldsa65,x448_mlkem768,hybride,L3,pq,unstable,500,493,7,98.6,1399.95,2162.926,1209.02,1590.881,39.73,6510.028,9124.011,4.34,10913.94
quic,single,mldsa65,x448,classique,L3,pq,unstable,500,475,25,95.0,1745.523,2522.546,1518.668,1972.378,58.25,6900.465,9529.576,2.53,14865.98
quic,single,mldsa87,P-521,classique,L5,pq,unstable,500,456,44,91.2,1429.937,2225.404,1225.677,1634.196,35.675,7028.45,7473.689,5.41,9069.47
quic,single,mldsa87,hqc256,pq_pur,L5,pq,unstable,500,491,9,98.2,1069.399,1752.578,914.377,1224.421,341.1,4248.155,8294.815,115.15,17865.85
quic,single,mldsa87,mlkem1024,pq_pur,L5,pq,unstable,500,477,23,95.4,1596.69,2641.179,1359.665,1833.716,32.44,7274.108,10558.13,2.71,16528.77
quic,single,mldsa87,p521_hqc256,hybride,L5,pq,unstable,500,495,5,99.0,1037.846,1506.527,905.128,1170.564,377.93,3421.537,7267.574,126.09,14598.57
quic,single,mldsa87,p521_mlkem1024,hybride,L5,pq,unstable,500,474,26,94.8,1560.452,2340.762,1349.723,1771.181,77.65,7036.228,8435.824,15.1,11192.78
quic,single,secp384r1,P-384,classique,L3,classique,unstable,500,479,21,95.8,890.997,1722.449,736.743,1045.25,9.34,7001.572,7004.356,7.11,8048.93
quic,single,secp384r1,hqc192,pq_pur,L3,classique,unstable,500,499,1,99.8,556.687,1110.006,459.293,654.081,75.17,3062.926,6908.022,63.73,7348.08
quic,single,secp384r1,mlkem768,pq_pur,L3,classique,unstable,500,492,8,98.4,690.631,1486.887,559.245,822.018,6.245,3004.423,7002.361,4.11,13263.3
quic,single,secp384r1,p384_hqc192,hybride,L3,classique,unstable,500,494,6,98.8,610.069,1243.766,500.388,719.75,113.95,3062.073,7176.108,76.64,10627.76
quic,single,secp384r1,p384_mlkem768,hybride,L3,classique,unstable,500,491,9,98.2,822.289,1529.554,686.994,957.583,15.98,3041.71,7012.941,11.84,10033.07
quic,single,secp384r1,x448_hqc192,hybride,L3,classique,unstable,500,498,2,99.6,646.929,1295.652,533.133,760.726,95.25,3161.992,7065.068,68.57,10559.92
quic,single,secp384r1,x448_mlkem768,hybride,L3,classique,unstable,500,489,11,97.8,724.385,1443.253,596.463,852.307,10.48,3039.196,7004.441,5.52,15527.07
