execution,mode,handshake_duration_ms,success
1,QUIC Single,2.34,1
2,QUIC Single,2.05,1
3,QUIC Single,6999.14,1
4,QUIC Single,2.23,1
5,QUIC Single,2.04,1
6,QUIC Single,1002.01,1
7,QUIC Single,1.96,1
8,QUIC Single,2.08,1
9,QUIC Single,1.93,1
10,QUIC Single,3000.83,1
11,QUIC Single,2.16,1
12,QUIC Single,1.97,1
13,QUIC Single,1001.66,1
14,QUIC Single,1.95,1
15,QUIC Single,2.15,1
16,QUIC Single,1.96,1
17,QUIC Single,NaN,0
18,QUIC Single,1.96,1
19,QUIC Single,NaN,0
20,QUIC Single,1.99,1
21,QUIC Single,2.05,1
22,QUIC Single,6998.1,1
23,QUIC Single,2.44,1
24,QUIC Single,3000.92,1
25,QUIC Single,1001.26,1
26,QUIC Single,1001.54,1
27,QUIC Single,1001.74,1
28,QUIC Single,1002.27,1
29,QUIC Single,6998.24,1
30,QUIC Single,1001.52,1
31,QUIC Single,1002.18,1
32,QUIC Single,1.87,1
33,QUIC Single,2.01,1
34,QUIC Single,1.9,1
35,QUIC Single,1.87,1
36,QUIC Single,3074.75,1
37,QUIC Single,1001.73,1
38,QUIC Single,1.88,1
39,QUIC Single,1001.17,1
40,QUIC Single,2.1,1
41,QUIC Single,2.58,1
42,QUIC Single,1.88,1
43,QUIC Single,1.94,1
44,QUIC Single,1001.85,1
45,QUIC Single,1001.62,1
46,QUIC Single,1.93,1
47,QUIC Single,2.74,1
48,QUIC Single,1001.31,1
49,QUIC Single,1.89,1
50,QUIC Single,1.89,1
51,QUIC Single,2.05,1
52,QUIC Single,2.8,1
53,QUIC Single,2999.98,1
54,QUIC Single,1.94,1
55,QUIC Single,2.7,1
56,QUIC Single,1.97,1
57,QUIC Single,1.95,1
58,QUIC Single,1002.54,1
59,QUIC Single,1002.14,1
60,QUIC Single,1001.48,1
61,QUIC Single,1.85,1
62,QUIC Single,1.89,1
63,QUIC Single,2.26,1
64,QUIC Single,NaN,0
65,QUIC Single,3285.95,1
66,QUIC Single,NaN,0
67,QUIC Single,1001.13,1
68,QUIC Single,1001.85,1
69,QUIC Single,1.89,1
70,QUIC Single,1001.81,1
71,QUIC Single,1.97,1
72,QUIC Single,NaN,0
73,QUIC Single,1001.57,1
