execution,mode,handshake_duration_ms,success
1,QUIC Single,2.64,1
2,QUIC Single,2999.86,1
3,QUIC Single,1027.16,1
4,QUIC Single,1.85,1
5,QUIC Single,2999.98,1
6,QUIC Single,2.08,1
7,QUIC Single,1002.51,1
8,QUIC Single,NaN,0
9,QUIC Single,1001.94,1
10,QUIC Single,2999.69,1
11,QUIC Single,1.8,1
12,QUIC Single,NaN,0
13,QUIC Single,1.7,1
14,QUIC Single,1001.71,1
15,QUIC Single,2.21,1
16,QUIC Single,1001.67,1
17,QUIC Single,1086.02,1
18,QUIC Single,3005.37,1
19,QUIC Single,1326.88,1
20,QUIC Single,1082.54,1
21,QUIC Single,1.86,1
22,QUIC Single,2999.64,1
23,QUIC Single,1001.73,1
24,QUIC Single,6998.27,1
25,QUIC Single,1.72,1
26,QUIC Single,1.7,1
27,QUIC Single,1.83,1
28,QUIC Single,1085.14,1
29,QUIC Single,1.87,1
30,QUIC Single,1026.41,1
31,QUIC Single,1016.76,1
32,QUIC Single,3000.8,1
33,QUIC Single,1.79,1
34,QUIC Single,2999.53,1
35,QUIC Single,1.71,1
36,QUIC Single,2.18,1
37,QUIC Single,2.17,1
38,QUIC Single,1030.65,1
39,QUIC Single,1030.52,1
40,QUIC Single,1.64,1
41,QUIC Single,3000.65,1
42,QUIC Single,1.73,1
43,QUIC Single,1.69,1
44,QUIC Single,1.72,1
45,QUIC Single,1.72,1
46,QUIC Single,1026.59,1
47,QUIC Single,1009.74,1
48,QUIC Single,1001.71,1
49,QUIC Single,NaN,0
50,QUIC Single,1.68,1
51,QUIC Single,1199.58,1
52,QUIC Single,1.87,1
53,QUIC Single,1.72,1
54,QUIC Single,1.66,1
55,QUIC Single,1054.79,1
56,QUIC Single,1009.58,1
57,QUIC Single,1.69,1
58,QUIC Single,3000.31,1
59,QUIC Single,1.72,1
60,QUIC Single,1.72,1
61,QUIC Single,1.77,1
62,QUIC Single,2.19,1
63,QUIC Single,1002.86,1
64,QUIC Single,1.75,1
65,QUIC Single,1.8,1
66,QUIC Single,1.69,1
67,QUIC Single,1.76,1
68,QUIC Single,2.06,1
69,QUIC Single,1.78,1
70,QUIC Single,1.78,1
71,QUIC Single,1163.5,1
72,QUIC Single,1.63,1
73,QUIC Single,1.69,1
74,QUIC Single,1.79,1
75,QUIC Single,1.78,1
76,QUIC Single,1001.52,1
77,QUIC Single,1401.09,1
78,QUIC Single,2.07,1
79,QUIC Single,1.78,1
80,QUIC Single,1.74,1
81,QUIC Single,1002.23,1
82,QUIC Single,1.67,1
83,QUIC Single,1.73,1
84,QUIC Single,3001.21,1
85,QUIC Single,2.3,1
86,QUIC Single,1.75,1
87,QUIC Single,1.75,1
88,QUIC Single,1002.68,1
89,QUIC Single,1.67,1
90,QUIC Single,1.72,1
91,QUIC Single,1.68,1
92,QUIC Single,1.64,1
93,QUIC Single,1.84,1
94,QUIC Single,1054.12,1
95,QUIC Single,1027.05,1
96,QUIC Single,1.7,1
97,QUIC Single,1.68,1
98,QUIC Single,1.68,1
99,QUIC Single,1.74,1
100,QUIC Single,1955.72,1
101,QUIC Single,2999.66,1
102,QUIC Single,1.74,1
103,QUIC Single,1009.78,1
104,QUIC Single,1.75,1
105,QUIC Single,2.25,1
106,QUIC Single,2.17,1
107,QUIC Single,1.85,1
108,QUIC Single,1.66,1
109,QUIC Single,1001.73,1
110,QUIC Single,1.94,1
111,QUIC Single,2.13,1
112,QUIC Single,1.75,1
113,QUIC Single,1027.16,1
114,QUIC Single,1.7,1
115,QUIC Single,1498.1,1
116,QUIC Single,2047.64,1
117,QUIC Single,NaN,0
118,QUIC Single,3000.22,1
119,QUIC Single,1001.73,1
120,QUIC Single,2.25,1
121,QUIC Single,1.77,1
122,QUIC Single,1.71,1
123,QUIC Single,1.95,1
124,QUIC Single,1003.7,1
125,QUIC Single,2.59,1
126,QUIC Single,1.85,1
127,QUIC Single,1.77,1
128,QUIC Single,2.42,1
129,QUIC Single,1003.4,1
130,QUIC Single,1054.59,1
131,QUIC Single,1003.01,1
132,QUIC Single,1.74,1
133,QUIC Single,2.1,1
134,QUIC Single,1.75,1
135,QUIC Single,2.75,1
136,QUIC Single,1002.72,1
137,QUIC Single,1027.36,1
138,QUIC Single,1001.93,1
139,QUIC Single,3000.78,1
140,QUIC Single,1027.0,1
141,QUIC Single,1027.02,1
142,QUIC Single,1.74,1
143,QUIC Single,1002.26,1
144,QUIC Single,2.0,1
145,QUIC Single,1.67,1
146,QUIC Single,1088.03,1
147,QUIC Single,1027.32,1
148,QUIC Single,1.93,1
149,QUIC Single,1055.37,1
150,QUIC Single,1.94,1
151,QUIC Single,2.13,1
152,QUIC Single,1.91,1
153,QUIC Single,3000.86,1
154,QUIC Single,1055.34,1
155,QUIC Single,1.71,1
156,QUIC Single,1.74,1
157,QUIC Single,1.69,1
158,QUIC Single,1.62,1
159,QUIC Single,1.7,1
160,QUIC Single,2.15,1
161,QUIC Single,1.76,1
162,QUIC Single,1.71,1
163,QUIC Single,1003.35,1
164,QUIC Single,10018.67,1
165,QUIC Single,1.74,1
166,QUIC Single,2.0,1
167,QUIC Single,1.85,1
168,QUIC Single,1.91,1
169,QUIC Single,1001.67,1
170,QUIC Single,1.74,1
171,QUIC Single,1027.69,1
172,QUIC Single,6999.07,1
173,QUIC Single,3000.0,1
174,QUIC Single,2.19,1
175,QUIC Single,1.75,1
176,QUIC Single,1.73,1
177,QUIC Single,2.36,1
178,QUIC Single,2.0,1
179,QUIC Single,10063.38,1
180,QUIC Single,1.78,1
181,QUIC Single,1.79,1
182,QUIC Single,1.91,1
183,QUIC Single,1.7,1
184,QUIC Single,1001.91,1
185,QUIC Single,3001.05,1
186,QUIC Single,1.84,1
187,QUIC Single,1003.01,1
188,QUIC Single,1.78,1
189,QUIC Single,1027.3,1
190,QUIC Single,1.63,1
191,QUIC Single,1055.74,1
192,QUIC Single,2523.59,1
193,QUIC Single,1002.18,1
194,QUIC Single,1001.7,1
195,QUIC Single,1.74,1
196,QUIC Single,1.7,1
197,QUIC Single,1031.17,1
198,QUIC Single,2.25,1
199,QUIC Single,1.65,1
200,QUIC Single,NaN,0
201,QUIC Single,1030.35,1
202,QUIC Single,NaN,0
203,QUIC Single,1.85,1
204,QUIC Single,1.74,1
205,QUIC Single,1026.68,1
206,QUIC Single,1055.27,1
207,QUIC Single,1.83,1
208,QUIC Single,2.02,1
209,QUIC Single,1002.28,1
210,QUIC Single,NaN,0
211,QUIC Single,1.81,1
212,QUIC Single,1084.13,1
213,QUIC Single,1.73,1
214,QUIC Single,1010.56,1
215,QUIC Single,1054.95,1
216,QUIC Single,3000.99,1
217,QUIC Single,1001.71,1
218,QUIC Single,2.25,1
219,QUIC Single,2.17,1
220,QUIC Single,2.1,1
221,QUIC Single,1003.77,1
222,QUIC Single,2.18,1
223,QUIC Single,1.75,1
224,QUIC Single,1.75,1
225,QUIC Single,1110.77,1
226,QUIC Single,2068.91,1
227,QUIC Single,1.75,1
228,QUIC Single,1.91,1
229,QUIC Single,1027.09,1
230,QUIC Single,1.69,1
231,QUIC Single,2.2,1
232,QUIC Single,1.74,1
233,QUIC Single,3000.12,1
234,QUIC Single,1110.59,1
235,QUIC Single,1.94,1
236,QUIC Single,1054.0,1
237,QUIC Single,1027.02,1
238,QUIC Single,1440.2,1
239,QUIC Single,2.25,1
240,QUIC Single,1055.72,1
241,QUIC Single,2.24,1
242,QUIC Single,1.77,1
243,QUIC Single,2.41,1
244,QUIC Single,1026.84,1
245,QUIC Single,2.19,1
246,QUIC Single,1.8,1
247,QUIC Single,1.77,1
248,QUIC Single,1001.74,1
249,QUIC Single,1002.4,1
250,QUIC Single,1001.71,1
251,QUIC Single,1001.7,1
252,QUIC Single,1.76,1
253,QUIC Single,1.79,1
254,QUIC Single,1027.17,1
255,QUIC Single,1.71,1
256,QUIC Single,1.79,1
257,QUIC Single,1219.53,1
258,QUIC Single,2503.28,1
259,QUIC Single,1330.38,1
260,QUIC Single,1.78,1
261,QUIC Single,1.7,1
262,QUIC Single,2.18,1
263,QUIC Single,1.81,1
264,QUIC Single,1.7,1
265,QUIC Single,2999.67,1
266,QUIC Single,1.9,1
267,QUIC Single,1.84,1
268,QUIC Single,2.24,1
269,QUIC Single,1.71,1
270,QUIC Single,1003.84,1
271,QUIC Single,1.72,1
272,QUIC Single,1.7,1
273,QUIC Single,1026.62,1
274,QUIC Single,1.61,1
275,QUIC Single,1.69,1
276,QUIC Single,2.09,1
277,QUIC Single,3000.65,1
278,QUIC Single,1.72,1
279,QUIC Single,1421.66,1
280,QUIC Single,8002.71,1
281,QUIC Single,1054.99,1
282,QUIC Single,1109.43,1
283,QUIC Single,6999.61,1
284,QUIC Single,1026.93,1
285,QUIC Single,1.76,1
286,QUIC Single,1.77,1
287,QUIC Single,2.14,1
288,QUIC Single,1.61,1
289,QUIC Single,1.75,1
290,QUIC Single,3001.13,1
291,QUIC Single,2.17,1
292,QUIC Single,1027.11,1
293,QUIC Single,2.22,1
294,QUIC Single,2.33,1
295,QUIC Single,1.77,1
296,QUIC Single,1002.47,1
297,QUIC Single,1085.7,1
298,QUIC Single,1.83,1
299,QUIC Single,2.12,1
300,QUIC Single,1002.08,1
301,QUIC Single,1.84,1
302,QUIC Single,1.98,1
303,QUIC Single,2.12,1
304,QUIC Single,2.25,1
305,QUIC Single,1.78,1
306,QUIC Single,NaN,0
307,QUIC Single,2.12,1
308,QUIC Single,1.72,1
309,QUIC Single,1053.92,1
310,QUIC Single,1.87,1
311,QUIC Single,1.75,1
312,QUIC Single,1110.44,1
313,QUIC Single,1.71,1
314,QUIC Single,1110.2,1
315,QUIC Single,1.79,1
316,QUIC Single,1.76,1
317,QUIC Single,2999.58,1
318,QUIC Single,3029.05,1
319,QUIC Single,1001.93,1
320,QUIC Single,2.14,1
321,QUIC Single,1.74,1
322,QUIC Single,1002.88,1
323,QUIC Single,2.1,1
324,QUIC Single,1.77,1
325,QUIC Single,6998.81,1
326,QUIC Single,1027.23,1
327,QUIC Single,1.95,1
328,QUIC Single,1.87,1
329,QUIC Single,1.69,1
330,QUIC Single,1.69,1
331,QUIC Single,1.99,1
332,QUIC Single,1.71,1
333,QUIC Single,1002.35,1
334,QUIC Single,1.81,1
335,QUIC Single,1.73,1
336,QUIC Single,2.12,1
337,QUIC Single,1.87,1
338,QUIC Single,2.13,1
339,QUIC Single,2.38,1
340,QUIC Single,2.16,1
341,QUIC Single,2999.63,1
342,QUIC Single,1.82,1
343,QUIC Single,1.75,1
344,QUIC Single,1.76,1
345,QUIC Single,1057.32,1
346,QUIC Single,1.7,1
347,QUIC Single,1.74,1
348,QUIC Single,6997.91,1
349,QUIC Single,3001.12,1
350,QUIC Single,1871.23,1
351,QUIC Single,1003.05,1
352,QUIC Single,1003.06,1
353,QUIC Single,1.93,1
354,QUIC Single,2.63,1
355,QUIC Single,1026.44,1
356,QUIC Single,1030.68,1
357,QUIC Single,1.73,1
358,QUIC Single,1001.61,1
359,QUIC Single,2.25,1
360,QUIC Single,2.52,1
361,QUIC Single,1.68,1
362,QUIC Single,2999.65,1
363,QUIC Single,1001.74,1
364,QUIC Single,1090.84,1
365,QUIC Single,1.98,1
366,QUIC Single,1.95,1
367,QUIC Single,1432.91,1
368,QUIC Single,1.79,1
369,QUIC Single,2.17,1
370,QUIC Single,1.91,1
371,QUIC Single,1.71,1
372,QUIC Single,1.98,1
373,QUIC Single,1.89,1
374,QUIC Single,1003.02,1
375,QUIC Single,2.28,1
376,QUIC Single,1.73,1
377,QUIC Single,1001.77,1
378,QUIC Single,1.76,1
379,QUIC Single,1.7,1
380,QUIC Single,2.15,1
381,QUIC Single,1.96,1
382,QUIC Single,1.97,1
383,QUIC Single,1.76,1
384,QUIC Single,1009.68,1
385,QUIC Single,2999.82,1
386,QUIC Single,2.0,1
387,QUIC Single,1.72,1
388,QUIC Single,1.8,1
389,QUIC Single,1027.02,1
390,QUIC Single,1.71,1
391,QUIC Single,1.71,1
392,QUIC Single,NaN,0
393,QUIC Single,1.76,1
394,QUIC Single,1.75,1
395,QUIC Single,1001.76,1
396,QUIC Single,1001.76,1
397,QUIC Single,1001.55,1
398,QUIC Single,1003.05,1
399,QUIC Single,1.95,1
400,QUIC Single,1.78,1
401,QUIC Single,2.56,1
402,QUIC Single,2.12,1
403,QUIC Single,3000.41,1
404,QUIC Single,1.79,1
405,QUIC Single,1.75,1
406,QUIC Single,1.83,1
407,QUIC Single,1030.41,1
408,QUIC Single,1.81,1
409,QUIC Single,6997.68,1
410,QUIC Single,1.75,1
411,QUIC Single,1.75,1
412,QUIC Single,6998.05,1
413,QUIC Single,1002.34,1
414,QUIC Single,2.23,1
415,QUIC Single,1.69,1
416,QUIC Single,1.93,1
417,QUIC Single,1.93,1
418,QUIC Single,1.8,1
419,QUIC Single,1.72,1
420,QUIC Single,1001.95,1
421,QUIC Single,1.75,1
422,QUIC Single,1436.17,1
423,QUIC Single,1.75,1
424,QUIC Single,1.81,1
425,QUIC Single,1.7,1
426,QUIC Single,1173.06,1
427,QUIC Single,1.76,1
428,QUIC Single,1.78,1
429,QUIC Single,2.35,1
430,QUIC Single,1026.97,1
431,QUIC Single,1106.93,1
432,QUIC Single,1.75,1
433,QUIC Single,1.75,1
434,QUIC Single,1.74,1
435,QUIC Single,1.77,1
436,QUIC Single,1.76,1
437,QUIC Single,1.99,1
438,QUIC Single,1002.14,1
439,QUIC Single,1027.19,1
440,QUIC Single,2.19,1
441,QUIC Single,2.22,1
442,QUIC Single,1001.96,1
443,QUIC Single,1.89,1
444,QUIC Single,3000.79,1
445,QUIC Single,1.77,1
446,QUIC Single,2.25,1
447,QUIC Single,1010.53,1
448,QUIC Single,1.73,1
449,QUIC Single,1001.7,1
450,QUIC Single,6999.07,1
451,QUIC Single,1.78,1
452,QUIC Single,1.98,1
453,QUIC Single,1003.38,1
454,QUIC Single,1.77,1
455,QUIC Single,1.78,1
456,QUIC Single,1031.17,1
457,QUIC Single,1030.26,1
458,QUIC Single,1.78,1
459,QUIC Single,1.72,1
460,QUIC Single,2.12,1
461,QUIC Single,7000.32,1
462,QUIC Single,1.71,1
463,QUIC Single,1.77,1
464,QUIC Single,1.94,1
465,QUIC Single,1542.0,1
466,QUIC Single,1.76,1
467,QUIC Single,1.85,1
468,QUIC Single,2.07,1
469,QUIC Single,2.12,1
470,QUIC Single,2.13,1
471,QUIC Single,1431.41,1
472,QUIC Single,1.96,1
473,QUIC Single,1.94,1
474,QUIC Single,1.78,1
