execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,QUIC Single,29.8,1,1,4
2,QUIC Single,2439.71,1,1,4
3,QUIC Single,1102.57,1,1,4
4,QUIC Single,1102.58,1,1,4
5,QUIC Single,85.33,1,1,4
6,QUIC Single,29.71,1,1,4
7,QUIC Single,4074.25,1,1,4
8,QUIC Single,29.71,1,1,4
9,QUIC Single,33.81,1,1,4
10,QUIC Single,2.5,1,1,4
11,QUIC Single,3073.47,1,1,4
12,QUIC Single,2113.59,1,1,4
13,QUIC Single,4998.74,1,1,4
14,QUIC Single,1.96,1,1,4
15,QUIC Single,116.66,1,1,4
16,QUIC Single,1.94,1,1,4
17,QUIC Single,NaN,0,1,4
18,QUIC Single,1230.21,1,1,4
19,QUIC Single,3074.06,1,1,4
20,QUIC Single,111.25,1,1,4
21,QUIC Single,5192.28,1,1,4
22,QUIC Single,1.99,1,1,4
23,QUIC Single,8078.18,1,1,4
24,QUIC Single,4999.83,1,1,4
25,QUIC Single,29.75,1,1,4
26,QUIC Single,3099.74,1,1,4
27,QUIC Single,1341.05,1,1,4
28,QUIC Single,2.32,1,1,4
29,QUIC Single,2.29,1,1,4
30,QUIC Single,83.71,1,1,4
31,QUIC Single,2.08,1,1,4
32,QUIC Single,NaN,0,1,4
33,QUIC Single,1102.2,1,1,4
34,QUIC Single,1.9,1,1,4
35,QUIC Single,2026.05,1,1,4
36,QUIC Single,29.84,1,1,4
37,QUIC Single,3073.76,1,1,4
38,QUIC Single,2.29,1,1,4
39,QUIC Single,280.97,1,1,4
40,QUIC Single,4099.46,1,1,4
41,QUIC Single,3074.48,1,1,4
42,QUIC Single,NaN,0,1,4
43,QUIC Single,4547.43,1,1,4
44,QUIC Single,1.88,1,1,4
45,QUIC Single,2025.66,1,1,4
46,QUIC Single,2.14,1,1,4
47,QUIC Single,1.99,1,1,4
48,QUIC Single,29.39,1,1,4
49,QUIC Single,29.68,1,1,4
50,QUIC Single,1001.3,1,1,4
51,QUIC Single,2.08,1,1,4
52,QUIC Single,1925.87,1,1,4
53,QUIC Single,2054.45,1,1,4
54,QUIC Single,1130.45,1,1,4
55,QUIC Single,1.89,1,1,4
56,QUIC Single,29.7,1,1,4
57,QUIC Single,2000.21,1,1,4
58,QUIC Single,1184.08,1,1,4
59,QUIC Single,1.81,1,1,4
60,QUIC Single,33.69,1,1,4
61,QUIC Single,61.13,1,1,4
62,QUIC Single,63.51,1,1,4
63,QUIC Single,2.06,1,1,4
64,QUIC Single,1.98,1,1,4
65,QUIC Single,3074.01,1,1,4
66,QUIC Single,2.0,1,1,4
67,QUIC Single,1103.01,1,1,4
68,QUIC Single,1.97,1,1,4
69,QUIC Single,2.48,1,1,4
70,QUIC Single,83.69,1,1,4
71,QUIC Single,1155.5,1,1,4
72,QUIC Single,3099.66,1,1,4
73,QUIC Single,1.98,1,1,4
74,QUIC Single,192.1,1,1,4
75,QUIC Single,1.85,1,1,4
76,QUIC Single,1102.68,1,1,4
77,QUIC Single,2025.18,1,1,4
78,QUIC Single,1001.32,1,1,4
79,QUIC Single,2.39,1,1,4
80,QUIC Single,1001.87,1,1,4
81,QUIC Single,2.05,1,1,4
82,QUIC Single,1011.69,1,1,4
83,QUIC Single,56.98,1,1,4
84,QUIC Single,1102.55,1,1,4
85,QUIC Single,9862.52,1,1,4
86,QUIC Single,29.91,1,1,4
87,QUIC Single,2.06,1,1,4
88,QUIC Single,84.84,1,1,4
89,QUIC Single,29.89,1,1,4
90,QUIC Single,1103.12,1,1,4
91,QUIC Single,1447.23,1,1,4
92,QUIC Single,33.79,1,1,4
93,QUIC Single,57.12,1,1,4
94,QUIC Single,2.0,1,1,4
95,QUIC Single,2000.71,1,1,4
96,QUIC Single,2.02,1,1,4
97,QUIC Single,29.92,1,1,4
98,QUIC Single,1396.47,1,1,4
99,QUIC Single,1245.26,1,1,4
100,QUIC Single,1101.48,1,1,4
101,QUIC Single,2.38,1,1,4
102,QUIC Single,2.22,1,1,4
103,QUIC Single,60.83,1,1,4
104,QUIC Single,2025.36,1,1,4
105,QUIC Single,1257.66,1,1,4
106,QUIC Single,901.46,1,1,4
107,QUIC Single,5026.12,1,1,4
108,QUIC Single,2190.29,1,1,4
109,QUIC Single,29.55,1,1,4
110,QUIC Single,29.57,1,1,4
111,QUIC Single,56.8,1,1,4
112,QUIC Single,1227.33,1,1,4
113,QUIC Single,2.01,1,1,4
114,QUIC Single,2.1,1,1,4
115,QUIC Single,2.04,1,1,4
116,QUIC Single,2102.82,1,1,4
117,QUIC Single,1102.21,1,1,4
118,QUIC Single,2.14,1,1,4
119,QUIC Single,1.9,1,1,4
120,QUIC Single,1101.11,1,1,4
121,QUIC Single,1.92,1,1,4
122,QUIC Single,3791.24,1,1,4
123,QUIC Single,4073.93,1,1,4
124,QUIC Single,1186.48,1,1,4
125,QUIC Single,1291.35,1,1,4
