execution,mode,handshake_duration_ms,success
1,QUIC Single,134.01,1
2,QUIC Single,45.45,1
3,QUIC Single,432.54,1
4,QUIC Single,135.24,1
5,QUIC Single,46.38,1
6,QUIC Single,78.63,1
7,QUIC Single,136.71,1
8,QUIC Single,686.43,1
9,QUIC Single,577.51,1
10,QUIC Single,629.76,1
11,QUIC Single,2029.59,1
12,QUIC Single,60.04,1
13,QUIC Single,44.16,1
14,QUIC Single,45.8,1
15,QUIC Single,45.61,1
16,QUIC Single,2877.43,1
17,QUIC Single,45.33,1
18,QUIC Single,595.82,1
19,QUIC Single,213.51,1
20,QUIC Single,3314.61,1
21,QUIC Single,44.38,1
22,QUIC Single,2078.99,1
23,QUIC Single,60.61,1
24,QUIC Single,852.72,1
25,QUIC Single,450.81,1
26,QUIC Single,3928.93,1
27,QUIC Single,1481.05,1
28,QUIC Single,44.56,1
29,QUIC Single,44.01,1
30,QUIC Single,189.94,1
31,QUIC Single,1028.86,1
32,QUIC Single,1093.97,1
33,QUIC Single,94.04,1
34,QUIC Single,43.99,1
35,QUIC Single,1042.68,1
36,QUIC Single,57.87,1
37,QUIC Single,3117.9,1
38,QUIC Single,1668.98,1
39,QUIC Single,44.09,1
40,QUIC Single,1775.26,1
41,QUIC Single,4907.12,1
42,QUIC Single,74.72,1
43,QUIC Single,1054.21,1
44,QUIC Single,1031.1,1
45,QUIC Single,44.3,1
46,QUIC Single,46.2,1
47,QUIC Single,60.13,1
48,QUIC Single,347.15,1
49,QUIC Single,45.54,1
50,QUIC Single,45.66,1
51,QUIC Single,1896.74,1
52,QUIC Single,56.78,1
53,QUIC Single,45.7,1
54,QUIC Single,44.31,1
55,QUIC Single,656.46,1
56,QUIC Single,448.85,1
57,QUIC Single,44.02,1
58,QUIC Single,5510.59,1
59,QUIC Single,3208.72,1
60,QUIC Single,93.86,1
61,QUIC Single,45.52,1
62,QUIC Single,420.22,1
63,QUIC Single,2154.45,1
64,QUIC Single,578.84,1
65,QUIC Single,45.27,1
66,QUIC Single,3119.01,1
67,QUIC Single,123.33,1
68,QUIC Single,45.43,1
69,QUIC Single,45.37,1
70,QUIC Single,45.52,1
71,QUIC Single,45.6,1
72,QUIC Single,48.55,1
73,QUIC Single,168.31,1
74,QUIC Single,1422.26,1
75,QUIC Single,139.84,1
76,QUIC Single,1044.42,1
77,QUIC Single,316.36,1
78,QUIC Single,3478.78,1
79,QUIC Single,45.55,1
80,QUIC Single,381.55,1
81,QUIC Single,45.52,1
82,QUIC Single,1046.15,1
83,QUIC Single,45.35,1
84,QUIC Single,46.93,1
85,QUIC Single,45.13,1
86,QUIC Single,45.37,1
87,QUIC Single,45.81,1
88,QUIC Single,592.63,1
89,QUIC Single,45.29,1
90,QUIC Single,44.21,1
91,QUIC Single,44.46,1
92,QUIC Single,93.83,1
93,QUIC Single,915.43,1
94,QUIC Single,44.1,1
95,QUIC Single,1465.62,1
96,QUIC Single,45.55,1
97,QUIC Single,2161.57,1
98,QUIC Single,868.79,1
99,QUIC Single,135.29,1
100,QUIC Single,45.43,1
101,QUIC Single,1027.53,1
102,QUIC Single,44.31,1
103,QUIC Single,224.04,1
104,QUIC Single,45.26,1
105,QUIC Single,1790.89,1
106,QUIC Single,45.23,1
107,QUIC Single,45.27,1
108,QUIC Single,181.52,1
109,QUIC Single,3025.78,1
110,QUIC Single,45.35,1
111,QUIC Single,45.57,1
112,QUIC Single,7262.19,1
113,QUIC Single,361.71,1
114,QUIC Single,58.42,1
115,QUIC Single,44.21,1
116,QUIC Single,1096.36,1
117,QUIC Single,3027.79,1
118,QUIC Single,1077.61,1
119,QUIC Single,NaN,0
120,QUIC Single,179.92,1
121,QUIC Single,57.12,1
