execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,QUIC Single,NaN,0,3,4
2,QUIC Single,102.47,1,3,4
3,QUIC Single,1132.47,1,3,4
4,QUIC Single,7266.4,1,3,4
5,QUIC Single,7295.53,1,3,4
6,QUIC Single,55.12,1,3,4
7,QUIC Single,1396.55,1,3,4
8,QUIC Single,1415.48,1,3,4
9,QUIC Single,924.4,1,3,4
10,QUIC Single,168.55,1,3,4
11,QUIC Single,5857.05,1,3,4
12,QUIC Single,54.83,1,3,4
13,QUIC Single,55.7,1,3,4
14,QUIC Single,250.68,1,3,4
15,QUIC Single,1131.98,1,3,4
16,QUIC Single,385.1,1,3,4
17,QUIC Single,231.35,1,3,4
18,QUIC Single,111.8,1,3,4
19,QUIC Single,102.34,1,3,4
20,QUIC Single,53.07,1,3,4
21,QUIC Single,NaN,0,3,4
22,QUIC Single,1611.32,1,3,4
23,QUIC Single,54.5,1,3,4
24,QUIC Single,54.36,1,3,4
25,QUIC Single,54.42,1,3,4
26,QUIC Single,584.37,1,3,4
27,QUIC Single,52.95,1,3,4
28,QUIC Single,760.65,1,3,4
29,QUIC Single,53.3,1,3,4
30,QUIC Single,1103.95,1,3,4
31,QUIC Single,493.47,1,3,4
32,QUIC Single,2592.84,1,3,4
33,QUIC Single,54.35,1,3,4
34,QUIC Single,3594.31,1,3,4
35,QUIC Single,242.04,1,3,4
36,QUIC Single,54.56,1,3,4
37,QUIC Single,765.9,1,3,4
38,QUIC Single,102.14,1,3,4
39,QUIC Single,2841.75,1,3,4
40,QUIC Single,101.55,1,3,4
41,QUIC Single,54.34,1,3,4
42,QUIC Single,55.24,1,3,4
43,QUIC Single,204.86,1,3,4
44,QUIC Single,1644.86,1,3,4
45,QUIC Single,54.41,1,3,4
46,QUIC Single,1082.89,1,3,4
47,QUIC Single,336.73,1,3,4
48,QUIC Single,703.15,1,3,4
49,QUIC Single,74.5,1,3,4
50,QUIC Single,57.01,1,3,4
51,QUIC Single,1159.02,1,3,4
52,QUIC Single,102.12,1,3,4
53,QUIC Single,3051.66,1,3,4
54,QUIC Single,54.51,1,3,4
55,QUIC Single,53.25,1,3,4
56,QUIC Single,1127.68,1,3,4
57,QUIC Single,787.24,1,3,4
58,QUIC Single,55.45,1,3,4
59,QUIC Single,65.04,1,3,4
60,QUIC Single,53.7,1,3,4
61,QUIC Single,54.36,1,3,4
62,QUIC Single,127.96,1,3,4
63,QUIC Single,2818.3,1,3,4
64,QUIC Single,101.81,1,3,4
65,QUIC Single,102.65,1,3,4
66,QUIC Single,56.64,1,3,4
67,QUIC Single,54.59,1,3,4
68,QUIC Single,182.16,1,3,4
69,QUIC Single,1059.28,1,3,4
70,QUIC Single,54.11,1,3,4
71,QUIC Single,54.46,1,3,4
72,QUIC Single,1197.31,1,3,4
73,QUIC Single,53.43,1,3,4
74,QUIC Single,406.3,1,3,4
75,QUIC Single,1083.14,1,3,4
76,QUIC Single,55.14,1,3,4
77,QUIC Single,54.17,1,3,4
78,QUIC Single,54.38,1,3,4
79,QUIC Single,102.63,1,3,4
80,QUIC Single,207.0,1,3,4
81,QUIC Single,119.46,1,3,4
82,QUIC Single,6714.21,1,3,4
83,QUIC Single,933.82,1,3,4
84,QUIC Single,1246.13,1,3,4
85,QUIC Single,64.07,1,3,4
86,QUIC Single,5218.77,1,3,4
87,QUIC Single,852.87,1,3,4
88,QUIC Single,2103.41,1,3,4
89,QUIC Single,67.19,1,3,4
90,QUIC Single,54.85,1,3,4
91,QUIC Single,53.2,1,3,4
92,QUIC Single,2450.11,1,3,4
93,QUIC Single,4418.0,1,3,4
94,QUIC Single,197.98,1,3,4
95,QUIC Single,989.54,1,3,4
96,QUIC Single,54.04,1,3,4
97,QUIC Single,1081.02,1,3,4
98,QUIC Single,140.06,1,3,4
99,QUIC Single,53.14,1,3,4
100,QUIC Single,54.23,1,3,4
101,QUIC Single,54.25,1,3,4
102,QUIC Single,511.14,1,3,4
103,QUIC Single,54.47,1,3,4
104,QUIC Single,1104.7,1,3,4
105,QUIC Single,54.19,1,3,4
106,QUIC Single,485.27,1,3,4
107,QUIC Single,54.66,1,3,4
108,QUIC Single,203.78,1,3,4
109,QUIC Single,197.15,1,3,4
110,QUIC Single,54.24,1,3,4
111,QUIC Single,1520.27,1,3,4
112,QUIC Single,92.44,1,3,4
113,QUIC Single,919.54,1,3,4
114,QUIC Single,1404.97,1,3,4
115,QUIC Single,920.87,1,3,4
116,QUIC Single,1571.23,1,3,4
117,QUIC Single,1122.18,1,3,4
118,QUIC Single,805.85,1,3,4
119,QUIC Single,55.09,1,3,4
120,QUIC Single,1035.92,1,3,4
121,QUIC Single,363.43,1,3,4
122,QUIC Single,54.94,1,3,4
123,QUIC Single,53.23,1,3,4
124,QUIC Single,806.15,1,3,4
125,QUIC Single,64.66,1,3,4
