execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,QUIC Single,104.71,1,3,4
2,QUIC Single,9186.16,1,3,4
3,QUIC Single,13.53,1,3,4
4,QUIC Single,2007.58,1,3,4
5,QUIC Single,73.06,1,3,4
6,QUIC Single,11.3,1,3,4
7,QUIC Single,2032.45,1,3,4
8,QUIC Single,11.18,1,3,4
9,QUIC Single,178.14,1,3,4
10,QUIC Single,2032.03,1,3,4
11,QUIC Single,121.53,1,3,4
12,QUIC Single,42.01,1,3,4
13,QUIC Single,41.92,1,3,4
14,QUIC Single,13.13,1,3,4
15,QUIC Single,99.5,1,3,4
16,QUIC Single,384.36,1,3,4
17,QUIC Single,7010.61,1,3,4
18,QUIC Single,3030.08,1,3,4
19,QUIC Single,4033.35,1,3,4
20,QUIC Single,4058.57,1,3,4
21,QUIC Single,3010.52,1,3,4
22,QUIC Single,2039.15,1,3,4
23,QUIC Single,10.99,1,3,4
24,QUIC Single,2031.73,1,3,4
25,QUIC Single,55.06,1,3,4
26,QUIC Single,NaN,0,3,4
27,QUIC Single,2200.81,1,3,4
28,QUIC Single,11.07,1,3,4
29,QUIC Single,2007.19,1,3,4
30,QUIC Single,6506.73,1,3,4
31,QUIC Single,10.96,1,3,4
32,QUIC Single,NaN,0,3,4
33,QUIC Single,221.2,1,3,4
34,QUIC Single,11.39,1,3,4
35,QUIC Single,2141.5,1,3,4
36,QUIC Single,2198.74,1,3,4
37,QUIC Single,11.26,1,3,4
38,QUIC Single,7151.93,1,3,4
39,QUIC Single,3033.15,1,3,4
40,QUIC Single,11.1,1,3,4
41,QUIC Single,2036.24,1,3,4
42,QUIC Single,4477.29,1,3,4
43,QUIC Single,4034.44,1,3,4
44,QUIC Single,2006.97,1,3,4
45,QUIC Single,13.31,1,3,4
46,QUIC Single,11.14,1,3,4
47,QUIC Single,264.92,1,3,4
48,QUIC Single,12.94,1,3,4
49,QUIC Single,13.23,1,3,4
50,QUIC Single,13.17,1,3,4
51,QUIC Single,2032.71,1,3,4
52,QUIC Single,70.11,1,3,4
53,QUIC Single,2008.82,1,3,4
54,QUIC Single,72.08,1,3,4
55,QUIC Single,3119.06,1,3,4
56,QUIC Single,2032.09,1,3,4
57,QUIC Single,3118.01,1,3,4
58,QUIC Single,100.62,1,3,4
59,QUIC Single,3431.25,1,3,4
60,QUIC Single,13.04,1,3,4
61,QUIC Single,11.17,1,3,4
62,QUIC Single,2008.58,1,3,4
63,QUIC Single,16.34,1,3,4
64,QUIC Single,4253.37,1,3,4
65,QUIC Single,11.09,1,3,4
66,QUIC Single,13.11,1,3,4
67,QUIC Single,11.11,1,3,4
68,QUIC Single,6390.26,1,3,4
69,QUIC Single,2361.85,1,3,4
70,QUIC Single,13.07,1,3,4
71,QUIC Single,11.11,1,3,4
72,QUIC Single,16.49,1,3,4
73,QUIC Single,NaN,0,3,4
74,QUIC Single,6032.76,1,3,4
75,QUIC Single,11.48,1,3,4
76,QUIC Single,11.07,1,3,4
77,QUIC Single,8061.34,1,3,4
78,QUIC Single,10.84,1,3,4
79,QUIC Single,4030.16,1,3,4
80,QUIC Single,2090.69,1,3,4
81,QUIC Single,71.12,1,3,4
82,QUIC Single,4087.16,1,3,4
83,QUIC Single,11.07,1,3,4
84,QUIC Single,12.93,1,3,4
85,QUIC Single,131.62,1,3,4
86,QUIC Single,41.7,1,3,4
87,QUIC Single,10670.14,1,3,4
88,QUIC Single,71.06,1,3,4
89,QUIC Single,11.14,1,3,4
90,QUIC Single,3555.35,1,3,4
91,QUIC Single,11.18,1,3,4
92,QUIC Single,54.98,1,3,4
93,QUIC Single,100.68,1,3,4
94,QUIC Single,4033.65,1,3,4
95,QUIC Single,2034.57,1,3,4
96,QUIC Single,3658.95,1,3,4
97,QUIC Single,3035.75,1,3,4
98,QUIC Single,10.97,1,3,4
99,QUIC Single,40.38,1,3,4
100,QUIC Single,4170.83,1,3,4
101,QUIC Single,11.48,1,3,4
102,QUIC Single,6031.43,1,3,4
103,QUIC Single,2032.53,1,3,4
104,QUIC Single,2032.12,1,3,4
105,QUIC Single,11.12,1,3,4
106,QUIC Single,4031.74,1,3,4
107,QUIC Single,4033.21,1,3,4
108,QUIC Single,454.75,1,3,4
109,QUIC Single,2967.1,1,3,4
110,QUIC Single,2087.64,1,3,4
111,QUIC Single,79.44,1,3,4
112,QUIC Single,8032.68,1,3,4
113,QUIC Single,11.19,1,3,4
114,QUIC Single,11.06,1,3,4
115,QUIC Single,113.11,1,3,4
116,QUIC Single,2859.26,1,3,4
117,QUIC Single,11.21,1,3,4
118,QUIC Single,10.88,1,3,4
119,QUIC Single,40.85,1,3,4
120,QUIC Single,630.69,1,3,4
121,QUIC Single,2008.6,1,3,4
122,QUIC Single,16.66,1,3,4
123,QUIC Single,16.31,1,3,4
124,QUIC Single,4035.11,1,3,4
125,QUIC Single,4113.4,1,3,4
