execution,mode,handshake_duration_ms,success
1,QUIC Single,7075.3,1
2,QUIC Single,3030.5,1
3,QUIC Single,1083.93,1
4,QUIC Single,1485.75,1
5,QUIC Single,49.1,1
6,QUIC Single,47.73,1
7,QUIC Single,137.26,1
8,QUIC Single,47.36,1
9,QUIC Single,48.13,1
10,QUIC Single,48.24,1
11,QUIC Single,1031.55,1
12,QUIC Single,1111.44,1
13,QUIC Single,2039.97,1
14,QUIC Single,48.22,1
15,QUIC Single,103.91,1
16,QUIC Single,85.38,1
17,QUIC Single,178.35,1
18,QUIC Single,64.15,1
19,QUIC Single,117.39,1
20,QUIC Single,464.26,1
21,QUIC Single,891.08,1
22,QUIC Single,155.97,1
23,QUIC Single,46.96,1
24,QUIC Single,48.5,1
25,QUIC Single,126.56,1
26,QUIC Single,731.0,1
27,QUIC Single,1143.62,1
28,QUIC Single,229.54,1
29,QUIC Single,922.19,1
30,QUIC Single,46.8,1
31,QUIC Single,1076.12,1
32,QUIC Single,48.01,1
33,QUIC Single,4025.27,1
34,QUIC Single,170.45,1
35,QUIC Single,46.71,1
36,QUIC Single,87.84,1
37,QUIC Single,48.12,1
38,QUIC Single,137.75,1
39,QUIC Single,137.48,1
40,QUIC Single,106.27,1
41,QUIC Single,824.77,1
42,QUIC Single,1062.4,1
43,QUIC Single,377.56,1
44,QUIC Single,48.62,1
45,QUIC Single,48.69,1
46,QUIC Single,48.02,1
47,QUIC Single,1078.61,1
48,QUIC Single,48.49,1
49,QUIC Single,186.02,1
50,QUIC Single,1422.92,1
51,QUIC Single,256.29,1
52,QUIC Single,1081.71,1
53,QUIC Single,47.91,1
54,QUIC Single,96.39,1
55,QUIC Single,429.99,1
56,QUIC Single,389.21,1
57,QUIC Single,66.13,1
58,QUIC Single,380.73,1
59,QUIC Single,48.75,1
60,QUIC Single,51.23,1
61,QUIC Single,1048.65,1
62,QUIC Single,262.28,1
63,QUIC Single,136.12,1
64,QUIC Single,454.06,1
65,QUIC Single,3071.04,1
66,QUIC Single,94.51,1
67,QUIC Single,48.35,1
68,QUIC Single,104.59,1
69,QUIC Single,444.41,1
70,QUIC Single,6793.13,1
71,QUIC Single,840.38,1
72,QUIC Single,48.47,1
73,QUIC Single,826.72,1
74,QUIC Single,1046.06,1
75,QUIC Single,3076.92,1
76,QUIC Single,379.57,1
77,QUIC Single,58.78,1
78,QUIC Single,47.25,1
79,QUIC Single,1370.06,1
