execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,QUIC Single,154.63,1,2,4
2,QUIC Single,101.58,1,2,4
3,QUIC Single,402.69,1,2,4
4,QUIC Single,224.06,1,2,4
5,QUIC Single,127.73,1,2,4
6,QUIC Single,51.08,1,2,4
7,QUIC Single,412.84,1,2,4
8,QUIC Single,390.67,1,2,4
9,QUIC Single,60.67,1,2,4
10,QUIC Single,48.02,1,2,4
11,QUIC Single,7028.89,1,2,4
12,QUIC Single,186.24,1,2,4
13,QUIC Single,1265.73,1,2,4
14,QUIC Single,3041.36,1,2,4
15,QUIC Single,908.33,1,2,4
16,QUIC Single,241.36,1,2,4
17,QUIC Single,3361.38,1,2,4
18,QUIC Single,329.97,1,2,4
19,QUIC Single,8165.26,1,2,4
20,QUIC Single,47.91,1,2,4
21,QUIC Single,273.5,1,2,4
22,QUIC Single,62.1,1,2,4
23,QUIC Single,1718.66,1,2,4
24,QUIC Single,1418.41,1,2,4
25,QUIC Single,736.61,1,2,4
26,QUIC Single,332.17,1,2,4
27,QUIC Single,218.49,1,2,4
28,QUIC Single,46.7,1,2,4
29,QUIC Single,1056.91,1,2,4
30,QUIC Single,161.22,1,2,4
31,QUIC Single,3250.6,1,2,4
32,QUIC Single,242.94,1,2,4
33,QUIC Single,48.94,1,2,4
34,QUIC Single,47.13,1,2,4
35,QUIC Single,1886.69,1,2,4
36,QUIC Single,1070.6,1,2,4
37,QUIC Single,741.55,1,2,4
38,QUIC Single,96.16,1,2,4
39,QUIC Single,1088.88,1,2,4
40,QUIC Single,1029.05,1,2,4
41,QUIC Single,1076.13,1,2,4
42,QUIC Single,4018.03,1,2,4
43,QUIC Single,1194.83,1,2,4
44,QUIC Single,47.41,1,2,4
45,QUIC Single,1100.14,1,2,4
46,QUIC Single,97.49,1,2,4
47,QUIC Single,48.0,1,2,4
48,QUIC Single,1227.97,1,2,4
49,QUIC Single,1002.62,1,2,4
50,QUIC Single,3972.01,1,2,4
51,QUIC Single,814.83,1,2,4
52,QUIC Single,239.51,1,2,4
53,QUIC Single,3074.71,1,2,4
54,QUIC Single,46.95,1,2,4
55,QUIC Single,48.3,1,2,4
56,QUIC Single,48.17,1,2,4
57,QUIC Single,3001.41,1,2,4
58,QUIC Single,46.89,1,2,4
59,QUIC Single,1754.66,1,2,4
60,QUIC Single,1277.06,1,2,4
61,QUIC Single,1125.69,1,2,4
62,QUIC Single,70.36,1,2,4
63,QUIC Single,235.52,1,2,4
64,QUIC Single,151.22,1,2,4
65,QUIC Single,68.33,1,2,4
66,QUIC Single,62.85,1,2,4
67,QUIC Single,1186.79,1,2,4
68,QUIC Single,51.56,1,2,4
69,QUIC Single,2799.71,1,2,4
70,QUIC Single,1047.64,1,2,4
71,QUIC Single,2438.8,1,2,4
72,QUIC Single,118.2,1,2,4
73,QUIC Single,3547.02,1,2,4
74,QUIC Single,833.58,1,2,4
75,QUIC Single,48.09,1,2,4
76,QUIC Single,48.51,1,2,4
77,QUIC Single,46.9,1,2,4
78,QUIC Single,194.63,1,2,4
79,QUIC Single,46.78,1,2,4
80,QUIC Single,46.68,1,2,4
81,QUIC Single,66.66,1,2,4
82,QUIC Single,212.35,1,2,4
83,QUIC Single,248.53,1,2,4
84,QUIC Single,386.87,1,2,4
85,QUIC Single,3220.53,1,2,4
86,QUIC Single,193.39,1,2,4
87,QUIC Single,200.31,1,2,4
88,QUIC Single,46.88,1,2,4
89,QUIC Single,47.8,1,2,4
90,QUIC Single,2094.79,1,2,4
91,QUIC Single,234.45,1,2,4
92,QUIC Single,48.29,1,2,4
93,QUIC Single,3329.27,1,2,4
94,QUIC Single,59.38,1,2,4
95,QUIC Single,46.89,1,2,4
96,QUIC Single,156.07,1,2,4
97,QUIC Single,154.96,1,2,4
98,QUIC Single,48.23,1,2,4
99,QUIC Single,1137.6,1,2,4
100,QUIC Single,160.75,1,2,4
101,QUIC Single,64.34,1,2,4
102,QUIC Single,47.11,1,2,4
103,QUIC Single,1107.89,1,2,4
104,QUIC Single,4141.97,1,2,4
105,QUIC Single,1185.39,1,2,4
106,QUIC Single,260.83,1,2,4
107,QUIC Single,349.71,1,2,4
108,QUIC Single,707.9,1,2,4
109,QUIC Single,226.38,1,2,4
110,QUIC Single,48.27,1,2,4
111,QUIC Single,48.05,1,2,4
112,QUIC Single,56.55,1,2,4
113,QUIC Single,1605.33,1,2,4
114,QUIC Single,46.72,1,2,4
115,QUIC Single,1190.84,1,2,4
116,QUIC Single,697.77,1,2,4
117,QUIC Single,4034.13,1,2,4
118,QUIC Single,94.57,1,2,4
119,QUIC Single,2785.64,1,2,4
120,QUIC Single,247.32,1,2,4
121,QUIC Single,244.03,1,2,4
122,QUIC Single,382.02,1,2,4
123,QUIC Single,232.3,1,2,4
124,QUIC Single,158.41,1,2,4
125,QUIC Single,58.45,1,2,4
