execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,QUIC Single,45.83,1,1,4
2,QUIC Single,1094.12,1,1,4
3,QUIC Single,45.61,1,1,4
4,QUIC Single,7081.06,1,1,4
5,QUIC Single,60.03,1,1,4
6,QUIC Single,NaN,0,1,4
7,QUIC Single,45.11,1,1,4
8,QUIC Single,509.31,1,1,4
9,QUIC Single,45.8,1,1,4
10,QUIC Single,123.39,1,1,4
11,QUIC Single,45.19,1,1,4
12,QUIC Single,69.19,1,1,4
13,QUIC Single,45.63,1,1,4
14,QUIC Single,53.08,1,1,4
15,QUIC Single,140.23,1,1,4
16,QUIC Single,55.11,1,1,4
17,QUIC Single,295.13,1,1,4
18,QUIC Single,1063.02,1,1,4
19,QUIC Single,60.81,1,1,4
20,QUIC Single,45.23,1,1,4
21,QUIC Single,45.18,1,1,4
22,QUIC Single,45.59,1,1,4
23,QUIC Single,126.85,1,1,4
24,QUIC Single,45.14,1,1,4
25,QUIC Single,45.35,1,1,4
26,QUIC Single,64.27,1,1,4
27,QUIC Single,60.3,1,1,4
28,QUIC Single,45.26,1,1,4
29,QUIC Single,1053.67,1,1,4
30,QUIC Single,45.12,1,1,4
31,QUIC Single,1311.71,1,1,4
32,QUIC Single,7038.94,1,1,4
33,QUIC Single,170.28,1,1,4
34,QUIC Single,55.36,1,1,4
35,QUIC Single,4703.84,1,1,4
36,QUIC Single,58.59,1,1,4
37,QUIC Single,206.77,1,1,4
38,QUIC Single,725.97,1,1,4
39,QUIC Single,45.1,1,1,4
40,QUIC Single,62.12,1,1,4
41,QUIC Single,55.85,1,1,4
42,QUIC Single,907.6,1,1,4
43,QUIC Single,45.11,1,1,4
44,QUIC Single,45.09,1,1,4
45,QUIC Single,45.19,1,1,4
46,QUIC Single,1030.78,1,1,4
47,QUIC Single,45.17,1,1,4
48,QUIC Single,1053.66,1,1,4
49,QUIC Single,45.09,1,1,4
50,QUIC Single,55.14,1,1,4
51,QUIC Single,NaN,0,1,4
52,QUIC Single,45.15,1,1,4
53,QUIC Single,45.12,1,1,4
54,QUIC Single,45.37,1,1,4
55,QUIC Single,170.71,1,1,4
56,QUIC Single,141.36,1,1,4
57,QUIC Single,53.1,1,1,4
58,QUIC Single,45.14,1,1,4
59,QUIC Single,45.29,1,1,4
60,QUIC Single,45.29,1,1,4
61,QUIC Single,45.31,1,1,4
62,QUIC Single,109.22,1,1,4
63,QUIC Single,141.47,1,1,4
64,QUIC Single,118.44,1,1,4
65,QUIC Single,45.08,1,1,4
66,QUIC Single,459.34,1,1,4
67,QUIC Single,45.23,1,1,4
68,QUIC Single,45.08,1,1,4
69,QUIC Single,45.14,1,1,4
70,QUIC Single,352.43,1,1,4
71,QUIC Single,1111.34,1,1,4
72,QUIC Single,46.67,1,1,4
73,QUIC Single,1398.65,1,1,4
74,QUIC Single,1041.73,1,1,4
75,QUIC Single,60.48,1,1,4
76,QUIC Single,169.6,1,1,4
77,QUIC Single,45.26,1,1,4
78,QUIC Single,45.1,1,1,4
79,QUIC Single,636.41,1,1,4
80,QUIC Single,56.47,1,1,4
81,QUIC Single,110.33,1,1,4
82,QUIC Single,886.07,1,1,4
83,QUIC Single,NaN,0,1,4
84,QUIC Single,1036.04,1,1,4
85,QUIC Single,1061.56,1,1,4
86,QUIC Single,127.66,1,1,4
87,QUIC Single,3043.06,1,1,4
88,QUIC Single,45.56,1,1,4
89,QUIC Single,45.07,1,1,4
90,QUIC Single,45.41,1,1,4
91,QUIC Single,45.33,1,1,4
92,QUIC Single,45.28,1,1,4
93,QUIC Single,44.99,1,1,4
94,QUIC Single,45.49,1,1,4
95,QUIC Single,45.17,1,1,4
96,QUIC Single,1111.98,1,1,4
97,QUIC Single,45.19,1,1,4
98,QUIC Single,45.03,1,1,4
99,QUIC Single,1030.77,1,1,4
100,QUIC Single,92.06,1,1,4
101,QUIC Single,60.41,1,1,4
102,QUIC Single,NaN,0,1,4
103,QUIC Single,1031.82,1,1,4
104,QUIC Single,45.24,1,1,4
105,QUIC Single,1052.66,1,1,4
106,QUIC Single,1295.45,1,1,4
107,QUIC Single,45.5,1,1,4
108,QUIC Single,45.1,1,1,4
109,QUIC Single,232.91,1,1,4
110,QUIC Single,6428.05,1,1,4
111,QUIC Single,1053.0,1,1,4
112,QUIC Single,94.24,1,1,4
113,QUIC Single,45.23,1,1,4
114,QUIC Single,306.28,1,1,4
115,QUIC Single,45.38,1,1,4
116,QUIC Single,7358.99,1,1,4
117,QUIC Single,45.15,1,1,4
118,QUIC Single,45.19,1,1,4
119,QUIC Single,45.19,1,1,4
120,QUIC Single,45.86,1,1,4
121,QUIC Single,45.39,1,1,4
122,QUIC Single,46.43,1,1,4
123,QUIC Single,81.85,1,1,4
124,QUIC Single,766.52,1,1,4
125,QUIC Single,192.45,1,1,4
