execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,QUIC Single,37.88,1,2,4
2,QUIC Single,23.7,1,2,4
3,QUIC Single,1030.29,1,2,4
4,QUIC Single,17.88,1,2,4
5,QUIC Single,20.1,1,2,4
6,QUIC Single,2198.37,1,2,4
7,QUIC Single,1041.95,1,2,4
8,QUIC Single,1051.3,1,2,4
9,QUIC Single,12.15,1,2,4
10,QUIC Single,12.19,1,2,4
11,QUIC Single,18.41,1,2,4
12,QUIC Single,18.45,1,2,4
13,QUIC Single,18.76,1,2,4
14,QUIC Single,12.35,1,2,4
15,QUIC Single,14.31,1,2,4
16,QUIC Single,3009.78,1,2,4
17,QUIC Single,1224.14,1,2,4
18,QUIC Single,1019.62,1,2,4
19,QUIC Single,1014.24,1,2,4
20,QUIC Single,NaN,0,2,4
21,QUIC Single,12.31,1,2,4
22,QUIC Single,12.47,1,2,4
23,QUIC Single,12.27,1,2,4
24,QUIC Single,12.15,1,2,4
25,QUIC Single,12.54,1,2,4
26,QUIC Single,2657.34,1,2,4
27,QUIC Single,12.19,1,2,4
28,QUIC Single,12.96,1,2,4
29,QUIC Single,12.48,1,2,4
30,QUIC Single,12.77,1,2,4
31,QUIC Single,12.35,1,2,4
32,QUIC Single,1091.23,1,2,4
33,QUIC Single,12.62,1,2,4
34,QUIC Single,3012.98,1,2,4
35,QUIC Single,1014.02,1,2,4
36,QUIC Single,12.53,1,2,4
37,QUIC Single,14.56,1,2,4
38,QUIC Single,14.22,1,2,4
39,QUIC Single,3033.0,1,2,4
40,QUIC Single,14.26,1,2,4
41,QUIC Single,14.23,1,2,4
42,QUIC Single,12.1,1,2,4
43,QUIC Single,1092.08,1,2,4
44,QUIC Single,1094.28,1,2,4
45,QUIC Single,12.36,1,2,4
46,QUIC Single,13.71,1,2,4
47,QUIC Single,12.54,1,2,4
48,QUIC Single,1035.31,1,2,4
49,QUIC Single,3013.64,1,2,4
50,QUIC Single,18.32,1,2,4
51,QUIC Single,12.08,1,2,4
52,QUIC Single,12.95,1,2,4
53,QUIC Single,12.38,1,2,4
54,QUIC Single,12.1,1,2,4
55,QUIC Single,12.33,1,2,4
56,QUIC Single,1041.59,1,2,4
57,QUIC Single,1013.88,1,2,4
58,QUIC Single,1036.82,1,2,4
59,QUIC Single,14.37,1,2,4
60,QUIC Single,NaN,0,2,4
61,QUIC Single,12.13,1,2,4
62,QUIC Single,7011.73,1,2,4
63,QUIC Single,1993.74,1,2,4
64,QUIC Single,12.13,1,2,4
65,QUIC Single,1083.59,1,2,4
66,QUIC Single,14.33,1,2,4
67,QUIC Single,14.25,1,2,4
68,QUIC Single,3026.22,1,2,4
69,QUIC Single,1036.87,1,2,4
70,QUIC Single,14.41,1,2,4
71,QUIC Single,12.1,1,2,4
72,QUIC Single,12.42,1,2,4
73,QUIC Single,18.36,1,2,4
74,QUIC Single,1014.31,1,2,4
75,QUIC Single,14.19,1,2,4
76,QUIC Single,3011.39,1,2,4
77,QUIC Single,12.18,1,2,4
78,QUIC Single,1034.78,1,2,4
79,QUIC Single,14.17,1,2,4
80,QUIC Single,3012.54,1,2,4
81,QUIC Single,1057.19,1,2,4
82,QUIC Single,1013.25,1,2,4
83,QUIC Single,3040.94,1,2,4
84,QUIC Single,1012.2,1,2,4
85,QUIC Single,12.15,1,2,4
86,QUIC Single,3113.65,1,2,4
87,QUIC Single,12.01,1,2,4
88,QUIC Single,7006.83,1,2,4
89,QUIC Single,1038.78,1,2,4
90,QUIC Single,1036.97,1,2,4
91,QUIC Single,12.07,1,2,4
92,QUIC Single,12.02,1,2,4
93,QUIC Single,12.62,1,2,4
94,QUIC Single,1037.42,1,2,4
95,QUIC Single,12.21,1,2,4
96,QUIC Single,1013.19,1,2,4
97,QUIC Single,1013.2,1,2,4
98,QUIC Single,1201.46,1,2,4
99,QUIC Single,12.19,1,2,4
100,QUIC Single,18.31,1,2,4
101,QUIC Single,12.59,1,2,4
102,QUIC Single,12.11,1,2,4
103,QUIC Single,3661.22,1,2,4
104,QUIC Single,1032.25,1,2,4
105,QUIC Single,12.82,1,2,4
106,QUIC Single,18.42,1,2,4
107,QUIC Single,12.51,1,2,4
108,QUIC Single,1035.33,1,2,4
109,QUIC Single,12.1,1,2,4
110,QUIC Single,12.07,1,2,4
111,QUIC Single,1240.69,1,2,4
112,QUIC Single,12.22,1,2,4
113,QUIC Single,18.36,1,2,4
114,QUIC Single,18.34,1,2,4
115,QUIC Single,12.21,1,2,4
116,QUIC Single,18.39,1,2,4
117,QUIC Single,12.31,1,2,4
118,QUIC Single,3197.76,1,2,4
119,QUIC Single,1013.51,1,2,4
120,QUIC Single,1415.38,1,2,4
121,QUIC Single,1035.23,1,2,4
122,QUIC Single,12.06,1,2,4
123,QUIC Single,1578.07,1,2,4
124,QUIC Single,1017.38,1,2,4
125,QUIC Single,12.22,1,2,4
