execution,mode,handshake_duration_ms,success
1,QUIC Single,1004.59,1
2,QUIC Single,5.15,1
3,QUIC Single,5.07,1
4,QUIC Single,5.66,1
5,QUIC Single,5.41,1
6,QUIC Single,5.21,1
7,QUIC Single,1004.42,1
8,QUIC Single,5.54,1
9,QUIC Single,3003.82,1
10,QUIC Single,7.05,1
11,QUIC Single,1004.56,1
12,QUIC Single,4.97,1
13,QUIC Single,1005.42,1
14,QUIC Single,5.03,1
15,QUIC Single,4.98,1
16,QUIC Single,7000.48,1
17,QUIC Single,5.01,1
18,QUIC Single,7000.7,1
19,QUIC Single,3003.59,1
20,QUIC Single,5.4,1
21,QUIC Single,3003.75,1
22,QUIC Single,4.96,1
23,QUIC Single,1004.7,1
24,QUIC Single,7000.62,1
25,QUIC Single,4.98,1
26,QUIC Single,4.96,1
27,QUIC Single,1005.01,1
28,QUIC Single,4.97,1
29,QUIC Single,3002.65,1
30,QUIC Single,1004.56,1
31,QUIC Single,1004.88,1
32,QUIC Single,5.09,1
33,QUIC Single,4.94,1
34,QUIC Single,1004.59,1
35,QUIC Single,5.01,1
36,QUIC Single,1004.63,1
37,QUIC Single,5.04,1
38,QUIC Single,1007.15,1
39,QUIC Single,5.14,1
40,QUIC Single,4.96,1
41,QUIC Single,5.21,1
42,QUIC Single,1004.62,1
43,QUIC Single,6.32,1
44,QUIC Single,7.08,1
45,QUIC Single,5.14,1
46,QUIC Single,5.4,1
47,QUIC Single,4.99,1
48,QUIC Single,6999.63,1
49,QUIC Single,4.97,1
50,QUIC Single,6.61,1
51,QUIC Single,6.22,1
52,QUIC Single,3003.62,1
53,QUIC Single,7.08,1
54,QUIC Single,6.79,1
55,QUIC Single,4.96,1
56,QUIC Single,1006.29,1
57,QUIC Single,5.86,1
58,QUIC Single,5.02,1
59,QUIC Single,4.97,1
60,QUIC Single,4.96,1
61,QUIC Single,5.02,1
62,QUIC Single,4.98,1
63,QUIC Single,3002.76,1
64,QUIC Single,4.98,1
65,QUIC Single,5.38,1
66,QUIC Single,7000.56,1
67,QUIC Single,5.03,1
68,QUIC Single,1005.28,1
69,QUIC Single,7.15,1
70,QUIC Single,4.91,1
71,QUIC Single,5.27,1
72,QUIC Single,5.07,1
73,QUIC Single,7.21,1
74,QUIC Single,5.03,1
75,QUIC Single,4.92,1
76,QUIC Single,5.37,1
77,QUIC Single,4.9,1
78,QUIC Single,5.05,1
79,QUIC Single,6.99,1
80,QUIC Single,NaN,0
81,QUIC Single,3003.72,1
82,QUIC Single,1004.68,1
83,QUIC Single,5.09,1
84,QUIC Single,3003.72,1
85,QUIC Single,1004.66,1
86,QUIC Single,5.04,1
87,QUIC Single,6.09,1
88,QUIC Single,8000.29,1
89,QUIC Single,4.98,1
90,QUIC Single,7.46,1
91,QUIC Single,3003.81,1
92,QUIC Single,3003.81,1
93,QUIC Single,3002.63,1
94,QUIC Single,NaN,0
95,QUIC Single,4.99,1
96,QUIC Single,4.97,1
97,QUIC Single,3003.74,1
98,QUIC Single,5.09,1
99,QUIC Single,5.06,1
100,QUIC Single,7.15,1
101,QUIC Single,NaN,0
102,QUIC Single,1005.21,1
103,QUIC Single,7000.77,1
104,QUIC Single,3003.59,1
105,QUIC Single,5.0,1
106,QUIC Single,1004.97,1
107,QUIC Single,5.19,1
108,QUIC Single,4.98,1
109,QUIC Single,3004.42,1
110,QUIC Single,4.97,1
111,QUIC Single,5.02,1
112,QUIC Single,1004.13,1
113,QUIC Single,NaN,0
114,QUIC Single,1006.77,1
115,QUIC Single,1004.5,1
116,QUIC Single,4.96,1
117,QUIC Single,5.16,1
118,QUIC Single,4.98,1
119,QUIC Single,3002.85,1
120,QUIC Single,1006.27,1
121,QUIC Single,4.97,1
122,QUIC Single,5.94,1
123,QUIC Single,4.91,1
124,QUIC Single,5.51,1
125,QUIC Single,4.94,1
126,QUIC Single,1007.36,1
127,QUIC Single,3002.63,1
128,QUIC Single,4.99,1
129,QUIC Single,NaN,0
130,QUIC Single,1004.4,1
131,QUIC Single,7000.8,1
132,QUIC Single,6.01,1
133,QUIC Single,NaN,0
134,QUIC Single,4.95,1
135,QUIC Single,3002.54,1
136,QUIC Single,NaN,0
137,QUIC Single,NaN,0
138,QUIC Single,5.0,1
139,QUIC Single,3003.55,1
140,QUIC Single,7.06,1
141,QUIC Single,4.89,1
142,QUIC Single,5.13,1
143,QUIC Single,4.95,1
144,QUIC Single,5.26,1
145,QUIC Single,5.02,1
146,QUIC Single,6.05,1
147,QUIC Single,NaN,0
148,QUIC Single,4.96,1
149,QUIC Single,NaN,0
150,QUIC Single,1004.33,1
151,QUIC Single,4.92,1
152,QUIC Single,7.09,1
153,QUIC Single,NaN,0
154,QUIC Single,4027.35,1
155,QUIC Single,7.09,1
156,QUIC Single,5.22,1
157,QUIC Single,4.88,1
158,QUIC Single,3003.54,1
159,QUIC Single,4.92,1
160,QUIC Single,8.0,1
161,QUIC Single,5.2,1
162,QUIC Single,4.94,1
163,QUIC Single,NaN,0
164,QUIC Single,1004.69,1
165,QUIC Single,5.07,1
166,QUIC Single,4.95,1
167,QUIC Single,7.34,1
168,QUIC Single,7.04,1
169,QUIC Single,1004.55,1
170,QUIC Single,1004.57,1
