execution,mode,handshake_duration_ms,success
1,QUIC Single,82.5,1
2,QUIC Single,964.81,1
3,QUIC Single,1063.22,1
4,QUIC Single,80.46,1
5,QUIC Single,3046.2,1
6,QUIC Single,323.94,1
7,QUIC Single,80.49,1
8,QUIC Single,108.31,1
9,QUIC Single,80.41,1
10,QUIC Single,336.44,1
11,QUIC Single,92.81,1
12,QUIC Single,94.86,1
13,QUIC Single,316.25,1
14,QUIC Single,3134.1,1
15,QUIC Single,3180.91,1
16,QUIC Single,191.12,1
17,QUIC Single,207.35,1
18,QUIC Single,80.73,1
19,QUIC Single,866.77,1
20,QUIC Single,213.93,1
21,QUIC Single,82.19,1
22,QUIC Single,1053.34,1
23,QUIC Single,130.33,1
24,QUIC Single,1252.74,1
25,QUIC Single,1080.41,1
26,QUIC Single,546.36,1
27,QUIC Single,80.43,1
28,QUIC Single,3047.23,1
29,QUIC Single,189.97,1
30,QUIC Single,1047.67,1
31,QUIC Single,316.56,1
32,QUIC Single,726.87,1
33,QUIC Single,80.47,1
34,QUIC Single,125.66,1
35,QUIC Single,147.51,1
36,QUIC Single,1080.35,1
37,QUIC Single,121.92,1
38,QUIC Single,94.61,1
39,QUIC Single,907.54,1
40,QUIC Single,80.41,1
41,QUIC Single,1053.14,1
42,QUIC Single,300.28,1
43,QUIC Single,473.98,1
44,QUIC Single,82.39,1
45,QUIC Single,81.03,1
46,QUIC Single,395.99,1
47,QUIC Single,1112.36,1
48,QUIC Single,80.54,1
49,QUIC Single,2757.69,1
50,QUIC Single,162.37,1
51,QUIC Single,1047.49,1
52,QUIC Single,562.55,1
53,QUIC Single,2760.7,1
54,QUIC Single,91.77,1
55,QUIC Single,91.89,1
56,QUIC Single,80.78,1
57,QUIC Single,80.74,1
58,QUIC Single,80.91,1
59,QUIC Single,1102.79,1
60,QUIC Single,294.14,1
61,QUIC Single,80.66,1
62,QUIC Single,1077.62,1
63,QUIC Single,620.81,1
64,QUIC Single,81.36,1
65,QUIC Single,1520.71,1
66,QUIC Single,91.35,1
67,QUIC Single,1237.63,1
68,QUIC Single,1057.05,1
69,QUIC Single,297.14,1
70,QUIC Single,243.97,1
71,QUIC Single,3354.11,1
72,QUIC Single,4016.48,1
73,QUIC Single,81.89,1
74,QUIC Single,1073.71,1
75,QUIC Single,3172.06,1
76,QUIC Single,133.23,1
77,QUIC Single,80.34,1
78,QUIC Single,434.64,1
79,QUIC Single,221.53,1
80,QUIC Single,1080.66,1
81,QUIC Single,80.41,1
82,QUIC Single,1047.46,1
83,QUIC Single,1087.09,1
84,QUIC Single,593.19,1
85,QUIC Single,217.56,1
86,QUIC Single,161.48,1
87,QUIC Single,81.97,1
88,QUIC Single,101.59,1
89,QUIC Single,1038.45,1
90,QUIC Single,3129.53,1
91,QUIC Single,1267.37,1
92,QUIC Single,3149.81,1
93,QUIC Single,80.68,1
94,QUIC Single,640.26,1
95,QUIC Single,NaN,0
96,QUIC Single,3148.47,1
97,QUIC Single,107.94,1
98,QUIC Single,391.61,1
99,QUIC Single,80.32,1
100,QUIC Single,80.28,1
101,QUIC Single,80.64,1
102,QUIC Single,186.53,1
103,QUIC Single,1057.17,1
104,QUIC Single,1512.81,1
105,QUIC Single,1056.92,1
106,QUIC Single,81.07,1
107,QUIC Single,80.73,1
108,QUIC Single,80.65,1
109,QUIC Single,1497.02,1
110,QUIC Single,1061.1,1
111,QUIC Single,3057.68,1
112,QUIC Single,80.77,1
113,QUIC Single,80.63,1
114,QUIC Single,134.54,1
115,QUIC Single,80.57,1
116,QUIC Single,82.81,1
117,QUIC Single,81.0,1
118,QUIC Single,99.97,1
119,QUIC Single,131.31,1
120,QUIC Single,80.9,1
121,QUIC Single,80.38,1
122,QUIC Single,127.31,1
123,QUIC Single,80.4,1
124,QUIC Single,108.42,1
125,QUIC Single,469.26,1
126,QUIC Single,84.39,1
127,QUIC Single,81.9,1
128,QUIC Single,1100.57,1
129,QUIC Single,86.51,1
130,QUIC Single,1047.95,1
131,QUIC Single,83.36,1
132,QUIC Single,107.59,1
133,QUIC Single,624.11,1
134,QUIC Single,293.52,1
135,QUIC Single,1235.03,1
136,QUIC Single,312.61,1
137,QUIC Single,515.43,1
138,QUIC Single,81.66,1
139,QUIC Single,286.4,1
140,QUIC Single,1065.22,1
141,QUIC Single,1067.06,1
142,QUIC Single,110.09,1
143,QUIC Single,81.79,1
144,QUIC Single,81.31,1
145,QUIC Single,576.87,1
146,QUIC Single,7179.98,1
147,QUIC Single,80.44,1
148,QUIC Single,209.03,1
149,QUIC Single,1601.22,1
150,QUIC Single,126.35,1
151,QUIC Single,80.38,1
152,QUIC Single,80.75,1
153,QUIC Single,94.62,1
154,QUIC Single,1047.58,1
155,QUIC Single,3153.77,1
156,QUIC Single,108.16,1
157,QUIC Single,3046.64,1
158,QUIC Single,208.15,1
159,QUIC Single,529.41,1
160,QUIC Single,7045.07,1
161,QUIC Single,606.16,1
162,QUIC Single,82.16,1
163,QUIC Single,80.54,1
164,QUIC Single,80.7,1
165,QUIC Single,80.36,1
166,QUIC Single,80.94,1
167,QUIC Single,162.64,1
168,QUIC Single,1163.0,1
169,QUIC Single,295.06,1
170,QUIC Single,3234.79,1
171,QUIC Single,80.82,1
172,QUIC Single,298.41,1
173,QUIC Single,81.12,1
174,QUIC Single,218.2,1
175,QUIC Single,3204.71,1
176,QUIC Single,80.46,1
177,QUIC Single,168.48,1
178,QUIC Single,1136.29,1
179,QUIC Single,96.52,1
180,QUIC Single,106.39,1
181,QUIC Single,197.23,1
182,QUIC Single,1047.76,1
183,QUIC Single,1334.08,1
184,QUIC Single,1047.82,1
185,QUIC Single,82.22,1
186,QUIC Single,98.88,1
187,QUIC Single,162.09,1
188,QUIC Single,99.18,1
189,QUIC Single,1107.73,1
190,QUIC Single,99.07,1
191,QUIC Single,108.42,1
192,QUIC Single,456.05,1
193,QUIC Single,80.31,1
194,QUIC Single,129.94,1
195,QUIC Single,93.19,1
196,QUIC Single,81.03,1
197,QUIC Single,80.76,1
198,QUIC Single,80.4,1
199,QUIC Single,970.82,1
200,QUIC Single,80.68,1
201,QUIC Single,1074.35,1
202,QUIC Single,98.43,1
