security_level,sig_alg,kem,kem_class,mean_ms,baseline_classique_mean_ms,overhead_pct
L1,ed25519,P-256,classique,5.38,13.968,-61.5
L1,ed25519,hqc128,pq_pur,21.046,13.968,50.7
L1,ed25519,mlkem512,pq_pur,5.749,13.968,-58.8
L1,ed25519,p256_hqc128,hybride,26.384,13.968,88.9
L1,ed25519,p256_mlkem512,hybride,11.05,13.968,-20.9
L1,ed25519,x25519_hqc128,hybride,21.174,13.968,51.6
L1,ed25519,x25519_mlkem512,hybride,5.922,13.968,-57.6
L1,ed25519,x25519,classique,5.416,13.968,-61.2
L1,mldsa44,P-256,classique,22.642,13.968,62.1
L1,mldsa44,hqc128,pq_pur,37.214,13.968,166.4
L1,mldsa44,mlkem512,pq_pur,22.394,13.968,60.3
L1,mldsa44,p256_hqc128,hybride,42.487,13.968,204.2
L1,mldsa44,p256_mlkem512,hybride,28.569,13.968,104.5
L1,mldsa44,x25519_hqc128,hybride,37.01,13.968,165.0
L1,mldsa44,x25519_mlkem512,hybride,22.921,13.968,64.1
L1,mldsa44,x25519,classique,22.434,13.968,60.6
L3,mldsa65,P-384,classique,33.131,20.605,60.8
L3,mldsa65,hqc192,pq_pur,74.413,20.605,261.1
L3,mldsa65,mlkem768,pq_pur,30.818,20.605,49.6
L3,mldsa65,p384_hqc192,hybride,80.907,20.605,292.7
L3,mldsa65,p384_mlkem768,hybride,38.426,20.605,86.5
L3,mldsa65,x448_hqc192,hybride,75.585,20.605,266.8
L3,mldsa65,x448_mlkem768,hybride,32.862,20.605,59.5
L3,mldsa65,x448,classique,31.741,20.605,54.0
L5,mldsa87,P-521,classique,48.213,29.011,66.2
L5,mldsa87,hqc256,pq_pur,125.673,29.011,333.2
L5,mldsa87,mlkem1024,pq_pur,47.159,29.011,62.6
L5,mldsa87,p521_hqc256,hybride,131.731,29.011,354.1
L5,mldsa87,p521_mlkem1024,hybride,54.025,29.011,86.2
L3,secp384r1,P-384,classique,9.015,20.605,-56.2
L3,secp384r1,hqc192,pq_pur,50.854,20.605,146.8
L3,secp384r1,mlkem768,pq_pur,7.994,20.605,-61.2
L3,secp384r1,p384_hqc192,hybride,57.286,20.605,178.0
L3,secp384r1,p384_mlkem768,hybride,15.124,20.605,-26.6
L3,secp384r1,x448_hqc192,hybride,52.519,20.605,154.9
L3,secp384r1,x448_mlkem768,hybride,9.508,20.605,-53.9
L3,secp384r1,x448,classique,8.533,20.605,-58.6
L5,secp521r1,P-521,classique,9.808,29.011,-66.2
L5,secp521r1,hqc256,pq_pur,87.802,29.011,202.7
L5,secp521r1,mlkem1024,pq_pur,8.861,29.011,-69.5
L5,secp521r1,p521_hqc256,hybride,94.225,29.011,224.8
L5,secp521r1,p521_mlkem1024,hybride,15.293,29.011,-47.3
