execution,mode,handshake_duration_ms,success
1,TLS Mutual,31.74,1
2,TLS Mutual,30.31,1
3,TLS Mutual,29.45,1
4,TLS Mutual,30.12,1
5,TLS Mutual,30.08,1
6,TLS Mutual,30.11,1
7,TLS Mutual,30.42,1
8,TLS Mutual,31.45,1
9,TLS Mutual,30.46,1
10,TLS Mutual,29.8,1
11,TLS Mutual,30.32,1
12,TLS Mutual,28.84,1
13,TLS Mutual,29.5,1
14,TLS Mutual,28.98,1
15,TLS Mutual,30.36,1
16,TLS Mutual,28.36,1
17,TLS Mutual,29.16,1
18,TLS Mutual,29.01,1
19,TLS Mutual,29.23,1
20,TLS Mutual,32.03,1
21,TLS Mutual,29.64,1
22,TLS Mutual,29.16,1
23,TLS Mutual,28.84,1
24,TLS Mutual,29.34,1
25,TLS Mutual,27.83,1
26,TLS Mutual,28.9,1
27,TLS Mutual,29.46,1
28,TLS Mutual,30.93,1
29,TLS Mutual,30.47,1
30,TLS Mutual,28.43,1
31,TLS Mutual,31.05,1
32,TLS Mutual,28.68,1
33,TLS Mutual,29.03,1
34,TLS Mutual,27.7,1
35,TLS Mutual,27.94,1
36,TLS Mutual,30.14,1
37,TLS Mutual,28.98,1
38,TLS Mutual,32.96,1
39,TLS Mutual,31.47,1
40,TLS Mutual,27.04,1
41,TLS Mutual,27.53,1
42,TLS Mutual,27.65,1
43,TLS Mutual,28.06,1
44,TLS Mutual,28.41,1
45,TLS Mutual,28.04,1
46,TLS Mutual,27.49,1
47,TLS Mutual,27.76,1
48,TLS Mutual,28.75,1
49,TLS Mutual,28.21,1
50,TLS Mutual,26.97,1
51,TLS Mutual,27.67,1
52,TLS Mutual,28.35,1
53,TLS Mutual,28.71,1
54,TLS Mutual,30.69,1
55,TLS Mutual,28.83,1
56,TLS Mutual,29.3,1
57,TLS Mutual,28.38,1
58,TLS Mutual,29.0,1
59,TLS Mutual,28.3,1
60,TLS Mutual,28.04,1
61,TLS Mutual,28.81,1
62,TLS Mutual,27.2,1
63,TLS Mutual,28.79,1
64,TLS Mutual,30.49,1
65,TLS Mutual,33.85,1
66,TLS Mutual,38.77,1
67,TLS Mutual,36.9,1
68,TLS Mutual,30.89,1
69,TLS Mutual,29.94,1
70,TLS Mutual,27.48,1
71,TLS Mutual,27.23,1
72,TLS Mutual,29.54,1
73,TLS Mutual,28.73,1
74,TLS Mutual,27.12,1
75,TLS Mutual,30.66,1
76,TLS Mutual,29.05,1
77,TLS Mutual,31.71,1
78,TLS Mutual,28.23,1
79,TLS Mutual,31.26,1
80,TLS Mutual,29.97,1
81,TLS Mutual,30.26,1
82,TLS Mutual,30.57,1
83,TLS Mutual,29.17,1
84,TLS Mutual,32.97,1
85,TLS Mutual,31.43,1
86,TLS Mutual,28.87,1
87,TLS Mutual,29.59,1
88,TLS Mutual,27.5,1
89,TLS Mutual,28.55,1
90,TLS Mutual,28.47,1
91,TLS Mutual,30.65,1
92,TLS Mutual,28.03,1
93,TLS Mutual,27.84,1
94,TLS Mutual,28.9,1
95,TLS Mutual,26.75,1
96,TLS Mutual,28.95,1
97,TLS Mutual,27.8,1
98,TLS Mutual,27.22,1
99,TLS Mutual,28.21,1
100,TLS Mutual,27.34,1
101,TLS Mutual,29.11,1
102,TLS Mutual,28.24,1
103,TLS Mutual,31.03,1
104,TLS Mutual,28.85,1
105,TLS Mutual,30.06,1
106,TLS Mutual,30.54,1
107,TLS Mutual,28.95,1
108,TLS Mutual,32.16,1
109,TLS Mutual,28.18,1
110,TLS Mutual,27.98,1
111,TLS Mutual,29.88,1
