execution,mode,handshake_duration_ms,success
1,TLS Mutual,42.74,1
2,TLS Mutual,38.85,1
3,TLS Mutual,40.9,1
4,TLS Mutual,39.67,1
5,TLS Mutual,38.66,1
6,TLS Mutual,38.99,1
7,TLS Mutual,41.27,1
8,TLS Mutual,39.62,1
9,TLS Mutual,39.76,1
10,TLS Mutual,39.1,1
11,TLS Mutual,40.39,1
12,TLS Mutual,39.44,1
13,TLS Mutual,38.31,1
14,TLS Mutual,39.03,1
15,TLS Mutual,39.57,1
16,TLS Mutual,39.05,1
17,TLS Mutual,39.91,1
18,TLS Mutual,38.55,1
19,TLS Mutual,38.44,1
20,TLS Mutual,38.37,1
21,TLS Mutual,37.89,1
22,TLS Mutual,37.61,1
23,TLS Mutual,39.66,1
24,TLS Mutual,39.06,1
25,TLS Mutual,39.63,1
26,TLS Mutual,38.46,1
27,TLS Mutual,41.13,1
28,TLS Mutual,41.94,1
29,TLS Mutual,41.16,1
30,TLS Mutual,39.05,1
31,TLS Mutual,38.62,1
32,TLS Mutual,38.35,1
33,TLS Mutual,38.01,1
34,TLS Mutual,37.99,1
35,TLS Mutual,36.78,1
36,TLS Mutual,37.15,1
37,TLS Mutual,41.62,1
38,TLS Mutual,38.78,1
39,TLS Mutual,37.29,1
40,TLS Mutual,39.53,1
41,TLS Mutual,39.29,1
42,TLS Mutual,38.48,1
43,TLS Mutual,36.51,1
44,TLS Mutual,38.53,1
45,TLS Mutual,38.04,1
46,TLS Mutual,38.51,1
47,TLS Mutual,36.65,1
48,TLS Mutual,39.7,1
49,TLS Mutual,39.87,1
50,TLS Mutual,37.43,1
51,TLS Mutual,35.9,1
52,TLS Mutual,35.73,1
53,TLS Mutual,36.45,1
54,TLS Mutual,35.41,1
55,TLS Mutual,36.72,1
56,TLS Mutual,36.67,1
57,TLS Mutual,37.96,1
58,TLS Mutual,37.52,1
59,TLS Mutual,37.09,1
60,TLS Mutual,35.86,1
61,TLS Mutual,37.44,1
62,TLS Mutual,37.15,1
63,TLS Mutual,38.38,1
64,TLS Mutual,39.2,1
65,TLS Mutual,38.61,1
66,TLS Mutual,36.71,1
67,TLS Mutual,36.09,1
68,TLS Mutual,37.57,1
69,TLS Mutual,38.64,1
70,TLS Mutual,38.47,1
71,TLS Mutual,37.49,1
72,TLS Mutual,37.56,1
73,TLS Mutual,37.31,1
74,TLS Mutual,37.36,1
75,TLS Mutual,36.7,1
76,TLS Mutual,37.36,1
77,TLS Mutual,35.81,1
78,TLS Mutual,35.99,1
79,TLS Mutual,37.27,1
80,TLS Mutual,37.78,1
81,TLS Mutual,35.93,1
82,TLS Mutual,36.72,1
83,TLS Mutual,36.43,1
84,TLS Mutual,38.78,1
85,TLS Mutual,36.64,1
86,TLS Mutual,38.11,1
87,TLS Mutual,36.67,1
88,TLS Mutual,38.92,1
89,TLS Mutual,37.09,1
90,TLS Mutual,37.08,1
