execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,44.7,1,1,4
2,TLS Mutual,40.27,1,1,4
3,TLS Mutual,33.46,1,1,4
4,TLS Mutual,30.59,1,1,4
5,TLS Mutual,36.01,1,1,4
6,TLS Mutual,41.46,1,1,4
7,TLS Mutual,40.57,1,1,4
8,TLS Mutual,42.07,1,1,4
9,TLS Mutual,37.88,1,1,4
10,TLS Mutual,32.63,1,1,4
11,TLS Mutual,35.33,1,1,4
12,TLS Mutual,45.39,1,1,4
13,TLS Mutual,51.38,1,1,4
14,TLS Mutual,45.85,1,1,4
15,TLS Mutual,47.46,1,1,4
16,TLS Mutual,43.98,1,1,4
17,TLS Mutual,54.0,1,1,4
18,TLS Mutual,63.28,1,1,4
19,TLS Mutual,44.53,1,1,4
20,TLS Mutual,43.02,1,1,4
21,TLS Mutual,38.96,1,1,4
22,TLS Mutual,42.88,1,1,4
23,TLS Mutual,35.96,1,1,4
24,TLS Mutual,36.38,1,1,4
25,TLS Mutual,40.25,1,1,4
26,TLS Mutual,38.24,1,1,4
27,TLS Mutual,39.95,1,1,4
28,TLS Mutual,41.07,1,1,4
29,TLS Mutual,37.55,1,1,4
30,TLS Mutual,37.13,1,1,4
31,TLS Mutual,30.58,1,1,4
32,TLS Mutual,30.83,1,1,4
33,TLS Mutual,34.73,1,1,4
34,TLS Mutual,37.0,1,1,4
35,TLS Mutual,40.59,1,1,4
36,TLS Mutual,40.97,1,1,4
37,TLS Mutual,37.31,1,1,4
38,TLS Mutual,31.46,1,1,4
39,TLS Mutual,33.66,1,1,4
40,TLS Mutual,31.15,1,1,4
41,TLS Mutual,32.12,1,1,4
42,TLS Mutual,32.47,1,1,4
43,TLS Mutual,35.05,1,1,4
44,TLS Mutual,39.25,1,1,4
45,TLS Mutual,40.16,1,1,4
46,TLS Mutual,40.78,1,1,4
47,TLS Mutual,39.73,1,1,4
48,TLS Mutual,35.47,1,1,4
49,TLS Mutual,38.51,1,1,4
50,TLS Mutual,39.5,1,1,4
51,TLS Mutual,36.81,1,1,4
52,TLS Mutual,34.97,1,1,4
53,TLS Mutual,32.31,1,1,4
54,TLS Mutual,33.02,1,1,4
55,TLS Mutual,33.7,1,1,4
56,TLS Mutual,32.87,1,1,4
57,TLS Mutual,33.84,1,1,4
58,TLS Mutual,36.5,1,1,4
59,TLS Mutual,40.26,1,1,4
60,TLS Mutual,38.12,1,1,4
61,TLS Mutual,39.33,1,1,4
62,TLS Mutual,36.26,1,1,4
63,TLS Mutual,34.97,1,1,4
64,TLS Mutual,33.94,1,1,4
65,TLS Mutual,32.09,1,1,4
66,TLS Mutual,35.16,1,1,4
67,TLS Mutual,34.05,1,1,4
68,TLS Mutual,32.04,1,1,4
69,TLS Mutual,35.5,1,1,4
70,TLS Mutual,32.92,1,1,4
71,TLS Mutual,32.4,1,1,4
72,TLS Mutual,37.45,1,1,4
73,TLS Mutual,38.69,1,1,4
74,TLS Mutual,37.51,1,1,4
75,TLS Mutual,43.09,1,1,4
76,TLS Mutual,38.94,1,1,4
77,TLS Mutual,38.19,1,1,4
78,TLS Mutual,42.02,1,1,4
79,TLS Mutual,35.38,1,1,4
80,TLS Mutual,36.09,1,1,4
81,TLS Mutual,35.44,1,1,4
82,TLS Mutual,31.3,1,1,4
83,TLS Mutual,38.96,1,1,4
84,TLS Mutual,42.12,1,1,4
85,TLS Mutual,44.23,1,1,4
86,TLS Mutual,41.53,1,1,4
87,TLS Mutual,39.57,1,1,4
88,TLS Mutual,35.53,1,1,4
89,TLS Mutual,35.68,1,1,4
90,TLS Mutual,37.49,1,1,4
91,TLS Mutual,36.04,1,1,4
92,TLS Mutual,32.49,1,1,4
93,TLS Mutual,38.19,1,1,4
94,TLS Mutual,41.24,1,1,4
95,TLS Mutual,40.58,1,1,4
96,TLS Mutual,39.59,1,1,4
97,TLS Mutual,41.72,1,1,4
98,TLS Mutual,38.96,1,1,4
99,TLS Mutual,40.0,1,1,4
100,TLS Mutual,32.05,1,1,4
101,TLS Mutual,32.23,1,1,4
102,TLS Mutual,31.96,1,1,4
103,TLS Mutual,31.36,1,1,4
104,TLS Mutual,33.66,1,1,4
105,TLS Mutual,36.87,1,1,4
106,TLS Mutual,32.38,1,1,4
107,TLS Mutual,31.52,1,1,4
108,TLS Mutual,34.72,1,1,4
109,TLS Mutual,33.39,1,1,4
110,TLS Mutual,32.99,1,1,4
111,TLS Mutual,34.94,1,1,4
112,TLS Mutual,31.23,1,1,4
113,TLS Mutual,35.25,1,1,4
114,TLS Mutual,41.08,1,1,4
115,TLS Mutual,38.62,1,1,4
116,TLS Mutual,33.91,1,1,4
117,TLS Mutual,37.13,1,1,4
118,TLS Mutual,35.41,1,1,4
119,TLS Mutual,34.15,1,1,4
120,TLS Mutual,33.14,1,1,4
121,TLS Mutual,36.12,1,1,4
122,TLS Mutual,36.24,1,1,4
123,TLS Mutual,33.52,1,1,4
124,TLS Mutual,33.23,1,1,4
125,TLS Mutual,35.15,1,1,4
