execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,28.41,1,2,4
2,TLS Mutual,27.87,1,2,4
3,TLS Mutual,26.93,1,2,4
4,TLS Mutual,27.1,1,2,4
5,TLS Mutual,26.17,1,2,4
6,TLS Mutual,26.26,1,2,4
7,TLS Mutual,26.53,1,2,4
8,TLS Mutual,26.98,1,2,4
9,TLS Mutual,26.98,1,2,4
10,TLS Mutual,26.23,1,2,4
11,TLS Mutual,26.39,1,2,4
12,TLS Mutual,26.98,1,2,4
13,TLS Mutual,26.54,1,2,4
14,TLS Mutual,26.25,1,2,4
15,TLS Mutual,26.24,1,2,4
16,TLS Mutual,27.06,1,2,4
17,TLS Mutual,29.85,1,2,4
18,TLS Mutual,28.61,1,2,4
19,TLS Mutual,28.66,1,2,4
20,TLS Mutual,27.71,1,2,4
21,TLS Mutual,28.77,1,2,4
22,TLS Mutual,29.67,1,2,4
23,TLS Mutual,30.41,1,2,4
24,TLS Mutual,28.3,1,2,4
25,TLS Mutual,28.52,1,2,4
26,TLS Mutual,26.86,1,2,4
27,TLS Mutual,26.57,1,2,4
28,TLS Mutual,27.57,1,2,4
29,TLS Mutual,26.48,1,2,4
30,TLS Mutual,26.86,1,2,4
31,TLS Mutual,26.38,1,2,4
32,TLS Mutual,27.02,1,2,4
33,TLS Mutual,27.27,1,2,4
34,TLS Mutual,26.4,1,2,4
35,TLS Mutual,26.67,1,2,4
36,TLS Mutual,27.05,1,2,4
37,TLS Mutual,26.64,1,2,4
38,TLS Mutual,26.98,1,2,4
39,TLS Mutual,26.63,1,2,4
40,TLS Mutual,26.82,1,2,4
41,TLS Mutual,27.78,1,2,4
42,TLS Mutual,26.72,1,2,4
43,TLS Mutual,26.89,1,2,4
44,TLS Mutual,26.85,1,2,4
45,TLS Mutual,26.65,1,2,4
46,TLS Mutual,27.02,1,2,4
47,TLS Mutual,27.0,1,2,4
48,TLS Mutual,26.99,1,2,4
49,TLS Mutual,26.96,1,2,4
50,TLS Mutual,26.7,1,2,4
51,TLS Mutual,26.46,1,2,4
52,TLS Mutual,27.17,1,2,4
53,TLS Mutual,27.29,1,2,4
54,TLS Mutual,26.73,1,2,4
55,TLS Mutual,27.93,1,2,4
56,TLS Mutual,26.98,1,2,4
57,TLS Mutual,27.5,1,2,4
58,TLS Mutual,27.43,1,2,4
59,TLS Mutual,28.11,1,2,4
60,TLS Mutual,29.07,1,2,4
61,TLS Mutual,27.76,1,2,4
62,TLS Mutual,27.58,1,2,4
63,TLS Mutual,27.38,1,2,4
64,TLS Mutual,26.49,1,2,4
65,TLS Mutual,27.02,1,2,4
66,TLS Mutual,27.06,1,2,4
67,TLS Mutual,27.09,1,2,4
68,TLS Mutual,27.36,1,2,4
69,TLS Mutual,27.91,1,2,4
70,TLS Mutual,27.68,1,2,4
71,TLS Mutual,27.34,1,2,4
72,TLS Mutual,28.42,1,2,4
73,TLS Mutual,27.05,1,2,4
74,TLS Mutual,26.98,1,2,4
75,TLS Mutual,26.9,1,2,4
76,TLS Mutual,28.46,1,2,4
77,TLS Mutual,28.33,1,2,4
78,TLS Mutual,27.72,1,2,4
79,TLS Mutual,27.03,1,2,4
80,TLS Mutual,26.28,1,2,4
81,TLS Mutual,26.77,1,2,4
82,TLS Mutual,27.09,1,2,4
83,TLS Mutual,28.96,1,2,4
84,TLS Mutual,28.19,1,2,4
85,TLS Mutual,28.71,1,2,4
86,TLS Mutual,27.5,1,2,4
87,TLS Mutual,26.57,1,2,4
88,TLS Mutual,26.18,1,2,4
89,TLS Mutual,27.46,1,2,4
90,TLS Mutual,28.5,1,2,4
91,TLS Mutual,26.66,1,2,4
92,TLS Mutual,26.3,1,2,4
93,TLS Mutual,26.84,1,2,4
94,TLS Mutual,27.69,1,2,4
95,TLS Mutual,26.99,1,2,4
96,TLS Mutual,26.86,1,2,4
97,TLS Mutual,27.18,1,2,4
98,TLS Mutual,26.81,1,2,4
99,TLS Mutual,26.88,1,2,4
100,TLS Mutual,26.49,1,2,4
101,TLS Mutual,28.13,1,2,4
102,TLS Mutual,27.07,1,2,4
103,TLS Mutual,26.99,1,2,4
104,TLS Mutual,28.87,1,2,4
105,TLS Mutual,26.94,1,2,4
106,TLS Mutual,28.53,1,2,4
107,TLS Mutual,26.85,1,2,4
108,TLS Mutual,26.79,1,2,4
109,TLS Mutual,27.57,1,2,4
110,TLS Mutual,27.6,1,2,4
111,TLS Mutual,28.48,1,2,4
112,TLS Mutual,27.93,1,2,4
113,TLS Mutual,27.15,1,2,4
114,TLS Mutual,27.84,1,2,4
115,TLS Mutual,26.95,1,2,4
116,TLS Mutual,27.16,1,2,4
117,TLS Mutual,27.25,1,2,4
118,TLS Mutual,26.96,1,2,4
119,TLS Mutual,28.27,1,2,4
120,TLS Mutual,27.55,1,2,4
121,TLS Mutual,27.33,1,2,4
122,TLS Mutual,27.45,1,2,4
123,TLS Mutual,27.74,1,2,4
124,TLS Mutual,28.71,1,2,4
125,TLS Mutual,27.37,1,2,4
