execution,mode,handshake_duration_ms,success
1,TLS Mutual,50.97,1
2,TLS Mutual,51.79,1
3,TLS Mutual,52.0,1
4,TLS Mutual,49.9,1
5,TLS Mutual,54.09,1
6,TLS Mutual,52.91,1
7,TLS Mutual,49.42,1
8,TLS Mutual,49.85,1
9,TLS Mutual,51.86,1
10,TLS Mutual,47.96,1
11,TLS Mutual,49.56,1
12,TLS Mutual,50.78,1
13,TLS Mutual,49.26,1
14,TLS Mutual,48.52,1
15,TLS Mutual,49.69,1
16,TLS Mutual,48.77,1
17,TLS Mutual,48.38,1
18,TLS Mutual,49.66,1
19,TLS Mutual,47.45,1
20,TLS Mutual,49.01,1
21,TLS Mutual,50.15,1
22,TLS Mutual,49.84,1
23,TLS Mutual,48.12,1
24,TLS Mutual,50.31,1
25,TLS Mutual,50.71,1
26,TLS Mutual,46.88,1
27,TLS Mutual,47.49,1
28,TLS Mutual,47.04,1
29,TLS Mutual,50.37,1
30,TLS Mutual,48.96,1
31,TLS Mutual,47.26,1
32,TLS Mutual,48.92,1
33,TLS Mutual,49.53,1
34,TLS Mutual,48.45,1
35,TLS Mutual,49.09,1
36,TLS Mutual,46.9,1
37,TLS Mutual,48.63,1
38,TLS Mutual,50.4,1
39,TLS Mutual,52.5,1
40,TLS Mutual,47.69,1
41,TLS Mutual,48.37,1
42,TLS Mutual,49.27,1
43,TLS Mutual,48.74,1
44,TLS Mutual,47.94,1
45,TLS Mutual,46.6,1
46,TLS Mutual,48.25,1
47,TLS Mutual,48.12,1
48,TLS Mutual,48.01,1
49,TLS Mutual,49.35,1
50,TLS Mutual,47.96,1
51,TLS Mutual,48.5,1
52,TLS Mutual,46.83,1
53,TLS Mutual,47.34,1
54,TLS Mutual,47.03,1
55,TLS Mutual,51.13,1
56,TLS Mutual,47.8,1
57,TLS Mutual,47.1,1
58,TLS Mutual,47.57,1
59,TLS Mutual,46.98,1
60,TLS Mutual,47.58,1
61,TLS Mutual,48.53,1
62,TLS Mutual,47.31,1
63,TLS Mutual,47.57,1
64,TLS Mutual,48.83,1
65,TLS Mutual,47.11,1
66,TLS Mutual,48.23,1
67,TLS Mutual,48.14,1
68,TLS Mutual,48.05,1
69,TLS Mutual,48.2,1
70,TLS Mutual,47.52,1
71,TLS Mutual,50.34,1
72,TLS Mutual,51.45,1
73,TLS Mutual,48.3,1
74,TLS Mutual,46.94,1
75,TLS Mutual,47.42,1
76,TLS Mutual,47.27,1
77,TLS Mutual,46.62,1
78,TLS Mutual,48.45,1
79,TLS Mutual,49.0,1
80,TLS Mutual,46.98,1
81,TLS Mutual,49.45,1
82,TLS Mutual,48.47,1
83,TLS Mutual,47.89,1
84,TLS Mutual,48.08,1
85,TLS Mutual,47.4,1
86,TLS Mutual,48.87,1
87,TLS Mutual,47.18,1
88,TLS Mutual,53.18,1
89,TLS Mutual,48.53,1
90,TLS Mutual,47.38,1
91,TLS Mutual,48.75,1
92,TLS Mutual,47.99,1
93,TLS Mutual,47.41,1
94,TLS Mutual,46.47,1
95,TLS Mutual,47.0,1
96,TLS Mutual,47.0,1
97,TLS Mutual,47.82,1
98,TLS Mutual,47.27,1
99,TLS Mutual,47.98,1
100,TLS Mutual,48.2,1
101,TLS Mutual,46.9,1
102,TLS Mutual,47.87,1
103,TLS Mutual,47.68,1
104,TLS Mutual,47.38,1
105,TLS Mutual,47.97,1
106,TLS Mutual,50.86,1
107,TLS Mutual,50.12,1
108,TLS Mutual,46.75,1
109,TLS Mutual,47.72,1
110,TLS Mutual,47.47,1
111,TLS Mutual,49.64,1
112,TLS Mutual,49.42,1
113,TLS Mutual,47.08,1
114,TLS Mutual,47.62,1
115,TLS Mutual,46.78,1
116,TLS Mutual,49.24,1
117,TLS Mutual,48.25,1
118,TLS Mutual,48.24,1
119,TLS Mutual,46.72,1
120,TLS Mutual,47.31,1
121,TLS Mutual,46.37,1
122,TLS Mutual,48.78,1
123,TLS Mutual,47.43,1
124,TLS Mutual,47.95,1
125,TLS Mutual,47.29,1
126,TLS Mutual,47.72,1
127,TLS Mutual,47.66,1
128,TLS Mutual,48.17,1
129,TLS Mutual,47.48,1
130,TLS Mutual,47.04,1
131,TLS Mutual,47.46,1
132,TLS Mutual,46.95,1
133,TLS Mutual,48.02,1
134,TLS Mutual,47.45,1
135,TLS Mutual,47.12,1
136,TLS Mutual,47.26,1
137,TLS Mutual,48.36,1
138,TLS Mutual,46.99,1
139,TLS Mutual,47.19,1
140,TLS Mutual,49.78,1
141,TLS Mutual,47.92,1
142,TLS Mutual,47.33,1
143,TLS Mutual,49.47,1
144,TLS Mutual,46.95,1
145,TLS Mutual,47.2,1
146,TLS Mutual,47.33,1
147,TLS Mutual,47.72,1
148,TLS Mutual,47.24,1
149,TLS Mutual,49.38,1
150,TLS Mutual,47.7,1
151,TLS Mutual,47.31,1
152,TLS Mutual,47.32,1
153,TLS Mutual,47.02,1
154,TLS Mutual,46.98,1
155,TLS Mutual,47.51,1
156,TLS Mutual,46.52,1
157,TLS Mutual,48.24,1
158,TLS Mutual,47.31,1
159,TLS Mutual,47.23,1
160,TLS Mutual,47.54,1
161,TLS Mutual,47.26,1
162,TLS Mutual,48.13,1
163,TLS Mutual,47.11,1
164,TLS Mutual,48.29,1
165,TLS Mutual,47.55,1
166,TLS Mutual,48.74,1
167,TLS Mutual,46.65,1
168,TLS Mutual,48.6,1
