execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,55.07,1,4,4
2,TLS Mutual,52.11,1,4,4
3,TLS Mutual,52.44,1,4,4
4,TLS Mutual,51.68,1,4,4
5,TLS Mutual,53.5,1,4,4
6,TLS Mutual,51.91,1,4,4
7,TLS Mutual,57.3,1,4,4
8,TLS Mutual,52.7,1,4,4
9,TLS Mutual,52.51,1,4,4
10,TLS Mutual,52.77,1,4,4
11,TLS Mutual,52.5,1,4,4
12,TLS Mutual,53.7,1,4,4
13,TLS Mutual,54.16,1,4,4
14,TLS Mutual,53.75,1,4,4
15,TLS Mutual,54.41,1,4,4
16,TLS Mutual,53.53,1,4,4
17,TLS Mutual,53.63,1,4,4
18,TLS Mutual,54.32,1,4,4
19,TLS Mutual,53.08,1,4,4
20,TLS Mutual,53.76,1,4,4
21,TLS Mutual,54.7,1,4,4
22,TLS Mutual,53.86,1,4,4
23,TLS Mutual,54.59,1,4,4
24,TLS Mutual,54.49,1,4,4
25,TLS Mutual,53.53,1,4,4
26,TLS Mutual,54.11,1,4,4
27,TLS Mutual,53.79,1,4,4
28,TLS Mutual,52.64,1,4,4
29,TLS Mutual,52.14,1,4,4
30,TLS Mutual,53.39,1,4,4
31,TLS Mutual,51.31,1,4,4
32,TLS Mutual,52.02,1,4,4
33,TLS Mutual,58.93,1,4,4
34,TLS Mutual,52.38,1,4,4
35,TLS Mutual,51.98,1,4,4
36,TLS Mutual,52.99,1,4,4
37,TLS Mutual,52.49,1,4,4
38,TLS Mutual,52.32,1,4,4
39,TLS Mutual,53.53,1,4,4
40,TLS Mutual,52.24,1,4,4
41,TLS Mutual,52.3,1,4,4
42,TLS Mutual,52.85,1,4,4
43,TLS Mutual,53.34,1,4,4
44,TLS Mutual,52.81,1,4,4
45,TLS Mutual,51.49,1,4,4
46,TLS Mutual,54.02,1,4,4
47,TLS Mutual,51.35,1,4,4
48,TLS Mutual,51.96,1,4,4
49,TLS Mutual,52.81,1,4,4
50,TLS Mutual,51.02,1,4,4
51,TLS Mutual,51.66,1,4,4
52,TLS Mutual,51.44,1,4,4
53,TLS Mutual,51.1,1,4,4
54,TLS Mutual,51.71,1,4,4
55,TLS Mutual,52.68,1,4,4
56,TLS Mutual,51.54,1,4,4
57,TLS Mutual,52.8,1,4,4
58,TLS Mutual,51.4,1,4,4
59,TLS Mutual,50.85,1,4,4
60,TLS Mutual,51.09,1,4,4
61,TLS Mutual,51.71,1,4,4
62,TLS Mutual,51.33,1,4,4
63,TLS Mutual,51.16,1,4,4
64,TLS Mutual,51.49,1,4,4
65,TLS Mutual,51.14,1,4,4
66,TLS Mutual,51.57,1,4,4
67,TLS Mutual,51.58,1,4,4
68,TLS Mutual,51.72,1,4,4
69,TLS Mutual,51.95,1,4,4
70,TLS Mutual,51.57,1,4,4
71,TLS Mutual,50.98,1,4,4
72,TLS Mutual,51.49,1,4,4
73,TLS Mutual,52.31,1,4,4
74,TLS Mutual,51.48,1,4,4
75,TLS Mutual,51.06,1,4,4
76,TLS Mutual,51.2,1,4,4
77,TLS Mutual,50.9,1,4,4
78,TLS Mutual,51.2,1,4,4
79,TLS Mutual,51.58,1,4,4
80,TLS Mutual,51.32,1,4,4
81,TLS Mutual,52.22,1,4,4
82,TLS Mutual,51.02,1,4,4
83,TLS Mutual,53.34,1,4,4
84,TLS Mutual,52.52,1,4,4
85,TLS Mutual,52.74,1,4,4
86,TLS Mutual,52.72,1,4,4
87,TLS Mutual,51.97,1,4,4
88,TLS Mutual,51.6,1,4,4
89,TLS Mutual,53.2,1,4,4
90,TLS Mutual,53.01,1,4,4
91,TLS Mutual,51.97,1,4,4
92,TLS Mutual,52.06,1,4,4
93,TLS Mutual,51.12,1,4,4
94,TLS Mutual,52.52,1,4,4
95,TLS Mutual,50.92,1,4,4
96,TLS Mutual,52.38,1,4,4
97,TLS Mutual,51.04,1,4,4
98,TLS Mutual,51.75,1,4,4
99,TLS Mutual,50.92,1,4,4
100,TLS Mutual,52.41,1,4,4
101,TLS Mutual,50.99,1,4,4
102,TLS Mutual,55.85,1,4,4
103,TLS Mutual,53.7,1,4,4
104,TLS Mutual,52.63,1,4,4
105,TLS Mutual,51.23,1,4,4
106,TLS Mutual,52.25,1,4,4
107,TLS Mutual,51.92,1,4,4
108,TLS Mutual,51.72,1,4,4
109,TLS Mutual,50.76,1,4,4
110,TLS Mutual,53.07,1,4,4
111,TLS Mutual,52.71,1,4,4
112,TLS Mutual,51.44,1,4,4
113,TLS Mutual,51.18,1,4,4
114,TLS Mutual,51.38,1,4,4
115,TLS Mutual,51.27,1,4,4
116,TLS Mutual,51.0,1,4,4
117,TLS Mutual,52.43,1,4,4
118,TLS Mutual,51.02,1,4,4
119,TLS Mutual,51.51,1,4,4
120,TLS Mutual,53.2,1,4,4
121,TLS Mutual,51.72,1,4,4
122,TLS Mutual,52.93,1,4,4
123,TLS Mutual,51.52,1,4,4
124,TLS Mutual,52.07,1,4,4
125,TLS Mutual,53.76,1,4,4
