execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,74.97,1,1,4
2,TLS Mutual,70.78,1,1,4
3,TLS Mutual,67.52,1,1,4
4,TLS Mutual,69.89,1,1,4
5,TLS Mutual,72.69,1,1,4
6,TLS Mutual,68.22,1,1,4
7,TLS Mutual,68.36,1,1,4
8,TLS Mutual,67.73,1,1,4
9,TLS Mutual,67.43,1,1,4
10,TLS Mutual,70.34,1,1,4
11,TLS Mutual,67.35,1,1,4
12,TLS Mutual,69.13,1,1,4
13,TLS Mutual,67.92,1,1,4
14,TLS Mutual,64.71,1,1,4
15,TLS Mutual,66.32,1,1,4
16,TLS Mutual,66.34,1,1,4
17,TLS Mutual,67.5,1,1,4
18,TLS Mutual,65.3,1,1,4
19,TLS Mutual,65.19,1,1,4
20,TLS Mutual,66.05,1,1,4
21,TLS Mutual,66.25,1,1,4
22,TLS Mutual,65.33,1,1,4
23,TLS Mutual,66.13,1,1,4
24,TLS Mutual,67.87,1,1,4
25,TLS Mutual,66.12,1,1,4
26,TLS Mutual,64.82,1,1,4
27,TLS Mutual,67.65,1,1,4
28,TLS Mutual,70.17,1,1,4
29,TLS Mutual,68.17,1,1,4
30,TLS Mutual,66.66,1,1,4
31,TLS Mutual,69.57,1,1,4
32,TLS Mutual,66.78,1,1,4
33,TLS Mutual,67.45,1,1,4
34,TLS Mutual,71.94,1,1,4
35,TLS Mutual,70.25,1,1,4
36,TLS Mutual,67.93,1,1,4
37,TLS Mutual,67.03,1,1,4
38,TLS Mutual,65.56,1,1,4
39,TLS Mutual,68.91,1,1,4
40,TLS Mutual,70.75,1,1,4
41,TLS Mutual,67.05,1,1,4
42,TLS Mutual,66.2,1,1,4
43,TLS Mutual,65.31,1,1,4
44,TLS Mutual,65.88,1,1,4
45,TLS Mutual,67.45,1,1,4
46,TLS Mutual,79.85,1,1,4
47,TLS Mutual,67.77,1,1,4
48,TLS Mutual,66.66,1,1,4
49,TLS Mutual,65.03,1,1,4
50,TLS Mutual,66.33,1,1,4
51,TLS Mutual,65.8,1,1,4
52,TLS Mutual,68.95,1,1,4
53,TLS Mutual,68.83,1,1,4
54,TLS Mutual,73.2,1,1,4
55,TLS Mutual,73.74,1,1,4
56,TLS Mutual,69.36,1,1,4
57,TLS Mutual,66.41,1,1,4
58,TLS Mutual,71.86,1,1,4
59,TLS Mutual,71.1,1,1,4
60,TLS Mutual,69.66,1,1,4
61,TLS Mutual,66.87,1,1,4
62,TLS Mutual,66.09,1,1,4
63,TLS Mutual,69.07,1,1,4
64,TLS Mutual,67.37,1,1,4
65,TLS Mutual,77.22,1,1,4
66,TLS Mutual,73.61,1,1,4
67,TLS Mutual,78.38,1,1,4
68,TLS Mutual,69.97,1,1,4
69,TLS Mutual,86.86,1,1,4
70,TLS Mutual,100.54,1,1,4
71,TLS Mutual,68.96,1,1,4
72,TLS Mutual,68.59,1,1,4
73,TLS Mutual,70.47,1,1,4
74,TLS Mutual,66.45,1,1,4
75,TLS Mutual,69.11,1,1,4
76,TLS Mutual,68.19,1,1,4
77,TLS Mutual,69.96,1,1,4
78,TLS Mutual,72.72,1,1,4
79,TLS Mutual,69.89,1,1,4
80,TLS Mutual,75.91,1,1,4
81,TLS Mutual,72.53,1,1,4
82,TLS Mutual,76.3,1,1,4
83,TLS Mutual,68.33,1,1,4
84,TLS Mutual,72.61,1,1,4
85,TLS Mutual,69.1,1,1,4
86,TLS Mutual,71.1,1,1,4
87,TLS Mutual,70.76,1,1,4
88,TLS Mutual,71.18,1,1,4
89,TLS Mutual,69.77,1,1,4
90,TLS Mutual,72.5,1,1,4
91,TLS Mutual,70.68,1,1,4
92,TLS Mutual,72.09,1,1,4
93,TLS Mutual,93.62,1,1,4
94,TLS Mutual,70.63,1,1,4
95,TLS Mutual,69.95,1,1,4
96,TLS Mutual,68.48,1,1,4
97,TLS Mutual,70.36,1,1,4
98,TLS Mutual,68.3,1,1,4
99,TLS Mutual,71.49,1,1,4
100,TLS Mutual,68.02,1,1,4
101,TLS Mutual,66.49,1,1,4
102,TLS Mutual,66.15,1,1,4
103,TLS Mutual,67.0,1,1,4
104,TLS Mutual,67.82,1,1,4
105,TLS Mutual,66.5,1,1,4
106,TLS Mutual,67.7,1,1,4
107,TLS Mutual,68.1,1,1,4
108,TLS Mutual,67.98,1,1,4
109,TLS Mutual,66.66,1,1,4
110,TLS Mutual,84.67,1,1,4
111,TLS Mutual,74.57,1,1,4
112,TLS Mutual,94.75,1,1,4
113,TLS Mutual,95.71,1,1,4
114,TLS Mutual,74.45,1,1,4
115,TLS Mutual,82.78,1,1,4
116,TLS Mutual,81.57,1,1,4
117,TLS Mutual,78.21,1,1,4
118,TLS Mutual,76.25,1,1,4
119,TLS Mutual,70.09,1,1,4
120,TLS Mutual,75.32,1,1,4
121,TLS Mutual,69.42,1,1,4
122,TLS Mutual,66.62,1,1,4
123,TLS Mutual,66.32,1,1,4
124,TLS Mutual,65.57,1,1,4
125,TLS Mutual,69.61,1,1,4
