execution,mode,handshake_duration_ms,success
1,TLS Mutual,9.75,1
2,TLS Mutual,11.03,1
3,TLS Mutual,10.46,1
4,TLS Mutual,9.81,1
5,TLS Mutual,9.79,1
6,TLS Mutual,10.55,1
7,TLS Mutual,10.13,1
8,TLS Mutual,9.65,1
9,TLS Mutual,10.61,1
10,TLS Mutual,9.48,1
11,TLS Mutual,10.37,1
12,TLS Mutual,10.51,1
13,TLS Mutual,9.9,1
14,TLS Mutual,10.16,1
15,TLS Mutual,10.86,1
16,TLS Mutual,9.5,1
17,TLS Mutual,10.13,1
18,TLS Mutual,10.51,1
19,TLS Mutual,9.71,1
20,TLS Mutual,11.65,1
21,TLS Mutual,10.74,1
22,TLS Mutual,10.75,1
23,TLS Mutual,10.96,1
24,TLS Mutual,10.56,1
25,TLS Mutual,9.61,1
26,TLS Mutual,9.63,1
27,TLS Mutual,10.31,1
28,TLS Mutual,9.6,1
29,TLS Mutual,9.59,1
30,TLS Mutual,9.78,1
31,TLS Mutual,9.62,1
32,TLS Mutual,10.55,1
33,TLS Mutual,10.11,1
34,TLS Mutual,9.92,1
35,TLS Mutual,10.15,1
36,TLS Mutual,10.44,1
37,TLS Mutual,9.88,1
38,TLS Mutual,9.57,1
39,TLS Mutual,9.77,1
40,TLS Mutual,9.88,1
41,TLS Mutual,9.44,1
42,TLS Mutual,10.5,1
43,TLS Mutual,10.74,1
44,TLS Mutual,9.9,1
45,TLS Mutual,11.12,1
46,TLS Mutual,9.82,1
47,TLS Mutual,10.12,1
48,TLS Mutual,10.04,1
49,TLS Mutual,9.69,1
50,TLS Mutual,10.05,1
51,TLS Mutual,9.67,1
52,TLS Mutual,10.23,1
53,TLS Mutual,10.1,1
54,TLS Mutual,9.77,1
55,TLS Mutual,9.88,1
56,TLS Mutual,11.03,1
57,TLS Mutual,9.48,1
58,TLS Mutual,10.89,1
59,TLS Mutual,9.96,1
60,TLS Mutual,10.71,1
61,TLS Mutual,9.57,1
62,TLS Mutual,10.02,1
63,TLS Mutual,9.47,1
64,TLS Mutual,9.82,1
65,TLS Mutual,11.31,1
66,TLS Mutual,9.81,1
67,TLS Mutual,10.13,1
68,TLS Mutual,10.08,1
69,TLS Mutual,11.08,1
70,TLS Mutual,9.71,1
71,TLS Mutual,9.75,1
72,TLS Mutual,9.86,1
73,TLS Mutual,9.78,1
74,TLS Mutual,9.35,1
75,TLS Mutual,9.85,1
76,TLS Mutual,10.37,1
77,TLS Mutual,9.56,1
78,TLS Mutual,10.25,1
79,TLS Mutual,10.13,1
80,TLS Mutual,10.38,1
81,TLS Mutual,9.29,1
82,TLS Mutual,10.47,1
83,TLS Mutual,9.54,1
84,TLS Mutual,9.67,1
85,TLS Mutual,9.79,1
86,TLS Mutual,10.29,1
87,TLS Mutual,9.6,1
88,TLS Mutual,9.24,1
89,TLS Mutual,10.75,1
90,TLS Mutual,9.77,1
91,TLS Mutual,10.08,1
92,TLS Mutual,9.58,1
93,TLS Mutual,11.64,1
94,TLS Mutual,9.4,1
95,TLS Mutual,10.31,1
96,TLS Mutual,9.71,1
97,TLS Mutual,9.49,1
98,TLS Mutual,10.56,1
99,TLS Mutual,10.53,1
100,TLS Mutual,10.18,1
101,TLS Mutual,9.62,1
102,TLS Mutual,10.18,1
103,TLS Mutual,9.54,1
104,TLS Mutual,9.48,1
105,TLS Mutual,9.24,1
106,TLS Mutual,10.3,1
107,TLS Mutual,9.71,1
108,TLS Mutual,9.18,1
109,TLS Mutual,9.52,1
110,TLS Mutual,9.71,1
111,TLS Mutual,9.77,1
112,TLS Mutual,9.52,1
113,TLS Mutual,10.9,1
114,TLS Mutual,9.94,1
115,TLS Mutual,9.75,1
116,TLS Mutual,10.24,1
117,TLS Mutual,12.01,1
118,TLS Mutual,9.49,1
119,TLS Mutual,10.06,1
120,TLS Mutual,10.35,1
121,TLS Mutual,9.17,1
122,TLS Mutual,9.27,1
123,TLS Mutual,10.36,1
124,TLS Mutual,9.64,1
125,TLS Mutual,9.25,1
126,TLS Mutual,10.03,1
127,TLS Mutual,9.57,1
128,TLS Mutual,9.7,1
129,TLS Mutual,9.1,1
130,TLS Mutual,10.88,1
131,TLS Mutual,9.86,1
132,TLS Mutual,10.15,1
133,TLS Mutual,9.31,1
134,TLS Mutual,9.92,1
135,TLS Mutual,9.3,1
136,TLS Mutual,9.54,1
137,TLS Mutual,9.99,1
138,TLS Mutual,9.74,1
139,TLS Mutual,9.73,1
140,TLS Mutual,9.04,1
141,TLS Mutual,12.43,1
142,TLS Mutual,9.79,1
143,TLS Mutual,9.83,1
144,TLS Mutual,10.06,1
145,TLS Mutual,9.71,1
146,TLS Mutual,9.99,1
147,TLS Mutual,10.11,1
148,TLS Mutual,9.83,1
149,TLS Mutual,9.16,1
150,TLS Mutual,11.04,1
151,TLS Mutual,9.51,1
152,TLS Mutual,9.59,1
153,TLS Mutual,10.16,1
154,TLS Mutual,10.5,1
155,TLS Mutual,9.88,1
156,TLS Mutual,9.21,1
157,TLS Mutual,9.56,1
158,TLS Mutual,10.22,1
159,TLS Mutual,9.23,1
160,TLS Mutual,10.03,1
161,TLS Mutual,10.27,1
162,TLS Mutual,9.43,1
163,TLS Mutual,9.74,1
164,TLS Mutual,10.44,1
165,TLS Mutual,10.02,1
166,TLS Mutual,8.99,1
167,TLS Mutual,10.2,1
168,TLS Mutual,9.83,1
169,TLS Mutual,10.63,1
170,TLS Mutual,8.89,1
171,TLS Mutual,9.91,1
172,TLS Mutual,9.63,1
173,TLS Mutual,9.56,1
174,TLS Mutual,9.2,1
175,TLS Mutual,9.64,1
176,TLS Mutual,9.59,1
177,TLS Mutual,9.35,1
178,TLS Mutual,9.48,1
179,TLS Mutual,9.88,1
180,TLS Mutual,9.91,1
181,TLS Mutual,9.2,1
182,TLS Mutual,10.54,1
183,TLS Mutual,9.71,1
184,TLS Mutual,10.11,1
185,TLS Mutual,9.37,1
186,TLS Mutual,9.95,1
187,TLS Mutual,10.11,1
188,TLS Mutual,9.31,1
189,TLS Mutual,9.0,1
190,TLS Mutual,10.01,1
191,TLS Mutual,9.79,1
192,TLS Mutual,9.43,1
193,TLS Mutual,10.51,1
194,TLS Mutual,10.93,1
195,TLS Mutual,10.21,1
196,TLS Mutual,10.04,1
197,TLS Mutual,10.42,1
198,TLS Mutual,8.92,1
199,TLS Mutual,9.74,1
200,TLS Mutual,9.64,1
201,TLS Mutual,9.12,1
202,TLS Mutual,8.97,1
203,TLS Mutual,9.86,1
204,TLS Mutual,9.95,1
205,TLS Mutual,9.49,1
206,TLS Mutual,10.51,1
207,TLS Mutual,9.57,1
208,TLS Mutual,9.59,1
209,TLS Mutual,9.65,1
210,TLS Mutual,10.85,1
211,TLS Mutual,9.64,1
212,TLS Mutual,9.16,1
213,TLS Mutual,9.63,1
214,TLS Mutual,9.38,1
215,TLS Mutual,9.02,1
216,TLS Mutual,9.02,1
217,TLS Mutual,9.47,1
218,TLS Mutual,9.72,1
219,TLS Mutual,10.21,1
220,TLS Mutual,9.48,1
221,TLS Mutual,10.2,1
222,TLS Mutual,9.73,1
223,TLS Mutual,9.64,1
224,TLS Mutual,8.7,1
225,TLS Mutual,11.18,1
226,TLS Mutual,10.04,1
227,TLS Mutual,9.8,1
228,TLS Mutual,9.71,1
229,TLS Mutual,10.1,1
230,TLS Mutual,9.17,1
231,TLS Mutual,9.33,1
232,TLS Mutual,9.48,1
233,TLS Mutual,10.16,1
234,TLS Mutual,8.97,1
235,TLS Mutual,9.94,1
236,TLS Mutual,9.88,1
237,TLS Mutual,9.61,1
238,TLS Mutual,10.67,1
239,TLS Mutual,10.95,1
240,TLS Mutual,9.76,1
241,TLS Mutual,9.91,1
242,TLS Mutual,10.73,1
243,TLS Mutual,9.4,1
244,TLS Mutual,9.44,1
245,TLS Mutual,9.55,1
246,TLS Mutual,9.36,1
247,TLS Mutual,9.09,1
248,TLS Mutual,9.16,1
249,TLS Mutual,8.87,1
250,TLS Mutual,10.06,1
