protocol,auth_mode,sig_alg,kem,kem_class,security_level,sig_family,network_profile,n_total,n_success,n_failed,success_rate_pct,mean_ms,stdev_ms,ci95_low_ms,ci95_high_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms
tls,mutual,ed25519,P-256,classique,L1,classique,simple_loss0.2_delay65.15ms,500,500,0,100.0,285.491,66.505,279.661,291.32,280.165,282.661,287.748,268.03,1301.95
tls,mutual,ed25519,hqc128,pq_pur,L1,classique,simple_loss0.2_delay65.15ms,500,500,0,100.0,337.958,35.043,334.887,341.03,336.07,342.281,352.498,289.14,840.37
tls,mutual,ed25519,mlkem512,pq_pur,L1,classique,simple_loss0.2_delay65.15ms,500,500,0,100.0,283.169,30.604,280.487,285.852,281.6,282.666,287.645,268.07,952.13
tls,mutual,ed25519,p256_hqc128,hybride,L1,classique,simple_loss0.2_delay65.15ms,500,500,0,100.0,360.408,70.395,354.238,366.579,354.615,361.014,493.431,296.1,1666.97
tls,mutual,ed25519,p256_mlkem512,hybride,L1,classique,simple_loss0.2_delay65.15ms,500,500,0,100.0,304.705,50.577,300.272,309.139,302.5,304.291,306.926,275.31,1423.85
tls,mutual,ed25519,x25519_hqc128,hybride,L1,classique,simple_loss0.2_delay65.15ms,500,500,0,100.0,340.253,31.421,337.499,343.007,337.675,342.368,354.143,288.98,843.41
tls,mutual,ed25519,x25519_mlkem512,hybride,L1,classique,simple_loss0.2_delay65.15ms,500,500,0,100.0,289.817,90.054,281.924,297.711,282.63,283.37,291.68,268.41,1450.73
tls,mutual,ed25519,x25519,classique,L1,classique,simple_loss0.2_delay65.15ms,500,500,0,100.0,283.503,45.431,279.521,287.485,281.22,282.011,291.091,267.88,1288.28
tls,mutual,mldsa44,P-256,classique,L1,pq,simple_loss0.2_delay65.15ms,500,500,0,100.0,314.006,44.666,310.091,317.921,315.755,318.41,319.002,281.91,1116.44
tls,mutual,mldsa44,hqc128,pq_pur,L1,pq,simple_loss0.2_delay65.15ms,500,500,0,100.0,349.379,100.022,340.611,358.146,345.97,351.941,512.633,296.13,1785.07
tls,mutual,mldsa44,mlkem512,pq_pur,L1,pq,simple_loss0.2_delay65.15ms,500,500,0,100.0,315.456,59.167,310.269,320.642,316.585,319.53,320.643,282.67,1580.52
tls,mutual,mldsa44,p256_hqc128,hybride,L1,pq,simple_loss0.2_delay65.15ms,500,500,0,100.0,349.523,65.415,343.789,355.257,351.935,356.232,359.423,302.14,1766.31
tls,mutual,mldsa44,p256_mlkem512,hybride,L1,pq,simple_loss0.2_delay65.15ms,500,500,0,100.0,323.108,59.924,317.855,328.36,323.375,326.221,332.217,287.52,1620.67
tls,mutual,mldsa44,x25519_hqc128,hybride,L1,pq,simple_loss0.2_delay65.15ms,500,500,0,100.0,347.552,92.615,339.434,355.67,344.735,349.921,470.386,296.35,1771.7
tls,mutual,mldsa44,x25519_mlkem512,hybride,L1,pq,simple_loss0.2_delay65.15ms,500,500,0,100.0,317.017,74.498,310.487,323.548,315.94,318.861,425.047,282.13,1592.12
tls,mutual,mldsa44,x25519,classique,L1,pq,simple_loss0.2_delay65.15ms,500,500,0,100.0,319.848,101.301,310.968,328.727,315.385,318.01,424.881,282.14,1624.4
tls,mutual,mldsa65,P-384,classique,L3,pq,simple_loss0.2_delay65.15ms,500,500,0,100.0,325.41,38.59,322.027,328.793,324.82,327.57,456.351,289.34,849.69
tls,mutual,mldsa65,hqc192,pq_pur,L3,pq,simple_loss0.2_delay65.15ms,500,500,0,100.0,497.173,27.579,494.756,499.591,503.635,510.12,615.821,443.75,782.83
tls,mutual,mldsa65,mlkem768,pq_pur,L3,pq,simple_loss0.2_delay65.15ms,500,500,0,100.0,323.585,72.444,317.235,329.935,322.2,324.802,432.658,287.78,1719.69
tls,mutual,mldsa65,p384_hqc192,hybride,L3,pq,simple_loss0.2_delay65.15ms,500,500,0,100.0,509.58,88.347,501.836,517.324,509.08,515.135,763.158,449.4,1788.87
tls,mutual,mldsa65,p384_mlkem768,hybride,L3,pq,simple_loss0.2_delay65.15ms,500,500,0,100.0,334.552,72.921,328.16,340.944,332.455,335.581,441.073,295.32,1845.82
tls,mutual,mldsa65,x448_hqc192,hybride,L3,pq,simple_loss0.2_delay65.15ms,500,500,0,100.0,507.378,104.139,498.25,516.506,505.2,511.496,804.078,450.95,1783.55
tls,mutual,mldsa65,x448_mlkem768,hybride,L3,pq,simple_loss0.2_delay65.15ms,500,500,0,100.0,325.145,63.462,319.582,330.708,325.32,328.082,431.435,289.6,1699.35
tls,mutual,mldsa65,x448,classique,L3,pq,simple_loss0.2_delay65.15ms,500,500,0,100.0,324.026,40.697,320.459,327.594,323.74,326.473,455.113,288.93,855.22
tls,mutual,mldsa87,P-521,classique,L5,pq,simple_loss0.2_delay65.15ms,500,500,0,100.0,469.043,60.001,463.784,474.303,470.98,474.231,476.011,434.94,1767.36
tls,mutual,mldsa87,hqc256,pq_pur,L5,pq,simple_loss0.2_delay65.15ms,500,500,0,100.0,560.495,25.358,558.273,562.718,556.805,583.134,665.522,521.46,816.73
tls,mutual,mldsa87,mlkem1024,pq_pur,L5,pq,simple_loss0.2_delay65.15ms,500,500,0,100.0,467.04,64.368,461.398,472.682,468.815,472.2,577.224,435.41,1756.76
tls,mutual,mldsa87,p521_hqc256,hybride,L5,pq,simple_loss0.2_delay65.15ms,500,500,0,100.0,570.813,91.024,562.834,578.791,562.705,588.726,693.641,519.11,1975.68
tls,mutual,mldsa87,p521_mlkem1024,hybride,L5,pq,simple_loss0.2_delay65.15ms,500,500,0,100.0,483.44,100.508,474.63,492.25,477.805,481.003,593.752,439.03,1794.84
tls,mutual,secp384r1,P-384,classique,L3,classique,simple_loss0.2_delay65.15ms,500,500,0,100.0,292.205,6.708,291.617,292.793,291.585,295.642,298.361,272.55,424.79
tls,mutual,secp384r1,hqc192,pq_pur,L3,classique,simple_loss0.2_delay65.15ms,500,500,0,100.0,369.645,45.024,365.698,373.591,374.275,379.345,518.053,310.07,867.9
