execution,mode,handshake_duration_ms,success
1,TLS Mutual,433.88,1
2,TLS Mutual,297.9,1
3,TLS Mutual,298.55,1
4,TLS Mutual,300.73,1
5,TLS Mutual,298.82,1
6,TLS Mutual,301.51,1
7,TLS Mutual,303.76,1
8,TLS Mutual,301.07,1
9,TLS Mutual,301.36,1
10,TLS Mutual,302.36,1
11,TLS Mutual,302.44,1
12,TLS Mutual,302.21,1
13,TLS Mutual,302.32,1
14,TLS Mutual,303.7,1
15,TLS Mutual,302.2,1
16,TLS Mutual,302.65,1
17,TLS Mutual,302.57,1
18,TLS Mutual,302.6,1
19,TLS Mutual,302.29,1
20,TLS Mutual,302.46,1
21,TLS Mutual,302.17,1
22,TLS Mutual,302.56,1
23,TLS Mutual,301.76,1
24,TLS Mutual,302.49,1
25,TLS Mutual,303.52,1
26,TLS Mutual,302.66,1
27,TLS Mutual,302.79,1
28,TLS Mutual,302.51,1
29,TLS Mutual,302.65,1
30,TLS Mutual,301.87,1
31,TLS Mutual,302.08,1
32,TLS Mutual,302.35,1
33,TLS Mutual,302.54,1
34,TLS Mutual,302.04,1
35,TLS Mutual,302.72,1
36,TLS Mutual,303.53,1
37,TLS Mutual,302.63,1
38,TLS Mutual,302.12,1
39,TLS Mutual,301.97,1
40,TLS Mutual,302.55,1
41,TLS Mutual,302.81,1
42,TLS Mutual,302.5,1
43,TLS Mutual,302.87,1
44,TLS Mutual,302.44,1
45,TLS Mutual,302.34,1
46,TLS Mutual,302.37,1
47,TLS Mutual,301.03,1
48,TLS Mutual,302.78,1
49,TLS Mutual,302.31,1
50,TLS Mutual,306.06,1
51,TLS Mutual,302.05,1
52,TLS Mutual,304.17,1
53,TLS Mutual,303.86,1
54,TLS Mutual,303.26,1
55,TLS Mutual,302.53,1
56,TLS Mutual,303.46,1
57,TLS Mutual,304.4,1
58,TLS Mutual,301.61,1
59,TLS Mutual,302.68,1
60,TLS Mutual,302.98,1
61,TLS Mutual,302.77,1
62,TLS Mutual,302.62,1
63,TLS Mutual,302.67,1
64,TLS Mutual,303.02,1
65,TLS Mutual,305.01,1
66,TLS Mutual,302.03,1
67,TLS Mutual,302.58,1
68,TLS Mutual,303.2,1
69,TLS Mutual,302.83,1
70,TLS Mutual,301.82,1
71,TLS Mutual,303.41,1
72,TLS Mutual,301.74,1
73,TLS Mutual,301.59,1
74,TLS Mutual,302.77,1
75,TLS Mutual,302.42,1
76,TLS Mutual,302.56,1
77,TLS Mutual,302.0,1
78,TLS Mutual,302.2,1
79,TLS Mutual,301.98,1
80,TLS Mutual,302.54,1
81,TLS Mutual,301.53,1
82,TLS Mutual,302.47,1
83,TLS Mutual,303.96,1
84,TLS Mutual,302.96,1
85,TLS Mutual,302.17,1
86,TLS Mutual,302.16,1
87,TLS Mutual,302.68,1
88,TLS Mutual,303.15,1
89,TLS Mutual,302.19,1
90,TLS Mutual,302.51,1
91,TLS Mutual,303.14,1
92,TLS Mutual,302.16,1
93,TLS Mutual,302.45,1
94,TLS Mutual,305.66,1
95,TLS Mutual,302.43,1
96,TLS Mutual,301.39,1
97,TLS Mutual,303.14,1
98,TLS Mutual,302.21,1
99,TLS Mutual,300.06,1
100,TLS Mutual,300.91,1
101,TLS Mutual,300.45,1
102,TLS Mutual,300.18,1
103,TLS Mutual,302.51,1
104,TLS Mutual,303.04,1
105,TLS Mutual,302.63,1
106,TLS Mutual,301.98,1
107,TLS Mutual,302.61,1
108,TLS Mutual,303.5,1
109,TLS Mutual,1423.85,1
110,TLS Mutual,302.1,1
111,TLS Mutual,300.01,1
112,TLS Mutual,299.88,1
113,TLS Mutual,300.65,1
114,TLS Mutual,304.29,1
115,TLS Mutual,302.55,1
116,TLS Mutual,301.8,1
117,TLS Mutual,303.4,1
118,TLS Mutual,302.09,1
119,TLS Mutual,301.6,1
120,TLS Mutual,302.53,1
121,TLS Mutual,315.05,1
122,TLS Mutual,275.62,1
123,TLS Mutual,290.79,1
124,TLS Mutual,304.19,1
125,TLS Mutual,303.64,1
126,TLS Mutual,302.61,1
127,TLS Mutual,301.58,1
128,TLS Mutual,302.27,1
129,TLS Mutual,301.92,1
130,TLS Mutual,301.84,1
131,TLS Mutual,302.32,1
132,TLS Mutual,302.36,1
133,TLS Mutual,303.11,1
134,TLS Mutual,292.51,1
135,TLS Mutual,295.37,1
136,TLS Mutual,302.55,1
137,TLS Mutual,301.8,1
138,TLS Mutual,302.98,1
139,TLS Mutual,302.0,1
140,TLS Mutual,301.39,1
141,TLS Mutual,302.5,1
142,TLS Mutual,301.94,1
143,TLS Mutual,302.16,1
144,TLS Mutual,302.2,1
145,TLS Mutual,302.56,1
146,TLS Mutual,302.07,1
147,TLS Mutual,302.69,1
148,TLS Mutual,302.72,1
149,TLS Mutual,302.83,1
150,TLS Mutual,303.37,1
151,TLS Mutual,302.13,1
152,TLS Mutual,302.62,1
153,TLS Mutual,303.85,1
154,TLS Mutual,302.74,1
155,TLS Mutual,299.81,1
156,TLS Mutual,306.83,1
157,TLS Mutual,301.64,1
158,TLS Mutual,301.86,1
159,TLS Mutual,302.4,1
160,TLS Mutual,300.67,1
161,TLS Mutual,302.43,1
162,TLS Mutual,302.56,1
163,TLS Mutual,302.99,1
164,TLS Mutual,303.6,1
165,TLS Mutual,301.9,1
166,TLS Mutual,301.82,1
167,TLS Mutual,303.23,1
168,TLS Mutual,304.06,1
169,TLS Mutual,302.76,1
170,TLS Mutual,302.93,1
171,TLS Mutual,302.39,1
172,TLS Mutual,301.98,1
173,TLS Mutual,302.1,1
174,TLS Mutual,302.07,1
175,TLS Mutual,302.24,1
176,TLS Mutual,303.21,1
177,TLS Mutual,301.37,1
178,TLS Mutual,302.74,1
179,TLS Mutual,302.4,1
180,TLS Mutual,302.38,1
181,TLS Mutual,302.8,1
182,TLS Mutual,302.23,1
183,TLS Mutual,301.94,1
184,TLS Mutual,302.24,1
185,TLS Mutual,301.81,1
186,TLS Mutual,301.75,1
187,TLS Mutual,302.48,1
188,TLS Mutual,302.45,1
189,TLS Mutual,301.55,1
190,TLS Mutual,303.25,1
191,TLS Mutual,302.67,1
192,TLS Mutual,302.77,1
193,TLS Mutual,301.66,1
194,TLS Mutual,302.08,1
195,TLS Mutual,302.99,1
196,TLS Mutual,303.25,1
197,TLS Mutual,302.46,1
198,TLS Mutual,302.66,1
199,TLS Mutual,303.82,1
200,TLS Mutual,303.08,1
201,TLS Mutual,300.21,1
202,TLS Mutual,300.7,1
203,TLS Mutual,301.67,1
204,TLS Mutual,302.81,1
205,TLS Mutual,302.87,1
206,TLS Mutual,302.79,1
207,TLS Mutual,302.12,1
208,TLS Mutual,302.6,1
209,TLS Mutual,302.7,1
210,TLS Mutual,304.26,1
211,TLS Mutual,301.85,1
212,TLS Mutual,302.91,1
213,TLS Mutual,303.1,1
214,TLS Mutual,303.1,1
215,TLS Mutual,301.45,1
216,TLS Mutual,302.53,1
217,TLS Mutual,302.06,1
218,TLS Mutual,305.16,1
219,TLS Mutual,301.65,1
220,TLS Mutual,303.07,1
221,TLS Mutual,302.97,1
222,TLS Mutual,302.97,1
223,TLS Mutual,302.21,1
224,TLS Mutual,302.21,1
225,TLS Mutual,302.8,1
226,TLS Mutual,302.32,1
227,TLS Mutual,302.38,1
228,TLS Mutual,302.5,1
229,TLS Mutual,302.09,1
230,TLS Mutual,302.14,1
231,TLS Mutual,302.44,1
232,TLS Mutual,302.88,1
233,TLS Mutual,302.41,1
234,TLS Mutual,302.34,1
235,TLS Mutual,302.31,1
236,TLS Mutual,301.81,1
237,TLS Mutual,304.13,1
238,TLS Mutual,301.78,1
239,TLS Mutual,301.85,1
240,TLS Mutual,302.62,1
241,TLS Mutual,303.17,1
242,TLS Mutual,302.37,1
243,TLS Mutual,301.69,1
244,TLS Mutual,303.09,1
245,TLS Mutual,302.29,1
246,TLS Mutual,302.97,1
247,TLS Mutual,302.81,1
248,TLS Mutual,302.63,1
249,TLS Mutual,302.09,1
250,TLS Mutual,303.62,1
251,TLS Mutual,302.59,1
252,TLS Mutual,303.25,1
253,TLS Mutual,302.26,1
254,TLS Mutual,303.92,1
255,TLS Mutual,301.69,1
256,TLS Mutual,302.07,1
257,TLS Mutual,303.88,1
258,TLS Mutual,304.3,1
259,TLS Mutual,303.04,1
260,TLS Mutual,301.48,1
261,TLS Mutual,302.5,1
262,TLS Mutual,302.4,1
263,TLS Mutual,301.94,1
264,TLS Mutual,302.74,1
265,TLS Mutual,302.16,1
266,TLS Mutual,301.51,1
267,TLS Mutual,301.98,1
268,TLS Mutual,302.09,1
269,TLS Mutual,302.44,1
270,TLS Mutual,303.62,1
271,TLS Mutual,303.7,1
272,TLS Mutual,302.06,1
273,TLS Mutual,302.59,1
274,TLS Mutual,307.53,1
275,TLS Mutual,302.49,1
276,TLS Mutual,301.84,1
277,TLS Mutual,302.67,1
278,TLS Mutual,302.53,1
279,TLS Mutual,301.84,1
280,TLS Mutual,303.02,1
281,TLS Mutual,302.9,1
282,TLS Mutual,303.27,1
283,TLS Mutual,298.35,1
284,TLS Mutual,303.62,1
285,TLS Mutual,300.42,1
286,TLS Mutual,300.24,1
287,TLS Mutual,300.2,1
288,TLS Mutual,303.26,1
289,TLS Mutual,302.95,1
290,TLS Mutual,303.01,1
291,TLS Mutual,301.76,1
292,TLS Mutual,301.39,1
293,TLS Mutual,302.68,1
294,TLS Mutual,302.63,1
295,TLS Mutual,303.28,1
296,TLS Mutual,284.14,1
297,TLS Mutual,276.2,1
298,TLS Mutual,294.73,1
299,TLS Mutual,303.63,1
300,TLS Mutual,301.49,1
301,TLS Mutual,301.72,1
302,TLS Mutual,301.42,1
303,TLS Mutual,302.43,1
304,TLS Mutual,302.76,1
