execution,mode,handshake_duration_ms,success
1,TLS Mutual,445.96,1
2,TLS Mutual,316.35,1
3,TLS Mutual,291.86,1
4,TLS Mutual,317.11,1
5,TLS Mutual,316.81,1
6,TLS Mutual,292.86,1
7,TLS Mutual,318.49,1
8,TLS Mutual,316.48,1
9,TLS Mutual,315.34,1
10,TLS Mutual,313.74,1
11,TLS Mutual,316.2,1
12,TLS Mutual,291.17,1
13,TLS Mutual,316.86,1
14,TLS Mutual,291.63,1
15,TLS Mutual,290.19,1
16,TLS Mutual,314.85,1
17,TLS Mutual,316.88,1
18,TLS Mutual,317.35,1
19,TLS Mutual,317.28,1
20,TLS Mutual,315.04,1
21,TLS Mutual,316.25,1
22,TLS Mutual,314.92,1
23,TLS Mutual,317.3,1
24,TLS Mutual,302.95,1
25,TLS Mutual,291.57,1
26,TLS Mutual,316.92,1
27,TLS Mutual,313.89,1
28,TLS Mutual,316.32,1
29,TLS Mutual,317.52,1
30,TLS Mutual,292.14,1
31,TLS Mutual,292.74,1
32,TLS Mutual,291.87,1
33,TLS Mutual,316.01,1
34,TLS Mutual,315.22,1
35,TLS Mutual,318.99,1
36,TLS Mutual,317.33,1
37,TLS Mutual,314.28,1
38,TLS Mutual,317.92,1
39,TLS Mutual,315.59,1
40,TLS Mutual,313.09,1
41,TLS Mutual,292.58,1
42,TLS Mutual,307.22,1
43,TLS Mutual,314.92,1
44,TLS Mutual,316.89,1
45,TLS Mutual,313.81,1
46,TLS Mutual,312.61,1
47,TLS Mutual,315.41,1
48,TLS Mutual,315.72,1
49,TLS Mutual,314.9,1
50,TLS Mutual,315.7,1
51,TLS Mutual,316.93,1
52,TLS Mutual,316.19,1
53,TLS Mutual,317.33,1
54,TLS Mutual,285.27,1
55,TLS Mutual,293.87,1
56,TLS Mutual,317.65,1
57,TLS Mutual,291.42,1
58,TLS Mutual,282.96,1
59,TLS Mutual,281.91,1
60,TLS Mutual,314.39,1
61,TLS Mutual,313.67,1
62,TLS Mutual,316.6,1
63,TLS Mutual,292.17,1
64,TLS Mutual,315.67,1
65,TLS Mutual,317.99,1
66,TLS Mutual,291.5,1
67,TLS Mutual,316.95,1
68,TLS Mutual,316.15,1
69,TLS Mutual,313.1,1
70,TLS Mutual,318.32,1
71,TLS Mutual,318.58,1
72,TLS Mutual,317.3,1
73,TLS Mutual,313.96,1
74,TLS Mutual,292.32,1
75,TLS Mutual,318.58,1
76,TLS Mutual,318.47,1
77,TLS Mutual,315.75,1
78,TLS Mutual,315.59,1
79,TLS Mutual,316.32,1
80,TLS Mutual,313.4,1
81,TLS Mutual,314.07,1
82,TLS Mutual,317.28,1
83,TLS Mutual,317.96,1
84,TLS Mutual,315.01,1
85,TLS Mutual,315.65,1
86,TLS Mutual,293.42,1
87,TLS Mutual,317.54,1
88,TLS Mutual,317.1,1
89,TLS Mutual,316.54,1
90,TLS Mutual,292.33,1
91,TLS Mutual,291.4,1
92,TLS Mutual,315.84,1
93,TLS Mutual,316.21,1
94,TLS Mutual,292.7,1
95,TLS Mutual,315.41,1
96,TLS Mutual,315.89,1
97,TLS Mutual,317.66,1
98,TLS Mutual,318.7,1
99,TLS Mutual,317.96,1
100,TLS Mutual,315.67,1
101,TLS Mutual,316.62,1
102,TLS Mutual,315.81,1
103,TLS Mutual,317.93,1
104,TLS Mutual,290.86,1
105,TLS Mutual,317.16,1
106,TLS Mutual,317.0,1
107,TLS Mutual,316.08,1
108,TLS Mutual,292.2,1
109,TLS Mutual,317.17,1
110,TLS Mutual,315.37,1
111,TLS Mutual,315.13,1
112,TLS Mutual,292.44,1
113,TLS Mutual,317.74,1
114,TLS Mutual,293.11,1
115,TLS Mutual,291.59,1
116,TLS Mutual,317.73,1
117,TLS Mutual,318.2,1
118,TLS Mutual,315.88,1
119,TLS Mutual,314.61,1
120,TLS Mutual,314.88,1
121,TLS Mutual,317.9,1
122,TLS Mutual,318.41,1
123,TLS Mutual,315.42,1
124,TLS Mutual,314.46,1
125,TLS Mutual,292.25,1
126,TLS Mutual,315.56,1
127,TLS Mutual,317.14,1
128,TLS Mutual,315.15,1
129,TLS Mutual,316.21,1
130,TLS Mutual,292.08,1
131,TLS Mutual,317.17,1
132,TLS Mutual,314.97,1
133,TLS Mutual,292.45,1
134,TLS Mutual,316.26,1
135,TLS Mutual,291.69,1
136,TLS Mutual,314.11,1
137,TLS Mutual,293.29,1
138,TLS Mutual,317.03,1
139,TLS Mutual,456.15,1
140,TLS Mutual,317.58,1
141,TLS Mutual,310.27,1
142,TLS Mutual,315.76,1
143,TLS Mutual,317.15,1
144,TLS Mutual,316.36,1
145,TLS Mutual,318.61,1
146,TLS Mutual,316.57,1
147,TLS Mutual,291.19,1
148,TLS Mutual,317.41,1
149,TLS Mutual,291.33,1
150,TLS Mutual,292.95,1
151,TLS Mutual,317.65,1
152,TLS Mutual,316.36,1
153,TLS Mutual,315.08,1
154,TLS Mutual,315.85,1
155,TLS Mutual,318.68,1
156,TLS Mutual,291.7,1
157,TLS Mutual,317.71,1
158,TLS Mutual,291.89,1
159,TLS Mutual,317.82,1
160,TLS Mutual,314.39,1
161,TLS Mutual,316.52,1
162,TLS Mutual,292.44,1
163,TLS Mutual,314.94,1
164,TLS Mutual,317.06,1
165,TLS Mutual,316.36,1
166,TLS Mutual,306.41,1
167,TLS Mutual,317.57,1
168,TLS Mutual,316.38,1
169,TLS Mutual,313.87,1
170,TLS Mutual,292.27,1
171,TLS Mutual,314.36,1
172,TLS Mutual,299.19,1
173,TLS Mutual,313.56,1
174,TLS Mutual,315.19,1
175,TLS Mutual,313.92,1
176,TLS Mutual,316.78,1
177,TLS Mutual,313.59,1
178,TLS Mutual,316.94,1
179,TLS Mutual,317.66,1
180,TLS Mutual,316.35,1
181,TLS Mutual,315.42,1
182,TLS Mutual,316.58,1
183,TLS Mutual,313.74,1
184,TLS Mutual,316.7,1
185,TLS Mutual,318.21,1
186,TLS Mutual,304.42,1
187,TLS Mutual,317.95,1
188,TLS Mutual,316.5,1
189,TLS Mutual,317.33,1
190,TLS Mutual,317.35,1
191,TLS Mutual,317.9,1
192,TLS Mutual,291.67,1
193,TLS Mutual,314.27,1
194,TLS Mutual,289.89,1
195,TLS Mutual,314.01,1
196,TLS Mutual,313.76,1
197,TLS Mutual,300.03,1
198,TLS Mutual,317.64,1
199,TLS Mutual,1116.44,1
200,TLS Mutual,314.48,1
201,TLS Mutual,291.61,1
202,TLS Mutual,292.67,1
203,TLS Mutual,315.25,1
204,TLS Mutual,317.2,1
205,TLS Mutual,318.27,1
206,TLS Mutual,315.56,1
207,TLS Mutual,320.2,1
208,TLS Mutual,316.14,1
209,TLS Mutual,317.52,1
210,TLS Mutual,292.64,1
211,TLS Mutual,318.4,1
212,TLS Mutual,317.25,1
213,TLS Mutual,292.16,1
214,TLS Mutual,316.42,1
215,TLS Mutual,317.09,1
216,TLS Mutual,318.4,1
217,TLS Mutual,315.41,1
218,TLS Mutual,315.81,1
219,TLS Mutual,316.1,1
220,TLS Mutual,318.67,1
221,TLS Mutual,293.69,1
222,TLS Mutual,291.64,1
223,TLS Mutual,313.72,1
224,TLS Mutual,287.85,1
