execution,mode,handshake_duration_ms,success
1,TLS Mutual,454.93,1
2,TLS Mutual,328.97,1
3,TLS Mutual,346.83,1
4,TLS Mutual,335.29,1
5,TLS Mutual,345.83,1
6,TLS Mutual,347.37,1
7,TLS Mutual,346.31,1
8,TLS Mutual,334.36,1
9,TLS Mutual,341.98,1
10,TLS Mutual,325.38,1
11,TLS Mutual,322.27,1
12,TLS Mutual,325.99,1
13,TLS Mutual,336.16,1
14,TLS Mutual,348.86,1
15,TLS Mutual,335.66,1
16,TLS Mutual,343.23,1
17,TLS Mutual,345.73,1
18,TLS Mutual,346.09,1
19,TLS Mutual,343.42,1
20,TLS Mutual,347.05,1
21,TLS Mutual,345.92,1
22,TLS Mutual,322.68,1
23,TLS Mutual,336.11,1
24,TLS Mutual,343.44,1
25,TLS Mutual,346.86,1
26,TLS Mutual,322.03,1
27,TLS Mutual,346.97,1
28,TLS Mutual,321.83,1
29,TLS Mutual,333.72,1
30,TLS Mutual,347.91,1
31,TLS Mutual,332.9,1
32,TLS Mutual,344.41,1
33,TLS Mutual,332.73,1
34,TLS Mutual,347.56,1
35,TLS Mutual,335.44,1
36,TLS Mutual,348.95,1
37,TLS Mutual,336.57,1
38,TLS Mutual,342.1,1
39,TLS Mutual,345.47,1
40,TLS Mutual,322.34,1
41,TLS Mutual,335.43,1
42,TLS Mutual,348.77,1
43,TLS Mutual,336.17,1
44,TLS Mutual,347.59,1
45,TLS Mutual,348.18,1
46,TLS Mutual,345.71,1
47,TLS Mutual,346.87,1
48,TLS Mutual,336.56,1
49,TLS Mutual,346.82,1
50,TLS Mutual,335.16,1
51,TLS Mutual,348.9,1
52,TLS Mutual,345.43,1
53,TLS Mutual,346.92,1
54,TLS Mutual,332.15,1
55,TLS Mutual,344.43,1
56,TLS Mutual,342.47,1
57,TLS Mutual,346.05,1
58,TLS Mutual,309.2,1
59,TLS Mutual,318.81,1
60,TLS Mutual,346.77,1
61,TLS Mutual,477.93,1
62,TLS Mutual,350.76,1
63,TLS Mutual,337.27,1
64,TLS Mutual,323.31,1
65,TLS Mutual,337.61,1
66,TLS Mutual,323.16,1
67,TLS Mutual,321.36,1
68,TLS Mutual,331.98,1
69,TLS Mutual,344.74,1
70,TLS Mutual,332.26,1
71,TLS Mutual,322.37,1
72,TLS Mutual,337.45,1
73,TLS Mutual,345.62,1
74,TLS Mutual,346.99,1
75,TLS Mutual,345.69,1
76,TLS Mutual,302.77,1
77,TLS Mutual,296.35,1
78,TLS Mutual,333.68,1
79,TLS Mutual,323.13,1
80,TLS Mutual,334.02,1
81,TLS Mutual,346.98,1
82,TLS Mutual,348.31,1
83,TLS Mutual,347.38,1
84,TLS Mutual,345.67,1
85,TLS Mutual,348.86,1
86,TLS Mutual,334.83,1
87,TLS Mutual,344.87,1
88,TLS Mutual,347.84,1
89,TLS Mutual,348.19,1
