execution,mode,handshake_duration_ms,success
1,TLS Mutual,435.44,1
2,TLS Mutual,301.11,1
3,TLS Mutual,302.37,1
4,TLS Mutual,302.26,1
5,TLS Mutual,327.82,1
6,TLS Mutual,325.09,1
7,TLS Mutual,325.98,1
8,TLS Mutual,326.48,1
9,TLS Mutual,325.14,1
10,TLS Mutual,325.31,1
11,TLS Mutual,327.74,1
12,TLS Mutual,302.19,1
13,TLS Mutual,325.52,1
14,TLS Mutual,326.34,1
15,TLS Mutual,325.43,1
16,TLS Mutual,309.08,1
17,TLS Mutual,325.84,1
18,TLS Mutual,325.1,1
19,TLS Mutual,326.79,1
20,TLS Mutual,328.05,1
21,TLS Mutual,324.9,1
22,TLS Mutual,325.12,1
23,TLS Mutual,302.48,1
24,TLS Mutual,326.47,1
25,TLS Mutual,324.52,1
26,TLS Mutual,322.27,1
27,TLS Mutual,328.05,1
28,TLS Mutual,326.68,1
29,TLS Mutual,326.55,1
30,TLS Mutual,454.15,1
31,TLS Mutual,306.83,1
32,TLS Mutual,326.52,1
33,TLS Mutual,326.89,1
34,TLS Mutual,326.38,1
35,TLS Mutual,325.53,1
36,TLS Mutual,326.31,1
37,TLS Mutual,323.58,1
38,TLS Mutual,300.47,1
39,TLS Mutual,327.75,1
40,TLS Mutual,323.86,1
41,TLS Mutual,327.81,1
42,TLS Mutual,300.15,1
43,TLS Mutual,301.35,1
44,TLS Mutual,323.08,1
45,TLS Mutual,301.96,1
46,TLS Mutual,327.34,1
47,TLS Mutual,322.52,1
48,TLS Mutual,302.28,1
49,TLS Mutual,323.73,1
50,TLS Mutual,325.06,1
51,TLS Mutual,327.05,1
52,TLS Mutual,326.45,1
53,TLS Mutual,301.81,1
54,TLS Mutual,324.88,1
55,TLS Mutual,325.95,1
56,TLS Mutual,317.35,1
57,TLS Mutual,326.91,1
58,TLS Mutual,324.55,1
59,TLS Mutual,325.87,1
60,TLS Mutual,322.76,1
61,TLS Mutual,323.58,1
62,TLS Mutual,328.26,1
63,TLS Mutual,324.08,1
64,TLS Mutual,325.82,1
65,TLS Mutual,324.18,1
66,TLS Mutual,328.12,1
67,TLS Mutual,325.37,1
68,TLS Mutual,326.95,1
69,TLS Mutual,325.35,1
70,TLS Mutual,325.62,1
71,TLS Mutual,327.63,1
72,TLS Mutual,314.89,1
73,TLS Mutual,301.57,1
74,TLS Mutual,301.52,1
75,TLS Mutual,326.29,1
76,TLS Mutual,301.36,1
77,TLS Mutual,325.51,1
78,TLS Mutual,324.45,1
79,TLS Mutual,325.92,1
80,TLS Mutual,325.84,1
81,TLS Mutual,328.43,1
82,TLS Mutual,327.32,1
83,TLS Mutual,325.86,1
84,TLS Mutual,324.21,1
85,TLS Mutual,326.55,1
86,TLS Mutual,323.3,1
87,TLS Mutual,325.87,1
88,TLS Mutual,303.27,1
89,TLS Mutual,303.25,1
90,TLS Mutual,326.93,1
91,TLS Mutual,324.62,1
92,TLS Mutual,324.78,1
93,TLS Mutual,325.53,1
94,TLS Mutual,301.9,1
95,TLS Mutual,324.63,1
96,TLS Mutual,324.69,1
97,TLS Mutual,325.52,1
98,TLS Mutual,301.82,1
99,TLS Mutual,326.39,1
100,TLS Mutual,322.64,1
101,TLS Mutual,300.59,1
102,TLS Mutual,324.99,1
103,TLS Mutual,313.91,1
104,TLS Mutual,305.67,1
105,TLS Mutual,302.36,1
106,TLS Mutual,326.57,1
107,TLS Mutual,326.38,1
108,TLS Mutual,326.67,1
109,TLS Mutual,323.38,1
110,TLS Mutual,327.04,1
111,TLS Mutual,305.65,1
112,TLS Mutual,300.69,1
113,TLS Mutual,300.28,1
114,TLS Mutual,327.97,1
115,TLS Mutual,324.45,1
116,TLS Mutual,325.64,1
117,TLS Mutual,313.67,1
118,TLS Mutual,328.34,1
119,TLS Mutual,306.65,1
120,TLS Mutual,326.15,1
121,TLS Mutual,327.72,1
122,TLS Mutual,325.04,1
